date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－非流動,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備淨額,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應收帳款淨額,應收票據淨額,房屋及建築淨額,投資性不動產淨額,按攤銷後成本衡量之金融負債－非流動,普通股股本,會計項目,未完工程及待驗設備,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,重估增值合計,長期借款合計,長期應收票據及款項淨額,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,1308818,791837,,9263898,1487810,89061,2950962,0.0,3893333,197297,3780386,2105288,369538.0,439238,1675098,729558,408181,9616644,67756,2950962,408181,29530139,0.0,,,,1756446,264128,1441.0,334562.0,21997761,,17213620,2013年03月31日,66813.0,,30472672,29566901,0,9374006,42578557,37306,,8711431.0,2236417.0,,17213620,,,,44977294.0,138421,-238585.0,377006,377006,,75449966.0,9419.0,,,11505.0,334373,427861,,,34860734,936406.0,,7882924,905771,35603288,32871409,201971,201971,1947980,1947980,0
2013-08-13,2,2013,2176751,770646,,9033377,1563828,994007,3539674,0.0,6524878,237647,4241631,2374499,400344.0,415135,1867132,676926,444106,8696594,66562,3539674,444106,30573254,0.0,189350.0,,,1553458,291052,0.0,310874.0,22226697,,17213620,2013年06月30日,40208.0,,31054150,30114442,0,11876586,45333053,37468,,9028026.0,2234422.0,,17402970,,,,46588364.0,138421,0.0,138421,138421,,77642514.0,8213.0,,,11007.0,372843,578056,,,33894829,0.0,,7953106,939708,34711778,32309461,205083,205083,3695345,3695345,0
2013-10-30,3,2013,1749610,753052,,9363699,1546742,989207,3180405,0.0,5268975,217498,3620106,1558603,400508.0,414041,2061503,273752,441074,8122330,56918,3180405,441074,32717691,0.0,189350.0,,,1663383,275898,0.0,304663.0,21781776,,17213620,2013年09月30日,24830.0,,31049442,30085495,0,10796452,44127269,36183,,6322144.0,2317352.0,,17402970,,,,44341928.0,138421,0.0,138421,138421,,75391370.0,9963.0,,,13088.0,390448,570760,,,32713954,0.0,,7791660,963947,33545476,31264101,202223,202223,2887826,2887826,0
2014-03-17,4,2013,1743274,881608,,10096207,1468109,46941,3884191,0.0,3025817,215734,1991611,1465498,412555.0,421001,526113,480509,484546,8432385,57849,3884191,471777,32919498,0.0,,,,1966025,252720,0.0,422448.0,21960705,,17402970,2013年12月31日,24298.0,,32528203,31521789,0,8912065,42095652,82364,,6678664.0,2452114.0,,17402970,,,,41515197.0,138421,,138421,138421,,74043400.0,9775.0,,,12532.0,435578,590686,,,31683008,0.0,12769.0,7894027,1006414,32603132,31947748,206218,206218,645808,645808,0
2014-05-08,1,2014,4939133,1031355,,27075401,1415529,36688,4491304,0.0,6241153,200885,2265735,1972356,413438.0,405439,293379,213872,493100,481569,40093,4450444,484906,34554985,0.0,,0.0,,1597353,256039,0.0,566294.0,62809065,,17402970,2014年03月31日,30300.0,,52136967,49171536,0,11717175,42199398,76495,5082463.0,,2463140.0,,17402970,,,,55068509.0,201861,,201861,201861,,107205476.0,9616.0,,,11707.0,14157704,607594,,40860.0,28700530,0.0,8194.0,227604,2965431,43351334,65006078,3488,3488,695696,695696,0
2014-08-08,2,2014,5526617,961635,0.0,26934086,1715469,37401,3608007,0.0,7148578,150253,2597695,1294612,430179.0,403421,1303083,198913,485739,516585,37164,3567147,478745,35538116,0.0,,0.0,0.0,1547411,225448,0.0,494037.0,61668247,0.0,17402970,2014年06月30日,12408.0,,51081991,48146924,0,12694548,41865956,69409,3462320.0,,2283090.0,,17402970,,0.0,,54630267.0,201861,,201861,201861,,105712258.0,14317.0,,0.0,10694.0,13924796,630426,0.0,40860.0,27525184,0.0,6994.0,280508,2935067,41935719,63846302,4976,4976,1068287,1068287,0
2014-11-10,3,2014,5164025,977696,0.0,28425125,1357327,60897,4856469,0.0,7555516,192517,1978120,941096,432456.0,435178,1037024,223855,501088,569274,63249,4815609,494866,37058173,0.0,,0.0,0.0,1520040,266744,0.0,501928.0,65585107,0.0,17402970,2014年09月30日,16213.0,,53444307,50886425,0,12947181,43123426,65341,3751969.0,,2364421.0,149877.0,17402970,,0.0,,57527623.0,201861,,201861,201861,,110971930.0,16890.0,,0.0,10209.0,15472318,651086,0.0,40860.0,28607036,0.0,6222.0,282170,2557882,44580442,67848504,7523,7523,1763796,1763796,0
2015-03-06,4,2014,6248357,994362,0.0,29371829,1448805,47257,6596017,0.0,8485135,219209,2926717,653641,434729.0,464539,2273076,392095,521722,745042,63682,6555157,516282,38810499,0.0,,0.0,0.0,2151241,345525,0.0,514843.0,70002332,0.0,17402970,2014年12月31日,18498.0,,56371607,53572677,0,15063434,47064100,48962,4926339.0,,2733837.0,244416.0,17402970,,0.0,,63136707.0,201861,,201861,201861,,119508314.0,16539.0,,0.0,9753.0,17879073,653516,0.0,40860.0,29672478,0.0,5440.0,289265,2798930,48073273,72444214,7763,7763,1553030,1553030,0
2015-05-11,1,2015,5143366,982941,,29942239,1417406,47045,6029202,,6796821,191171,2084690,687347,,451928,1397343,225049,552041,576607,66943,5988342,547625,38242504,,,,,1667659,341071,,,69342452,,17402970,2015年03月31日,,2821043.0,56370700,53576272,0,13120719,46428762,42680,,5705762.0,,417790.0,17402970,118056872.0,,61686172.0,,201861,,201861,201861,118056872.0,,,,,,17813569,683430,,40860.0,30199843,,4416.0,284615,2794428,48565453,71628110,7690,7690,1010356,1010356,0
2015-08-06,2,2015,5588205,949563,,30354901,1778784,60022,5338862,,8451536,229636,2015732,787802,,455998,1227930,222094,564762,568789,67982,5298002,561367,37845324,,,,,1627118,369194,,,69709886,,17402970,2015年06月30日,,2736535.0,56130126,53298594,0,14697815,48713930,36341,,8416076.0,,53370.0,17402970,120717267.0,,64587141.0,,201861,,201861,201861,120717267.0,,,50472.0,,,18274670,738758,,40860.0,31049894,,3395.0,278713,2831532,49889326,72003337,7582,7582,2177697,2177697,0
