date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,1493330,194039,14582,175242,73166,1260.0,14935,35722,,322,,,,667,4058,,353,,,375,0.0,,,8868,61000,2636,20257,1173,,825055,2013年03月31日,90556,,,1036198,1036198,0,32322,249947,567174,,72536,71161,,364519.0,4555.0,,64000,825055,,,1122104.0,2169,2169,,2158302.0,149689,21204,,721801,,0.0,872157,1591128,4026,,,,0
2013-08-02,2,2013,,1480271,134332,-544,170982,89243,5394.0,4026,37920,,386,,,,687,5917,,4570,,,667,,49503.0,,6988,61000,2374,21895,679,,825055,2013年06月30日,23787,,,1015085,1015085,0,39384,295721,601274,,71704,71161,,397584.0,15196.0,,83000,874558,,,1172014.0,2169,2169,,2187099.0,157094,27933,,718512,,,876293,1585825,3687,,,,0
2013-11-04,3,2013,37704.0,1453504,147739,499,170102,76420,14964.0,-5313,48559,808.0,14845,60.0,14785.0,,699,3425,1673.0,-5812,,1752.0,349,,,,6916,45000,2034,19382,1179,,874558,2013年09月30日,37194,,,1019153,1019153,0,39384,222929,610373,,69437,71161,,374667.0,0.0,10924.0,44000,874558,,,1157244.0,2169,2169,,2176397.0,161301,39658,0.0,772315,,,934315,1566024,3961,0.0,,10047.0,0
2014-03-14,4,2013,42494.0,1655813,151346,2419,174686,137400,16130.0,2504,57354,1500.0,14977,72.0,14905.0,,64536,3788,414.0,85,747.0,2025.0,726,,,,8621,50000,1771,18998,1625,0.0,874558,2013年12月31日,40801,,,1030577,1030577,0,39384,345146,645318,,68752,71161,,406341.0,0.0,8007.0,90000,874558,,,1367650.0,2169,2169,,2398227.0,145186,24556,,812782,63789.0,,1022504,1752909,3828,0.0,1349.0,13360.0,0
2014-05-05,1,2014,47657.0,1648425,164330,3363,115309,127167,43409.0,19592,59239,892.0,15435,140.0,15295.0,,64536,4375,399.0,16229,747.0,2627.0,423,,,0.0,9442,85000,2011,22815,318,,874558,2014年03月31日,53785,,,1060649,1060649,0,39384,338788,675414,,68997,71161,470834.0,,929.0,2070.0,55000,874558,,,1364216.0,2169,2169,,2424865.0,150022,27654,,810870,63789.0,,1025428,1749451,4801,0.0,1349.0,10690.0,0
2014-08-01,2,2014,38525.0,1605303,147635,5041,157138,130781,20909.0,6244,54345,909.0,1034,1034.0,,47851.0,64536,52643,410.0,1203,747.0,3033.0,680,,26237.0,0.0,9618,90000,1771,24569,678,,874558,2014年06月30日,33283,,,1056843,1056843,0,43191,343979,659559,,66387,71161,447914.0,,5464.0,2167.0,52000,900795,,,1378005.0,2169,2169,,2434848.0,167698,50956,,801792,63789.0,,1034026,1775289,4470,0.0,1349.0,14911.0,0
2014-11-05,3,2014,47330.0,1598894,161262,806,159169,134879,21294.0,16246,62190,1353.0,229,229.0,,48802.0,64561,53610,397.0,15440,772.0,3062.0,392,,,0.0,8455,25000,1528,16157,529,,900795,2014年09月30日,46910,,,1080472,1080472,0,43191,347052,687695,,66335,71161,480811.0,,,4911.0,115000,900795,,,1381790.0,2169,2169,,2462262.0,173459,55728,,796718,63789.0,,1034738,1774567,4203,,1349.0,13507.0,0
2015-03-12,4,2014,616002.0,1617709,179209,572,165354,69068,0.0,48291,632725,2216.0,52300,168.0,52132.0,0.0,128299,3554,419.0,47719,722.0,3135.0,909,,,0.0,9708,33000,1215,16172,758,,900795,2014年12月31日,64857,,,1130464,1130464,0,43191,860716,800857,,67691,71161,540537.0,,,20995.0,115000,900795,,,1394625.0,2169,2169,,2525089.0,161414,35278,,244196,127577.0,,533909,1724232,3832,,0.0,14507.0,0
2015-05-05,1,2015,616108.0,1595615,197122,1811,260704,61034,0.0,40168,631028,1683.0,17246,112.0,17134.0,,128299,3540,422.0,38357,722.0,3118.0,413,,,0.0,9769,55000,1304,21494,267,,900795,2015年03月31日,82770,0.0,14424.0,1140254,1140254,0,43191,838135,794756,0.0,65631,71161,,475648.0,,,80000,900795,2500123.0,1359869.0,,2169,2169,2500123.0,,162817,40581,,230618,127577.0,,521734,1705367,4560,,,13237.0,0
2015-08-06,2,2015,607214.0,1569674,153006,-1926,254351,67919,31015.0,24561,622132,2252.0,16987,75.0,16912.0,0.0,128299,3589,416.0,26487,722.0,3173.0,841,,45040.0,0.0,7752,31000,1258,21911,454,,900795,2015年06月30日,32370,1650.0,2172.0,1125571,1125571,0,49475,761711,784885,0.0,63415,71161,,452118.0,,,30000,945835,2471952.0,1346381.0,,2169,2169,2471952.0,,168294,50389,,288077,127577.0,,584670,1687067,5036,,,12666.0,0
