date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－製造業淨額,專門技術,專門技術淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,,262190,2723953,33372,461016,45740.0,241991,98389,5924,339833,49458,5478,3099.0,192565,397164,,11625,5924,5924,408,914430,914430,,,38004.0,,,,0.0,373019,189710,18084,28185,138519.0,1708999,68619,53638.0,58181,0.0,1543469,2013年03月31日,326557,,3829497,2579431,3000000,38915,2447231,3473947,,21579,95544,,505913.0,68045.0,1213476,1543469,,,2986130.0,607026,,6815627.0,3073.0,0.0,16892,77729,61691,268605,138519.0,6855.0,1250066,538899,3341680,155227,0
2013-08-12,2,2013,,,118894,2753905,34025,442289,46732.0,447476,86929,28323,167734,22475,6272,3166.0,190167,414995,,11625,28323,28323,495,963307,963307,,,0.0,,0.0,,0.0,483693,189747,17597,26365,136326.0,1968258,66367,53346.0,58019,0.0,1543469,2013年06月30日,295142,,3861554,2633118,0,51603,2544909,3705753,,21736,95544,,452990.0,57617.0,1181045,1543469,,,3234878.0,619037,,7096432.0,0.0,0.0,26179,100407,61267,399395,136326.0,6945.0,1228436,689969,3390679,135451,0
2013-11-08,3,2013,,,127947,2756172,33574,516298,46047.0,333035,89588,16392,193284,41921,62024,3120.0,188049,276545,,11625,16392,16392,494,874119,874119,,,0.0,,,,0.0,438339,189682,19271,23416,134325.0,1854386,43151,53230.0,57858,0.0,1543469,2013年09月30日,369151,,3886857,2695196,0,51603,2645513,3872486,,21632,95544,,778783.0,59210.0,1412692,1543469,,,3247621.0,619037,,7134478.0,0.0,0.0,10337,59144,70164,354915,134325.0,6887.0,1191661,602108,3261992,160098,0
2014-03-20,4,2013,,,154472,2798862,78783,644947,,338563,106370,38797,202550,26271,1728,3173.0,163099,271695,,11625,38797,38797,558,867049,867049,,,0.0,,,,0.0,424106,189715,25117,21807,122265.0,1926499,22443,40276.0,57696,0.0,1543469,2013年12月31日,497800,,4082515,2846250,0,51603,2570269,3880873,,22180,95544,,789522.0,53551.0,1336004,1543469,,,3096008.0,619037,,7178523.0,663.0,0.0,10142,66566,68434,296074,122265.0,7382.0,1236265,525739,3297650,157120,0
2014-05-06,1,2014,,,65117,2843593,78514,754933,,289830,86145,33012,107514,23064,20666,3162.0,162536,268049,,11625,33012,33012,579,917595,917595,,,0.0,,,,,403741,189808,28066,19333,121842.0,1874764,46257,40115.0,57551,,1543469,2014年03月31日,607786,,4183504,2950451,0,51603,2484367,4079750,,23610,95544,962456.0,,64332.0,1401076,1543469,,,3234540.0,619037,,7418044.0,0.0,,8938,64489,66977,523148,121842.0,8823.0,1233053,750173,3338294,162929,0
2014-08-07,2,2014,0.0,92492.0,92492,2793526,36122,583353,,600920,50292,7042,131479,22417,5620,3107.0,160219,253193,,11625,7042,7042,592,935588,935588,6213.0,6213.0,0.0,,,0.0,,390857,269627,23333,16570,119728.0,1978769,108765,39899.0,57406,,1543469,2014年06月30日,399063,,3987990,2752901,0,88746,2839834,4287267,,29394,95544,1008885.0,,57645.0,1365973,1543469,,,3531681.0,619037,,7519671.0,0.0,0.0,10784,59647,62763,471981,119728.0,8449.0,1235089,691847,3232404,188564,0
2014-11-10,3,2014,0.0,120693.0,120693,2820725,44395,747095,,300362,92518,46495,155643,20531,8013,3697.0,163057,256377,,11625,46495,46495,637,959325,959325,5612.0,5612.0,0.0,,,0.0,,406018,269698,27696,14419,122712.0,2030797,93228,39708.0,57261,,1543469,2014年09月30日,562805,,4254353,2956096,0,88746,2603774,4247675,,29749,95544,888774.0,,56828.0,1387529,1543469,,,3264577.0,619037,,7518930.0,0.0,,21650,68060,62748,429686,122712.0,8815.0,1298257,660803,3271255,153370,0
2015-03-19,4,2014,,,151203,2858617,45753,890268,,342226,86942,98674,209317,27292,2401,3735.0,152192,248251,,11625,98674,98674,657,973289,973289,5010.0,5010.0,0.0,,,0.0,,413675,269615,24857,30822,110616.0,2027281,84897,40919.0,57116,,1543469,2014年12月31日,705978,,4482455,3148416,0,88746,2624128,4426155,,28649,95544,1093534.0,,67306.0,1297132,1543469,,,3244973.0,616005,,7727428.0,0.0,,8232,74881,62887,393772,110616.0,8279.0,1334039,620845,3301273,149579,0
2015-05-05,1,2015,,,228777,2665326,45359,980429,,304522,55018,83033,268811,24225,4172,3611.0,150933,251209,,11625,83033,83033,641,929133,929133,4610.0,4610.0,,135888.0,,,,374684,269669,16547,15809,109638.0,1826745,81395,,56971,,1543469,2015年03月31日,796139,70017.0,4554148,3221853,0,88746,2570593,4528391,40654.0,27728,95544,,1308973.0,,1266343,1543469,7634474.0,3080326.0,,614922,7634474.0,,,,28605,63426,59490,295374,109638.0,7882.0,1332295,509733,3106083,158462,0
2015-08-10,2,2015,,155017.0,155017,2490638,44104,774898,,559223,63011,56441,196998,26404,8927,3518.0,149144,253221,,11625,56441,56441,638,857688,857688,4610.0,4610.0,,118649.0,,,,362278,269674,30282,15577,108030.0,1868235,87700,,223167,,1543469,2015年06月30日,535104,76092.0,4333013,2989716,0,144250,2915896,4679740,40476.0,28097,95544,,1469455.0,,1421349,1543469,7793844.0,3460831.0,,614908,7793844.0,,,,32694,61278,74877,334513,108030.0,8344.0,1343297,544935,3114104,173381,0
