date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,418850,136656,1314883,,,403572,,,-478,282136,,72146,,,456,169444,-478.0,2086745,0.0,,1430075,389561,,1110549,117427,136437,3255814,2013年03月31日,672700,,,5063819,5063819,0,642183,2580916,5304999,15935,0,,1908689.0,20040.0,0.0,3255814,,55532,,,2611572.0,493600,8968.0,484632.0,,7675391.0,1474339.0,30200,18731,0.0,30656,2370392,9443,,0
2013-08-14,2,2013,407246,136901,1333828,,,347199,139845.0,298361.0,7397,308794,256188.0,588042,99242.0,488800.0,456,171475,7397.0,2393506,0.0,,1683292,476664,48838.0,2314064,158668,132755,3255814,2013年06月30日,673570,,,5090639,5090639,0,649159,3534723,6292165,16034,11099,,828894.0,32344.0,510731.0,3255814,,35854,,,3565393.0,493600,,,,8656032.0,1474658.0,30214,24798,0.0,30670,2363867,8991,52606.0,0
2013-11-13,3,2013,416781,136299,1367191,,,425108,136010.0,376270.0,1650,297867,267502.0,569240,85940.0,483300.0,456,173681,1650.0,1881470,0.0,,1353733,408955,48838.0,2079956,88291,687924,3255814,2013年09月30日,706933,,,5118255,5118255,0,649159,2971347,5735234,15810,11099,,1107240.0,43175.0,269164.0,3255814,,37335,,,3002007.0,493600,,,,8120262.0,911284.0,30204,43249,0.0,30660,2385028,9037,30365.0,0
2014-03-27,4,2013,404016,136628,1371946,,,305813,74070,,10967,300014,,611103,119203,491900,456,183687,,2320639,,,2002893,571295,,1338846,90279,639218,3255814,2013年12月31日,711688,,,5132327,5132327,0,649159,3346499,6199474,15935,11099,,1828972,39114,0,3255814,,53300,,,3384543,493600,,,,8516870,912610,37588,25302,,38044,2317396,9635,,0
2014-05-07,1,2014,382089,137559,1392118,,,339131,,,12853,294233,,555150,61720.0,493430.0,456,187011,12853.0,2498380,0.0,0.0,2364445,381446,,947461,80324,618725,3255814,2014年03月31日,731860,,,5154385,5154385,0,649159,3485061,6382359,16283,11099,2289899.0,,31273.0,0.0,3255814,,74533,,,3523100.0,493600,,,,8677485.0,916579.0,37583,36880,0.0,38039,2295126,11145,,0
2014-08-13,2,2014,362604,131811,1393515,215718.0,264803.0,458821,92641.0,344868.0,212846,273511,248509.0,578427,97327.0,481100.0,456,186883,-2872.0,2005731,0.0,0.0,2417554,432560,113953.0,1230665,94925,589112,3255814,2014年06月30日,728538,,,5355775,5355775,0,664977,3810199,6751101,15976,0,2825693.0,,49525.0,0.0,3255814,,85587,,,3892399.0,493600,,,,9248174.0,916987.0,81744,28897,0.0,82200,2497073,15660,25002.0,0
2014-11-07,3,2014,345775,102588,1495842,,184751.0,329091,88497.0,329091.0,161376,281737,261478.0,558963,65563.0,493400.0,455,188419,161376.0,1988376,0.0,0.0,2416775,516877,0.0,1197512,77477,581612,3255814,2014年09月30日,830865,,,5406817,5406817,0,664977,3764782,6895484,16245,0,3055695.0,,44978.0,0.0,3255814,,86827,,,3833403.0,493785,,,,9240220.0,909343.0,68166,16003,0.0,68621,2344736,17461,20259.0,0
2015-03-27,4,2014,357968,104310,1607144,,91996.0,440016,124096.0,,48848,282540,,1017887,59978.0,957909.0,965,199129,,2566649,,0.0,2321721,579279,,1518963,85099,566437,3295814,2014年12月31日,942167,,,5477203,5477203,0,664977,3879559,7185501,16917,0,1984076.0,,79698.0,0.0,3295814,,52209,38345.0,,3982931.0,525397,,,,9460134.0,903860.0,64062,34016,,103372,2274633,12827,,0
2015-05-07,1,2015,452725,54820,1729656,,86680.0,460746,237130.0,,43253,313672,,541792,72158.0,469634.0,456,200341,43253.0,2455788,,,2216756,379301,,1552013,97059,557361,3295814,2015年03月31日,1064679,120934.0,,5594120,5594120,0,664977,3803185,7242292,16735,0,,2574524.0,,,3295814,9497279.0,74646,36337.0,3903159.0,,525397,,,9497279.0,,841140.0,63181,45185,,99974,2254987,21116,,0
2015-08-13,2,2015,436190,54204,1575177,,100107.0,729915,186946.0,499208.0,48981,241754,,783123,73343.0,709780.0,456,306060,,1426304,,,1873819,241503,230707.0,1563220,109010,535144,3294564,2015年06月30日,876062,110557.0,,5445369,5445369,0,699115,3458263,6797921,16502,0,,2897150.0,,,3294564,9017292.0,73769,47587.0,3571923.0,,526647,,,9017292.0,,703980.0,65617,67184,,113660,2219371,19114,,0
