date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,,9688683,1675346,7246545,1644603,2798459,551593,,214614,,1598275,125540,,5690,,,1306297,,547814,,-46328,,,4846447,,,1503049,,36,1196966,144.0,324600,,7284056,2004580,15690963,2013年03月31日,1133800,,,24613364,24583962,0,1884558,3182543,8630890,,57,4228187,,1741256.0,65688.0,6160.0,936637,15690963,,,8298233.0,48179,12196,,,35983,,32911597.0,83893,3809393,281712,,,29402,5115690,24280707,211120,,,0
2013-08-09,2,2013,,10369103,1675707,7173115,1536280,2737438,1167824,,203410,,1491307,93179,,15501,,,1291545,,682608,,-44973,,,4566560,235365.0,,1742863,,0,1387794,,303546,,7278838,2047009,15690963,2013年06月30日,814234,,,24665306,24638929,0,1951402,3958367,8671630,,50,4407479,,1862938.0,54638.0,6146.0,899863,15926328,,,9104413.0,48179,12196,,,35983,,33769719.0,30593,3854501,307336,,,26377,5146046,25098089,295142,,,0
2013-11-08,3,2013,0.0,10808838,1623289,7488817,1933610,3134104,684006,,196014,0.0,1818381,60350,,1882,1882.0,,1281436,10486.0,788779,6476.0,-115229,40843.0,1496.0,4516171,,,1529715,200000.0,0,1328818,,188432,1230107.0,7273562,1990603,15926328,2013年09月30日,1129936,,,25504844,25281705,0,1951402,4179083,9145286,,44,4407479,,2648650.0,180211.0,6072.0,1524801,15926328,,,9554630.0,48179,12196,,,35983,,35059474.0,29598,3894111,294969,200000.0,,223139,5375547,25914188,229649,780807.0,60350.0,0
2014-03-20,4,2013,0.0,11616670,1623765,7680884,1996392,3205116,728539,,176566,,1940723,126625,,1775,1775.0,,1235549,10486.0,1064385,6243.0,-55669,35451.0,1752.0,3892163,,,1382317,400000.0,43417,1381586,,318604,1189612.0,7268285,2035052,15926328,2013年12月31日,1322003,,,25946498,25623047,0,1951402,4586938,9325012,,37,4407479,,3262849.0,40671.0,105.0,1865369,15926328,,,10345452.0,75112,12196,26933.0,,35983,,36291950.0,30491,3922965,153628,600000.0,186132.0,323451,5758514,26966938,260873,870258.0,126625.0,0
2014-05-09,1,2014,33333.0,12727819,1625074,7800372,1846783,3689229,578632,,208313,,1895529,118413,,19497,19497.0,,1225193,10486.0,1053597,6010.0,48746,40542.0,1711.0,5032071,,0.0,1427121,500000.0,4423,1187990,,241419,1174165.0,7263124,2050168,15926328,2014年03月31日,1441491,,,26007670,25697341,0,1951402,5363025,9242919,,31,4407479,2205765.0,,62336.0,0.0,2672100,15926328,,,11789032.0,75112,12196,,26933.0,35983,,37796702.0,25713,3934147,144741,1266667.0,189522.0,310329,6426007,28553783,322151,856354.0,85080.0,0
2014-08-07,2,2014,302778.0,14225116,1623884,6977251,1598515,3413994,1086033,,261739,,1487468,408248,,19888,18372.0,1516.0,1210685,10486.0,1121598,5676.0,-111047,41436.0,2711.0,5055806,477790.0,0.0,1289839,600000.0,2031,1213100,,290717,1158763.0,7257905,2034484,15926328,2014年06月30日,497131,,,25577833,24943949,0,2072641,6641148,9406969,,508,4407479,2087873.0,,44942.0,0.0,3210055,16404118,,,13652998.0,75112,12196,,26933.0,35983,,39230831.0,54171,3953943,146373,1847222.0,183770.0,633884,7011850,29823862,423675,929441.0,105470.0,0
2014-11-10,3,2014,540278.0,15304745,1624975,7111068,1335005,3152270,773686,,317177,,1331199,588185,,20716,19172.0,1544.0,1195069,10486.0,1106760,5536.0,-3806,41748.0,2787.0,4488508,,0.0,1351135,650000.0,1383,1056470,,241813,1142835.0,7252629,2025898,16404118,2014年09月30日,630948,,,25543021,24921497,0,2072641,5996145,8040874,,632,4407479,1522303.0,,5756.0,0.0,2626000,16404118,,,13123345.0,75112,12196,,26933.0,35983,,38666366.0,64100,3972409,157583,1959722.0,196996.0,621524,7127200,30625492,329787,901441.0,47907.0,0
2015-03-19,4,2014,934722.0,17158740,1627414,7198866,1211404,3027347,841154,4182.0,370534,,1452250,1067228,,51288,1833.0,49455.0,1194557,10486.0,226849,6161.0,240846,53826.0,811.0,3729315,,0.0,1423232,700000.0,32222,1347336,,330458,1130245.0,7247353,2092940,16404118,2014年12月31日,718746,,,25700947,25130346,0,2072641,6275756,8138656,,575,4407479,1892888.0,,2835.0,13460.0,2204903,16404118,,,13965458.0,75112,12196,,26933.0,35983,,39666405.0,63279,3979867,146531,2515278.0,197659.0,570601,7689702,31527749,340098,22218.0,132506.0,0
2015-05-08,1,2015,1301389.0,18031765,1626720,7402379,1116352,2936045,2071163,,355253,,1235085,1501728,5508.0,7696,6094.0,1602.0,1180363,10486.0,232393,5501.0,118733,56448.0,4034.0,3935705,,0.0,1770900,500000.0,8482,1418412,,240850,,7780996,2175722,16404118,2015年03月31日,922259,21597.0,674.0,25674483,25116694,0,2072641,7857871,8513453,1113429.0,16428,4407479,,2189644.0,,,1984001,16404118,41457075.0,15782592.0,,75112,12196,,26933.0,35983,41457075.0,,52820,3995747,143553,2748611.0,198378.0,557789,7924721,32943622,312399,24480.0,194831.0,0
2015-08-10,2,2015,1447222.0,18012576,1625848,7385846,718257,2539166,2278970,,402225,,694224,1623210,6231.0,3755,2176.0,1579.0,1167394,10486.0,225892,7420.0,-24033,56269.0,7370.0,4548253,164041.0,0.0,2017578,450000.0,6672,1599776,,206457,,7773864,2251950,16404118,2015年06月30日,858227,35322.0,737.0,25257616,24723341,0,2120140,8549545,8897008,1100639.0,15133,4407479,,1766492.0,,,2137793,16568159,41479114.0,16221498.0,,75112,12196,,26933.0,35983,41479114.0,,61838,4043448,137677,2461111.0,187076.0,534275,7671953,32582106,307475,24026.0,169757.0,0
2015-11-09,3,2015,1693056.0,18036169,1629833,7764315,640615,2318957,1811582,,433438,,960663,1806862,8592.0,5357,3675.0,1682.0,1146511,10486.0,295286,7145.0,320048,56542.0,8330.0,4634025,,0.0,1513638,450000.0,10032,1412470,,150714,,7766654,2349500,16568159,2015年09月30日,1236696,70023.0,772.0,25879498,25368249,0,2120140,7745519,8478338,1079483.0,16229,4407479,,1481625.0,,,2083382,16568159,41021677.0,15142179.0,,75112,12196,,26933.0,35983,41021677.0,,67559,4076538,130711,2173611.0,201422.0,511249,7396660,32543339,292378,78389.0,105214.0,0
2016-03-17,4,2015,1838889.0,17856264,1629754,7924000,968859,2628543,1497066,,210355,,1256627,2042709,10434.0,4405,2725.0,1680.0,1205461,10486.0,262221,6968.0,287768,58944.0,10730.0,4448694,,0.0,1405581,400000.0,43547,1022393,,284071,,7759443,2389154,16568159,2015年12月31日,1396381,32614.0,19535.0,26309246,25823898,0,2120140,7419081,8247907,1136031.0,17144,4407479,,1895521.0,,,1997564,16568159,40917855.0,14608609.0,,75112,12196,,26933.0,35983,40917855.0,,59776,4097956,127425,1886111.0,193954.0,485348,7189528,32669948,303157,50569.0,193386.0,0
2016-05-10,1,2016,1964011.0,17837899,1628485,7949279,1059285,2718885,1207883,,242482,,1113702,2170769,11264.0,4807,3147.0,1660.0,526358,10486.0,241073,6791.0,54417,58719.0,11958.0,4498455,,0.0,1447570,450000.0,10068,1149538,,286255,,7595336,2443961,16568159,2016年03月31日,1421660,33567.0,68835.0,26177411,25706252,0,2120140,7746009,7958623,457153.0,15331,4407479,,1307152.0,,,2426152,16568159,40541500.0,14364089.0,,75112,12196,,26933.0,35983,40541500.0,,59684,4087235,101907,2004487.0,190545.0,471159,6618080,32582877,341415,31779.0,195494.0,0
