date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產評價調整－流動,備供出售金融資產評價調整－非流動,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵銷售退回及折讓,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他長期投資（淨額）,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,半成品,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,商品存貨,國外營運機構財務報表換算之兌換差額合計,在建房地,在製品,在途原物料,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,存貨－買賣業淨額,庫存現金,庫藏股票,待售房地,待註銷股本股數,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人,應付票據－關係人合計,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,投資性不動產－建築物－累計公允價值變動數,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,約當現金,累積盈虧,累計減損－投資性不動產－土地,股本合計,製成品,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅負債－土地增值稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,3518364,971779.0,971779,,963777,-9358.0,45792.0,-52454.0,341153.0,386945,313193.0,260739,41938.0,4416.0,,170968,170968.0,55075,55075.0,1761.0,1761.0,-16981,627773,,211712,,481023,17758,462097,222680.0,222680,21476.0,57220.0,1020459.0,691609.0,48756.0,-7623.0,72793.0,544719.0,20902.0,44693,85660,2657647,79530,2529361,48756.0,14812.0,110920,11207.0,,,453909.0,453909,1149.0,1149.0,790000.0,790000,60663.0,60663,14.0,14.0,3157970.0,3111616,17778.0,17778.0,220880.0,220880,1822.0,1822.0,418572.0,767979,882210.0,157908.0,-53139.0,534131.0,534131,5801808,2013年03月31日,393688,,33848.0,8195705,7143223,20633667,80129,5921925,10111245,,29447,,70709.0,489960,,2368330.0,49818.0,3735360,145456.0,359840.0,219000.0,5801808,1236074.0,,,,8594414.0,505539,,16790119.0,32271,1077679,,264486,0.0,264486.0,134338,3735360.0,2208062.0,1926980.0,1926980,,1052482,2672489,6678874,0.0,,153757,,0
2013-08-06,2,2013,333350.0,3634864,,1028760,103006.0,726891,,,,,372343,,254937,,,,389950,,153608,,,,-28841,553054,68771.0,318206,0.0,493084,20096,563147,,10358,,,,,,,,,,50385,79777,2551876,52549,2499327,,,110920,,,,,517850,,,,780856,,63276,,,,2978401,,,,240872,,,422603.0,767235,,,,,542577,5801808,2013年06月30日,144489,,,7874814,6891602,21716279,92442,5311100,9963611,,28012,,,489960,,2294957.0,5308.0,2841909,,,,5801808,,,103006.0,,9063524.0,502664,,16938338.0,55891,1053348,10849.0,264486,,,144346,,,,2994854,214935.0,983212,3752424,6974727,,,258077,150933.0,0
2013-11-05,3,2013,183333.0,3663314,,1024507,,776073,,,,,357438,,257351,,,,247385,,93780,,,,-24925,427302,25869.0,400796,0.0,490336,17452,492163,,7990,,,,,,,,,,50325,79879,2390117,147096,2243021,,,110920,,,,,582512,,,,1183000,,53612,,,,3151712,,,,219115,,,422559.0,766964,,,,,553726,5801808,2013年09月30日,193671,,,7938811,6942452,20633667,92442,5856896,10288903,,27461,,,489960,,2615538.0,6395.0,3240169,,,,5801808,,,103935.0,,9287986.0,500416,,17226797.0,12586,1060407,10865.0,264486,,,141543,,,,2676268,211660.0,996359,3431090,6937894,,,192634,218100.0,0
2014-03-28,4,2013,240533.0,3730726,,869088,,939204,,,,,147543,,442802,,,0.0,355515,,70615,,,,12170,416314,26054.0,38095,0.0,460936,4436,506737,,4755,,,,,,,,,,31418,58120,2498487,283455,2215032,,,110920,,,,,691761,,,,839735,,142291,,,,2427219,,,,204644,,,425082.0,983539,,,,,474584,5801808,2013年12月31日,356802,,,8164755,7147480,20633667,92442,6232540,10726007,,28277,,,489960,,2894481.0,11852.0,3660991,,,,5801808,,,97977.0,,9764657.0,505218,,17929412.0,16104,1090593,16214.0,267372,,,151438,,,,2803809,219945.0,1017275,3532117,7203405,,1354330.0,223917,149727.0,0
2014-05-08,1,2014,266667.0,3761340,,885760,,890084,,,,,179707,,517299,,,0.0,136277,,96270,,,,153407,549968,33350.0,39270,,465692,4591,506516,,5100,,,,,,,,,,39769,84736,2654197,291003,2363194,,,110920,,0.0,,,754949,,,,754000,,45270,,,,2632385,,,,215936,,,421332.0,983023,,,,,481354,5801808,2014年03月31日,307682,,,8260846,7239597,20633667,92442,5826996,10570709,,25893,,,489960,3076808.0,,19834.0,3427870,,,,5801808,,,99612.0,,9620685.0,505218,,17881531.0,39216,1159167,9419.0,264499,,,140218,,,,3063498,223482.0,1021249,3793689,7310822,,516969.0,193198,249951.0,0
2014-08-05,2,2014,366667.0,3714625,,951654,,821952,,,,,148459,,442462,,,0.0,393093,,196863,,,,63578,619657,19808.0,78916,,471270,4401,518180,,8011,,,,,,,,,,49279,74159,2779086,293002,2486084,,,110920,,0.0,,,506694,,,,660857,,55963,,,,2718804,,,,242179,,,417590.0,982507,,,,,490215,5801808,2014年06月30日,225288,,,8075780,7081642,20633667,106704,5961139,10580150,,24245,,,489960,3037865.0,,8848.0,3612314,,,,5801808,,,101428.0,,9792688.0,505224,,17868468.0,2285,1171722,9205.0,264501,,,155225,,,,3095778,218653.0,994138,3831549,7288318,,206256.0,217357,233182.0,0
2014-11-12,3,2014,416667.0,3724229,,995489,,798212,,,,,129105,,393928,,,0.0,244132,,199582,,,,7859,673498,26133.0,164907,,460237,4410,453809,,6152,,,,,,,,,,45078,74981,2596298,274356,2321942,,,110920,,0.0,500000.0,,448419,,,,790000,,62454,,,,2817193,,,,273179,,,410749.0,981991,,,,,529193,5801808,2014年09月30日,201548,,,8028238,7002344,20633667,106704,6027840,10967252,,23708,,,489960,3250781.0,,16365.0,3677214,,,,5801808,,,105173.0,,10204052.0,505385,,18232290.0,10585,1257076,9246.0,264499,,,153445,,,,2951476,221667.0,1025894,4176212,7265038,,279131.0,151009,230698.0,0
2015-03-27,4,2014,273867.0,3801875,,1380441,,810083,,,,,214548,,296765,,,0.0,291475,,169955,,,,120444,503753,28723.0,153287,0.0,514499,24101,376280,,5667,,,,,,,,,,43554,56581,2844649,253320,2591329,,,110920,,0.0,500000.0,,501971,,,,769841,,93025,,,,2880671,,,,254524,,,446844.0,938617,,,,,573562,5801808,2014年12月31日,213419,,,8204256,7126787,20633667,106704,6323767,11640575,,24626,,,489960,3713711.0,,30101.0,3984441,,,,5801808,,,100000.0,,11026836.0,505372,,19231092.0,49160,1009903,9977.0,265212,,,188374,,,,3423358,229467.0,1077469,4703069,7590517,,399327.0,84565,201163.0,0
2015-05-07,1,2015,395466.0,3739762,,1390896,,725216,,,,,386265,,288008,,,0.0,273597,,198879,,,,197120,726387,41577.0,159696,,532623,24128,400818,,7705,,,,,,,,,,61697,90885,2562829,286501,2276328,,,46562,,0.0,500000.0,,501076,,,,770000,,51483,,,,2769438,,,,281790,,,,938002,,,,,571928,5721808,2015年03月31日,128552,28917.0,,8175166,7118596,12633667,106704,6227080,11157944,446798.0,23012,,,489960,,3381389.0,,3752589,,,,5721808,,18735652.0,100654.0,10560486.0,,521014,18735652.0,,22377,1044447,9820.0,265221,,,215462,,,,3035562,226663.0,1056570,4333406,7577708,,373211.0,75565,289344.0,0
2015-08-11,2,2015,1655500.0,3728277,,1407031,,586355,,,,,336832,,250314,,,0.0,303933,,88016,,,,123851,1976514,18439.0,250711,,536727,23818,400623,,3269,,,,,,,,,,72870,89533,2979335,298095,2681240,,,46562,,0.0,500000.0,,588840,,,,769745,,44461,,,,2719150,,,,217764,,,,948758,,,,,563754,5721808,2015年06月30日,-10309,10403.0,,7920501,6906466,12633667,106704,7656773,10965087,440039.0,21515,,,489960,,3169269.0,,3818064,,,,5721808,,18543089.0,99844.0,10622588.0,,521014,18543089.0,,44969,1037316,8913.0,265221,,,248817,,,,1663867,224318.0,1014035,2965815,7578002,,166694.0,83503,302575.0,0
