date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,28433332,199020,606704,400861,-83589,99007,50968,1031909,325900,37322,,4590886,,3543263,,,415628,1776215,120911,3136137,175379,,1355531,379477,880667,3083563,11928.0,78884,141993,624848,27129098,2013年03月31日,400861,33224770,32277914,9241094,11354875,15119899,154796,,150000.0,9750.0,,,3690259.0,3070147,27129098,,28479,,14834726.0,4886012,136,,1352448,43045.0,3487601,,2782,,48059496.0,17779,801938,,94974,1140991,,2969249,946856,3479851,32939597,0
2013-08-13,2,2013,,27286404,195081,616954,-159280,-80810,93340,52102,969135,192186,-78953,0.0,3654708,,3404356,,,411506,1796784,1857,3482565,175379,,1651778,283898,744452,3435169,8825.0,97462,139612,564784,27129098,2013年06月30日,-159280,32534502,31601824,9241094,11048677,14776818,144757,,150000.0,9750.0,,,3072945.0,3703107,27129098,,25893,,14132621.0,4886338,136,,1352448,43045.0,3487601,,3108,,46667123.0,15706,644889,183218.0,52291,1095940,0.0,2620147,932678,3083944,31890305,0
2013-11-13,3,2013,2850833.0,26234009,194589,591924,-799633,-80653,79372,43845,924224,541579,-197246,0.0,3154754,303921.0,2067638,,,409793,1751974,-116593,3675646,175379,,1482414,208910,686868,3059769,14414.0,50244,150944,599806,27129098,2013年09月30日,-799633,31757244,30843600,9241094,9158349,13844023,135633,,150000.0,2500.0,,,3265108.0,2659959,27129098,,30919,,12873610.0,4886760,136,,1352448,43045.0,3487601,,3530,,44630854.0,10301,745664,187412.0,52149,1088784,0.0,3253319,913644,3715261,30786831,0
2014-03-31,4,2013,2741027.0,24902114,145526,467217,-2606643,-62878,44104,58288,865033,587525,-229211,0.0,3028062,287035.0,1289152,,,366964,1343792,-166333,3093425,175379,,1328002,224099,686044,2645832,74705.0,48949,153388,510017,27129098,2013年12月31日,-2606643,29894315,29006613,9241094,7884545,12912393,130187,,0.0,151463.0,,,4148317.0,1692898,27129098,,46263,,11850985.0,4888748,136,,1352448,46777.0,3487601,,1786,,41745300.0,14144,834858,188767.0,99994,927674,0.0,3499482,887702,3966440,28832907,0
2014-05-13,1,2014,2502652.0,24498880,136103,471606,-3123730,-75890,427157,54677,832165,1019888,-86324,0.0,2883571,380919.0,964285,,,365443,1032097,-10434,2853655,175379,0.0,1419963,213888,658962,2393762,61591.0,46390,138397,541592,27129098,2014年03月31日,-3123730,29624573,28711573,9241094,7245069,12232079,121578,,0.0,150863.0,,3825857.0,,1184914,27129098,,40259,,11109115.0,4967908,136,84315.0,1352448,41622.0,3487601,,1786,,40733688.0,11347,503391,630778.0,43102,861141,0.0,3455501,913000,3864046,28501609,0
2014-08-14,2,2014,2048347.0,23467802,135347,451562,-3563560,-75689,412454,55064,920440,131123,-245539,0.0,2331007,282660.0,1127720,,,356017,998970,-169850,2630597,315756,0.0,1245754,238402,718002,2769857,1344.0,39624,137106,640522,27129098,2014年06月30日,-3563560,28841029,27979736,39241094,7160787,11933502,127094,,0.0,150863.0,,4066952.0,,1651866,27129098,,44557,,10593440.0,4975493,136,91805.0,1352448,41717.0,3487601,,1786,,39434469.0,10759,618484,615312.0,41357,856672,0.0,3035279,861293,3432653,27500967,0
2014-11-12,3,2014,2107704.0,22690059,63453,452262,-4058955,58766,626630,52743,947380,484178,58661,0.0,2442586,334882.0,1215961,,,372358,1023645,-105,2695934,603255,0.0,1541908,199895,691246,3176589,555.0,61914,130090,555631,26829098,2014年09月30日,-4058955,28310716,27318946,99453094,7554472,13067896,131851,,0.0,150863.0,,4014997.0,,1670371,26829098,,40412,,11466068.0,5093397,136,91805.0,1550636,0.0,3449034,,1786,,39776784.0,20674,727685,667593.0,42475,854151,0.0,3496763,991770,3911596,26708888,0
2015-03-27,4,2014,2706359.0,21910267,64917,428429,-4435093,35673,43274,215092,923300,164837,258872,0.0,3027195,320836.0,1754353,470702.0,1283651.0,365005,1003186,223199,2463740,169070,0.0,1466947,199913,651598,3237597,2218.0,42193,108522,545601,25815618,2014年12月31日,-4435093,27939317,27007437,7893094,7544780,13344454,124966,,,150863.0,,4847874.0,,1211940,25815618,,49577,,11450170.0,5537110,136,1640.0,2213295,1507.0,3318746,,1786,,39389487.0,14310,723451,681020.0,100052,877087,0.0,3440333,931880,3905390,26045033,0
2015-05-11,1,2015,2748713.0,21034388,64461,426330,-4888235,42630,39018,221886,867628,284200,203434,0.0,3076979,328266.0,1645101,524961.0,1120140.0,356129,967194,160804,2504876,169070,0.0,1275891,199900,666935,3234233,911.0,28059,142160,562712,25815618,2015年03月31日,-4888235,27434573,26498842,7893094,7236851,12799596,132535,,,,150863.0,,4147006.0,1096930,25815618,37985568.0,43885,10550995.0,,5537095,136,1640.0,2213295,0.0,3318746,1492.0,1786,37985568.0,,8703,851731,674378.0,97997,873526,0.0,2860018,935731,3314144,25185972,0
2015-08-11,2,2015,3005259.0,20117344,64011,427136,-820042,33560,18529,215865,970174,148496,24993,0.0,3242376,237117.0,1477464,449500.0,1027964.0,353480,930623,-8567,2763418,356380,0.0,1257611,259891,673772,2953477,607.0,21521,139890,497783,21080525,2015年06月30日,-820042,26470197,25652227,47830174,7582252,12544900,140830,,,,150863.0,,3914658.0,1143251,21080525,36733920.0,17516,10263723.0,,5723131,136,0.0,2439476,0.0,3280179,1554.0,1786,36733920.0,,17661,1182719,706004.0,99480,862682,0.0,2228511,817970,2681471,24189020,0
