date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,2259188,3047877,223750,21550,-4798,15580,15233,55305,9831,-4798,732747,,,272068,14000,1105714,15110,2228460,2013年03月31日,2479166,,,5324829,5324829,0,554330,815476,3968590,7132,14381,,2078236.0,290078.0,2228460,,21422,,965035.0,53290,1416,51874,,6289864.0,72832,45123,149559,2321274,0
2013-08-09,2,2013,2258899,2266120,1064414,25985,6759,11205,28458,54978,11837,6759,686347,133700.0,,487384,14836,1341068,15964,2228460,2013年06月30日,1554100,,,4688329,4688329,0,697639,1693956,4206044,7434,14381,,2108222.0,116117.0,2362160,,22932,,1843045.0,53290,1416,51874,,6531374.0,71179,47160,149089,2325330,0
2013-11-08,3,2013,2245772,2662210,232039,23444,-1410,9091,44894,54559,12261,-1410,654801,,,805339,22536,1680971,15724,2362160,2013年09月30日,1950190,,,5076250,5076250,0,697639,1111600,4017070,8118,14381,,1597236.0,42595.0,2362160,,20611,,1255693.0,53290,1416,51874,,6331943.0,68923,48722,144093,2314873,0
2014-02-21,4,2013,2256595,2798098,271333,23958,7677,5825,47015,50847,10871,7677,587001,,,498572,15231,1005824,34499,2362160,2013年12月31日,2086078,,,5221225,5221225,0,697639,849705,3881583,9019,14381,,2183286.0,58744.0,2362160,,15979,,987183.0,53290,1416,51874,,6208408.0,70652,50340,137478,2326825,0
2014-05-02,1,2014,2252689,2889192,159497,22449,6916,4670,28395,50488,10780,6916,585993,,,310638,15382,963953,67508,2362160,2014年03月31日,2177172,,,5311558,5311558,0,697639,547461,3665922,8478,14381,1997624.0,,57274.0,2362160,,16150,,679460.0,53290,1416,51874,,5991018.0,65361,53149,131999,2325096,0
2014-08-08,2,2014,2236261,2320287,994119,21015,-1908,11977,102256,50032,12000,-1908,722290,0.0,0.0,715656,25975,1440553,71473,2362160,2014年06月30日,1527637,,,4733829,4733829,0,778269,1829686,4380040,7997,14381,2022453.0,,81959.0,2362160,,19017,,1957897.0,53290,1416,51874,,6691726.0,59162,55428,128211,2311686,0
2014-11-07,3,2014,2235965,3093134,310661,28861,8185,12112,59666,49663,11556,8185,776974,0.0,0.0,1446718,45494,2558066,43250,2362160,2014年09月30日,2300484,,,5516769,5516769,0,778269,1949479,5297454,7537,14381,1830637.0,,134494.0,2362160,,19226,,2094014.0,53290,1416,51874,,7610783.0,75646,58271,144535,2313329,0
2015-03-04,4,2014,2249092,3278981,348508,20763,24038,4153,30999,49298,11435,24038,723630,,0.0,405005,22513,1125091,32812,2362160,2014年12月31日,2486331,,,5718469,5718469,0,778269,940957,4475371,8350,14381,2542076.0,,160778.0,2362160,,18305,,1085908.0,53290,1416,51874,,6804377.0,77348,60129,144951,2329006,0
2015-04-29,1,2015,2239618,3561462,249412,27134,16708,8675,39683,48932,10878,16708,721756,,0.0,495254,14345,1257651,32168,2362160,2015年03月31日,2768812,216306.0,,5993620,5993620,0,778269,983992,4805718,7270,14381,,2727326.0,,2362160,7117596.0,19901,1123976.0,,53290,1416,51874,7117596.0,,71151,54112,139984,2311878,0
2015-08-05,2,2015,2225714,2801211,1337301,51057,9293,8162,47867,48767,11199,9293,706539,,0.0,660439,15648,1544810,27821,2362160,2015年06月30日,1882521,161350.0,,5225954,5225954,0,904309,2182900,5244472,6512,14381,,2866378.0,,2362160,7547418.0,20956,2321464.0,,53290,1416,51874,7547418.0,,68841,59521,138564,2302946,0
