date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款,應收帳款淨額,應收票據淨額,應收租賃款,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,長期借款合計,長期應付票據及款項合計,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付租金,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,146245,26674014,1569871,10432177,-1574184,4893.0,1846107,3771311,3771311,1439692,-2023395,1422799,1276554,2077997,1535799,542198,3233564,1829127,4547044,742579,-447111,319326,21871790,1055961,0.0,,5162757,0.0,781524,10923839,10980658,5239899,56819,1329134.0,10843774,,0.0,17464214,36160002,2013年03月31日,938192,,63808908,59255545,142187289,5424527,24768586,50228622,,206847,,,4069458,,8419454.0,-2100.0,258281.0,13370899,36160002,,,,50682833.0,15742722,,114491741.0,0,,160543,0.0,325246,1111248,1015.0,,0.0,0.0,22355437,75303.0,1917782,1567357,4553363,25914247,64263119,0.0,33696,33696,0.0,0.0,0
2013-08-12,2,2013,145621,26142361,1671185,10716185,986463,4759.0,4736890,3625590,3625590,1279181,1166339,1396349,1250728,1983530,1588564,394966,3518128,2113911,4822753,792476,179876,392581,20659280,542298,0.0,,4316353,0.0,793262,11072575,11130206,5699946,57631,1330467.0,11055062,0.0,0.0,18039340,35760002,2013年06月30日,4550658,,67780753,62734351,102187289,2438101,22813044,47791327,,207616,,,3727426,,6701142.0,0.0,321965.0,12355704,35760002,,,,47787373.0,15634123,,115568126.0,3821,,292432,0.0,328421,1101592,0.0,,,0.0,21127780,73750.0,2076722,1560974,5046402,24974329,67776799,0.0,40851,40851,0.0,0.0,0
2013-11-13,3,2013,7304532,25574325,1663238,11101460,800653,4812.0,4531228,3422377,3422377,675819,620024,12690946,1383504,2170185,1230518,939667,3056796,1673485,4724755,714568,-180629,322081,20072670,499679,115983.0,,4488853,0.0,765698,10466790,10529011,7515575,62221,1312766.0,10991081,,0.0,18053375,35760002,2013年09月30日,4944513,,68071156,62610861,102187289,2438101,31311210,47811311,,202920,,,3718846,,6583211.0,0.0,281413.0,9637287,35760002,9068.0,,,46780646.0,15629054,,114851802.0,15568,,105367,0.0,328926,1299569,0.0,,,0.0,12083714,70545.0,2155679,1532427,5460295,15469436,67040491,0.0,38678,38678,4002910.0,4002910.0,0
2014-03-05,4,2013,9068283,21635479,1396821,7758681,506269,0.0,3212430,3373315,3373315,796544,823535,14935894,1172828,1962676,1164719,797957,2887971,1595151,4780302,607501,317266,325085,21061176,0,3955006.0,,6103919,0.0,709311,9434396,9503775,7943404,69379,1222346.0,10952192,,0.0,16894103,35760002,2013年12月31日,1813125,,62197277,59971272,0,2438101,35863269,52866243,,199178,,,3507455,,7556082.0,0.0,173230.0,9614797,35760002,952803.0,,,51211064.0,15629054,,113408341.0,0,,55430,0.0,356242,1471593,0.0,,,0.0,12103582,70474.0,2653354,1194362,2226005,15347795,60542098,0.0,32150,32150,4694783.0,4694783.0,0
2014-05-14,1,2014,9911420,21534704,1273942,7576814,748961,0.0,3525905,2919756,2919756,985113,1512408,15945900,994515,1985538,1695908,289630,3205887,1904708,4824673,647096,763447,302339,22025791,92299,4199736.0,0.0,6483057,,604303,11050247,11118175,8491035,67928,1228394.0,10914901,,,17047447,35760002,2014年03月31日,1631258,,62632298,60386579,9750000,2438101,39449754,57039990,,200070,,,3507455,8203206.0,,0.0,89766.0,12404424,35760002,933906.0,,,55253105.0,15629654,,117885403.0,68642,5073.0,0,,355335,1523771,0.0,,,,12237056,72785.0,2672438,1202800,2245719,15803351,60845413,,31396,31396,5039965.0,5039965.0,0
2014-08-13,2,2014,163773,21004684,1956121,8251923,1503653,0.0,3736220,3164771,3164771,1121975,1591465,6269790,1147220,2271818,2000302,271516,2907283,1601323,4723805,632847,87812,297512,24733223,292893,4511403.0,0.0,6943169,,554406,12332515,12403212,6953935,70697,1235363.0,10828600,,,17669188,35760002,2014年06月30日,3100663,,63271143,60940656,30000000,2438101,31511592,58042335,,197156,,,2713159,5797574.0,,,100528.0,13488789,35760002,985356.0,,,56259941.0,15630159,,119531084.0,4783,7159.0,218652,,345800,1372975,,,,,21488107,70597.0,2623078,1170368,2330487,24748349,61488749,,30543,30543,4958797.0,4958797.0,0
2014-10-29,3,2014,1081096,17997216,1977154,9844218,104214,0.0,2893924,2223222,2223222,874012,794182,3072796,1546122,1657168,1283999,373169,1970341,743183,2818104,395006,689968,243598,24896649,292893,4599352.0,0.0,5562874,,720469,10795659,10841178,7173237,45519,1227158.0,10873198,,,17143690,35760002,2014年09月30日,4692958,,64211030,61734558,30000000,2438101,26974417,59602586,,193363,,,2713159,7297432.0,,,1453625.0,11636529,35760002,2304902.0,,,50861875.0,15629049,,115072905.0,0,7114.0,2238236,,348945,1573670,,,,,21561058,0.0,1042411,1137089,2476472,23887458,55470319,,25322,25322,445578.0,445578.0,0
2015-02-17,4,2014,1083421,18439033,2016614,9932518,419051,,3038429,2313717,2313717,1461218,2452684,2385910,1302489,2045693,1062280,983413,1589760,280932,2787081,339417,2035498,211252,22908521,292893,0.0,0.0,6928780,,617402,10065779,10111681,6020010,45902,1308828.0,11027645,,,17601900,35760002,2014年12月31日,4782167,,65414961,63499315,30000000,2438101,19971882,52140435,,201172,,884588.0,2712250,6417086.0,,-1865.0,1470129.0,6235740,35760002,0.0,,,43342485.0,15647004,,108757446.0,19462,,2258875,,355803,1505137,742.0,683.0,,,21424357,0.0,1030791,1205621,1915646,23370603,56617011,,32763,32763,0.0,0.0,0
2015-04-29,1,2015,2104196,18309234,2003360,9731277,60770,,2786308,1806265,1806265,791984,1392184,3531301,1427105,1676493,1470780,205713,1594513,274701,2765485,352286,1508383,215012,22183265,292893,0.0,0.0,6316318,,481135,10237792,10284081,7624913,46289,,10953806,,,17042990,35760002,2015年03月31日,4580926,1041267.0,64125788,62238923,30000000,2438101,23021416,52664175,1319812.0,196674,0.0,,2712250,,7908872.0,-176969.0,,9647371,35760002,0.0,108179271.0,44053483.0,,15648353,108179271.0,,40753,0.0,2162301,,344893,1457239,157006.0,19963.0,,,19072698,0.0,1019073,1179114,1886865,21032067,55515096,,32266,32266,0.0,0.0,0
2015-07-29,2,2015,11115330,17984981,1995025,10373383,-1288194,,2119047,1845625,1845625,1666436,-287947,12252665,1137335,1511735,1292005,219730,1581715,267265,2708625,325890,1161462,215433,20968575,608810,0.0,,6257074,,549783,8916035,8962713,6142697,46678,,11149309,,,17109124,35760002,2015年06月30日,4996563,1261005.0,62732264,60865676,70000000,2664570,33522463,52590657,1314450.0,195279,1999493.0,,2712250,,9800447.0,-161215.0,,11245759,35760002,0.0,107159150.0,44426886.0,,15629048,107159150.0,,84926,0.0,1506604,,344771,1307103,25626.0,0.0,,,8977937,0.0,1007256,1160046,1866588,10904423,54568493,,31957,31957,0.0,0.0,0
