date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融負債－非流動,按攤銷後成本衡量之金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預付貨款,預收股本,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,,,557013,5553851,,198245,3452266,-13850.0,136150,54997,0.0,,481187,594,62813,566,1,605707,48694,191472,99886.0,91586.0,60408,327120,46833,40782.0,13851.0,28986.0,4187,1744272,,,752675.0,1457562,343,0.0,0.0,2874366,13765,27881,31422.0,57320,,47840,,,48409,3097570,2013年03月31日,2480014,,8212018,8212018,0,749459,3115300,7280011,,222793,,,2040458.0,76058.0,476257,3097570,,,5363484.0,1662181,,13575502.0,,17592,,144989,80.0,97601,7629,,,1337500,115252,,2248184,6295491,43279,2497.0,160848,,0.0,0
2013-08-12,2,2013,,,529313,5518545,,198245,2990571,-16934.0,121606,54997,0.0,,1229549,135,111583,680,51030,591778,62465,302095,,,59854,318782,49784,,67964.0,28432.0,2079,1804544,,,756866.0,1176021,518,,,2661716,13282,28775,31422.0,57207,,47840,,,51265,3097570,2013年06月30日,1903430,,7801352,7801352,0,864348,3608465,7303628,,222793,,,1940086.0,39389.0,557719,3097570,,,5755103.0,1662181,,13556455.0,,13356,,293172,,92418,5946,,,1237500,116219,0.0,2146638,6252827,26089,,150700,,0.0,0
2013-11-07,3,2013,,,499799,5546599,,198245,3254391,-9052.0,124045,54997,0.0,0.0,508080,114,70079,683,119,556088,56289,316127,111638.0,204489.0,59842,234745,47052,,9171.0,28420.0,2251,1862762,0.0,,761101.0,1206215,243,0.0,0.0,2647656,9560,24324,31422.0,55705,,47840,,,54024,3097570,2013年09月30日,2167250,,8014261,8014261,0,864348,3118865,6946719,,222793,,,1207544.0,49138.0,798987,3097570,,,5130261.0,1662181,,13144522.0,,0,,663730,0.0,102953,5648,,,1087500,113991,0.0,2011396,6197803,20209,2497.0,71451,17712.0,0.0,0
2014-03-24,4,2013,,,489415,5508064,,198245,3489796,,49414,44510,,0.0,594959,1027,81263,704,75336,536383,46968,121818,,,63581,179749,48126,,,,4384,1652913,0.0,,765337.0,886627,177,0.0,0.0,2636402,9416,20521,,55693,,47840,,,61747,3097570,2013年12月31日,2402655,,8324883,8324883,0,864348,2811689,6858639,,222793,0.0,,1829536.0,67919.0,707268,3097570,,,4658647.0,1662181,,12983530.0,,17329,,445807,,130540,29043,,,887500,115225,0.0,1846958,6124891,10845,,12014,,0.0,0
2014-05-05,1,2014,,,491410,5351302,,198245,3711908,1124.0,118220,44510,,0.0,466346,1615,55896,887,135849,531547,40137,217310,96467.0,120843.0,65400,195508,42824,22621.0,134725.0,31237.0,4614,1786092,0.0,0.0,769480.0,1106073,244,,,2539968,13391,56905,34163.0,55527,,47840,,,67546,3097570,2014年03月31日,2624767,,8607508,8607508,0,864348,3098978,7476459,,222793,,1696570.0,,74224.0,893655,3097570,,,4849783.0,1662181,,13457291.0,,25274,,966028,0.0,128425,20354,,,787500,116097,0.0,1750805,5980832,25192,2571.0,31973,,,0
2014-08-12,2,2014,,,309730,5163290,,198245,3272505,,108826,44510,,0.0,1203907,169,72362,601,42897,352160,42430,348511,,,60397,248507,38839,,,,4485,1739768,0.0,0.0,773669.0,1061411,71,,,2597405,12189,63330,,53756,,47840,,,72161,3097570,2014年06月30日,2091848,,8075153,8075153,0,957864,3466235,7521405,,222793,,1843998.0,,33712.0,807303,3097570,,,5292555.0,1662181,,13367708.0,,7502,,676316,,127996,17994,,,864258,113148,0.0,1826320,5846303,58099,,92035,,,0
2014-11-06,3,2014,,,460840,5136080,,171912,3540362,885.0,111532,44510,,0.0,524651,294,75839,998,128098,506392,45552,290006,113410.0,176596.0,60357,307715,120035,,127213.0,30041.0,4477,1737565,0.0,0.0,777904.0,1202006,43,,,2856735,14314,50439,30316.0,53831,,47840,,,61830,3097570,2014年09月30日,2359705,,8428211,8428211,0,957864,2873361,7531066,,222793,,1037958.0,,42122.0,571477,3097570,,,4944719.0,1662181,,13372930.0,,26376,,1325508,,128287,18146,,,1104810,113331,0.0,2071358,5841864,30172,3850.0,69872,26322.0,,0
2015-03-23,4,2014,,,538300,5153830,,111998,3792029,800.0,20800,44510,,,606921,1139,59122,628,342796,600749,62449,163206,,,70757,308504,126556,,341996.0,30866.0,11961,1657491,,0.0,782139.0,1068131,321,,,2918461,6870,42961,39891.0,55173,,47840,,,64335,3097570,2014年12月31日,2611372,,8894576,8894576,0,957864,2791774,7806568,,222793,,1768404.0,,73576.0,425585,3097570,,,4727671.0,1662181,,13622247.0,,15352,,1149004,,138976,29489,,,944025,119352,,1935897,5815679,19621,,50635,,,0
2015-05-04,1,2015,,,1471209,4962083,,161998,4013094,138.0,130957,44510,,0.0,477576,1486,44760,828,269706,1532685,61476,85402,,,93951,319956,118319,,269568.0,57359.0,2205,1774103,0.0,,0.0,1130899,453,,,2685981,5879,55614,,56050,0.0,98120,,0.0,66855,3097570,2015年03月31日,2832437,83029.0,9042551,9042551,0,957864,3678563,8050907,36592.0,222793,,,2173064.0,,452435,3097570,13784696.0,4742145.0,,1662181,13784696.0,,0.0,0,,1065249,,125756,24217,,0.0,843875,116805,0.0,1063582,5733789,29070,,82627,,,0
2015-08-10,2,2015,790471.0,438734.0,1229205,4975188,,115520,3415679,1534376.0,132411,1623725,,0.0,1300031,228,46262,697,1795149,1273438,44233,97155,97155.0,0.0,96103,206177,27317,,260773.0,62749.0,3849,1679350,0.0,0.0,0.0,1087066,525,,,2636883,7473,53504,,55048,47840.0,50280,,,73263,3097570,2015年06月30日,2135505,44605.0,9970579,9970579,0,1057381,4100233,8206907,33354.0,222793,,,2440211.0,,392841,3097570,15331746.0,5361167.0,,1662181,15331746.0,,,1499,,1033039,,127331,25638,,,1037500,115830,0.0,1260934,7124839,32082,2638.0,59181,29444.0,,0
2015-11-09,3,2015,,,1153732,4876580,,115520,3701532,1101709.0,55839,1181945,,,520225,149,49638,684,1461341,1221693,67961,79326,79326.0,0.0,84947,182907,26084,,359632.0,54812.0,4004,1640315,806.0,,0.0,1167864,853,,,2991086,4635,31371,,54981,47840.0,50280,,,66626,3097570,2015年09月30日,2421358,30018.0,9921818,9921818,20000,1057381,3534390,8560635,30135.0,222793,,,2284836.0,,582157,3097570,15114938.0,5193120.0,,1662181,15114938.0,,,11431,,1334857,,136283,25464,,,1437500,117098,0.0,1658730,6554303,40208,2683.0,35721,37525.0,,0
