date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付退休金－非流動,預收股本,預收股款（權益項下）之約當發行股數
2013-08-01,2,2013,,155765,-141529,16914,729,8,1406,1406,321758,10779,310979,85,5525,8,85,2128,61437,0,,18191,,121,53587,9950,8290,9122,621060,2013年06月30日,-141529,614617,614617,0,36632,556531,,696,,,67792,622940,,,116717,133198,3237,129961,,,731334,32988,3695,80000,0,80085,174803,3397,1880,188000
2014-03-18,4,2013,2954,207724,-139195,18449,280,294,6097,3143,289668,13059,276609,85,5211,294,85,1878,73823,0,,24363,,0,58855,6439,12342,9107,700840,2013年12月31日,-139195,888393,888393,0,48909,788212,,849,,,308916,700840,,,126040,326454,4742,321712,,,1014433,37889,3330,77046,0,77131,226221,3333,0,0
2014-05-02,1,2014,4426,242157,-136731,16303,44,327,11662,7236,504995,19482,485513,85,5433,327,85,2083,86039,,0,30054,,15,55269,11430,8108,9099,700840,2014年03月31日,-136731,891619,891619,0,58034,764895,,740,,60666,,700840,,,133693,327183,5471,321712,,,1025312,38344,2988,75574,,75659,260417,3350,0,0
2014-08-05,2,2014,5921,272920,606,19612,45,246,12124,6203,482531,22020,460511,85,5435,246,85,2068,80475,,0,23151,,718,48973,4142,17721,9091,700840,2014年06月30日,606,892856,892856,0,55605,731298,,630,,58321,,702190,,,129769,189814,5458,184356,,,1022625,39090,3251,74079,,74164,291327,3367,1350,135000
2014-10-29,3,2014,5952,316469,-567,22798,50,328,10832,4880,436231,24712,411519,535,5860,328,535,2476,86457,0,0,29365,0,718,49730,4207,21866,9083,700840,2014年09月30日,-567,894513,894513,0,63713,694666,,1972,,57719,,703490,,,136823,191262,5135,186127,,,1031336,38406,3286,72575,0,73110,336670,3384,2650,265000
2015-03-23,4,2014,5983,334678,-19428,27783,1817,434,15605,9622,417280,19851,397429,535,5760,434,535,2746,86083,0,0,20949,,719,44856,2190,22485,9076,703490,2014年12月31日,-19428,877009,877009,0,65056,658086,,2877,,45393,,703990,,,136654,192013,5205,186808,,,1013663,37982,3186,71063,0,71598,355577,3014,500,50000
2015-05-05,1,2015,6030,338148,-32293,19795,1130,263,14540,8510,348195,26131,322064,2105,5506,263,2105,2477,86770,,0,18563,,118,43782,19,18296,9068,704640,2015年03月31日,-32293,869002,869002,0,53016,635272,3029,2689,,,48471,706160,993651,124649,,194872,3854,191018,,993651,,88609,2968,69528,,71633,358379,,1520,152000
2015-08-11,2,2015,6062,361190,-28537,22894,1118,248,18690,12628,263880,20476,243404,2105,5584,248,2105,2540,95279,,0,30437,,2,58350,5854,21363,9060,708370,2015年06月30日,-28537,857739,857739,0,72023,618568,3044,2711,,,92532,708470,999867,142128,,177558,1660,175898,,999867,,80192,2754,68000,,70105,381299,,100,10000
2015-11-06,3,2015,6093,427661,-34555,22542,123,408,11025,4932,154345,19408,134937,2105,5639,408,2105,2580,98889,0,0,24172,0,23,58160,6403,21409,9052,708470,2015年09月30日,-34555,851881,851881,0,57762,530721,3059,2523,,,104460,708470,978213,126332,,177558,1660,175898,,978213,,86932,2617,66465,0,68570,447492,,0,0
2016-03-22,4,2015,6166,446001,-63363,28695,1578,389,10696,4530,147299,14967,132332,210168,5362,389,2105,2692,93747,0,0,23952,,0,47200,5464,20408,9045,708470,2015年12月31日,-63363,829855,829855,0,63343,702538,2670,3004,208063,,292648,708470,1168240,338385,,184359,1660,175898,6801,1168240,,94194,2290,64874,0,275042,465702,,0,0
2016-05-03,1,2016,6196,459278,-74535,25229,5559,-479,11861,5665,226680,14704,211976,210732,5341,-479,2255,2659,95858,23403,0,21499,,0,45268,7856,14141,9037,708470,2016年03月31日,-74535,794412,794412,975000,58589,648540,2682,2734,208477,,150155,708470,1127047,332635,,184359,1660,175898,6801,1127047,,103023,2117,63314,,274046,478507,,0,0
2016-08-05,2,2016,6245,473196,-14380,26287,37,-1026,9199,2954,232523,20629,211894,211146,5136,-1026,2255,2442,96655,33144,0,27417,,0,67891,4121,16318,9029,708470,2016年06月30日,-14380,780916,780916,1382000,62903,622916,2694,4342,208891,,122351,708470,1116686,335770,,120996,1660,112535,6801,1116686,,83020,2067,61721,,272867,493770,,0,0
2016-11-08,3,2016,1599,500939,-15711,49394,49,-1728,15036,13437,219971,17995,201976,213062,5273,-1728,3759,2568,94617,33144,0,28251,0,0,73769,4806,26338,9022,708470,2016年09月30日,-15711,778883,778883,1382000,92681,578042,2705,4568,209303,,101743,708470,1099900,321017,,120996,1660,112535,6801,1099900,,56749,2056,15274,0,228336,521858,,0,0
