date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,42260,394055,75029,2403,-10238,,129695,305.0,75837,11269,-10238,7.0,,,388.0,2735,138313,0.0,470640,2013年03月31日,357200,,,1260562,1260562,0,36855,207847,1449563,40382,,,1243740.0,0.0,55324.0,470640,,,283684.0,406105,406105,,,1544246.0,,772,75837,94683,9471,0
2013-08-06,2,2013,40098,139328,134193,3215,-12947,,120855,305,68338,11148,-12947,4,235320,,0,2937,98198,0,470640,2013年06月30日,63582,,,1238446,1238446,0,69305,257985,1480104,32647,6441,,1317134,,52458,705960,,,326323,406105,406105,,,1564769,,772,68338,84665,8790,0
2013-11-04,3,2013,37879,194561,109371,3936,-13105,,147990,0.0,61804,11123,-13105,0.0,,,0.0,4593,195511,0.0,705960,2013年09月30日,118815,,,1293521,1293521,0,69305,261954,1537170,30335,6441.0,,1244788.0,,85593.0,705960,,,323758.0,406105,406105,,,1617279.0,,772,61804,80109,7342,0
2014-03-10,4,2013,39498,370597,126796,4324,-16607,,134228,0.0,57712,10924,-16607,0.0,,,0.0,2150,198448,4.0,705960,2013年12月31日,294851,,,1466055,1466055,0,69305,263418,1710567,22559,6441.0,,1418895.0,244.0,84401.0,705960,,,321130.0,406105,406105,,,1787185.0,,3637,57712,76618,4495,0
2014-05-12,1,2014,37660,494452,83812,594,-14233,,114155,0.0,68376,11011,-14233,0.0,,0.0,0.0,2155,164834,0.0,705960,2014年03月31日,418706,,,1592284,1592284,0,69305,209848,1802895,15335,6441.0,1543557.0,,9726.0,85144.0,705960,,,278224.0,406105,406105,,,1870508.0,,3607,68376,67613,8766,0
2014-08-08,2,2014,35708,299723,194202,3223,-28557,-14333.0,104962,0.0,60760,33886,-14224,0.0,176740.0,0.0,,1920,143677,0.0,706960,2014年06月30日,184326,,,1577171,1577171,0,98790,325241,1868346,21594,16607.0,1628674.0,,24157.0,83707.0,883700,,,386001.0,422305,406105,16200.0,,1963172.0,,3638,60760,94826,9065,0
2014-11-10,3,2014,43288,405980,151571,4750,-32852,-10033.0,110404,,68452,39327,-22819,,,0.0,,5466,215269,0.0,883700,2014年09月30日,290583,,,1679133,1679133,0,98790,301046,1943780,18763,16607.0,1595589.0,,33605.0,115844.0,883700,,,369498.0,422305,406105,16200.0,,2048631.0,,3473,68452,104851,12328,0
2015-03-09,4,2014,42417,476480,156831,3092,-47303,-19560.0,106229,,61895,42092,-27743,,,0.0,,1709,192347,0.0,884880,2014年12月31日,361083,,,1751648,1751648,0,98790,311932,1991063,49776,16607.0,1655401.0,,47163.0,117990.0,884880,,,373827.0,437591,406185,31406.0,,2125475.0,,127,61895,134412,22233,0
2015-05-04,1,2015,39739,499705,95031,2258,-42883,-11164.0,110643,,55744,43793,-31719,,,0.0,,1689,133360,0.0,884875,2015年03月31日,384308,12113.0,117336.0,1779293,1779293,0,98790,219476,1915110,55643,16607.0,,1644911.0,,,884875,2054513.0,275220.0,,437596,406185,31411.0,2054513.0,,,228,55744,139403,17245,0
2015-08-03,2,2015,41449,144146,258960,511,-42833,-5530.0,94352,,52188,40198,-37303,,221570.0,0.0,,1572,133030,0.0,884870,2015年06月30日,-17531,19941.0,83075.0,1645148,1645148,0,133934,374825,1931809,57681,27743.0,,1694728.0,,,1106440,2072161.0,427013.0,,437395,406205,31190.0,2072161.0,,,1024,52188,140352,20465,0
