date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,股東往來,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
1927-03-29,4,2015,0.0,144422,144422,849561,4856,-727680,210010,20021,,6571,154423,8131,118302,42851,0.0,732174,54407,,0.0,9168,696135,696135.0,,0.0,0.0,490125,22110.0,128367,,331040,128204.0,1680,,,1536233,2015年12月31日,-727680.0,,1089831,1087211,0,2105364,1516095,42431.0,377119,,220713.0,,1100329,1536233,420,,3512415.0,2422584.0,,272087,,,,,3512415.0,,,0.0,,32610,,274369,492614,2620,317220,1996320,,175985,1870,0.0,0
2013-05-15,1,2013,27997,282646,310643,1212059,6837,-477520,60425,98956,,8178,352084,32124,76593,50547,,700389,109880,8178,380,5334,857863,,0,,,1022582,,143506,,965885,,4121,46867,6149,1190098,2013年03月31日,-477520,,1080555,1077978,0,2825949,2084877,,495719,,81459,6157,1237790,1190098,3300,,,,3466269,357222,58225,44148,246030,8819,,4546824,3405,,4066,40794,585707,585707,507668,2577,640320,2461947,0,77507,9317,,0
2013-08-12,2,2013,28523.0,115733,144256,1198117,6854,-476673,60194,138364,,2688,181412,33456,83896,50076,0.0,671348,105253,2688.0,380.0,5332,871931,,0.0,,,889748,76421.0,177598,1627.0,826561,29293.0,15350,46796.0,6241.0,1190098,2013年06月30日,-476673.0,,1075993,1073335,0,2690904,2068043,,487149,,102648.0,1180.0,1299062,1190098,2900,,,,3407097.0,357222,58225.0,44148.0,246030.0,8819.0,,4483090.0,3662.0,,2397.0,45338,663720.0,663720,497519,2658,716193,2415047,0.0,63244,3700,,0
2013-11-11,3,2013,30529.0,120334,150863,1163099,6841,-529293,77091,131554,,-11717,190426,35894,185682,47176,,573213,9862,,380.0,5362,855594,,,,,834962,106777.0,231206,,895145,27071.0,2669,46796.0,4986.0,1190098,2013年09月30日,,,1008723,1006310,0,2740589,2187350,,458839,,89635.0,49.0,1295934,1190098,0,,,,3425606.0,357222,58225.0,44148.0,246030.0,8819.0,,4434329.0,4144.0,0.0,2359.0,40001,635482.0,635482,487444,2413,685017,2246979,0.0,70545,3669,,0
2014-03-31,4,2013,30821.0,128283,159104,878667,8343,-868143,124574,24170,,-11573,453055,35645,141434,48349,,593090,33015,-11573.0,380.0,5362,675467,675467.0,,252514.0,,303576,148001.0,96690,20086.0,796683,40996.0,5044,47969.0,0.0,1190098,2013年12月31日,-868143.0,,731383,728604,0,2792463,2070181,,442436,,133873.0,0.0,1041147,1251098,0,601787.0,,,3312201.0,357222,58225.0,44148.0,246030.0,8819.0,,4043584.0,3547.0,,0.0,50867,,471389,481434,2779,519738,1973403,,73279,258306,61000.0,11090909
2014-05-12,1,2014,31120.0,149989,181109,885102,8328,-621486,122708,82716,51612.0,-43203,217678,26073,138347,49265,845.0,593983,28822,-43203.0,380.0,5362,567602,,0.0,8319.0,0.0,696037,75327.0,94773,1729.0,716934,7057.0,2896,48040.0,0.0,1301008,2014年03月31日,-621486.0,,946367,943631,0,2260560,1710663,,435257,135180.0,,0.0,1048690,1301008,0,0.0,,,2751690.0,307312,58225.0,44148.0,196120.0,8819.0,,3698057.0,3618.0,,0.0,64724,441865.0,441865,486808,2736,491130,1987394,0.0,72991,10496,0.0,0
2014-08-13,2,2014,31423.0,124189,155612,879533,8279,-650166,113988,49284,,-56765,180716,24582,170064,76238,,591705,35142,-56765.0,200.0,7362,551214,,0.0,8319.0,0.0,582854,80883.0,128240,2538.0,610126,163548.0,6481,47969.0,0.0,1301008,2014年06月30日,-650166.0,,904075,901389,0,2169999,1643516,,419081,84480.0,,0.0,1079850,1301008,28069,0.0,,,2696735.0,307312,58225.0,44148.0,196120.0,8819.0,,3600810.0,930.0,,0.0,58696,450498.0,450498,473158,2686,526736,1957294,,76043,522,0.0,0
2014-11-12,3,2014,31725.0,145007,176732,881593,8345,-694205,105335,43782,,-43343,207335,28138,140490,68899,,587311,30782,,200.0,7362,577351,,,8319.0,0.0,469851,102310.0,129467,,481096,130124.0,1943,47898.0,0.0,1301008,2014年09月30日,,,873520,870772,0,2017820,1452266,,415671,68071.0,,0.0,1003522,1301008,20801,0.0,,,2528434.0,307312,58225.0,44148.0,196120.0,8819.0,,3401954.0,0.0,1090.0,0.0,56768,441715.0,441715,473699,2748,510614,1949688,,75468,2465,0.0,0
2015-03-27,4,2014,32027.0,137701,169728,889677,8436,-798755,179127,41132,,-11191,199419,21937,141344,63160,998.0,627756,57605,,200.0,2361,652358,652358.0,,8319.0,0.0,517951,105116.0,108374,0.0,339581,127636.0,2193,44145.0,,1301008,2014年12月31日,-798755.0,,881213,878374,0,2128564,1492117,,414047,177131.0,,,1018577,1381008,17817,0.0,,,2595212.0,307312,,,,,,3476425.0,0.0,2423.0,,44392,,403488,489121,2839,466648,1984308,,78669,7754,80000.0,10204082
2015-05-13,1,2015,32337.0,137000,169337,868061,8411,-774862,88863,24997,0.0,-19559,192786,22925,130780,100536,975.0,621743,56634,-19559.0,200.0,5498,682714,,0.0,2088.0,0.0,476288,126097.0,127379,0.0,385551,94504.0,2553,,,1403049,2015年03月31日,-774862.0,0.0,896688,893899,0,2047146,1494252,44074.0,399310,,169410.0,,1035733,1403049,55287,0.0,3427912.0,2531224.0,,285271,,,,,3427912.0,,0.0,1655.0,,36135,383542.0,383542,480407,2789,484078,1933660,,79204,524,0.0,0
