date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付員工紅利,應付帳款合計,應付票據合計,應付股利,應付董監事酬勞,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付款,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,0.0,223309,136267,0.0,22138,,2900,-3818,11034,11034.0,15363,,,53810,2049,286,2049.0,209015,,0.0,,,43921,21198,,,80636,2249,53524.0,19994,620725,2013年03月31日,,836480,833918,0,162802,703076,,33271,,318889.0,4511.0,60000,620725,,,230887.0,80744,,1067367.0,74024,14275,85668,0.0,0.0,,,2562,68085,364291,,0
2013-08-08,2,2013,0.0,218497,135229,0.0,27412,,1221,-3139,7231,7231.0,52697,17197.0,35500.0,51962,2056,282,,191803,,,,,38500,32013,,,87979,1637,51680.0,19915,620725,2013年06月30日,,835846,833559,0,168416,712533,,31823,,304529.0,3260.0,60000,620725,,,234652.0,80744,,1070498.0,72667,14274,85674,0.0,0.0,,,2287,66236,357965,,0
2013-11-06,3,2013,0.0,212959,133008,0.0,43903,,917,-4938,9537,9537.0,49667,14510.0,35157.0,31189,2051,282,,219799,,,,,44238,27942,,,66119,1578,257.0,19837,620725,2013年09月30日,,831813,829539,0,186141,711957,,30952,,301202.0,521.0,60000,620725,,,231604.0,80744,,1063417.0,72675,14274,85661,,0.0,,30650.0,2274,45463,351460,,0
2014-03-24,4,2013,0.0,209152,121348,0.0,63463,,2528,-3925,8117,8117.0,51940,16547.0,35393.0,20100,2060,167,2060.0,185179,,,,,19422,21089,,,70236,1150,6003.0,19758,620725,2013年12月31日,,821158,818892,0,172865,683065,,30170,,298671.0,774.0,60000,620725,,,207776.0,80744,,1028934.0,73361,14811,84729,,0.0,,13930.0,2266,34911,345869,,0
2014-05-13,1,2014,,209289,118229,,45961,,2067,-1169,7660,,60604,14467.0,46137.0,20363,2075,167,2075.0,214345,,,0.0,,38143,26419,,,54726,920,6266.0,19680,620725,2014年03月31日,,820770,818529,0,178183,689388,,28946,283186.0,,0.0,60000,620725,,,213357.0,80744,,1034127.0,73540,14811,84749,,,,13930.0,2241,35174,344739,,0
2014-08-13,2,2014,,213671,97576,,51641,,7047,-3744,7987,,71892,11431.0,60461.0,20363,2118,167,2118.0,174584,,,0.0,,33084,21878,,,68067,690,6266.0,19601,620725,2014年06月30日,,797427,795301,0,174590,656521,,30549,259987.0,,0.0,60000,620725,,,209764.0,80744,,1007191.0,74254,14811,84731,,,,13930.0,2126,35174,350670,,0
2014-11-06,3,2014,,216012,101539,,37881,,5261,-2102,9180,,85016,23143.0,61873.0,20339,1731,167,1731.0,179719,,,0.0,,48644,39743,,,64396,460,6266.0,19523,620725,2014年09月30日,,802929,800906,0,195448,681834,,29679,273127.0,,0.0,60000,620725,,,230598.0,80744,,1033527.0,73855,14811,84748,,,,13906.0,2023,35150,351693,,0
2015-03-19,4,2014,,215902,108066,,43849,,1552,2591,8878,,82092,18864.0,63228.0,22992,2254,167,2254.0,184670,,,0.0,,39485,30182,,,103034,366,8919.0,19444,620725,2014年12月31日,,814035,812126,0,182394,679200,,29256,233274.0,,0.0,60000,620725,,,220249.0,80744,,1034284.0,74212,14863,88228,,,,13906.0,1909,37855,355084,,0
2015-05-13,1,2015,,219083,113447,,30387,,3298,681,8277,,75730,13616.0,62114.0,22966,1708,167,,180850,,,0.0,,35712,24140,,,117015,3,,19366,620725,2015年03月31日,1086.0,817416,815597,0,159602,655907,8893.0,30566,,204288.0,,60000,620725,1014847.0,197431.0,,80744,1014847.0,,74723,14863,88217,,,,13906.0,1819,37829,358940,,0
2015-08-12,2,2015,,220788,123642,,47899,,1716,-976,8283,,75530,14079.0,61451.0,9059,1832,167,1832.0,178085,,,0.0,,44301,28810,,,99028,0,,19287,620725,2015年06月30日,3190.0,825853,824135,0,192483,680566,8892.0,31581,,253440.0,,60000,620725,1042258.0,216405.0,,80744,1042258.0,,72767,14863,88204,,,,0.0,1718,23922,361692,,0
2015-11-11,3,2015,,301946,147758,,63930,,983,7820,9682,,83812,19192.0,64620.0,9059,1320,167,1320.0,141435,141435.0,,0.0,,27439,26694,,,98642,88,,22701,620725,2015年09月30日,7598.0,858663,857047,0,195343,690720,8892.0,31076,,293574.0,,60000,620725,1136028.0,277365.0,,80744,1136028.0,,72186,14863,88265,,58100.0,,0.0,1616,82022,445308,,0
2016-03-17,4,2015,,300463,122973,,71482,,818,7004,16667,,56178,8038.0,48140.0,4043,1557,422,1557.0,119698,,,0.0,,25934,19877,,,81207,859,,19130,620725,2015年12月31日,,832168,831446,0,193960,665401,3621.0,32118,,328872.0,,60000,620725,1102892.0,270724.0,,80744,1102892.0,,72272,14621,84223,,58100.0,0.0,0.0,722,76764,437491,5497.0,0
2016-05-11,1,2016,,301601,132141,,52030,,660,4617,15715,,68677,8183.0,60494.0,4043,1545,422,1545.0,140639,,,0.0,,52279,26720,,,99745,160,,19052,620725,2016年03月31日,1940.0,838830,838227,0,208684,686339,3621.0,31537,,297802.0,,60000,620725,1124278.0,285448.0,,80744,1124278.0,,73049,14621,84204,,58100.0,,0.0,603,76764,437939,5607.0,0
2016-08-10,2,2016,,302018,126693,,70192,56885.0,269,4905,15577,,60160,4576.0,55584.0,4028,1663,407,1663.0,176141,,,0.0,2664.0,59356,37948,9311.0,1332.0,80568,153,,18973,620725,2016年06月30日,2760.0,833561,833067,0,245833,716808,3621.0,32474,,320480.0,,60000,620725,1156143.0,322582.0,,80744,1156143.0,,74070,14621,84207,,58100.0,,,494,76749,439335,4967.0,0
2016-11-10,3,2016,468.0,297533,126147,,61780,,635,1028,15784,15316.0,60747,5655.0,55092.0,3788,2082,167,,136480,,,0.0,,38072,28742,,,129735,0,,18896,620725,2016年09月30日,3187.0,828941,828644,0,207565,678630,3621.0,31227,,271512.0,,60000,620725,1112547.0,283606.0,,80744,1112547.0,,74647,14621,84179,,57632.0,,,297,76041,433917,4874.0,0
