date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之長期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預付費用,其他預收款,土地淨額,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付土地房屋款,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人,應付票據－關係人合計,應收帳款淨額,應收票據淨額,房屋及建築淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,約當現金,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備淨額,長期借款合計,長期應收分期帳款,長期應收票據及款項淨額,電腦通訊設備淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,2414.0,2414.0,24562,23820,15430,1202278,-5,543,,,80424,,80424.0,0,91.0,-5,245692,22155.0,185463,35713.0,149750.0,55151,200582,155579,0.0,0.0,9.0,790.0,,,,100428,10432497,,0.0,,,761788,0.0,,238992,,4620,,,8327,,,47317,20010,,231813,0.0,2064387,2013年03月31日,1012055,,,3727003,3727003,0,190053,4343710,11085007,131,170,,398287.0,25660.0,3739995,,2064387,,,15430,,7793909.0,460343,27031.0,422433.0,10879.0,,11520912.0,18200,,,2454199,,,,0.0,3450199,435905,799,,221123.0,0
2013-08-12,2,2013,,,24550,19231,15092,1630720,-51,497,,2859.0,338511,,,0,124.0,-51,147681,,6732,,,245000,200582,345428,0.0,0.0,,,,,200582.0,100428,9544403,,0.0,,,756940,,,194118,,0,,,76761,,9240.0,37304,956,,231551,0.0,2064387,2013年06月30日,1408774,,,4162109,4162109,0,221776,3045728,10023563,89,170,,432792.0,59012.0,2220405,,2067246,,,15092,,6482303.0,464194,27031.0,426379.0,10784.0,,10644412.0,10374,,,2453587,,,,0.0,3436575,620849,755,,,0
2013-11-12,3,2013,,,24528,19231,14588,1896081,-37,511,,214.0,317490,1070.0,,4,171.0,-37,214471,,174924,4324.0,170600.0,245000,200582,345611,0.0,0.0,,,,,200582.0,100611,9677272,,0.0,,,737701,,,172319,,0,,,45729,,20790.0,9670,13028,,231288,0.0,2076331,2013年09月30日,1674135,,,4448927,4448927,0,221776,2040864,10265167,72,170,,388901.0,70590.0,1198405,,2076545,,,14588,,6436970.0,476338,27031.0,438825.0,10482.0,,10885897.0,6303,,,3436932,,,,0.0,4396106,620730,686,,,0
2014-03-26,4,2013,,,24410,19231,14110,1938322,-69,479,,,91303,,,369,,-69,481379,,174446,3796.0,170650.0,245000,200582,348769,3470.0,3470.0,,,,,200582.0,100299,10120659,,0.0,,,693524,,,147483,,8190,,,64508,,13860.0,16120,4300,,231026,0.0,2097162,2013年12月31日,1716376,,,4537975,4537975,0,221776,2156069,10612207,56,170,,290874.0,72541.0,1276805,,2097162,,,14110,,6697724.0,502560,27031.0,465705.0,9824.0,,11235699.0,6411,,,3627028,,,,0.0,4541655,623492,4960,,,0
2014-05-07,1,2014,,,27624,19231,13868,2064366,-113,435,,,101224,15.0,101224.0,8,0.0,-113,626786,626786.0,175471,3731.0,171740.0,245000,200582,345204,0.0,0.0,,,,,200582.0,100204,10588421,,0.0,,0.0,666175,,,101435,,0,,,64167,,10752.0,80,2340,,230763,,2110321,2014年03月31日,1842420,,,4694021,4694021,0,221776,2575097,10965546,39,170,191788.0,,113979.0,1556739,,2110321,,,13868,,6894386.0,519447,,,,,11588407.0,7258,,,3431406,,,,0.0,4319289,622861,7003,,,0
2014-08-12,2,2014,,,27495,19231,13802,1305344,-82,466,,,1097979,,1097979.0,0,0.0,-82,743342,743342.0,214774,8099.0,206675.0,245000,200582,345204,0.0,0.0,,,,,200582.0,100204,11221393,,,,0.0,600010,,,204489,,28665,,,58561,,0.0,670,26328,,230501,,2140711,2014年06月30日,953178,,,4004829,4004829,0,351996,3783347,11934693,22,170,443885.0,,43749.0,1606562,,2140711,,,13802,,8552317.0,558856,,,,,12557146.0,7646,,,3946930,,,,0.0,4768970,622453,27177,,,0
2014-11-11,3,2014,,952155.0,27269,24231,14174,1353024,7883,466,7965.0,,51492,0.0,,0,0.0,7883,1514374,6968.0,304399,4278.0,300121.0,245000,200582,345299,0.0,0.0,,,20.0,,200582.0,100299,11774621,,,,0.0,0,,,337108,,28770,,,56292,,0.0,0,4600,,230238,,2140711,2014年09月30日,1000858,,,4060474,4060474,0,351996,4477115,12396534,120,170,271811.0,,6214.0,2482865,,2140711,,,14174,,8971182.0,558856,,,,,13031656.0,0,9250.0,,4279311,,,,0.0,4494067,635122,31387,555231.0,555251.0,0
2015-03-24,4,2014,,1272973.0,27051,24231,14881,1497141,7819,514,7853.0,,27418,730.0,27418.0,65,0.0,7819,1939270,2577.0,667401,320.0,667081.0,0,200582,100299,0.0,0.0,,,11.0,,200582.0,100299,12104762,,,,0.0,0,,,525274,,39598,,,32438,,0.0,11905,15889,,229975,,2140711,2014年12月31日,1144975,,,4204527,4204527,0,351996,4931524,13066098,105,170,217824.0,,12283.0,2354513,,2140711,,,14881,,9251085.0,558856,27031.0,523389.0,8436.0,,13455612.0,0,2166.0,,4104098,,,,,4319561,389514,45572,663709.0,663720.0,0
2015-05-06,1,2015,,921321.0,26966,24231,15858,1534902,6364,477,6435.0,,31485,1310.0,,432,,6364,1780472,6395.0,703701,119.0,703582.0,0,200582,100299,,0.0,,,2464.0,,200582.0,100299,12787016,,,,0.0,0,,,1038910,,39598,,,51113,,0.0,476,14062,,229713,,2230484,2015年03月31日,1182736,12488.0,,4423309,4423309,0,351996,5172542,13862774,95,170,,289144.0,,2217166,,2230484,14250513.0,,15858,9827204.0,,651559,,,,14250513.0,,0,851.0,,4438222,,,,0.0,4654662,387739,66615,850292.0,852756.0,0
2015-08-11,2,2015,,716478.0,26744,24231,15530,1390808,5474,30442,5580.0,,503439,694.0,,11,,5474,1406987,3416.0,509924,1387.0,508537.0,0,200582,102259,0.0,0.0,,,985.0,,200582.0,102259,12837775,,,,0.0,0,,,1143229,,40258,,,42875,,0.0,1070,10710,,229451,,2252733,2015年06月30日,997131,6694.0,,4323752,4323752,0,393507,5149292,13848641,1012,170,,379827.0,,2005116,,2252733,14237918.0,,15530,9914166.0,,674737,,,,14237918.0,,0,0.0,,4548762,,,,0.0,4764874,389277,78882,686108.0,687093.0,0
