date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,0.0,0.0,2037758,4998,547491,121171,311967,44692,-98249,27901,27901,4114486,53934.0,4060552,9837,11,35243,14434.0,14434,,1285041,1285041,32638,,,2749125,,1523816,934206,9826.0,2725397,2013年03月31日,,,3563294,3563294,4304000,7414891,9710047,,,60511,,1788415.0,17761.0,,4302544,2725397,,,5593,,8429547.0,421293,,11992841.0,0,19391,21359,23113,983460,20809,0,1014656,2282794,,0
2013-08-12,2,2013,0.0,0.0,2023136,4998,454194,125976,492973,114841,-69089,39098,39098,3227972,58597.0,3169375,9240,11,37605,16556.0,16556,,985456,985456,32638,,,2270078,,1394095,684466,9229.0,2725397,2013年06月30日,,,3499157,3499157,4304000,5685467,7928881,,,60744,,1511184.0,14827.0,,2862709,2725397,,,5063,,6705296.0,421293,,10204453.0,719,10867,21359,23113,989230,21049,0,1019829,2275572,,0
2013-11-11,3,2013,0.0,0.0,1998297,4998,442632,113276,356048,42994,-97958,47167,47167,2666879,42882.0,2623997,9240,11,28997,8325.0,8325,,928149,928149,32638,,,1905316,,1038708,1044563,9229.0,2725397,2013年09月30日,,,3458726,3458726,4304000,5200147,7436540,,,59302,,1710730.0,7444.0,,2876617,2725397,,,4791,,6205797.0,421293,,9664523.0,2764,4517,21359,23113,975051,20672,0,1005650,2227983,,0
2014-03-21,4,2013,0.0,0.0,1969026,4998,477790,123916,342356,90338,-60344,30139,30139,3338430,67836.0,3270594,11,11,31947,11006.0,11006,,968555,968555,32638,,,1778932,,901437,412483,0.0,2725397,2013年12月31日,,,3531498,3531498,4304000,5159292,7496512,,,55019,,1773585.0,9601.0,,2993646,2725397,,,4618,,6156753.0,421293,,9688251.0,0,11684,14650,6833,982800,20941,0,997461,2191739,,0
2014-05-13,1,2014,0.0,0.0,1948817,4998,393516,148631,250879,87456,-41828,35952,35952,3314811,,3314811,11,11,31449,,10739,,816466,816466,32638,,0.0,1394350,,745367,306421,0.0,2725397,2014年03月31日,,,3465740,3465740,4304000,4798613,7082602,,,53326,1731368.0,,9601.0,,3087561,2725397,,,5926,,5818002.0,421293,,9283742.0,14344,22973,14650,13919,1004728,20710,0,1019389,2201140,57740.0,0
2014-08-08,2,2014,0.0,0.0,1921460,4998,194598,135930,368527,85885,-78375,34205,34205,4745210,53677.0,4691533,11,11,30848,10634.0,10634,,715748,715748,32638,,0.0,1221192,,702531,476068,0.0,2725397,2014年06月30日,,,3230275,3230275,4304000,6075944,8155244,,,50346,1417388.0,,2717.0,,4430845,2725397,,,5229,,7075384.0,421293,,10305659.0,13229,12414,14650,6833,984779,20214,0,999440,2150415,,0
2014-11-07,3,2014,0.0,0.0,1898982,4998,179946,127095,266139,99514,-51128,46046,46046,4273781,55905.0,4217876,1050,1050,78525,57895.0,57895,,650631,650631,32638,,0.0,1072946,,564919,596270,0.0,2725397,2014年09月30日,,,3242870,3242870,4304000,5030200,7128269,,,47148,920816.0,,2717.0,,3630142,2725397,,,4754,,6048980.0,421293,,9291850.0,7456,22338,14650,6833,1003080,20630,0,1018780,2163581,,0
2015-03-20,4,2014,0.0,0.0,2156694,4998,131471,130246,286517,82171,-8280,46807,46807,2064640,41865.0,2022775,63,63,39790,18699.0,18699,,683078,683078,32638,,0.0,1179060,,599514,511240,0.0,2725397,2014年12月31日,,,3237243,3237243,4304000,4224670,6132493,,,42878,2148354.0,,0.0,6886.0,2699816,2725397,,,4262,,5283459.0,421293,,8520702.0,8208,36610,15088,13603,1043638,21091,0,1058789,2388209,,0
2015-05-12,1,2015,,,2118978,0,52962,118342,246707,39209,-32677,64275,64275,2888759,,2888759,62,62,39065,,18310,,744268,744268,32638,,0.0,1151549,9572.0,718315,518802,,2725397,2015年03月31日,0.0,7501.0,3134337,3134337,4304000,4857870,6705938,0.0,,43528,,1719603.0,,,3376938,2725397,,9039454.0,3624,5905117.0,,421293,9039454.0,,5205,26911,15088,13603,1032097,20755,0,1047247,2333516,42570.0,0
2015-08-11,2,2015,0.0,0.0,2087200,0,22521,90332,232526,68470,-79020,57657,57657,2269851,43908.0,2225943,71,71,33584,13257.0,13257,,601646,601646,32638,,,1076536,8481.0,713479,247490,,2725397,2015年06月30日,0.0,8538.0,3057553,3057553,4304000,3618492,5438695,0.0,,45378,,1519797.0,,,2238313,2725397,,7708792.0,3507,4651239.0,,421293,7708792.0,,1472,9424,15088,13603,1017588,20327,0,1032747,2270097,,0
