date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,119430.0,2768631,162898,3967185,982909,45435,982909,56783,57320,8556,219351,99921,69929,111879,104727,2769,7152,388357,,,,,,,1292887,19004.0,91723,1445851,408650,3901.0,67160.0,,64890,1845643,2013年03月31日,2984500,,,6599076,6528888,0,982685,2716271,7586283,,20147,,,0.0,,5036442.0,60156.0,,0.0,1845643,,916,,4162260.0,707504,,10761336.0,3890,,371060,46608,1005000,70188,1445989,3175053,188979,0
2013-08-09,2,2013,120388.0,2805942,166335,3439244,1629669,31522,1629669,76866,45563,82616,222979,102591,70664,122014,114969,2822,7045,375437,375437.0,0.0,,31414.0,,,1354944,13601.0,56354,1540859,325610,3409.0,67842.0,,64625,1845643,2013年06月30日,2233135,,,6223037,6152734,0,1068394,3690792,7990675,,16898,,,137715.0,,5424519.0,255615.0,16653.0,120388.0,1877057,,1573,,4995511.0,753817,,11218548.0,4147,,229055,52059,1005000,70303,1304719,3227873,181759,0
2013-11-11,3,2013,0.0,2759955,166093,3482233,866632,16739,866632,47359,40859,28700,97903,97903,71023,135392,128309,2793,7083,344184,,,,,,,1078704,9158.0,58533,1289298,315146,5260.0,68230.0,,66446,1877057,2013年09月30日,2276124,,,6210803,6141807,0,1068394,2333416,7074883,,13252,,,137715.0,,4814794.0,82875.0,18046.0,118680.0,1877057,,4190,,4060319.0,753817,,10271122.0,2,2356.0,215880,55101,1440000,68996,1726903,3196239,197581,0
2014-03-26,4,2013,0.0,2762100,167918,3480251,834510,9905,834510,64861,41462,78601,77901,77901,91464,143112,136607,2830,6505,355676,,0.0,,,,,906133,4397.0,39831,1044188,294884,255.0,88634.0,,65688,1877057,2013年12月31日,2274142,,,6258892,6189726,0,1068394,2051740,6886628,,10640,,,137715.0,,4904288.0,57240.0,13651.0,119112.0,1877057,,1891,,3839976.0,753817,,10098868.0,820,285.0,256772,62782,1440000,69166,1788236,3212240,167078,0
2014-05-12,1,2014,0.0,2822736,168369,3434202,720953,11424,720953,39036,13778,96165,109931,109931,87016,135065,128545,2831,6520,359502,,0.0,,,,0.0,716504,1845.0,24746,943863,193581,4679.0,84185.0,,64985,1877057,2014年03月31日,2228093,,,6227587,6161241,0,1068394,1627824,6342234,,16644,,,137715.0,4576164.0,,37006.0,15261.0,0.0,1877057,,2516,,3414512.0,753817,,9642099.0,2899,263.0,259672,92066,1440000,66346,1786688,3299865,196107,0
2014-08-11,2,2014,0.0,2729179,170643,3157150,874005,5931,874005,42158,2480,13828,97468,97468,87607,137856,131473,2776,6383,290868,,,,16781.0,,0.0,642033,1390.0,19781,1090414,152582,2965.0,84831.0,,66604,1877057,2014年06月30日,2061982,,,5890896,5827502,0,1095168,1719699,6136582,,14525,,,0.0,4312163.0,,76424.0,54085.0,0.0,1893838,,2667,,3497275.0,762686,,9388171.0,0,329.0,249969,132782,1440000,63394,1777576,3251589,188538,0
2014-11-10,3,2014,,1779654,172596,1895740,776444,8900,776444,54583,1545,105821,104330,104330,86495,121777,115289,950,6488,242386,,,,,,0.0,720993,1928.0,14941,979886,119146,3612.0,85545.0,,65693,1893838,2014年09月30日,800572,,,4719405,4658085,0,1095168,1724624,5874675,,11732,,,0.0,4248913.0,,92489.0,55979.0,0.0,1893838,,3630,,3430294.0,762686,,8149699.0,969,0.0,179175,123572,1440000,61320,1705670,2275024,168625,0
2015-03-24,4,2014,,1220634,124341,1896700,649575,9789,649575,49245,24006,185365,126302,126302,78048,106082,99445,977,6637,240650,,,129505.0,,,0.0,785080,3685.0,21562,762696,157630,6082.0,77071.0,537030.0,68409,1893838,2014年12月31日,801532,,,4792918,4738589,0,1095168,1642438,5982635,,10138,,,0.0,4487472.0,,38071.0,11146.0,0.0,1893838,,7205,,3321412.0,762686,,8114330.0,1169,0.0,160926,65061,1440000,54329,1678974,2131695,114203,0
2015-05-12,1,2015,,1242997,124164,1937736,571493,8972,571493,43075,24464,140117,79050,79050,59963,47872,40787,886,7085,255224,,,0.0,,0.0,0.0,629295,2338.0,13412,607064,170798,0.0,,524538.0,67715,1893838,2015年03月31日,842568,24081.0,19616.0,4783366,4734377,0,1095168,1333341,5699255,59077.0,9674,,,0.0,,4478595.0,,,0.0,1893838,7771737.0,4017,2988371.0,,762686,7771737.0,,683,0.0,155067,55522,1440000,48989,1655030,2072482,100419,0
2015-07-30,2,2015,,1178761,125204,1996301,763116,8189,763116,27060,21036,105756,93089,93089,60722,46325,39919,982,6406,294079,,144346.0,0.0,0.0,,0.0,585789,0.0,19309,638680,116742,122.0,,511156.0,67143,1893838,2015年06月30日,901133,19456.0,14407.0,4426602,4386974,6013000,1095168,1493752,5589734,59740.0,7351,,,0.0,,4349457.0,,,0.0,1893838,7582561.0,4041,3155959.0,,535425,7582561.0,,763,0.0,161485,56887,1440000,39628,1662207,1992827,128151,0
2015-11-11,3,2015,,1150797,127499,2062710,514659,8313,514659,28212,22127,196221,154939,154939,60288,82246,75700,1010,6546,274119,,234654,0,,,,651617,0,14416,635016,121018,3380,,518683,72221,1893838,2015年09月30日,967542,36797,14603,4482120,4453540,10000000,1095168,1386944,5536307,59278,6182,,,0,,4278663,,,0,1893838,7566896,3940,3084776,,535425,7566896,,2263,0,197544,72961,1440000,28580,1697832,2030589,159169,0
2016-03-24,4,2015,,1109209,106465,2051140,594526,12662,594526,53613,22154,145709,139074,139074,64410,107048,100358,990,6690,183727,,234654.0,0.0,,,,600103,0.0,12276,614434,40947,0.0,,499950.0,71595,1893838,2015年12月31日,955972,37844.0,0.0,4400781,4391458,10000000,1095168,1399290,5467860,63420.0,4773,433949.0,99.0,0.0,,4031435.0,,,0.0,1893838,7409055.0,2805,3008274.0,,535425,7409055.0,,0,216.0,104574,42056,1440000,9323,1608984,1941195,87385,0
2016-05-11,1,2016,,1112179,106788,1984557,479378,14722,479378,32360,22729,134043,151753,151753,66804,89078,82427,980,6651,153028,,234654.0,,,,,437761,0.0,11558,421381,22426,,,485908.0,71324,1893838,2016年03月31日,889389,29298.0,512.0,4310961,4313209,10000000,1095168,1129444,5111230,65824.0,4404,792518.0,97.0,,,3581714.0,,,,1893838,7041463.0,4974,2730502.0,,535425,7041463.0,,0,716.0,94254,60455,1440000,-2248,1601058,1930233,83846,0
2016-08-10,2,2016,,1054604,38654,1880401,513414,12557,513414,40400,21948,61394,104734,104734,67484,84291,77808,954,6483,134906,,234654.0,,,,,360505,,4505,382938,27746,0.0,,464910.0,77296,1893838,2016年06月30日,770635,21065.0,554.0,4135671,4136404,10000000,1109766,1019980,4959836,66530.0,3217,795969.0,96.0,,,3488652.0,,,,1893838,6747761.0,3200,2612090.0,,535425,6747761.0,,0,322.0,84626,64857,1440000,-733,1592110,1787925,66401,0
2016-11-10,3,2016,480000,1002159,38359,1859430,356338,11375,356338,33624,21936,-38639,540544,60544,67600,39796,33511,924,6285,131294,,234654,,,,,417030,,6931,396888,18219,0,,442684,80712,1893838,2016年09月30日,749664,18250,1318,4016715,4015400,10000000,1109766,1353365,4774525,66676,2889,811492,94,,,3280223,,,,1893838,6462412,2289,2445697,,535425,6462412,,608,0,64732,81194,960000,1315,1092332,1687887,79531,0
