date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預收款,員工福利負債準備－非流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,工程進度請款金額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款－關係人,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款－關係人,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收房地款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,200000.0,,200000,42973,,5748,1738668,,898028,60381,,,-24216,1344599,35094,387287,,,44042,9572,564406,,307666,,,-24216,,256740,20474932,,0.0,,,800000,457442,52086,,588995,163438,,6169,,,23450,,34470.0,10177,5609200,2013年03月31日,1005616,,,7961151,7325520,0,720614,12176158,22484289,,218602,12438.0,,,1230925.0,16630.0,1324.0,8588811,5609200,,5748,,,15453662.0,1868,,,,23414813.0,3261,94366,2430201,,,635631,3277504,930524,,360202,1109505,1109505,,0
2013-08-09,2,2013,443194.0,,443194,43176,,6929,1549029,,870447,103855,,,27329,2013896,43244,590542,,,70431,35842,2059925,,307338,299500.0,,27329,,1752587,21663040,,0.0,560800.0,,600000,287781,68386,,617119,187101,,17504,,,18890,,34589.0,10237,5609200,2013年06月30日,708931,,,8995507,7761098,0,776805,12386009,23908357,,219839,63293.0,,,683885.0,0.0,204.0,8230495,6170000,,6929,,,17341075.0,14740,141.0,14599.0,,26336582.0,2518,95048,4282117,,,1234409,4955066,2428225,,934292,1227958,1527458,,0
2013-11-08,3,2013,310700.0,,310700,44602,,6086,2039820,,931968,75517,,,5192,2131046,74319,613410,,,103184,68554,2068601,,307338,,,5192,,1734695,22607094,30476.0,0.0,,,600000,315923,59569,,776661,180155,,25700,18000.0,,11890,,34630.0,10204,6170000,2013年09月30日,1199723,,,9425281,8229491,0,776804,12699557,24811429,,216613,63293.0,,,873335.0,5558.0,1717.0,8186598,6170000,,6086,,,17822443.0,14479,141.0,14338.0,,27247724.0,4345,96275,4415357,,,1195790,5122886,2436295,26568.0,660283,1450859,1746027,295168.0,0
2014-03-25,4,2013,297889.0,,297889,46045,,12497,3681777,,725192,2285925,,97.0,48124,1183494,67046,824522,228136.0,596386.0,68941,34042,879659,307439.0,307439,,,48124,,572220,24129612,39048.0,0.0,,,400000,1106428,154961,,776843,267933,,926404,820.0,,82438,,34899.0,10171,6170000,2013年12月31日,2841680,,,11658465,9917272,0,776804,14552988,28427337,,218334,63293.0,,,1835075.0,47103.0,1238.0,7953564,6170000,,12497,,,18034688.0,17371,141.0,17230.0,,29693153.0,4233,111607,3008526,,,1741193,3481700,1265816,,627131,818559,818559,,0
2014-05-06,1,2014,582273.0,,582273,49618,,13610,3645515,0.0,945540,2648448,,15.0,46157,2213822,60625,1776679,242603.0,1534076.0,99199,64188,582595,307439.0,307439,,,46157,,275156,24864032,,0.0,,0.0,400000,804337,64693,26602.0,739909,217436,,168741,24020.0,0.0,25008,,35011.0,10138,6170000,2014年03月31日,2805418,,,11578789,9878112,0,776804,15038586,29472606,,223210,63293.0,,1294354.0,,47103.0,1282.0,7317086,6170000,,13610,,,18861855.0,16440,141.0,16299.0,,30440644.0,808,102477,3323262,,,1700677,3823269,968038,,1318475,1570924,1570924,,0
2014-08-08,2,2014,542515.0,,542515,51189,,13549,2323633,0.0,976667,3894680,,737910.0,-13107,2414981,62670,2025627,291285.0,1734342.0,73630,38741,568484,307688.0,307688,0.0,,-13107,,260796,25113791,,0.0,1851000.0,0.0,200000,990897,68088,13683.0,743242,235987,,3849,1480.0,,34400,,34889.0,10106,6170000,2014年06月30日,1298472,,,12140394,10349207,0,1025161,17722636,33094835,,218767,0.0,,3602990.0,,53049.0,2012.0,8317813,8021000,,13549,,,21939117.0,17681,141.0,17540.0,,34079511.0,9639,136130,3933212,,,1791187,4216481,984676,,1572776,1809796,1809796,,0
2014-11-06,3,2014,511419.0,200000.0,711419,53291,,12591,2716403,,849890,4680624,48536.0,1750758.0,-158474,2791655,56109,4946403,272005.0,4674398.0,101938,66988,559299,307789.0,307789,,,-158474,,251510,28814980,,0.0,,0.0,200000,1198571,46648,12716.0,710303,150554,,786,14480.0,,48089,,34950.0,10073,8021000,2014年09月30日,1691242,,,12624648,10596610,0,1025161,21467208,38012737,,222855,0.0,,1539071.0,,59541.0,2553.0,10954115,8021000,,12591,,,26365706.0,17681,141.0,17540.0,,38990354.0,7686,132099,4588874,,,2028038,4898498,977617,0.0,847081,2024127,2024127,0.0,0
2015-03-27,4,2014,1016099.0,,1016099,245560,,12732,2897808,,907061,5216728,,2804985.0,169711,3164875,51755,5257499,252081.0,5005418.0,129176,91643,540935,308216.0,308216,,,169711,,232719,30644941,,0.0,,0.0,1680000,1886614,122802,0.0,663585,175674,,2536,21783.0,,18767,,37533.0,10041,8021000,2014年12月31日,1872647,,,12913439,11108271,0,1025161,23804346,41980450,,231875,0.0,,2082427.0,,48079.0,216.0,11606196,8021000,,12732,,,30233017.0,19752,141.0,19611.0,,43146456.0,28513,137595,4590982,,,1805168,6428671,1166006,,1147296,2097021,2097021,,0
2015-05-12,1,2015,611558,,611558,243753,,12902,2799284,0,1057386,3908728,,2366503,138140,4497788,41015,5263045,456117,4806928,142686,8989,546486,308216,308216,9070,,138140,96196,238270,31484086,,0,,0,1680000,1780973,90799,0,663690,316076,,1040,21783,,12030,,,10008,8021000,2015年03月31日,1774123,48960,221,14965523,10978176,0,1025161,23505554,44997371,37501,229303,0,,,2316350,,,11128252,8021000,46179714,12902,,31214191,,19752,141,19611,46179714,,21998,152793,5863953,,,3987347,7708637,1182343,,3532313,2211414,3845215,1624731,0
2015-08-11,2,2015,,,117360,255540,750.0,13053,1837467,0.0,1025184,4201860,,2420645.0,57052,2746618,34934,5390571,453848.0,4936723.0,127090,8989,514845,308436.0,308436,16262.0,37592.0,57052,118101.0,206409,32257488,,0.0,802100.0,0.0,1680000,1869236,61128,0.0,976857,274472,,4074,22148.0,,39700,,,9975,8021000,2015年06月30日,702800,18111.0,957.0,14067726,10737371,0,1134667,22474880,43359665,,266942,,,,2187561.0,,,11288361,8823100,44571567.0,13053,37592.0,30503841.0,,19752,141.0,19611.0,44571567.0,,22720,163850,6161559,,,3330355,8028961,1211902,,1036521,2578062,2594324,,0
