date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,累計減損－以成本衡量之金融資產－非流動,累計減損－採用權益法之投資,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,,1231480,,,2291485,555527,95127,7513,-65040,,,,40026,,28779,63072,7557,29867,-65040,4580424,4580424,0,,,2938627,2708268,930815,55515,193025,193025,1407097,2013年03月31日,,5438700,5135532,0,5382368,9397651,,58005,,933576,,140025,1572529,,0,1407339,,123771,,5532778,1501748,,10971478,11863,35645,1338,61450,,,86000,303168,150410,1573827,77504,242,24200
2013-08-08,2,2013,,,1222623,,,2369854,940426,201871,0.0,-59535,,,,127167,,49895,63215,7651,26014,-59535,3501412,3501412,0.0,0.0,,2253940,4370960,764.0,55564.0,201983.0,201983,1408419,2013年06月30日,,5554882,5222062,0,4833403,9273946,,52886,,1009463.0,,159059.0,1233222.0,,0.0,1408419,,110774,,5289641.0,1503324,,10844523.0,8815,8915,7023,67071,,,386000.0,332820,456238,1570577,130666,0.0,0
2013-11-12,3,2013,,,1270721,,,2469522,675027,77871,0.0,-158105,,-91867.0,-91867.0,113071,,53149,61617,6906,25572,-66238,3125448,3125448,0.0,0.0,,1988988,3408351,5403.0,54711.0,239001.0,239001,1436419,2013年09月30日,,5663610,5325755,0,3628505,8140472,,47927,,1315424.0,,139070.0,592486.0,,0.0,1436494,,101142,,4131923.0,1577844,,9795533.0,18721,7050,9801,71840,,,432000.0,337855,503418,1655061,147776,75.0,7500
2014-03-26,4,2013,132000.0,132000.0,1301817,,,2582936,798778,103724,0.0,-135716,,-76045.0,-76045.0,257481,125481.0,50600,71903,6230,43855,-59671,3219277,3219277,0.0,,,2623972,3963622,0.0,65673.0,260520.0,260520,1636494,2013年12月31日,,6493132,6141085,0,4113545,9150926,,59163,,1693975.0,,146422.0,152510.0,,0.0,1637910,,123988,,4396389.0,2055955,,10889521.0,10394,311,10941,73240,,,200000.0,352047,282844,1738595,119417,1416.0,141600
2014-05-07,1,2014,132000.0,132000.0,1317316,,,2757173,762872,128203,0.0,-112969,,-63424.0,-63424.0,169605,37605.0,40020,71767,6417,32563,-49545,3602687,3602687,0.0,,0.0,2348418,3598687,0.0,65350.0,293608.0,293608,1639052,2014年03月31日,,6734830,6341624,0,4289918,9533511,,59266,2025197.0,,,194425.0,644930.0,,0.0,1639052,,152456,,4579582.0,2058368,,11314412.0,17212,2314,17897,78148,,,200000.0,393206,289664,1780901,136403,,0
2014-08-14,2,2014,332000.0,332000.0,1380505,,,2605856,1200746,208965,,-110521,,-50803.0,,375466,43466.0,29102,71282,6251,31683,-59718,2796158,2796158,0.0,,0.0,2023104,3339824,0.0,65031.0,293672.0,293672,1639052,2014年06月30日,,6538626,6143583,0,3986878,8767945,,59687,2231749.0,,,176263.0,40909.0,,0.0,1639052,,165993,,4076078.0,2009196,,10614704.0,4397,14743,17918,81212,,,0.0,395043,89200,1846759,147404,,0
2014-11-13,3,2014,332000,332000,1466609,1000,1000,2767485,775091,196237,,-90600,,-38162,-38162,446495,114495,24084,71039,6331,42301,-52438,3253966,3253966,0,,0,2883644,3178186,0,64708,323771,323771,1641656,2014年09月30日,,6746611,6331165,0,4520345,9359915,,82216,2528710,,,158094,57960,0,0,1641656,,185451,,4611299,2012624,,11357910,13610,48144,19915,82098,,,0,415446,90954,1997995,130588,,0
2015-02-16,4,2014,200000.0,200000.0,1631569,63860.0,63860.0,2981423,923822,176310,,-36952,,-25511.0,-25511.0,295756,95756.0,48535,69451,6572,44642,-11441,3186866,3186866,0.0,,0.0,3098478,4168762,,62879.0,356486.0,356486,1641828,2014年12月31日,,7021487,6599313,0,5177974,10047655,,88707,2209866.0,,,135206.0,475650.0,0.0,0.0,1641828,,209752,,5260812.0,2013014,,12282299.0,39310,41456,13387,49380,,,0.0,422174,82838,2234644,215860,,0
2015-05-08,1,2015,0.0,0.0,1726053,63860.0,63860.0,3010620,769752,174271,,-51936,,-20233.0,-20233.0,67721,67721.0,29823,69011,6467,47894,-31703,3893461,3893461,0.0,,0.0,3391812,3815934,,,369217.0,369217,1891828,2015年03月31日,140765.0,7900080,7504026,0,4590202,10218545,62544.0,92977,,2026998.0,,,0.0,0.0,0.0,1891828,12571406.0,215419,4671326.0,,2653514,12571406.0,,4733,71622,12113,52860,,,0.0,396054,81124,2352861,206436,,0
2015-08-06,2,2015,0,0,1757168,63860,63860,2648235,1225621,214005,,-65977,,-14956,,142485,142485,34143,68703,6479,46586,-40930,3122743,3122743,0,,0,2949429,4367286,,,343254,343254,1891828,2015年06月30日,95979,7472475,7127600,0,4669417,9862382,62224,94831,,1895179,-10091,,0,0,0,1891828,12226173,221281,4753698,,2653514,12226173,,16499,21446,15578,58092,18123,11307,,344875,84281,2363791,196273,,0
