date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之子公司,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動,備供出售金融資產－流動淨額,備抵呆帳－其他應收款項,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,備抵銷售退回及折讓,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他短期負債準備,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原料,國外營運機構財務報表換算之兌換差額合計,在製品,在途原物料,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,房屋及建築成本,房屋及建築淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金總額,短期借款合計,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,股本合計,製成品,負債準備－流動合計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總額,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅資產,銀行借款,銀行存款,銷貨退回及折讓之短期負債準備,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,1324447,15000,15000,4336038,18175,472,17703,105592,105592,,783,74468,0,2106494,2106494,258742,258742,-221448,71004,71004,117437,117437,47327,47327,42057,3068951,784726,48142,48142,158303,158303,158303,2370026,-239623,247261,79647,2959956,2959956,2980,111112,3761587,3761587,474,474,,3292067,3291284,704,704,766140,539721,772,772,6077270,2013年03月31日,2246024,10585389,10585389,3144000,1871632,6082507,15346929,47327,218382,8613214,0,83015,2246024,2284225,226419,6077270,337490,142948,6458254,504641,129808,20792,354041,354041,17043643,327605,327605,150865,0,8527219,100891,0,375747,1696714,0
2013-08-07,2,2013,1233803,6588,6588,3424154,982,-1716,2698,86054,86054,59.0,767,115341,0,2582065,1856557,54045,54104,-217974,61118,61118,159280,159280,50213,50213,43256,2770719,696310,47419,47419,138546,138546,138546,1707587,-218956,64350,55238,2168785,2168785,2246,111112,4125722,4125722,1890,1890,725508.0,3206961,3206194,8914,8914,777080,537493,1304,1304,6077270,2013年06月30日,1139964,9704580,9704580,3144000,1988540,6917481,15417655,50213,295650,9734383,0,58000,1139964,2074409,239587,6077270,456951,146686,7294692,532242,157409,20792,354041,354041,16999272,329792,329792,151163,0,9674137,103430,0,377211,1581617,0
2013-11-08,3,2013,1185593,6588,6588,3691012,-5238,-2354,-2884,78986,78986,81.0,2028,67730,0,2267189,2267189,165761,165842,-265972,75222,75222,144080,144080,43177,43177,39207,3145308,662152,46736,46736,348369,348369,348369,4336498,-260734,363934,394459,5319432,5319432,2337,111112,11293663,11293663,274,274,,9300958,9298930,9689,9689,770284,523441,1445,1445,6077345,2013年09月30日,1406822,9782501,9782501,3144000,1988540,14791854,23205143,43177,295650,8188265,1034950,391013,1406822,2483156,246843,6077345,292271,120556,15159457,391228,16109,20792,354327,354327,24941958,320867,320867,151643,1034950,7794915,81349,0,367603,1736815,0
