date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,持有供交易之金融資產－流動,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,2974059,61134.0,61134.0,1506075,,84792,84792,230994,243042,4900,58319,,118658,535689,,19638,,167760,120638,,205775.0,,,3707218,3707218,0.0,,,,760348,5383,1433132,,,107192,5086,,134059,134059,4299329,2013年03月31日,689828,,,6308740,6113611,0,565072,1975907,6066627,94200,251175,,400263.0,39901.0,0.0,366000,4299329,,20644,,3451831.0,189549,,9760571.0,,205775.0,165331,73774,1142833,195129,1475924,3693944,50298,,0
2013-08-09,2,2013,,2962559,8559.0,8559.0,1443605,,57122,57122,233247,470429,9720,129685,,119981,573056,,7697,,167734,191365,,303078.0,,,3590370,3590370,0.0,0.0,,,533769,5760,1225243,,,140429,5051,,131692,131692,4299329,2013年06月30日,586546,,,6237108,6052464,0,605884,1922401,5961033,94697,251175,,491339.0,60683.0,580.0,246000,4299329,,22984,,3422960.0,189549,,9660068.0,,303078.0,162051,71865,1170774,184644,1500559,3699035,15490,,0
2013-11-08,3,2013,,2988934,8559.0,8559.0,1497597,,74474,74474,231736,276180,11250,99316,,117822,447102,,8269,,165839,230784,,0.0,,,3804269,3804269,,,,,603439,7486,762506,1100.0,1100.0,98008,5016,,124634,124634,4299329,2013年09月30日,640538,,,6386746,6105924,0,605884,2229986,5871151,94627,251175,,971736.0,43100.0,581.0,816000,4299329,,25429,,3238806.0,191176,,9625552.0,,0.0,163569,70111,679412,280822,1008820,3754401,50892,,0
2014-03-27,4,2013,,2964383,8559.0,8559.0,1566051,,99679,99679,259236,355734,11440,117035,74.0,143232,397009,,2516,,152715,320620,,0.0,,,4000893,4000893,,,,,718593,5777,879840,,1109.0,93910,4982,,124936,124936,4299329,2013年12月31日,708992,,,6486116,6199860,0,605884,2527157,6069785,94181,251175,,844304.0,48182.0,3408.0,968833,4299329,,21589,,3453645.0,191248,,9939761.0,,0.0,185649,93079,588124,286256,926488,3869976,27017,,0
2014-05-13,1,2014,,2907202,8559.0,8559.0,1663916,,87500,87500,258672,274289,21245,123901,75.0,147104,447709,,5824,,149224,433046,,,,,3772500,3772500,0.0,,0.0,636168.0,570455,5707,1293860,,1134.0,168997,4949,609579.0,128260,128260,4299329,2014年03月31日,806857,,,6693826,6356199,0,605884,2754393,6982647,94310,251175,877890.0,,70928.0,3399.0,1337000,4299329,,22230,,4214864.0,245850,,10908690.0,4830.0,609579.0,186496,91045,488583,337627,1460471,3926043,37988,,0
2014-08-13,2,2014,,2875563,,7059.0,1452166,,11642,11642,256773,650875,20857,72647,3073.0,140427,408066,,5411,,146590,528378,,,,,3800957,3800957,,,0.0,639268.0,768743,6718,1078144,,370.0,195719,4916,,123296,123296,4299329,2014年06月30日,565429,,,6470844,6137774,0,635562,2897550,6763105,93890,251175,932738.0,,39868.0,3399.0,973000,4299329,,24313,,4276114.0,245852,,10746958.0,5110.0,646334.0,185574,93978,407132,333070,1378564,3983853,12671,,0
2014-11-12,3,2014,,2835682,,2559.0,1472892,,47945,47945,260423,337582,20468,97927,3294.0,146906,374819,,7139,,143801,619776,,,,,4056900,4056900,,,0.0,642384.0,646033,17177,1130274,,377.0,129079,4882,,213689,213689,4299329,2014年09月30日,586155,,,6494831,6164977,0,635562,2939653,6612815,93527,251175,529375.0,,17981.0,3399.0,1494000,4299329,,25783,,4253121.0,245850,,10747952.0,5810.0,546757.0,196903,104599,330380,329854,1313468,4135137,60349,,0
2015-03-23,4,2014,,2845834,0.0,0.0,1509290,,49257,49257,243176,427798,19580,63377,3695.0,142148,350301,,1643,,123395,850428,,,,,3559553,3559553,,,0.0,645515.0,394466,7654,976400,,393.0,93631,4849,,214017,214017,4299329,2014年12月31日,622553,,,6528230,6196614,0,635562,2441118,5843647,93527,251175,1057969.0,,25602.0,3428.0,1182000,4299329,,25387,,3649816.0,245847,,10178046.0,8330.0,,171346,82568,268442,331616,1208698,4334399,34301,,0
2015-05-15,1,2015,,2801421,0.0,0.0,1579219,,13250,13250,242013,313790,19192,47957,2677.0,137594,454644,,5308,,121616,1006949,,,,,2835719,2835719,0.0,,0.0,648661.0,419753,6191,906020,,0.0,273696,4816,280390.0,209124,209124,4299329,2015年03月31日,692482,41728.0,3420.0,6604283,6261989,0,635562,2116969,5446278,93146,251175,,1033681.0,,,830000,4299329,9888754.0,25091,3284471.0,,245847,9888754.0,,6580.0,280390.0,173091,85007,224134,342294,1167502,4442476,44160,,0
2015-08-12,2,2015,,2752095,,0.0,1542286,,15505,15505,425112,640836,18902,50009,2755.0,131610,344954,,3427,,117127,1062357,,,,,2705274,2705274,,,0.0,651822.0,387113,7013,938291,,22466.0,227379,4783,,202855,202855,4299329,2015年06月30日,636875,58798.0,618.0,6570731,6219072,0,654236,2067065,5145793,92934,251175,,934459.0,,,580000,4299329,9757541.0,25529,3186810.0,,245847,9757541.0,,3920.0,220450.0,165250,71612,185546,351659,1119745,4611748,25160,,0
