date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,2005394,29783784,98177,6154568,102831,262703,,-23858,4297551,2292157,1698193,1354351,343842.0,220571,2950698,349354,1513519,167888,-126689,8320818,1040139,7280679,0.0,0.0,,5672531,755689,,8460033,873635,2601344.0,1167251,845555,10733682,2013年03月31日,4342438,22607740,18032067,0,1812130,21399156,24201272,,0.0,,4848593.0,10673385,10733682,,,35583645.0,1167675,,58191385.0,678718,319124,10555073,1125060,4575673,14184489,33990113,0.0,0.0,0
2013-08-13,2,2013,1980989,29711245,98177,5830183,94451,254084,701377.0,25387,3952528,1971539,1388549,1023577,364972.0,242343,3052597,414751,1534386,197129,-69064,7607438,1187084,6420354,0.0,0.0,,4721596,559789,701377.0,8108607,846747,2637846.0,1141854,830810,10733682,2013年06月30日,3474903,22312844,17756927,0,1924706,19676620,21896418,,430574.0,,3945077.0,9741330,10733682,,,33461557.0,1167675,,55774401.0,704854,307427,10027486,1094914,4555917,13784937,33877983,0.0,0.0,0
2013-11-12,3,2013,2049963,29793302,98177,6072161,97254,256421,,61178,4358875,2308912,1331715,1102949,228766.0,227218,3051301,417232,1565621,157248,-36076,7666102,1325754,6340348,0.0,0.0,,4926344,682196,,8024980,831329,2634069.0,1131487,857465,10733682,2013年09月30日,3716881,22472748,18034696,0,1924706,20683979,22656342,,430574.0,,4802216.0,10716564,10733682,,,34211015.0,1167675,,56683763.0,712734,324948,9763001,1181155,4438052,13527036,34027421,0.0,0.0,0
2014-03-20,4,2013,1988705,30326451,98177,6458212,119782,265574,,236310,4785592,2796887,1339057,1339057,,187335,2939664,392716,1482722,128226,116528,7212101,1556771,5655330,0.0,0.0,,5573292,867472,,9847644,928861,2546948.0,1124829,877605,10733682,2013年12月31日,4102932,23180942,18595879,0,1924706,21723084,22940021,,430574.0,,3612358.0,10496728,10733682,,,34237687.0,1167675,,57418629.0,814239,303250,8760700,1167161,4585063,12514603,34478608,0.0,0.0,0
2014-05-12,1,2014,2068070,30328305,98177,6247067,129503,275886,,252044,4363393,2295323,1376381,1376381,,207752,2904659,380810,1504901,139657,122541,7559308,1568255,5991053,0.0,,0.0,5807495,804000,,8236587,934145,2523849.0,1118172,894409,10733682,2014年03月31日,3891787,22730550,18400468,0,1924706,22194400,22905458,,430574.0,4799037.0,,11219512,10733682,,,34698008.0,1167675,,57428558.0,815471,303250,8783478,1157492,4330082,12503608,34523100,,,0
2014-08-12,2,2014,5801267,30130091,98177,5919624,118099,269017,706918.0,-15988,8112067,2310800,1339552,1339552,,453621,2897686,379107,1716750,132458,-134087,6645830,1260342,5385488,,,0.0,4675023,683367,706918.0,6992058,1018901,2518579.0,1104817,872113,10733682,2014年06月30日,3874719,21818145,17804993,0,2044905,25094726,21482108,,0.0,5485767.0,,10917351,10733682,,,34158173.0,1167675,,55976318.0,758815,303245,5406946,1130671,4013152,9063447,34494210,,,0
2014-11-12,3,2014,5737194,30537169,98177,6239946,118465,265524,,66306,8005589,2268395,1148991,1148991,,234379,2869540,372353,1523930,139842,-52159,7237211,1325756,5911455,,,0.0,5552428,707452,,7416975,1151946,2497187.0,1098994,902142,10733682,2014年09月30日,4195041,22160714,18207609,0,2044905,23749267,20235009,,0.0,3279886.0,,9483798,10733682,,,32803482.0,1167675,,54964196.0,781566,303251,5403109,1149709,3953105,9054215,34729187,,,0
2015-03-19,4,2014,1357618,31106840,98177,6509810,112380,261734,,316589,4340100,2982482,1343961,1343961,,228238,2937281,380396,1530243,119597,204209,7404498,1488845,5915653,0.0,,0.0,5802658,696318,,8689445,1120716,2556885.0,1093738,911950,10733682,2014年12月31日,4464905,22857518,18727756,0,2044905,21509986,22179994,,0.0,3621374.0,,10670910,10733682,,,34592894.0,1167675,,57450412.0,936902,267736,9208725,1182408,4129762,13082908,35270418,,,0
2015-05-12,1,2015,1368119,31608468,58877,7193707,129076,393949,,296133,4070335,2702216,1246162,1246162,,240836,2940332,364353,1506723,98254,167057,7457941,1524568,5933373,,,0.0,5119379,667295,,8572542,966502,,1090699,941406,11082745,2015年03月31日,5148802,23485323,19843234,0,2044905,21455196,22117028,2575979.0,0.0,,3873881.0,11598187,11082745,57986416.0,34501093.0,,1270649,57986416.0,,989378,269266,9116187,1167633,3642089,13045897,35869388,,,0
2015-08-11,2,2015,1134648,31392795,58877,6982200,140634,407986,456318.0,-17897,3734555,2599907,1503098,1503098,,213744,2998737,429929,1509975,96855,-158531,7139970,1552012,5587958,,,,5190517,659793,456318.0,7863229,901713,,1084554,922068,11082745,2015年06月30日,4862054,22844594,19361070,0,2120146,20800973,21120847,2568808.0,,,3712837.0,10759790,11082745,56766364.0,33921770.0,,1314022,56766364.0,,884985,269262,9237075,1199376,3483524,13120797,35645517,,,0
2015-11-11,3,2015,1159877,32065497,58877,7223290,114130,377460,,473181,3402838,2242961,1202350,1202350,,177277,2992688,432146,1515996,91774,359051,7441086,1450209,5990877,,,0.0,5549426,663015,,7787494,925149,,1077906,932045,11082745,2015年09月30日,5103144,23699130,20093238,0,2120146,20349277,21198788,2560542.0,,,3842709.0,10733998,11082745,57495841.0,33796711.0,,1314022,57495841.0,,993004,269272,9461742,1246945,3605892,13447434,36297053,,,0
2016-03-17,4,2015,448425,32341867,58877,7149838,113693,391362,,172221,3305787,2857362,1580553,1580553,,198334,3121555,426351,1460965,91839,58528,7199013,1635869,5563144,,,0.0,5569929,653948,,7970475,882838,,1071258,936526,11082745,2015年12月31日,5029692,23100154,19718826,0,2120146,18120993,22442714,2695204.0,,,4809835.0,8591329,11082745,58970698.0,35870544.0,,1314022,58970698.0,,984493,267129,13643503,1170792,3381328,17749551,36527984,,,0
2016-05-10,1,2016,379086,32212633,58877,7349739,136971,414640,,97543,2411859,2032773,1540619,1540619,,186477,3055393,411675,1427482,91114,-39428,6782600,1647552,5135048,,,,4731800,523848,,7155738,813689,,1065894,948986,11082745,2016年03月31日,5229593,23117265,19844049,0,2120146,16676423,21373157,2643718.0,,,5080511.0,9008916,11082745,57768797.0,34651532.0,,1314022,57768797.0,,964299,267128,13955417,1149891,3273216,17975109,36395640,,,0
2016-08-10,2,2016,299133,31894577,58877,7139205,136442,414276,737069.0,-72378,2439000,2139867,1626242,1626242,,186144,3011522,414966,1389090,86575,-208820,6632265,1740833,4891432,,,,4441814,542969,737069.0,7063445,890877,,1063149,931856,11082745,2016年06月30日,4901965,22623816,19463594,0,2237240,17041543,21209998,2596556.0,,,4997169.0,8880691,11082745,57228945.0,34605129.0,,1314022,57228945.0,,929604,267122,13622460,1116371,3160222,17563586,36018947,,,0
2016-11-10,3,2016,3118483,31057987,58877,7525258,136536,417474,,-355750,5470410,2351927,1853141,1853141,,174318,2910312,350565,1265006,78446,-492286,6428952,1820409,4608543,,,0.0,4936115,605244,,7092504,1447823,,1112889,954875,11082745,2016年09月30日,5288018,22511003,19566275,0,2237240,18316256,21034847,2559747.0,,,4212427.0,7304487,11082745,56169070.0,33658067.0,,1314022,56169070.0,,826605,267115,11604894,1012242,2944728,15341811,35134223,,,0
