date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,待分配股票股利,待註銷股本股數,應付帳款合計,應付股利,應付薪資,應收帳款淨額,應收帳款－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,長期借款合計,非流動負債合計,非流動資產合計,預付退休金－非流動,預收股本,預收股款（權益項下）之約當發行股數
2013-08-09,2,2013,,425178,186766,0,51198,4064,51198,113200,16352,239510,,24738,24738,31383,,24272,16352,227538,227538,119280,,284992,,,360588,145336,134952,441720,2013年06月30日,49937,,807273,807273,0,136829,1073458,1318912,,447512,,493694,561000,,,1103152,43155,42439,716,716,,1910425,,29694,0,29694,591513,7111,,0
2014-03-07,4,2013,,417687,375498,0,118290,28452,0,35916,7427,167879,,21270,21270,31567,,21740,,211114,211114,,,296821,,118290,491610,160140,125917,561000,2013年12月31日,238669,,987080,987080,0,136829,1149620,1589270,,669220,60043,478135,561000,,,1177361,43155,,,,,2164441,,27741,0,27741,575171,9827,,0
2014-08-07,2,2014,,439724,329406,,270202,14564,,50802,16330,185462,,58121,58121,25628,,13113,,325959,325959,0,0,399241,157080,113122,511596,143349,137119,617100,2014年06月30日,168756,,1005991,1005991,0,160650,1298991,1727661,637834,,38231,391291,617100,,,1324141,43155,,,,,2330132,,25150,,25150,602471,12515,,0
2015-03-25,4,2014,,475800,656511,,236816,33095,,21881,19232,291511,,31324,31324,35666,,20094,,421527,421527,,0,386440,,236816,649807,116851,149312,617100,2014年12月31日,495861,,1335998,1335998,0,160650,1178999,1898074,656684,,84095,147042,617100,,,1222854,43155,,,,,2558852,,43855,,43855,660778,15572,,0
2015-08-07,2,2015,,551051,438404,,588546,21826,,18734,-8869,294957,,40676,,33900,,,,494272,,61710,0,393071,382602,205944,558162,97558,130479,617100,2015年06月30日,,68338,1151500,1151500,0,,1497212,2035379,,825977,,130474,678810,2750809,1599309,,43155,,,,2750809,,,52097,50000,102097,715430,,,0
2015-11-11,3,2015,,581378,626522,,193081,33389,,10494,-3018,328220,,37205,,33547,,,,440229,,,0,397191,,193081,752342,78437,130855,678810,2015年09月30日,,77873,1345469,1345469,0,,1362953,2080083,,761376,,333199,678810,2825863,1480394,,43155,,,,2825863,,,67441,50000,117441,745780,,,0
2016-03-15,4,2015,,591271,713984,,215866,31228,,11482,-6361,342037,,35679,,52175,,,,344208,,,0,268982,,215866,520228,113331,134359,678810,2015年12月31日,,69089,1556581,1556581,0,,1076768,1979841,,954913,,149566,797874,2757646,1201065,,51084,,,,2757646,,,74297,50000,124297,777805,,119064,1353000
2016-05-10,1,2016,50000,574547,757706,,157200,13669,,7937,5431,287772,237772,36495,,42226,42226,42226,,315136,,,0,251342,,157200,428776,109355,141477,770000,2016年03月31日,,75775,2291422,2291422,0,,934679,2545338,,1637633,,148921,770000,3303588,1012166,,758285,,,,3303588,,10006,77487,0,77487,758250,,0,0
2016-08-04,2,2016,50000,539393,401775,,593840,2539,,5061,-4398,261289,211289,38392,,40878,40878,40878,,316421,,0,0,295595,423500,170340,384430,165176,134350,770000,2016年06月30日,,57694,1925662,1925662,0,,1373248,2664949,,1740955,,162291,770000,3379570,1453908,,758285,,,,3379570,,14514,80660,0,80660,714621,,0,0
2016-11-07,3,2016,50000,507031,429600,,138998,850,,5366,-35648,294226,244226,67394,,40842,40842,40842,,314550,,,0,326474,,138998,423647,143717,125559,770000,2016年09月30日,,62350,1922237,1922237,0,,983736,2316286,,1347088,,160838,770000,2989718,1067481,,758285,,,,2989718,,14524,83745,0,83745,673432,,0,0
