date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,1063520,10865906,31800,-578004,177112,530540,,253686,20873,51778,1081611,7760,256580,55099,8532.0,3619375,1762945.0,46567,1856430.0,1284790,506982,1198488,0,125.0,1449446,0.0,0.0,443804,3388517,2013年03月31日,-1255068,,11719124,11719124,0,677064.0,4901092,7793260,15085,0.0,2674087,3805.0,630.0,2086523,3402069,,1825,,11852037.0,8843281,,23571161.0,,9818,7122,,1211.0,801931,,6376010,6950945,15777901,1668934,10331,13552.0,1355224
2013-08-05,2,2013,849000,10528412,31800,-384066,165615,474382,,210291,20033,41461,903292,7789,251051,2259,240.0,3255484,1457795.0,2019,1797689.0,1050298,510657,1810412,0,125.0,2354831,29203.0,0.0,433991,3402069,2013年06月30日,-384066,,11823673,11823673,0,0.0,4694914,8125172,18002,0.0,2612265,0.0,747.0,1506703,3402069,,1825,,11341450.0,8764209,,23165123.0,,7392,6658,,1132.0,772262,,6123271,6646536,15039951,1424180,46503,,0
2013-11-11,3,2013,849000,10302680,31800,-836662,145158,461215,,178063,20033,20377,871383,7517,817441,3800,1840.0,1707546,,1960,,1435622,963730,1639923,196583,0.0,2709752,9.0,0.0,405001,3902069,2013年09月30日,-836662,,12550647,12550647,0,0.0,4180018,9070631,15246,0.0,2538167,0.0,787.0,1007373,3902069,,1825,,9695332.0,9464863,,22245979.0,3541.0,8729,0,,0.0,713075,,4537230,5515314,13175348,1225599,14866,,0
2014-03-21,4,2013,1038000,9895253,31800,-593294,146854,551739,,5205,178454,-21757,1056645,7028,744578,2197,0.0,1571190,1571190.0,2197,,1259476,715064,1826225,175117,0.0,2992293,0.0,0.0,362974,3922069,2013年12月31日,-593294,,13059487,13059487,0,0.0,4179280,9817047,11887,0.0,2881447,0.0,995.0,569554,4029179,,1825,,9292010.0,9645359,,22351497.0,,2690,0,,,661346,,4390954,5112730,12534450,1607745,11617,107110.0,10710947
2015-08-12,2,2015,1507420,8585922,31800,-628022,152152,457181,,11658,29000,19370,1536497,8938,606070,2243,0,843599,843599,2243,,1168733,622763,2063623,92508,0,3148111,7159,,591785,4075304,2015年06月30日,-628022,1932,12120423,12120423,0,,5381306,9878482,8260,,3042815,,,1226791,4075304,20620259,1825,8499836,,8653771,20620259,,4706,6162,0,,537,680411,,2485000,3118530,10741777,1710852,20139,0,0
2015-11-09,3,2015,1356910,8167108,31800,-489423,120542,1105578,,160682,174449,-7103,1599436,20371,517175,11639,0,907212,907212,11639,,1201015,2810,2524931,71566,229,4344491,0,,587484,4495168,2015年09月30日,-489423,1417,12946424,12946424,0,,6837227,11719468,6947,,3561178,,,1528932,4495168,22096496,1825,9150072,,8947782,22096496,,6555,34,0,,537,676477,2296000,2296000,2312845,10377028,1638519,222155,0,0
2016-03-24,4,2015,2073850,7980557,31800,-99497,109761,553282,11926.0,8950,30742,-1848,2094759,10271,448520,11939,,840953,840953.0,11939,,1694393,2826,2405017,50419,,2379887,0.0,,636504,4495168,2015年12月31日,-99497,1277.0,13341386,13341386,0,,5711454,11060786,6914,,4612593,,,596051,4495168,21229324.0,1825,7887938.0,,8947563,21229324.0,,,0,847,10.0,144.0,671800,,2159750,2176484,10168538,1773816,10638,,0
2016-05-03,1,2016,1190800,7744409,31800,422304,129004,402332,200.0,329517,42042,-34369,1217531,14581,108504,11629,,846611,846611.0,11629,,1773453,0,1926004,49146,,2941835,,,679207,4495168,2016年03月31日,422304,1277.0,13836521,13836521,0,,4645355,10519266,5575,,3295203,,,1042846,4499481,20456224.0,1825,6619703.0,,8949105,20456224.0,,7296.0,0,0,0.0,144.0,629356,,1960750,1974348,9936958,1898431,12150,4313.0,215726
2016-08-10,2,2016,1465175,7458255,31800,515660,143013,729185,9080.0,10582,40662,43373,1523354,11745,107390,11387,,1146697,1146697.0,11387,,1943732,0,1954271,130457,,3018189,0.0,,696212,4496782,2016年06月30日,515660,1398.0,14007619,14007619,0,,5110891,10588476,7650,,3543183,,,764544,4496782,20535116.0,1825,6527497.0,,8951804,20535116.0,,0.0,0,471,0.0,144.0,606026,,1403250,1416606,9946640,1779856,46434,,0
2016-11-14,3,2016,244850,6962159,31800,-2046055,139851,757581,0.0,62611,29038,-14281,308074,10942,103050,10838,,1152934,1152934.0,10838,,1203100,0,1217949,5821,,1418998,,,626166,4496752,2016年09月30日,-2046055,1423.0,11388250,11388250,0,,3331586,8344535,6542,,4630207,,,1042161,4496752,17781513.0,1825,6393263.0,,8951834,17781513.0,,0.0,0,0,0.0,144.0,657377,,3048870,3061677,9436978,756257,52282,,0
