date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,62000,5204454,3006,1534971,3530,2452,,540120,17570,90785,92358,16079,97837,35837,162431,1381170,4765,149731,28165,1875599,,0.0,,,506991,244915,539810,348,969772,114320.0,185291,1376405.0,29407,306859,4248035,2013年03月31日,1126748,,,6035540,5807372,0,0,2418559,5541932,,39507,,215825.0,408223,,966668.0,113010.0,,343547,4248035,,14072,,5557125.0,8287,,11592665.0,339,780144,606203,315317,1151193,121566,228168,3138566,6050733,85209,0
2013-08-07,2,2013,62000,5206464,3024,1266825,3008,2308,,781958,12558,57144,92864,22436,95040,33040,32135,1378713,5157,144225,21080,1566328,,0.0,254882.0,,674579,127410,429784,526,1362722,133223.0,179407,1373556.0,29407,276915,4248035,2013年06月30日,780901,,,6038642,5800456,0,77701,2717015,5868694,,40069,,206948.0,408223,,800799.0,128540.0,,450079,4502917,,16270,,5851886.0,8278,,11890528.0,271,1289245,604904,319422,1151254,123145,238186,3134871,6021834,144871,0
2013-11-11,3,2013,62000,5206391,2981,1395979,3349,2555,,606607,11720,63175,49494,22238,92760,30760,118813,1369646,7839,153232,32157,1368006,,0.0,,,662266,148563,344880,147,1049624,122409.0,140091,1361807.0,29407,288788,4502917,2013年09月30日,910055,,,6178675,5929382,0,77701,2213980,5474711,,38800,,207514.0,408223,,1143578.0,129778.0,,200000,4502917,,16931,,5337532.0,8248,,11516207.0,328,1056049,602592,319342,1151314,121075,249293,3123552,6041496,152609,0
2014-03-13,4,2013,62000,5203400,3004,1509332,3551,2690,,544781,14290,53953,22179,30087,102188,40188,43505,1401157,7277,158404,36271,1682277,,0.0,,,812923,53082,124929,262,1075492,147573.0,145583,1393880.0,27715,291918,4502917,2013年12月31日,1023408,,,6312819,6050575,0,77701,2023317,5445462,,37530,,207924.0,408223,,928585.0,149560.0,,200000,4502917,,21196,,5178686.0,8239,,11491505.0,106,1018538,602837,321382,1151375,122133,262244,3155369,6046043,116302,0
2014-05-09,1,2014,189612,5214985,3071,1663372,3551,2381,,437751,9814,69558,21935,34854,238774,49162,13704,1382209,4269,149253,26408,1754236,1754236.0,,,0.0,701470,151708,524828,318,1095805,120468.0,154310,1377940.0,27715,285868,4502917,2014年03月31日,1177448,,,6479445,6209376,0,77701,2649987,6037393,,36124,,378278.0,408223,629270.0,,173957.0,,400000,4502917,,11264,,5595828.0,8233,,12075273.0,103,1582367,601808,318483,961824,122845,270069,2945841,6037880,213911,0
2014-08-07,2,2014,189612,5169854,103010,1101253,3167,2566,,857189,11778,74477,27191,25643,247537,57925,17963,1377717,4083,134439,14966,1669325,1669325.0,,180117.0,0.0,959188,39379,499762,378,1392477,147546.0,172940,1373634.0,27715,291250,4502917,2014年06月30日,540017,,,6084764,5818162,0,153013,2868658,5805463,,36360,,387776.0,408223,1028574.0,,40968.0,,200000,4683034,,12479,,5807791.0,8232,,11892555.0,0,825722,599531,321898,961885,119473,266602,2939133,6087092,58305,0
2014-11-07,3,2014,189612,5144472,103066,1146058,2890,2128,,611277,12554,99322,59472,25263,276350,86738,375,1370187,3434,145203,24441,1915432,1915432.0,,,0.0,902286,51047,699735,305,1344494,146809.0,200790,1366753.0,27715,282642,4683034,2014年09月30日,584822,,,6131984,5862587,0,153013,3015609,6021062,,34518,,409207.0,408223,434827.0,,18214.0,,431747,4683034,,11746,,5948001.0,8232,,12079985.0,348,1224242,600259,319179,961946,120762,269397,2932392,6058923,183202,0
2015-03-11,4,2014,176411,5106533,103190,1063540,3291,2488,0.0,510473,9177,63615,22981,58473,222608,46197,2116,1396146,4297,145394,20040,2072603,,0.0,,0.0,615647,26978,599701,346,1074566,65194.0,190766,1391849.0,27715,289322,4683034,2014年12月31日,502304,,,6078322,5813279,0,153013,2502025,5340409,,32452,,412602.0,408223,760429.0,,0.0,22720.0,500000,4683034,,17033,,5289908.0,8232,,11368230.0,62,481646,600956,320727,790781,125354,265043,2787883,6027821,167880,0
2015-05-11,1,2015,238411,5056324,103155,1225233,2939,2179,0.0,551689,11931,72494,30126,44141,357590,119179,1362,1380962,2619,142205,19670,1586436,1586436.0,0.0,,0.0,552211,40615,599878,543,1228011,94036.0,152561,,27715,279928,4683034,2015年03月31日,663997,26675.0,22729.0,6233736,5960633,0,153013,2564062,5691336,1378343.0,30158,398002.0,,408223,,938250.0,,,411000,4683034,11649867.0,11930,5416131.0,,8225,11649867.0,,0,1040681,597265,316867,873842,122535,273103,2852069,5958531,123709,0
2015-08-07,2,2015,238411,5017817,103110,1384204,2481,1834,0.0,585557,16106,71560,41940,29211,284259,45848,1203,1376361,2609,133211,12788,1873027,1873027.0,,0.0,0.0,1054044,78636,599733,374,1279912,83489.0,182383,,27715,271823,4683034,2015年06月30日,811077,82685.0,22760.0,6393814,6104674,0,164904,3414416,6903689,1373752.0,33839,390581.0,,408223,,1386449.0,,,700000,4683034,12809043.0,12987,6415229.0,,8225,12809043.0,,35,1477655,597549,316005,1026903,120423,289140,3000813,5905354,90249,0
2015-11-11,3,2015,238411,5041574,103313,1467480,2194,1904,0.0,594995,14503,58378,23812,59153,282654,44243,1890,1374823,8283,147108,24815,1778668,1778668.0,,,0.0,664706,84639,599724,183,1242546,70048.0,179759,,27715,269859,4683034,2015年09月30日,894353,99300.0,22812.0,6506971,6217891,0,164904,2851879,6122927,1366540.0,31788,331325.0,,408223,,879039.0,,,500000,4683034,12060644.0,11175,5553673.0,,8224,12060644.0,,0,1436611,600008,314456,726963,122293,289080,2701794,5937717,95845,0
2016-03-11,4,2015,238411,5068082,103309,1730158,2726,1866,0.0,542599,24541,59061,37224,54597,302225,63814,2695,1380266,9669,154099,35419,1847865,,0.0,,0.0,668448,109742,499718,261,1112715,95264.0,146251,,27715,266692,4683034,2015年12月31日,1157031,104416.0,26950.0,6785176,6476010,0,164904,2616130,6409452,1370597.0,29733,319244.0,,408223,,782564.0,,,350000,4683034,12373687.0,14180,5588511.0,,8221,12373687.0,,0,1915621,597502,312739,994613,118680,309166,2972381,5964235,61272,0
2016-05-12,1,2016,238411,5020833,103244,1907220,2315,1969,,489073,23066,84223,18456,46367,309333,70922,722,1363497,5770,146297,29976,1562397,1562397.0,,,,626063,205468,599739,183,1340084,,128911,,27715,273523,4683034,2016年03月31日,1334093,145554.0,23773.0,6968803,6644842,0,164904,2866720,6684619,1357727.0,27336,319462.0,,408223,,1084680.0,,,452000,4683034,12603559.0,13780,5634756.0,,8221,12603559.0,,2461,2059453,595865,318023,808674,116321,323961,2768036,5918940,60143,0
2016-08-10,2,2016,238411,5071691,103253,1746173,2121,1785,0.0,1040386,16196,59249,17967,37357,301538,63127,510,1360951,5053,140057,27324,1559668,1559668.0,,93661.0,0.0,663035,179662,199920,274,1161966,,148473,,27715,268634,4683034,2016年06月30日,1096289,121122.0,1076.0,6889023,6568446,0,241661,2934816,6640295,1355898.0,25463,268462.0,,408223,,1378930.0,,,400000,4776695,12588911.0,11351,5699888.0,,8221,12588911.0,,1332,1991643,595386,310018,808735,112733,320577,2765072,5948616,50230,0
2016-11-09,3,2016,238411,5141204,103161,2035076,1845,1910,0.0,538629,12383,93026,15815,26762,323392,84981,743,1356340,4784,146999,39114,1345948,1345948.0,0.0,,0.0,556620,63357,199931,377,1006877,,158844,,27715,276875,4776695,2016年09月30日,1385192,109413.0,1081.0,7179538,6846754,0,241661,2022305,5928894,1351556.0,22281,268606.0,,408223,,942403.0,,,205000,4776695,11962065.0,10846,4782527.0,,8221,11962065.0,,2357,1970553,595086,313026,808796,107885,332784,2760222,6033171,123153,0
