date,season,year,不動產、廠房及設備合計,代收款,以成本衡量之金融負債－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,按攤銷後成本衡量之金融負債－非流動,普通股股本,暫付款,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅資產合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－受贈資產合計,資本公積－受領股東贈與,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,長期借款合計,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數,預收貨款
2013-04-25,1,2013,514534,707,,92708,-114622,32694,0,200289,,15001,3749,30773,,2776,1467738,1465065,7390,13145,1995,1995,-1921,276,1312,81371,,,,39157,5,45192,62628,485,,1631612,2673,2069,2013年03月31日,-114622,,2746867,2711876,0,56939,1825844,,144470,,110494,773,1650853,,,,64329,1144872,1035,,,,,24153,,,,1119684,1119684,,,,2811196,,26568,,,20206,,,6629,34991,7390,985352,27331,9838,,0,19241,533000,0
2013-07-25,2,2013,513150,575,0.0,92708,-22114,36844,0.0,291413,,19643,4317,34916,,2757,1024279,1019840,5889,13364,1985,1985,-1928,276,1312,97909,,,0.0,42580,50,42349,68508,449.0,0.0,1636942,4439,2182,2013年06月30日,-22114,,2734812,2700396,0,65030,1734665,,140225,,98397.0,1094.0,1650299,,0.0,,70919.0,1037295,0,0.0,0.0,,0.0,0,,0.0,0.0,1037295,1037295,0.0,0.0,,2805731.0,0.0,352649,0.0,0.0,20206,0.0,0.0,5164,34416,5889,1071066,45163,10067,,0.0,13357.0,370000,0.0
2013-10-29,3,2013,510084,606,,92708,-65599,22115,0.0,301059,,23759,5663,20212,,2789,1096666,1089840,6026,13301,1927,1927,-1903,276,1212,113172,0.0,,,31798,300,59446,39183,413.0,,1639642,6826,2183,2013年09月30日,-65599,,2677130,2644608,0,58646,1665588,,138856,,101929.0,1317.0,1645653,,,,64672.0,1044342,0,,,,,0,,,,1044342,1044342,,,,2741802.0,0.0,208981,0.0,,20206,,,5337,32522,6026,1076214,39231,10162,,0.0,6011.0,166500,0.0
2014-02-27,4,2013,505883,534,,72443,-184975,20121,,299066,0.0,37510,3508,18440,242.0,4766,1343761,1342480,5113,11834,1880,1880,-1923,276,1212,95653,,,,37193,5,29698,58853,242.0,,1636164,1281,4232,2013年12月31日,-184975,,2739334,2566048,0,79474,1726167,,188348,,94217.0,1409.0,1636164,,,,84587.0,1096419,0,32310.0,18000.0,,,7,,,10271.0,1035831,1035831,,,,2823921.0,,59674,,,20180,,,4595,173286,5113,1097754,39394,8742,,0.0,0.0,0,0.0
2014-04-24,1,2014,507996,558,,72443,-219803,22114,0.0,301059,,20187,3354,20372,242.0,5188,1279428,1276500,5110,4242,1850,1850,-1984,276,1212,124018,,,,77896,5,46079,50827,211.0,,1636164,2928,4630,2014年03月31日,-219803,,2702058,2533152,0,103276,1721568,,182956,120177.0,,1692.0,1636164,,,,108386.0,1096419,0,,18000.0,,,7,32310.0,,10271.0,1035831,1035831,,,,2810444.0,,46584,,,20180,,,4623,168906,5110,1088876,49409,1180,,0.0,0.0,0,0.0
2014-07-28,2,2014,503868,567,0.0,72443,-147848,36071,0.0,315016,,26759,3498,34387,242.0,2782,1177678,1176500,4871,4253,1861,1861,-1926,276,1212,71295,,0.0,0.0,62265,10,10215,81074,181.0,0.0,1636164,1178,2215,2014年06月30日,-147848,,2597998,2434202,0,91816,1600948,,177977,114297.0,,1999.0,1636164,,0.0,,96687.0,911499,0,,0.0,,0.0,62,0.0,0.0,0.0,911437,911437,0.0,0.0,,2694685.0,0.0,91737,0.0,0.0,20180,0.0,0.0,4414,163796,4871,1093737,49155,1180,,0.0,0.0,0,0.0
2014-10-27,3,2014,497093,572,0.0,42795,-225580,7161,0.0,286106,,26963,2971,5423,242.0,2723,1188504,1186500,3634,5662,1949,1949,-1980,276,1212,70818,,0.0,0.0,61107,60,39139,57120,150.0,0.0,1636164,2004,2151,2014年09月30日,-225580,,2483622,2327642,0,90853,1550194,,176079,61180.0,,2274.0,1636164,,0.0,,94487.0,911635,0,,0.0,,0.0,198,0.0,0.0,0.0,911437,911437,0.0,0.0,,2578109.0,0.0,80193,0.0,0.0,20180,0.0,0.0,3208,155980,3634,1027915,47995,2501,,0.0,0.0,0,0.0
2015-02-24,4,2014,498268,588,0.0,65410,-321702,17130,0.0,296075,,44529,2940,14109,-1071.0,2658,1180658,1179000,3316,6316,1923,1923,-1950,276,1212,40828,,0.0,0.0,50190,60,14075,62042,1432.0,0.0,1636164,1658,2070,2014年12月31日,-321702,,2388431,2240305,0,97437,1432142,,170793,46605.0,,2554.0,1636164,,0.0,,100753.0,911734,5,,0.0,,0.0,292,0.0,0.0,0.0,911437,911437,0.0,0.0,,2489184.0,0.0,32047,0.0,0.0,20180,0.0,0.0,1608,148126,3316,1057042,50393,3181,,0.0,0.0,0,0.0
2015-04-28,1,2015,490948,627,,65410,-392611,23112,,302057,,27706,3024,23112,,2860,986804,985000,3357,6648,1893,1893,0,276,1212,43119,,0.0,,29218,148,4952,41583,,,1636164,1804,2233,2015年03月31日,-392611,2512.0,2489109,2225450,0,59932,1499630,1473.0,167525,,329891.0,,1636164,2552398.0,,63289.0,,958785,17,,0.0,0.0,,345,0.0,,46986.0,911437,911437,,,2552398.0,,,44003,,,20180,,,1608,263659,3357,1052768,43742,3543,,,,0,
2015-07-28,2,2015,485119,695,,65410,-129831,2177,,281122,,26927,2899,2177,,2367,196617,195000,3452,8874,1902,1902,0,309,1262,36184,,0.0,,8353,0,3658,14715,,,1636164,1617,1672,2015年06月30日,-129831,2835.0,2401740,2145681,0,37647,1418421,1535.0,163713,,1094952.0,,1636164,2442839.0,,41099.0,,637171,18,,,,,432,0.0,,46986.0,589735,589735,,,2442839.0,,,24030,,,20180,,,1608,256059,3452,1024418,42531,5710,,,,0,
