date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款－關係人,應付票據合計,應付票據－關係人合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,36164,1387,37551,1724634,29570,615345,7545,240154,,61241,104605,53582,16031,113458,9357,63194,1214,15640,601934,601934,43766,,0,1148843,72126,,12402,44363,,1338833,97760,8143.0,93145,45426,1689693,2013年03月31日,,2937201,2937201,2838000,2038022,2986574,,49611,,760861.0,7677.0,458875,1689693,,,2068128.0,571324,,5005329.0,0,0,12487,2933,5630,,17816,32572,,30106,2018755,,14982,0
2013-08-09,2,2013,0,0,0,1739372,54570,365591,7733,543544,244757.0,50077,150226,11397,11397,31226,9156,61335,1284,16028,628534,628534,0,,0,1350072,69701,0.0,9788,43006,298787.0,1538744,154108,7872.0,91635,42648,1715194,2013年06月30日,,2822172,2822172,0,2523763,3307961,,47154,,811068.0,8969.0,487000,1715194,,,2535866.0,591161,,5358038.0,286,0,5150,2947,5630,,0,24790,0.0,12103,2050077,89054.0,20517,0
2013-11-08,3,2013,0,0,0,1744004,54570,442180,7648,273780,273780.0,50345,119652,22202,22202,41166,8888,72804,1274,15360,669699,669699,0,,0,1542609,90820,0.0,28735,53365,0.0,1804598,121559,7614.0,144777,40477,1715194,2013年09月30日,,2868486,2868187,0,2737834,3503786,,44418,,694021.0,6333.0,719990,1715194,,,2749628.0,591161,,5618114.0,0,0,3940,2906,5630,,0,24311,299.0,11794,2114328,118458.0,33133,0
2014-03-24,4,2013,0,1134,1134,1778559,54570,405976,4020,315199,315199.0,53267,153885,27883,26749,18467,8240,94276,1238,14982,676932,676932,0,,0,1469075,88061,0.0,14785,66101,0.0,1733152,180434,7002.0,149943,33397,1715194,2013年12月31日,,2866491,2866216,0,2707736,3424596,,42271,,660510.0,8387.0,718245,1715194,,,2726192.0,591161,,5592683.0,0,0,4219,0,11051,,10216,47132,275.0,18456,2168087,97615.0,32162,0
2014-05-08,1,2015,0,1040,1040,1690458,87858,346035,259,251334,251334.0,82689,230665,31370,30330,13091,7750,99765,2117,17301,614521,614521,11979,0.0,0,1115969,0,,47182,0,,1191264,70044,,234008,0,1715194,2015年03月31日,6109.0,2871336,2871076,1028000,2428930,3168143,5633.0,22617,,1071657.0,,976450,1715194,5316090.0,2444754.0,,591161,5316090.0,,516,0,2681,0,12982,,8074,46722,260.0,15824,2147947,122196.0,35742,0
2014-05-13,1,2014,0,1182,1182,1759296,54570,434778,252,229485,229485.0,47351,157805,27285,26103,9744,8005,96614,1240,15634,655198,655198,0,0.0,0,1110097,53277,,10977,57547,,1335944,174947,6765.0,150658,30651,1715194,2014年03月31日,,2899224,2898938,0,2253524,3029859,,38160,709303.0,,11210.0,753248,1715194,,,2271887.0,591161,,5171111.0,398,0,2279,0,11051,,10358,46660,286.0,18363,2141252,95093.0,34320,0
2014-08-08,2,2014,0,1177,1177,1732654,55752,326960,247,331438,245678.0,110912,110951,26592,25415,1338,7803,78463,1251,20127,565058,565058,0,0.0,0,1072830,48429,0.0,7631,34745,85760.0,1310505,170064,6552.0,148298,26117,1715194,2014年06月30日,,2744543,2744266,0,2260220,2935614,,34387,681615.0,,4262.0,733853,1715194,,,2278040.0,591161,,5022583.0,440,0,2475,0,11051,,10017,39711,277.0,17820,2086969,93647.0,18625,0
2014-10-31,3,2014,0,1111,1111,1757439,105753,364626,254,265796,265796.0,101439,173724,22497,21386,3739,7781,95677,1417,19599,594189,594189,0,0.0,0,1211424,64730,0.0,9277,25006,0.0,1351318,122952,6364.0,104725,22998,1715194,2014年09月30日,,2844981,2844705,0,2391802,3125446,,30397,846207.0,,8360.0,784620,1715194,,,2408759.0,591161,,5253740.0,92,0,2387,0,11051,9176.0,9176,46455,276.0,16957,2128294,103215.0,29623,0
2015-03-16,4,2014,0,1057,1057,1827309,92426,339133,262,273902,273902.0,103381,260720,27278,26221,28115,8027,103340,2194,17625,624062,624062,11979,0.0,0,1240795,0,,66004,0,0.0,1324301,83439,5833.0,101211,0,1715194,2014年12月31日,,2894492,2894229,1028000,2519043,3266250,,26249,999748.0,,7321.0,903100,1715194,,,2535537.0,591161,,5430029.0,643,0,2612,0,12982,,8467,47558,263.0,16494,2163779,100592.0,38157,0
2015-08-11,2,2015,0,1009,1009,1660570,113810,287536,255,364987,279741.0,30810,188558,27304,26295,11926,8731,92398,3297,16938,544472,544472,11979,0.0,0,1111513,0,0.0,34772,0,85246.0,1415734,61325,,257833,0,1715194,2015年06月30日,9492.0,2770729,2770470,1028000,2295808,2925579,5434.0,19417,,760886.0,,747740,1715194,5082844.0,2312115.0,,591161,5082844.0,,0,0,2572,0,12982,,7576,45622,259.0,16307,2157265,97854.0,29838,0
