date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款項－關係人,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,,212436,35179542,662812,26835461,32014,2122637,26706,5190,-2493700,12355546,12143110,5629312,,,1690898,,7987251,53906328,777535,,,7522088,101627245,2891015,21658,112315561,862566,3520,5290711,21979692,2013年03月31日,,64951398,64944152,15458000,194345356,222251486,1571501,,,48788312,684808,75728205,21979692,,1693116,,212822854,19400234,,,,,,,,277774252,1865,288769,23875,4259721,2708312,4716022,7246,18477498,55522766,0
2013-08-10,2,2013,,,2016649,35594954,727035,24211303,23564,1852011,10538,15702,-2367041,17883007,15866358,8592080,,,1816700,,5576903,59810297,777535.0,1091255.0,,7730436.0,97032511,3412287,18598,90756876,1230985,2030,5267058,21979692,2013年06月30日,,63551503,63541593,15458000,189680137,216472050,1653352,,,55307107.0,686275.0,69492519,23070947,,1812577,,206633727.0,19403919,,,,,,,,270185230.0,18100,107522.0,47134,4254348,3041867,3044584,9910,16953590,53713180,0
2013-11-13,3,2013,,,2548718,34733375,718359,25192223,0,1689974,14887,2986,-4059813,15139046,12590328,8330257,,,2861526,,7700467,57408458,0.0,,,7750907.0,102003506,3194195,13002,92262602,1024177,1364,5356677,23781603,2013年09月30日,,64594327,64586058,0,187287874,231864574,1680712,,,71630696.0,890017.0,64698021,23781603,,1869824,,222257049.0,19672045,,,,,,,,286851376.0,355393,133617.0,314017,4242475,3107238,19980650,8269,34969175,54986802,0
2014-03-25,4,2013,,,2519619,35928027,700525,26072342,26513,1870437,88093,7251,-3318675,15975558,13455939,8939253,,,2849047,,5419559,49985441,0.0,,,7972109.0,91538124,3904358,14970,85352515,711319,477,5476999,23781603,2013年12月31日,,66196018,66186949,0,168348939,216306422,1677975,,,70086875.0,372748.0,54552893,23781603,,1859245,,204345756.0,19651679,,,,,,,,270541774.0,415698,22205.0,824030,4785164,3161830,20368292,9069,35996817,54235352,0
2014-05-14,1,2014,,,9378654,37085306,761871,26414247,18848,2154675,87193,2561,-2196680,22670996,13292342,9028240,,,2855587,,5318120,45304921,0.0,,0.0,0.0,78666821,3868497,12578,65212402,1401597,886,6047331,23781603,2014年03月31日,,67681870,67672806,0,159871132,191231817,1636882,,69664815.0,,393799.0,52076621,23781603,,1996437,,180051052.0,19673636,,,,,,,,247732922.0,491989,0.0,203748,4726499,3496920,12597834,9064,20179920,56501105,0
2014-08-13,2,2014,8265155.0,1365561.0,9630716,35776324,901341,22874562,22508,2315950,65289,10935,-3223261,27695643,18064927,9678110,,,2800472,,5724743,58135816,0.0,475632.0,0.0,0.0,88718177,2822608,13018,76319087,452083,11910,5710016,23781603,2014年06月30日,,63732600,63585067,0,181486103,211431839,1620363,,66057258.0,,426502.0,59731118,24257235,,2045977,,202940990.0,19676531,25842.0,65434.0,0.0,19610015.0,19610015.0,-24760.0,,266673590.0,394273,0.0,317630,4726163,3193014,13928252,147533,21454887,55241751,0
2014-11-13,3,2014,8562170,1655818,10217988,36821898,936937,24315140,131852,2069935,62963,6814,-2579684,24383095,14165107,9360364,,,2683983,,5231831,71199161,0,,0,0,106263255,2648889,17495,98328623,267546,3738,5763804,24618724,2014年09月30日,,66887393,66683293,0,201993911,239807325,1566324,,59211130,,851314,66083398,24618724,,2161563,,228734934,20329113,,,,,,,,295622327,373253,0,446783,4726298,3424273,19330742,204100,26741023,55815002,0
2015-03-10,4,2014,607964.0,1183707.0,1791671,39255705,969143,24892439,198797,2215203,87070,9670,23680,18629254,16837583,9805423,,,2225648,,3840990,73763983,0.0,,0.0,0.0,109067808,2661458,21463,100067972,367420,252,5861333,24682674,2014年12月31日,,70248200,70040778,0,202857866,241405603,1546839,,55692329.0,,942413.0,70423254,24682674,,1745993,,229321723.0,20441985,,,,,,,,299569923.0,221566,0.0,557344,4387216,4475107,19850993,207422,26463857,58164320,0
2015-05-14,1,2015,0.0,947299.0,947299,38022270,977415,25372220,174213,2184696,31959,13924,-750354,15400185,14452886,8077220,,,2316765,2316765.0,3881068,68693921,,,0.0,,87445065,2435398,50734,84187296,708819,688,5845595,24682674,2015年03月31日,926703.0,69856801,69392786,0,175615476,214669246,1805040,,,50327092.0,,67631417,24682674,271995946.0,1593535,202139145.0,,20088246,,,,,,,271995946.0,,1027183,,1559370,4404052,4610616,19802852,464015,26523669,57326700,0
2015-08-13,2,2015,0.0,503343.0,503343,36769965,1235254,21730583,517764,2185092,46817,10593,-1608099,18092690,17589347,9513745,,,2509401,2509401.0,3899119,60570780,650586.0,740480.0,0.0,,83026005,2219585,58683,74578445,611967,764,5573530,24682674,2015年06月30日,851055.0,65533729,64991966,28167000,177426214,206353988,2174591,,,57523365.0,,70492033,25423154,262607671.0,1643407,197073942.0,,20096914,,,,,,,262607671.0,,1846994,,2175510,4455015,4416132,12683312,541763,19647728,56253683,0
