date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款,應收帳款淨額,應收票據淨額,應收租賃款,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,長期應收票據及款項淨額,長期應收租賃款,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,388514,4795,661261,314557,1486,67711,3145,-9834,147580,147580,29951,29951,13106,138240,18892,6584,6584,,554836,0,,555248,1623,536275,537286,12198,1011,119348.0,155253,1000000,2013年03月31日,449293,,,1669993,1651427,0,194349,846934,1986902,,13106,,94799.0,89303.0,,17619,,285967.0,10903.0,63869,1000000,,,991491.0,0,,2661484.0,,6317,6317,15541,,,18566,144557,674582,154163,,0
2013-08-12,2,2013,406468,4798,660499,72286,1580,137026,3060,-5233,235639,235639,28132,28132,12935,140327,21613,46426,46426,,709290,0,,685083,8938,1003759,1004818,3948,1059,118714.0,156294,1000000,2013年06月30日,440444,,,1673615,1655266,0,202436,1252804,2339718,,12935,,103222.0,89045.0,,17619,,258968.0,13602.0,172516,1000000,,,1399665.0,0,,3073280.0,,6534,6534,16016,,,18349,146861,733562,155994,,0
2013-11-07,3,2013,408614,4792,674370,224992,1580,87600,9208,-7361,76052,76052,40533,40533,12546,137580,18800,43635,43635,,740254,0,,622095,7665,571915,572872,10151,957,118780.0,151948,1000000,2013年09月30日,454315,,,1687713,1667009,0,202436,978748,2089047,,12546,,115557.0,81470.0,,17619,,269645.0,17459.0,167877,1000000,,,1121841.0,0,,2809554.0,0.0,5513,5513,15922,,,20704,143093,720507,105835,,0
2014-03-28,4,2013,455433,3589,694570,74914,1580,203928,9976,-4998,131053,9444,17664,17664,12361,130135,1095,6389,6389,10373.0,361586,0,,1048830,4405,1484034,1484073,29675,39,118667.0,150545,1000000,2013年12月31日,474515,,,1714787,1690083,0,202436,1481391,2615808,,12361,,145804.0,71622.0,,17619,,341361.0,20775.0,72400,1000000,,,1628401.0,511,,3343188.0,,16875,16875,25861,,,24704,147010,727380,150755,121609.0,0
2014-05-09,1,2014,452436,3599,706259,424098,1580,73586,7442,-501,23051,14380,16404,16404,12282,128400,934,9387,9387,8234.0,392429,0,0.0,718480,235,584919,584928,18896,9,119232.0,149233,1000000,2014年03月31日,486204,,,1728328,1706269,0,202436,892794,2062003,,12282,,153003.0,50245.0,,17619,320604.0,,22479.0,54963,1000000,,,1038025.0,511,,2766353.0,,16831,16831,25588,,,22059,145231,704350,144199,8671.0,0
2014-08-11,2,2014,451391,3590,699684,220490,1580,163364,7507,-4995,25438,10440,18886,18886,11740,128961,1358,7265,7265,7991.0,361941,0,0.0,846713,527,1175777,1175777,5562,0,119612.0,147917,1000000,2014年06月30日,470148,,,1718304,1695200,0,211917,1177669,2312653,,11740,,143567.0,74407.0,,17619,264081.0,,20557.0,121070,1000000,,,1322411.0,511,,3040715.0,,15781,15781,30172,,,23104,144742,728062,114842,14998.0,0
2014-11-07,3,2014,442163,3598,713990,255954,1580,106909,8630,-1389,37003,10933,25358,25358,11746,128607,1384,6695,6695,8177.0,276571,0,0.0,671460,77,1012522,1012531,3338,9,119046.0,147228,1000000,2014年09月30日,484454,,,1740305,1713112,0,211917,994128,2165293,,11746,,135201.0,68554.0,,17619,326686.0,,8894.0,169785,1000000,,,1138479.0,511,,2878784.0,,15744,15744,31927,,,27193,144351,713491,121024,26070.0,0
2015-03-26,4,2014,505779,3617,721623,135946,1580,235956,13478,9587,38576,10631,22473,22473,11950,138072,1447,7529,7529,6623,372284,0,0,1120760,378,1452622,1452640,10850,18,130002,144784,1000000,2014年12月31日,492087,,,1758163,1731721,0,211917,1564961,2689724,,11950,,125279,79907,,17619,437254,,11204,158087,1000000,,,1719425,511,,3477588,,16392,16392,32718,,,26442,154464,787864,119520,27945,0
2015-05-08,1,2015,504239,3611,726589,337472,1580,84962,7918,6710,25030,12194,19980,19980,12825,138828,1426,7526,7526,6725.0,360891,0,0.0,698079,595,844148,844166,6103,18,,140524,1000000,2015年03月31日,497053,18594.0,,1758729,1733810,0,211917,944692,2086166,130677.0,12825,105740.0,,,67180.0,17619,,327482.0,,117432,1000000,2857938.0,1099209.0,,511,2857938.0,,,15689,15689,34287,,,24919,154517,771772,76414,12836.0,0
2015-08-12,2,2015,496017,3605,684299,210076,1599,128286,7941,3085,19218,12511,22759,22759,15913,137290,504,8778,8778,6606.0,347660,0,0.0,636583,1262,755163,755163,2617,0,,139029,1000000,2015年06月30日,445045,13277.0,,1711366,1687895,0,221635,928543,2024090,130180.0,15913,129695.0,,,69078.0,17619,,450577.0,,129917,1000000,2792534.0,1081168.0,,511,2792534.0,,,15335,15335,34425,,,23471,152625,768444,97602,6707.0,0
2015-11-10,3,2015,494197,3635,704477,70353,1415,94242,13537,12082,22306,12974,26085,26085,23240,137800,516,8935,8935,6536.0,341203,0,0.0,736616,10189,977547,977547,4398,0,,139191,1000000,2015年09月30日,465223,6254.0,,1743639,1717070,0,221635,1012320,2127853,130748.0,23240,123513.0,,,77566.0,17619,,430878.0,,142713,1000000,2910603.0,1166964.0,,511,2910603.0,,,16844,16844,34571,,,26569,154644,782750,140339,9332.0,0
2016-03-23,4,2015,492333,3150,707583,302722,1521,209051,22414,10242,37438,10076,33982,33982,22990,162044,0,15242,15242,6931.0,287068,0,0.0,968917,13884,1175453,1175453,1644,0,,137595,1000000,2015年12月31日,468329,12502.0,640.0,1743811,1718336,0,221635,1392956,2511427,155113.0,22990,136432.0,,,92187.0,17619,,444036.0,,151164,1000000,3315230.0,1571419.0,,511,3315230.0,,,16419,16419,38785,,,25475,178463,803803,107036,27362.0,0
2016-05-11,1,2016,485751,3150,711290,508915,1498,79382,13191,10214,21627,13033,30417,30417,22429,159324,0,18788,16350,7579.0,261431,0,0.0,803489,1305,743396,743479,2360,83,,134083,1000000,2016年03月31日,472036,13774.0,510.0,1744353,1722015,0,221635,1059453,2178506,151745.0,22429,97315.0,,,93769.0,17619,,387660.0,,139876,1000000,2976168.0,1231815.0,,511,2976168.0,,,13038,13038,38194,2438.0,2438.0,22338,172362,797662,133228,8594.0,0
2016-08-08,2,2016,475204,3150,683943,203102,1401,120916,17373,9167,25088,12545,35297,35297,22071,148119,0,23109,20733,8219.0,346228,0,0.0,700404,13853,822330,822413,3979,83,,137721,1000000,2016年06月30日,438147,5668.0,501.0,1718667,1693621,0,228177,1012473,2088371,139900.0,22071,92423.0,,,105875.0,17619,,401923.0,,146544,1000000,2893046.0,1174379.0,,511,2893046.0,,,13787,13787,36144,2376.0,2376.0,25046,161906,804675,165132,12543.0,0
2016-11-08,3,2016,463404,3150,687650,67401,1401,76497,13616,685,22307,13906,40321,40321,21495,148653,0,17734,14097,9238.0,401363,0,0.0,746908,332,786242,786367,5656,125,,136402,1000000,2016年09月30日,441854,3630.0,8967.0,1714428,1688846,0,228177,957366,2047206,139415.0,21495,91810.0,,,107120.0,17619,,470133.0,,107692,1000000,2834148.0,1119720.0,,511,2834148.0,,,13701,13701,36236,3637.0,3637.0,25582,162354,786942,161572,8401.0,0
