date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,959938,69116,788466,-280.0,,138208,29516,,8978,-2883,2917,,35789,,44271,10558,-2603.0,0.0,303,164378,0.0,,32852,,137740,38119,44271.0,1006828,2013年03月31日,481891,,,1901379,1793934,0,158945,93937,1037814,,337,,420987.0,147630,,93284.0,13739.0,,14913.0,1006828,,,186473.0,1523,,2087852.0,48265,10089,,10255,107445,92536,1050038,331,331,0
2013-08-13,2,2013,,951514,69116,758059,-247.0,,87003,74946,,3537,2282,1064,,31399,,44228,10685,2529.0,0.0,304,161302,,,32675,0.0,150686,36581,44228.0,1006828,2013年06月30日,443998,,,1877887,1768692,0,166431,117654,1049444,,304,,486783.0,147630,,91815.0,8969.0,,0.0,1006828,,,210147.0,1523,,2088034.0,48265,6971,,10381,109195,92493,1038590,338,338,0
2013-11-12,3,2013,,940715,69116,768980,-240.0,,24705,26166,,6857,-59,2837,,28876,,44187,10452,181.0,0.0,252,178401,,,60339,,166383,34557,44187.0,1006828,2013年09月30日,454923,,,1880868,1777939,0,166431,92776,1037636,,260,,413453.0,147626,,184070.0,3434.0,,0.0,1006828,,,185250.0,2190,,2066118.0,48287,7939,,10200,102929,92474,1028482,334,334,0
2014-03-27,4,2013,193.0,940262,69116,794208,,,76761,28764,28764.0,7146,4150,7249,7056.0,28220,,39169,10535,,0.0,253,195215,,,73236,,182902,37365,39169.0,1006828,2013年12月31日,480151,,,1912513,1807376,0,166431,115401,1092304,,225,,365669.0,147626,,198686.0,6152.0,,0.0,1006828,,,206963.0,2190,,2119476.0,49307,7034,3086.0,10282,105137,91562,1027172,340,340,0
2014-05-09,1,2014,395.0,936456,69116,815159,,99390.0,99390,23106,23106.0,3567,7639,3722,3327.0,34925,,39175,10585,,,254,178293,,0.0,35087,,150955,24969,39175.0,1006828,2014年03月31日,501102,,,1938357,1831816,0,166431,71293,1078211,,187,,286651.0,147626,299117.0,,9378.0,,0.0,1006828,,,163315.0,2190,,2101672.0,49890,7117,2957.0,10331,106541,92022,1023461,344,344,0
2014-08-12,2,2014,580.0,941946,69116,746226,,,72639,97280,,5407,2549,5337,4757.0,29453,,39180,10294,,,253,178219,,0.0,40616,,130619,38725,39180.0,1006828,2014年06月30日,424925,,,1861027,1757793,0,173675,148264,1071952,,144,,306498.0,147626,310055.0,,5031.0,,,1006828,,,240010.0,2190,,2101037.0,49861,7585,2705.0,10041,103234,91746,1029085,337,337,0
2014-11-12,3,2014,787.0,938195,69116,757484,,,69997,28457,,4015,7229,2287,1500.0,31451,,39187,10396,,,254,194969,6497.0,0.0,52213,,133799,13462,39187.0,1006828,2014年09月30日,436183,,,1867079,1767993,352000,173675,92235,1027359,,107,,166106.0,147626,412282.0,,0.0,934.0,9278.0,1006828,,,185244.0,2949,,2052323.0,51263,7150,2559.0,10142,99086,93009,1024964,344,344,0
2015-03-26,4,2014,819.0,943645,69116,783399,,,117653,33068,,5959,19399,3758,2939.0,32544,,41543,10774,,,255,183633,0.0,0.0,21055,,198507,14152,41543.0,1003308,2014年12月31日,462098,,,1912155,1808290,0,173675,60287,1038837,,70,,248400.0,147626,237629.0,,2406.0,,,1003308,,,157944.0,2184,,2070099.0,53657,7657,2457.0,10519,103865,97657,1031262,360,360,0
2015-05-08,1,2015,810.0,931743,69116,801893,,,120993,25693,,3100,15368,4734,3924.0,36120,,41552,10530,,,255,178448,,0.0,14539,,147771,3194,,1003308,2015年03月31日,480592,8602.0,,1924832,1822753,0,173675,59465,1060131,41552.0,28,191857.0,,147626,,378294.0,,,5897.0,1003308,2079468.0,154636.0,,2184,2079468.0,,51391,7920,2228.0,10275,102079,95171,1019337,354,354,0
2015-08-12,2,2015,799.0,917825,58738,773519,,,145639,75477,,12068,12994,4980,4181.0,25437,,36736,10344,,,254,182135,,0.0,10157,,150408,13891,,1003308,2015年06月30日,446338,10279.0,,1893705,1792005,0,179555,100893,1089239,36736.0,133,71523.0,,147626,,487787.0,,,,1003308,2083362.0,189657.0,,2184,2083362.0,,50031,7083,1997.0,10090,101700,88764,994123,351,351,0
2015-11-11,3,2015,638.0,910872,58738,809559,,,152816,31694,,1357,18952,4850,4212.0,23296,,30028,10494,,,255,166658,0.0,0.0,24768,,125487,16473,,1003308,2015年09月30日,482378,8950.0,0.0,1931835,1834773,0,179555,70262,1101823,30028.0,122,274193.0,,147626,,341184.0,,,0.0,1003308,2087985.0,156150.0,,2954,2087985.0,,53946,5936,1914.0,10239,97062,85888,986162,359,359,0
2016-03-29,4,2015,0.0,892606,58738,838051,,,172464,31721,,3134,11788,1786,1786.0,27593,111.0,25106,10183,,,254,141577,0.0,0.0,40158,,152397,9369,,1003308,2015年12月31日,510999,14825.0,,1951023,1856101,0,179555,88490,1150402,25106.0,111,490851.0,,147497,,152665.0,,,,1003308,2117022.0,165999.0,,2954,2117022.0,,52403,4982,0.0,9929,94922,77509,966620,352,352,0
2016-05-12,1,2016,0.0,876340,58738,873114,,,155727,29451,,4361,8057,3917,3917.0,19229,100.0,15509,9959,,,254,128636,,0.0,8648,,135184,12529,,1003308,2016年03月31日,546062,23187.0,,1980940,1887433,0,179555,65203,1162689,15509.0,100,644519.0,,147497,,62164.0,,,0.0,1003308,2112105.0,131165.0,,2954,2112105.0,,50453,4279,0.0,9705,93507,65962,949416,340,340,0
2016-08-10,2,2016,0.0,863517,57088,833738,,,208834,107043,107043.0,5014,2094,4264,4264.0,21333,89.0,15397,9653,,,253,136507,,0.0,24342,,136891,24132,,1003308,2016年06月30日,496685,16926.0,,1933426,1842094,0,189556,152575,1217652,15397.0,89,570360.0,,147497,,114248.0,,,,1003308,2151851.0,218425.0,,2954,2151851.0,,50453,3852,0.0,9400,91332,65850,934199,333,333,0
2016-11-11,3,2016,0.0,846857,57088,843883,,,218094,30962,30962.0,4473,-6959,2124,2124.0,19904,187.0,15288,9241,,,252,116660,,0.0,8312,,122742,10736,,1003308,2016年09月30日,506830,10485.0,,1926660,1843550,0,189556,51883,1124847,15288.0,187,520671.0,,147497,,111246.0,,,,1003308,2044284.0,117624.0,,3318,2044284.0,,50453,6064,0.0,8989,83110,65741,919437,321,321,0
