date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,強制按公允價值衡量之金融資產評價調整－流動,強制按公允價值衡量之金融資產－流動,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人,應付票據－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有供交易之金融資產評價調整－流動,持有供交易之金融資產－流動,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,730298,493850,99268,-2268365,490.0,2367.0,227981,5232,27639,7537,0,-10595,787513,31388,15026,41792,48070,1225,77650,,-11085,672,21592,1168202,0.0,,,,296786.0,226705,84306.0,166000,92445,,2912,200342,315942,459.0,32413,46173.0,,,28651,1948781,2013年03月31日,-2582296,,,767165,734780,0,270535,1684079,1814900,,6156,,12.0,270502.0,,43396,,150012.0,0.0,17674.0,84042,1948781,,4078,,2028935.0,1064959,,2796100.0,2865.0,0.0,,5123,0.0,12178,32385,344856,981200,105256,2088.0,25827,0
2013-08-14,2,2013,674033,484704,97560,-2345614,540.0,2416.0,247454,5232,47112,16022,57,-11640,700321,2722,21095,41792,47961,1225,78269,,-12180,781,22098,1035235,0.0,,,,298393.0,206641,81525.0,151900,100332,,35,200342,307511,6324.0,7222,45955.0,,,27835,1948781,2013年06月30日,-2659545,,,669846,656486,0,270535,1563655,1590871,,5298,,13.0,290470.0,,43396,,106667.0,0.0,18144.0,63611,1948781,,4024,,1910181.0,1064959,,2580027.0,2580.0,0.0,172.0,5020,0.0,12290,13360,346526,989156,70165,2089.0,23566,0
2013-11-13,3,2013,557465,471730,78909,-2482452,492.0,2368.0,244862,14627,44520,90539,39,-9192,588431,3208,19788,41792,48021,1225,84164,,-9684,1043,28040,945543,0.0,,,,300000.0,380445,81524.0,144600,107748,113.0,113,200342,357154,0.0,15723,45753.0,,,26833,1948781,2013年09月30日,-2796383,,,539022,522096,0,270535,1763408,1679171,,4247,,12.0,298514.0,,43396,,107685.0,46524.0,21988.0,149773,1948781,,1911,,2111429.0,1064959,,2650451.0,2850.0,0.0,0.0,6883,0.0,12244,16926,348021,971280,118332,2088.0,27758,0
2014-03-31,4,2013,609755,467202,62809,-2611044,882.0,2758.0,311695,14627,111353,37986,0,-10886,661877,7959,15676,44346,53688,1225,85778,,-11768,795,29276,719316,0.0,,,,1000.0,158816,84250.0,136400,108632,,191,200342,390212,482.0,7039,51668.0,,,24931,1948781,2013年12月31日,-2924975,,,386145,391810,0,270535,1575346,1353497,,3581,,12.0,6399.0,,43396,,158042.0,42665.0,200.0,55559,1948781,,634,,1630034.0,1064959,,2016179.0,0.0,0.0,0.0,11982,0.0,12156,-5665,54688,662682,21774,0.0,44163,0
2014-05-15,1,2014,559999,460738,62809,-2562655,529.0,2405.0,254099,14627,53757,24481,0,-14450,594295,11414,21336,39811,53407,1225,82929,,-14979,1164,29022,744123,0.0,,,0.0,1000.0,182225,86129.0,123300,75422,,0,200342,269848,6687.0,12958,51018.0,,,24265,1948781,2014年03月31日,-2876586,,,415798,420069,0,270535,1458141,1275612,,2728,,13.0,6166.0,,43396,118223.0,,38665.0,13994.0,84019,1948781,,5360,,1513334.0,1048393,,1929132.0,0.0,0.0,786.0,13885,0.0,12006,-4271,55193,653520,61544,2090.0,22882,0
2014-08-14,2,2014,533147,452232,52305,-2640319,667.0,2543.0,389940,14627,189598,11892,0,-9696,589931,4860,14785,39811,53034,1225,98958,,-10363,779,37585,837114,0.0,,,0.0,1000.0,144305,84419.0,116600,89828,,0,200342,235688,0.0,5164,51030.0,,,23206,1948781,2014年06月30日,-2954250,,,343377,347159,0,270535,1515521,1263782,,1863,,12.0,8558.0,,43396,98445.0,,14923.0,14017.0,65588,1948781,,5360,,1569555.0,1048393,,1912932.0,0.0,0.0,0.0,12028,0.0,11679,-3782,54034,649150,44122,9883.0,51924,0
2014-11-14,3,2014,513547,452296,43576,-2687712,0.0,0.0,460475,14627,260133,24863,0,-15769,528296,4418,10575,39811,52760,1225,86426,,-15769,700,30963,850470,0.0,,,0.0,0.0,259511,85988.0,111300,14577,,0,200342,291137,0.0,11042,50835.0,,,22496,1948781,2014年09月30日,-3001643,,,290945,293693,0,270535,1571400,1297527,,1015,,2598.0,765.0,,43396,80656.0,,4296.0,223.0,86970,1948781,,5360,,1624160.0,1048393,,1915105.0,0.0,,0.0,11004,0.0,11865,-2748,52760,617578,25963,3787.0,10331,0
2015-03-30,4,2014,490598,446989,36462,-2781434,0.0,0.0,500076,14627,299734,10026,0,-26028,537067,1283,12626,41792,61490,1225,85901,,-26028,733,31950,700435,0.0,,,0.0,0.0,263509,89465.0,105600,13263,,0,200342,326103,0.0,14018,59532.0,,,13922,1948781,2014年12月31日,-3095365,,,170139,189712,0,270535,1598976,1232378,,242,,9983.0,796.0,,43396,138190.0,,0.0,226.0,69169,1948781,,6200,,1660466.0,1048393,,1830605.0,0.0,,0.0,13915,0.0,12159,-19573,61490,598227,20771,0.0,45186,0
2015-05-14,1,2015,464995,435073,32943,-2862278,0.0,0.0,486768,14627,286426,9510,0,-22776,497882,10306,19741,41792,61459,1225,83521,,-22776,726,29813,631068,0.0,,,0.0,0.0,219089,88476.0,99200,19594,,0,200342,262860,0.0,9986,,,,18439,1948781,2015年03月31日,-3176209,0.0,224.0,92402,112120,0,270535,1497689,1065273,59508.0,232,3589.0,,,787.0,43396,,114363.0,,,68945,1948781,1652127.0,3108,1559725.0,,1048393,1652127.0,,0.0,,577.0,15859,0.0,11916,-19718,62036,586854,13932,0.0,22581,0
2015-08-13,2,2015,450305,422749,26991,-2811388,0.0,0.0,508445,14627,308103,21344,0,-18298,481493,2434,30443,41792,60753,1225,83258,,-18298,716,29823,586204,0.0,,,0.0,0.0,193196,0.0,95600,20647,,0,200342,249332,0.0,13843,,,,16952,1948781,2015年06月30日,-3125319,0.0,28.0,150759,167488,0,270535,1388607,1034844,58812.0,213,3414.0,,,775.0,43396,,106113.0,,,66995,1948781,1601464.0,7604,1450705.0,,1048393,1601464.0,,0.0,0.0,1345.0,15682,0.0,11643,-16729,62098,566620,24123,0.0,28754,0
2015-11-13,3,2015,433511,417486,27439,-2813476,0.0,0.0,549374,14627,349032,12301,0,-35928,475603,4750,27149,41792,60181,1225,87591,,-35928,382,33817,589379,0.0,,,0.0,0.0,187892,0.0,90200,18755,,0,200342,284934,0.0,12443,,,,15782,1948781,2015年09月30日,-3127407,0.0,27.0,131511,147770,0,270535,1410353,1037606,58574.0,211,1458.0,,,826.0,43396,,71766.0,,,66887,1948781,1602623.0,7015,1471112.0,,1048393,1602623.0,,0.0,0.0,578.0,15682,0.0,11982,-16259,60759,565017,38149,0.0,37342,0
2016-03-30,4,2015,412580,404821,31918,-2839789,0.0,0.0,543534,14627,343192,8334,0,-30815,437984,2472,11522,41792,52446,1225,82869,,-30815,469,29600,486589,0.0,,,0.0,0.0,174668,0.0,84800,12862,,0,200342,278885,0.0,11210,,,,16133,1948781,2015年12月31日,-3153720,339.0,252.0,107895,126570,0,270535,1340656,952477,50752.0,185,1458.0,,,825.0,43396,,119277.0,,,65415,1948781,1503979.0,6427,1396084.0,,1048393,1503979.0,,0.0,,2982.0,14751,0.0,11477,-18675,55428,551502,34950,0.0,22932,0
2016-05-16,1,2016,411407,393933,31918,-2913198,0.0,0.0,528989,14627,328647,10224,0,-25598,443957,2696,13584,41792,50566,1225,81532,,-25598,771,28444,480007,0.0,,,0.0,0.0,161739,0.0,84800,16407,,0,200342,250906,0.0,9297,,,,15259,1948781,2016年03月31日,-3227129,339.0,129.0,39452,58378,0,270535,1328615,880446,48570.0,176,4084.0,,,809.0,43396,,97620.0,,,68971,1948781,1418878.0,8786,1379426.0,,1048393,1418878.0,,0.0,,245.0,14805,0.0,11296,-18926,50811,538432,14595,0.0,29854,0
2016-08-15,2,2016,401669,380335,7192,-2932655,,,519366,14627,319024,5690,0,-22276,436516,2399,13646,41792,47851,1226,80332,,-22276,203,27611,448638,,,,,,152882,,82000,11751,,0,200342,281349,,8473,,,,14385,1948781,2016年06月30日,-3246586,0.0,262.0,7578,42243,0,270535,1288288,846454,46422.0,166,2620.0,,,811.0,43396,,68841.0,,,63045,1948781,1344661.0,8101,1337083.0,,1048393,1344661.0,,,,944.0,14986,,10929,-34665,48795,498207,16935,,32448,0
2016-11-14,3,2016,386068,367865,3893,-2943506,0.0,0.0,271359,14627,71017,6799,0,-12248,414227,2317,14200,41792,45529,1225,78545,0.0,-12248,151,26234,463281,0.0,0.0,0.0,0.0,0.0,447016,0.0,79300,7575,,0,200342,243924,8381.0,28351,,0.0,0.0,13495,1948781,2016年09月30日,-3257437,0.0,259.0,5281,41420,0,270535,1300854,872416,44153.0,155,1103.0,,,788.0,43396,,88219.0,,,59644,1948781,1352346.0,7106,1347065.0,,1048393,1352346.0,,0.0,0.0,682.0,15189,0.0,10519,-36139,46211,479930,17899,0.0,25842,0
