date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,備抵存貨跌價,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,出租資產－其他淨額,出租資產－機器設備淨額,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,原料,土地淨額,在製品,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未完工程及待驗設備,本期所得稅負債,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備淨額,流動負債合計,流動資產合計,淨確定福利負債-非流動,物料,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-13,1,2013,212533.0,236585.0,449118,4270915,94495,178695.0,178695,54025,0.0,36053,31700,55425,97802,501096,32024,125592,45980,,79612,2784,55380,15280.0,59643,19050,,,3294.0,0.0,72415,2598892,35696,18100,689867,689867,258955,,,,0.0,65936,0.0,294638,489809,0.0,49557,22000.0,912374,1709096,,,3178746,2013年03月31日,338072,,335790,3738450,3370655,64581032,56472,1776242,1703137,,11812,,134404.0,,855853,3178746,601644,,,4272711.0,299037,,8011161.0,19378,3294.0,0.0,78377,9937,,53622,2441089,,,37809,367795,2496469,6308024,,41036,19954,0,19954.0
2013-08-12,2,2013,17936.0,299309.0,317245,4264920,94495,178695.0,178695,56149,0.0,39397,31700,63151,112726,541240,199554,88651,33122,,55529,2784,143307,15256.0,55257,14291,,,445.0,0.0,77835,2598892,32046,105797,578979,578979,259482,,,,0.0,67286,0.0,259929,573952,0.0,105964,22254.0,906332,1704596,,,3178746,2013年06月30日,333357,,342322,3703002,3387020,64781032,55697,1750268,1637613,,13431,,129117.0,,818217,3178746,487367,,,4231098.0,298881,,7934100.0,18985,445.0,0.0,32653,9335,,53622,2337523,,,38182,315982,2480830,6296487,,33802,24441,0,24441.0
2013-11-08,3,2013,26572.0,270027.0,296599,3725886,94495,178695.0,178695,131837,0.0,44953,31700,77829,113769,349680,23016,163849,17520,,146329,2784,66252,15231.0,259551,39236,,,0.0,0.0,81815,2342875,35977,28514,589022,589022,259482,37916.0,,,0.0,66302,0.0,222033,555455,0.0,60052,22507.0,657365,1695761,,,3178746,2013年09月30日,332587,,317948,3780075,3463907,64781032,46362,1568335,1675151,,12737,,110775.0,,852491,3178746,490193,,,3853544.0,299037,,7633619.0,18303,0.0,0.0,44985,10446,,53622,2218957,,,37531,316168,2285209,5958468,180000.0,18602,30065,0,30065.0
2014-03-28,4,2013,26915.0,334753.0,361668,3633136,94495,178695.0,178695,232292,0.0,18343,31700,104931,119779,406688,29565,184759,9617,,175142,2784,64256,15204.0,77220,36380,,,0.0,0.0,74920,2360667,33278,27077,522176,522176,259482,,,,0.0,47881,0.0,282308,584541,0.0,66781,21975.0,657188,1782626,508603.0,508603.0,3178746,2013年12月31日,236063,,306801,3887263,3570372,64781032,45097,1905848,1679998,,13337,,143359.0,,1064040,3178746,432341,,,4044981.0,299037,,7932244.0,17646,0.0,0.0,27099,9674,,53623,2074877,,,38056,316891,2139133,6252246,,56788,15455,0,15455.0
2014-05-13,1,2014,27257.0,337229.0,364486,4667393,94495,178695.0,178695,245787,,21170,34413,94858,118899,383466,16046,111094,22036,,89058,2859,80857,15181.0,58718,18709,,,0.0,,69703,3183305,39788,24005,579022,579022,261884,,,0.0,,53982,,183207,578983,,89686,41671.0,880835,1827645,,0.0,3178746,2014年03月31日,97239,,373713,4540842,3580585,64781032,97935,1997524,1795485,,17505,212507.0,,,1282011,3178746,486439,,,4067354.0,299037,,8608196.0,22564,0.0,,101546,11802,181.0,59090,1988792,,,37150,960257,2069830,6812711,,28152,2934,0,2934.0
2014-08-12,2,2014,0.0,324398.0,324398,3974625,94495,126971.0,126971,131822,,17791,34733,147659,107109,380649,48865,61021,20759,,40262,2859,85816,15157.0,59841,21026,,,0.0,,74938,2769599,40216,31088,493017,493017,281849,,127150.0,0.0,,61334,,184118,652716,,152136,39571.0,677869,2513115,97077.0,97077.0,3224490,2014年06月30日,101496,,309508,4558029,3605015,69355500,85351,1896770,1754499,,15789,216639.0,,1641.0,1121369,3351640,396807,,,4044449.0,296293,,8602478.0,14552,0.0,,49846,16250,855.0,58559,2061008,,,35956,953014,2147679,6847979,,34629,7386,0,7386.0
2014-11-12,3,2014,0.0,205446.0,205446,3984604,94495,126971.0,126971,154393,,16412,34733,81120,117498,234587,21001,66798,5871,,60927,2859,75938,15130.0,65141,25057,,,,,77805,2769599,29899,25437,433245,433245,282645,0.0,,0.0,,52137,,160548,557902,,167974,35371.0,673024,2504388,96904.0,96904.0,3351640,2014年09月30日,144948,,283406,4596450,3637179,72362089,84079,1294226,1658024,,16028,188043.0,,2452.0,763382,3351640,344246,,,3914430.0,296293,,8510880.0,19248,,,124603,10300,1339.0,58436,2542927,,,37225,959271,2620204,6852856,0.0,24964,8140,0,
2015-03-26,4,2014,0.0,207382.0,207382,3485237,94495,126971.0,126971,158095,,15240,34733,84325,129947,239114,13907,120912,7537,,113375,2784,82040,15105.0,71964,31038,13573.0,53033.0,,,71891,2344599,23537,32642,359118,359118,282628,,,0.0,,51401,,143398,668023,,106526,34293.0,529201,2925384,97225.0,97225.0,3351640,2014年12月31日,103598,,321067,4562432,3653347,72362089,83641,1177987,1704758,,12584,205091.0,,4557.0,655192,3351640,285839,,,3923415.0,296293,,8485847.0,18171,,,132019,18354,1432.0,59068,2661956,,,38142,909085,2745428,6781089,,18574,17825,0,17825.0
2015-05-12,1,2015,0.0,219182.0,219182,3425928,94495,126971.0,126971,265563,,13930,27802,60027,127041,235309,6513,148302,8322,,139980,2784,54663,1300.0,64985,24691,14590.0,36848.0,,,51424,2359999,37010,22586,375733,375733,282628,,,0.0,,77233,,111631,662287,,43908,,579972,2712730,243509.0,243509.0,3351640,2015年03月31日,15200,3809.0,303151,4670968,3757909,72362089,81844,1176464,1682855,30777.0,11149,,247997.0,,688455,3351640,303952,8329976.0,3659008.0,,296293,8329976.0,,17607,,,88129,16717,1527.0,59068,2426354,,,37510,913059,2482544,6647121,,22004,9614,0,9614.0
2015-08-11,2,2015,,260692.0,260692,6275637,94495,140842.0,140842,470520,3.0,13612,107792,273677,119707,529680,6242,184917,11172,6320.0,173745,2784,54212,1126.0,78080,38583,18174.0,36193.0,,,76968,4461113,123421,21793,1053040,1053040,282628,21017.0,,0.0,,215043,,342319,457427,,352405,,938887,2804338,126818.0,126818.0,3351640,2015年06月30日,12540,3063.0,642156,6380070,3977240,72362089,116057,2896492,2620606,31293.0,61585,,318091.0,,1532710,3351640,898858,12122549.0,5742479.0,,318001,12122549.0,,22073,,,101080,22124,235781.0,62616,2555994,,,36713,2402830,2845987,9501943,,38131,262746,0,262746.0
2015-11-10,3,2015,,562013.0,562013,6248620,94495,140842.0,140842,505168,3.0,11585,135922,193306,137658,840746,15588,93111,10298,7066.0,82813,2784,266650,0.0,100906,60190,17346.0,35877.0,,,79970,4478450,88660,20357,1055985,1055985,282628,,,0.0,,230489,,191369,562538,,427136,,929341,2818325,127084.0,127084.0,3351640,2015年09月30日,18273,3476.0,611484,6393302,4018122,72362089,108043,3087710,2650671,31293.0,60735,,205851.0,,1628324,3351640,962542,12160650.0,5767348.0,,306284,12160650.0,,21814,,,170791,20926,235875.0,62617,2177113,215000.0,215000.0,37932,2375180,2679638,9509979,,40761,263145,0,
2016-03-23,4,2015,,352281.0,352281,6202465,94495,140842.0,140842,506732,3.0,13585,142853,196706,106882,604594,5574,81175,8569,,72606,2858,217460,0.0,91441,52247,51501.0,0.0,,,78360,4458112,99900,24319,987057,987057,282628,,,0.0,,212135,,122643,559152,,230387,,916965,2799008,159004.0,159004.0,3351640,2015年12月31日,36210,6984.0,596953,6401307,3988910,72362089,92758,2216055,2463525,9641.0,59454,,289926.0,,1072993,3351640,892196,11933920.0,5532613.0,,306284,11933920.0,,28573,,,203765,21393,225961.0,64050,2873137,183500.0,183500.0,36336,2412397,3316558,9470395,,17565,246739,0,246739.0
2016-05-12,1,2016,,390533.0,390533,6168076,94495,145842.0,145842,540755,3.0,13378,142853,182714,104888,598500,6403,91138,8204,,82934,2858,212055,0.0,116756,77998,49966.0,,,,77336,4458112,107259,21300,976224,976224,282628,,,0.0,,212592,,25410,545385,,217000,,908720,2786196,62184.0,62184.0,3351640,2016年03月31日,26869,7982.0,579181,6439822,4020939,72362089,96850,2279500,2585759,7255.0,55022,,410996.0,,1252302,3351640,879460,11942241.0,5502419.0,,306284,11942241.0,,28305,,,232222,20073,226253.0,64050,2784611,,183500.0,35900,2418883,3222919,9356482,,18296,201564,0,201564.0
2016-08-10,2,2016,,,489674,6057192,94495,,148342,373646,3.0,12317,142853,344320,94227,650863,9016,154381,9002,,145379,2858,209609,0.0,94123,56544,20101.0,,,,89491,4458112,76935,21230,983660,983660,282628,45140.0,,0.0,,182566,,30184,490878,,176226,,909573,2791190,,49728.0,3351640,2016年06月30日,8310,24667.0,520934,6458300,3863654,72362089,94475,2720118,2693068,4879.0,50047,,414233.0,,1487518,3351640,910040,11910010.0,5451710.0,,326769,11910010.0,,27360,,,306363,18327,226494.0,64050,2295489,,183500.0,34721,2594646,2731592,9216942,,27689,152173,0,
2016-11-10,3,2016,,313388.0,313388,6022719,94495,150842.0,150842,379797,3.0,12965,142853,148746,83465,430872,8165,130235,8890,,121345,2858,208000,,155904,119668,27721.0,,,,87985,4453651,49858,21979,888703,888703,284322,44790.0,,0.0,,215821,,27263,500215,,117229,,897086,2779737,39900.0,39900.0,3351640,2016年09月30日,10720,23516.0,497622,6433573,3857349,72762089,92034,1794480,2315917,2521.0,47895,,358398.0,,948262,3351640,845818,11542034.0,5108461.0,,326769,11542034.0,,26243,,,150509,17642,226552.0,64050,2879429,183500.0,183500.0,33378,2576224,3313981,9226117,,31340,109319,0,
