date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,2536613,44311,3031246,407761,-65291,,17674,,1582585,319682.0,1262903.0,,635,392634,,315320,635.0,432800,0.0,,,1552312,99912,80226,3461939,61232,110856,1523046,2013年03月31日,2293144,,7489091,7474991,0,394418,3100196,7786606,343684,,2159239.0,81020.0,861045,1523046,,,3459293.0,2985990,,10948384.0,246,53100,358462,16132,77314.0,14100,359097,3161778,96943,,0
2013-08-12,2,2013,2549957,0,2761635,713167,64054,64054.0,26951,26951.0,1600581,319684.0,1280897.0,,635,427972,349573.0,349573,,443239,0.0,,,1472302,99978,173573,3417340,61048,131060,1523046,2013年06月30日,1962164,,7339468,7325475,0,455787,3498545,7983949,343684,,2245468.0,67362.0,944435,1523046,,,3830531.0,2976740,,11169999.0,777,135954,331351,16013,78399.0,13993,331986,3186050,141367,0.0,0
2013-11-05,3,2013,2499334,0,2933166,460838,-200,-200.0,18397,18397.0,939393,364160.0,575233.0,,635,474120,396959.0,396959,,521926,0.0,,,1799574,149949,165168,3999170,60972,140611,1523046,2013年09月30日,2133695,,7438610,7424828,0,455787,3615914,8192036,343684,,2380566.0,83390.0,938408,1523046,,,3946273.0,2968816,,11384883.0,190,136983,329724,17810,77161.0,13782,330359,3192847,213998,,0
2014-03-25,4,2013,2771079,0,3102524,564909,108616,,35944,,1072683,444993.0,627690.0,,635,320081,,242164,635.0,453146,0.0,,,1900800,199986,163445,4579998,60780,140185,1523046,2013年12月31日,2303053,,7716635,7703002,0,455787,4058089,8726815,343684,,2214103.0,147491.0,1045514,1523046,,,4363880.0,2968816,,12080515.0,0,205546,305156,61575,77917.0,13633,305791,3353700,201339,,0
2014-05-13,1,2014,2788657,50000,3260842,453586,202877,202877,31708,31708,1140718,451475,689243,,635,207714,129288,129288,635,480285,0,,0,1622319,199878,214399,4415589,60588,148322,1523046,2014年03月31日,2461371,,7969098,7955581,0,455787,3653725,8590906,343684,2222450,,144593,986287,1523046,,,3940186,2968816,,11909284,955,131344,285826,63097,78426,13517,286461,3318378,200520,,0
2014-08-12,2,2014,2722389,50000,3051073,660740,61170,61170.0,29431,29431.0,973724,432628.0,541096.0,,635,140881,64525.0,64525,635.0,405251,0.0,,0.0,1601727,199845,168711,4180269,60395,141891,1523046,2014年06月30日,2201752,,7617504,7604105,0,505637,3361265,8057904,343684,2163841.0,,67824.0,630509,1523046,,,3617706.0,2968816,,11235210.0,2478,176556,255806,61750,76356.0,13399,256441,3177306,158263,,0
2014-11-11,3,2014,2705737,50000,3164122,478537,191762,191762.0,35755,35755.0,1019640,434780.0,584860.0,,635,175649,,98385,635.0,471137,0.0,,0.0,1754268,249855,173357,4365574,60203,134511,1523046,2014年09月30日,2314801,,7863263,7849956,0,505637,3596274,8530742,343684,2341182.0,,63937.0,839387,1523046,,,3854527.0,2971026,,11717790.0,1178,180098,257618,60948,77264.0,13307,258253,3187048,153111,,0
2015-03-24,4,2014,2752360,50000,3247172,514069,524408,524408.0,78950,78950.0,1185046,515713.0,669333.0,,635,246386,,166095,635.0,423138,0.0,,0.0,1616470,249867,144233,4303930,60012,136691,1523046,2014年12月31日,2397851,,8278955,8265652,0,505637,3523738,8704214,343684,2397352.0,,72440.0,845781,1523046,,,3786486.0,2971026,,12065441.0,1928,248839,262113,115778,80291.0,13303,262748,3361227,145909,,0
2015-05-12,1,2015,2623812,50000,3206871,484841,413160,,39296,,1305752,446691.0,859061.0,,635,294391,,215818,635.0,480284,,,,1552942,249983,84765,3558228,59848,139709,1523046,2015年03月31日,2357550,55035.0,8127443,8114103,0,505637,3039358,8142810,343684,,2536497.0,,572050,1523046,11423712.0,3296269.0,,2971026,11423712.0,,446,146082,256276,113142,78573.0,13340,256911,3280902,115967,,0
2015-08-12,2,2015,2551978,50000,2939788,643678,339311,339311.0,48027,48027.0,1482209,399884.0,1082325.0,,635,269304,,191997,635.0,434273,,,,1304924,249920,114989,3191572,59654,166829,1523046,2015年06月30日,2051093,20289.0,7786548,7773171,0,545011,2966635,7800734,343684,,2384194.0,,584808,1523046,11010622.0,3224074.0,,2971026,11010622.0,,0,186322,256804,112123,77307.0,13377,257439,3209888,122164,,0
