date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,存貨合計,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,1262212,44946,-148332,,,25168,,3197,8906,,,23696,256,356214,,31519,230000,63062,84226,16774,,21407,1246000,2013年03月31日,-233516,,,1553613,1553588,0,85184,535446,775066,,1244.0,,198911.0,0.0,3015.0,182500,1246000,,,560831.0,455920,455920,,2114444.0,107020,1689,9313,25,25385,1339378,0
2013-08-08,2,2013,1260527,44946,-150239,,,24667,,3745,6283,,,23418,256,331481,,23488,183000,77211,129604,28852,,20688,1246000,2013年06月30日,-235423,,,1551704,1551681,0,85184,483111,722847,,1116.0,,220277.0,0.0,3015.0,171000,1246000,,,508279.0,455920,455920,,2059983.0,3335,1750,9603,23,25168,1337136,0
2013-11-12,3,2013,1258081,44946,-148715,,,23921,,1902,10409,,,23418,256,305132,,34459,192000,61100,124487,37940,,19872,1246000,2013年09月30日,-233899,,,1553228,1553205,0,85184,426355,670263,,989.0,,182355.0,0.0,6550.0,112973,1246000,,,450766.0,455920,455920,,2003994.0,3390,993,9587,23,24411,1333731,0
2014-03-27,4,2013,1255612,45234,-149056,,,20430,,2548,6061,,,20621,256,290289,,19775,62000,41030,113451,23987,20621.0,19058,1246000,2013年12月31日,-234240,,,1552886,1552864,0,85184,306579,550366,,862.0,,108960.0,796.0,3015.0,160000,1246000,,,327284.0,455920,455920,,1880170.0,4603,84,8782,22,20705,1329804,0
2014-05-08,1,2014,1253525,45234,-153162,,,20885,,3570,19095,,,20621,256,293412,0.0,16454,144000,61281,62433,9995,20621.0,18243,1246000,2014年03月31日,-238346,,,1548780,1548758,0,85184,251568,493791,,735.0,101219.0,,796.0,3015.0,4582,1246000,,,273458.0,455920,455920,,1822238.0,4622,1269,10454,22,21890,1328447,0
2014-08-12,2,2014,1251379,786,-145552,155906.0,200353.0,25666,155906.0,3038,5273,,,20621,256,287762,0.0,18134,190000,47555,114101,18822,20621.0,17490,1246000,2014年06月30日,-230736,,,1712296,1712274,0,85184,285228,738237,,608.0,104486.0,,835.0,3015.0,0,1246000,,,306887.0,455920,455920,,2019183.0,4425,1038,10427,22,21659,1280946,0
2014-11-11,3,2014,1249989,786,-141693,193111.0,237559.0,24524,193111.0,3226,8375,,,20621,735,278168,0.0,28467,204000,63373,100052,18985,20621.0,17637,1246000,2014年09月30日,-226877,,,1753360,1753338,0,85184,325179,821029,,,170805.0,,1589.0,3015.0,0,1246000,,,347241.0,455920,455920,,2100601.0,4070,1441,10425,22,22062,1279572,0
2015-03-24,4,2014,1248171,786,-151890,201727.0,246176.0,23537,201727.0,2557,67849,,,23945,608,288140,0.0,22734,195000,29964,54447,10024,23945.0,16886,1246000,2014年12月31日,-237074,,,1751779,1751757,0,85184,333081,833407,,,116683.0,,139.0,0.0,59150,1246000,,,358041.0,455920,455920,,2109820.0,50088,1015,9962,22,24960,1276413,0
2015-05-12,1,2015,1246551,786,-162175,269344.0,313793.0,21605,269344.0,3129,14498,,,23945,480,303357,0.0,20900,205000,27231,67582,7068,,16134,1246000,2015年03月31日,-247359,243.0,0.0,1809111,1809089,0,85184,298108,857035,23945.0,,,85248.0,,,20000,1246000,2131219.0,322108.0,,455920,455920,2131219.0,,65489,55,10233,22,24000,1274184,0
2015-08-11,2,2015,1244476,786,-143839,319107.0,363555.0,30641,319107.0,3172,11467,,,23945,352,308594,0.0,25400,230000,42444,90705,19046,,15383,1246000,2015年06月30日,-229023,2533.0,0.0,1877210,1877188,0,85184,362190,992480,23945.0,,,89930.0,,,28000,1246000,2263500.0,386290.0,,455920,455920,2263500.0,,109183,155,10023,22,24100,1271020,0
2015-11-10,3,2015,1242888,786,-146813,214067.0,258515.0,22362,214067.0,3070,135724,10568.0,125156.0,23945,1427,296014,0.0,21357,228000,48927,95814,19418,,14632,1246000,2015年09月30日,-231997,1142.0,0.0,1769196,1769174,0,85184,398858,923954,23945.0,,,57959.0,,,74000,1246000,2193768.0,424572.0,,455920,455920,2193768.0,,60510,1769,10081,22,25714,1269814,0
2016-03-29,4,2015,1240933,786,-159770,268746.0,313195.0,20472,268746.0,3358,242365,7988.0,234377.0,26446,2071,317079,0.0,15133,226000,44665,36704,11283,,14019,1246000,2015年12月31日,-244954,0.0,221.0,1810918,1810896,0,85184,439628,1010494,26446.0,,,30675.0,,,130000,1246000,2278936.0,468018.0,,455920,455920,2278936.0,,58972,1944,10633,22,28390,1268442,0
2016-05-10,1,2016,1239571,786,-165960,214428.0,258877.0,22363,214428.0,3060,243439,10496.0,232943.0,26446,1989,309461,0.0,17924,158000,33543,67325,7519,,13683,1246000,2016年03月31日,-251144,139.0,221.0,1750410,1750388,0,85184,464029,975296,26446.0,,,30885.0,,,229000,1246000,2242045.0,491635.0,,455920,455920,2242045.0,,57569,1160,10720,22,27606,1266749,0
2016-08-09,2,2016,1238626,786,-174161,304391.0,348840.0,19894,304391.0,2299,274084,8186.0,265898.0,26446,1931,309001,0.0,16192,150000,34949,55204,19113,,13346,1246000,2016年06月30日,-259345,0.0,239.0,1832172,1832150,0,85184,516334,1111020,26446.0,,,91711.0,,,293000,1246000,2376564.0,544392.0,,455920,455920,2376564.0,,12828,1612,10855,22,28058,1265544,0
2016-11-08,3,2016,1236908,786,-193992,354348.0,398796.0,19689,354348.0,2580,245748,9357.0,236391.0,26446,8831,306005,0.0,16441,230000,47193,50730,13771,,13010,1246000,2016年09月30日,-279176,0.0,358.0,1862297,1862276,0,85184,660903,1279469,26446.0,,,251872.0,,,345000,1246000,2549945.0,687648.0,,455920,455920,2549945.0,,12189,299,10941,21,26745,1270476,0
