date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－合併溢額,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,248152.0,,248152.0,1982025,,1830409,17654,309054,572824,0.0,,42808,122728,,,280064,31912.0,21590,6811,342996,82180,105074,397472,397472,73113,,505854,,11318,,1017532,,1445,,,1243919,2013年03月31日,1390512,,3586555,3586555,1425000,439897,2133574,3370946,120552,0.0,,1812215.0,47814.0,700583,1243919,,,2539018.0,462612,28498,3831,3143,,419496,,7644,,,6125573.0,15117.0,40180,398633,,20791,,405444,2754627,,37704,240025,0
2013-08-08,2,2013,249447.0,,249447.0,1991995,,1727849,-10822,280579,710649,0.0,563078.0,41631,132349,,,281883,32436.0,23381,6712,370287,70690,143171,370094,370094,73113,,456126,,12416,147571.0,1099374,,1226,,,1243919,2013年06月30日,1263833,,3493616,3493616,1425000,464016,2297304,3425695,117000,0.0,,1806498.0,52455.0,772417,1243919,,,2691940.0,462612,28498,3831,3143,419496.0,419496,,7644,,,6185556.0,11358.0,41149,387924,,21016,,394636,2759861,0.0,42342,278581,0
2013-11-08,3,2013,1059.0,,1059.0,1943744,,1788393,84117,370971,520761,0.0,520761.0,38703,195321,,,26005,24946.0,22622,6788,411241,69770,111204,344964,344964,73113,,446653,,9683,0.0,1084388,,3905,,,1244009,2013年09月30日,1324377,,3617222,3617222,1425000,464016,2175037,3409908,111573,0.0,,1826771.0,7051.0,1164837,1244009,,,2630215.0,462612,36110,3831,3143,419496.0,419496,,32,,,6247437.0,47.0,41395,388390,60000.0,20651,,455178,2837529,,47160,320820,0
2014-03-21,4,2013,0.0,,0.0,1983574,,1883420,108640,342553,575190,0.0,,44050,264134,,,24985,24985.0,22795,6700,426848,67734,155494,378829,378829,73113,,491160,,3332,,1051402,,3377,,,1244009,2013年12月31日,1419404,,3781062,3781062,1425000,464016,2135118,3532607,105423,0.0,,1934850.0,16638.0,1023813,1244009,,,2609943.0,462612,36142,3831,3143,419496.0,419496,,0,0.0,,6391005.0,0.0,43244,408125,60000.0,20888,,474825,2858398,,54060,338226,0
2014-05-13,1,2014,0.0,,0.0,1962625,,1945692,139511,356270,511200,,,52440,295100,,,31786,31786.0,24091,7083,432015,50099,155589,341972,341972,73113,0.0,440140,,506,,998555,,4444,,,1244009,2014年03月31日,1481676,,3874300,3874300,1425000,464016,2053000,3542562,100762,0.0,2006517.0,,25746.0,1043622,1244009,,,2519934.0,462612,36142,3831,3143,419496.0,419496,,0,,,6394234.0,0.0,45418,399851,60000.0,20677,,466934,2851672,,69125,361239,0
2014-11-12,3,2014,0.0,,0.0,1953078,,2172376,7232,55772,689775,,603692.0,54384,153494,-27303.0,-27303.0,38240,38240.0,29130,7455,483229,43292,173565,385977,385977,45625,0.0,526053,,7408,86083.0,1208262,,5552,,,1249999,2014年09月30日,1689125,,4023152,4023152,924000,483251,1953377,3882802,92582,,2062297.0,,58408.0,633493,1249999,,,2444311.0,492908,12666,3831,3143,,418883,,23476,30909.0,,6467463.0,0.0,57666,423479,60000.0,20559,,490934,2584661,,79534,419378,0
2015-03-27,4,2014,,,,2007909,,2188453,7231,26972,620558,,,53351,254246,-21894.0,-21894.0,12774,12774.0,36859,10189,451435,41528,268909,327989,327989,40733,0.0,447352,,403,,1083509,,7380,,,1240759,2014年12月31日,1705202,,4132514,4132514,960000,483251,1792355,3862217,91860,,2229478.0,,43095.0,668173,1240759,,,2307879.0,489789,12666,3831,3143,,415764,,23476,30909.0,,6440393.0,,60330,445335,60000.0,21081,,515524,2578176,25460.0,63321,363366,0
2015-05-14,1,2015,,,,2165206,,2215197,0,19740,510674,,,40031,224477,-15483,-15483,13071,,29039,10331,218742,47689,239960,341709,341709,41733,0,396965,,656,,970224,,2913,,176942,1240759,2015年03月31日,1731946,54294,4125580,4125580,1060000,483251,1608790,3602775,86036,,,2089294,,633130,1240759,6269441,2143861,,486880,12666,3831,3143,,415764,,23476,28000,6269441,,,60678,434740,90000,20749,,535071,2666666,0,68887,150304,0
2015-08-04,2,2015,,,,2168726,,2050788,0,69470,582202,,434523.0,38422,186366,-12110.0,-12110.0,15686,,28631,10431,153700,50587,198476,317058,317058,40933,0.0,353422,,863,147679.0,869224,,1105,,172494.0,1239759,2015年06月30日,1522698,54074.0,3922278,3922278,980000,528090,1216724,2988483,79820,,,1609982.0,,210477,1239759,5632693.0,1710415.0,,486298,12666,3831,3143,,415764,,23476,27418.0,5632693.0,,,60624,393260,90000.0,20324,,493691,2644210,0.0,63437,82789,0
2015-11-04,3,2015,,9000,9000,2162176,,2143200,-756,70745,464108,,464108,38575,316472,-7894,-7894,21100,12100,29985,10564,597767,49850,325122,358403,358403,41273,,437693,,798,0,1088674,,677,,190605,1239559,2015年09月30日,1615110,50691,4142685,4142685,1014000,528090,1944663,3605403,80013,,,1987524,,970273,1239559,6706709,2564024,,484727,12666,3831,3143,,426382,,23476,15229,6706709,,,66003,427797,181000,21016,,619361,3101306,430147,35562,96754,0
2016-03-25,4,2015,,14322.0,14322.0,2251323,360946.0,2187195,-2183,49139,563993,,,113549,215140,-14880.0,-14880.0,29060,14738.0,224549,132123,155474,59032,232203,676389,676389,40853,0.0,713272,,17794,,1290557,,2213,82267.0,162158.0,1239019,2015年12月31日,1659105,61941.0,4294903,4084879,972000,528090,2595280,4735757,75633,,,2341088.0,,1209220,1239019,7872697.0,3577794.0,,484378,12666,3831,3143,,426382,,23476,14880.0,7872697.0,,,67246,449144,401247.0,20148,210024.0,982514,3136940,0.0,20166,76294,0
2016-05-12,1,2016,,23332.0,23332.0,2180219,360946.0,2190509,-2183,48912,473885,,,103226,195268,-14706.0,-14706.0,45216,21884.0,229412,131879,202560,56564,212157,615453,615453,40733,0.0,571843,,14433,,1155497,437.0,11324,82267.0,167752.0,1238839,2016年03月31日,1662419,53463.0,4277183,4068573,960000,528090,2388118,4511704,70089,,,2314113.0,,1229278,1238839,7624449.0,3347266.0,,484690,12666,3831,3143,,426382,486.0,23476,14706.0,7624449.0,,,67036,436846,390423.0,19923,208610.0,959148,3112745,,15206,126073,0
2016-08-11,2,2016,,23826.0,23826.0,2071271,0.0,2156742,-2183,47663,533290,,484120.0,451383,129541,-14706.0,-14706.0,46007,22181.0,97388,131699,247136,51220,146430,561307,561307,40733,0.0,536167,124.0,19387,49170.0,1171376,87.0,8432,84868.0,171364.0,1238839,2016年06月30日,1613749,43203.0,4180189,3969079,960000,542993,1838160,4280937,65463,,,1860117.0,,659982,1238839,6968702.0,2788513.0,,484690,12666,3831,3143,,426382,486.0,23476,14706.0,6968702.0,,,114080,430517,388137.0,19286,211110.0,950353,2687765,,16767,176630,0
