date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他長期投資（淨額）,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債評價調整－流動,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－受贈資產合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,966370,630.0,1569562,129407,129407,24216,17844,24315,54717,2628,108933,179925,173715,2112.0,17844,17844,1942.0,3582,523338,523338,0.0,,,516238,0.0,70716,822529,789.0,106991.0,,,0.0,516692,2013年03月31日,1146634,,2738026,2706589,0,347338,866741,2583934,,27393,2159.0,2159.0,,,75590.0,,976255.0,123953.0,0.0,516692,,,1054606.0,602491,35028,314,567149,567149,,3792632.0,2112,164017.0,78932,32221,31437,187865,1208698,18073,0
2013-08-06,2,2013,1059855,630.0,1341652,544937,544937,15244,30583,17312,56621,2628,107425,181389,175434,4354.0,30583,30583,1958.0,3327,657347,657347,,25834.0,,693363,0.0,97986,986609,1597.0,105467.0,,,0.0,516692,2013年06月30日,862510,,2546762,2517252,0,405775,1454073,2904223,,24926,1193.0,1193.0,,,73367.0,,1053815.0,96121.0,0.0,542526,,,1651338.0,602491,35028,314,567149,567149,,4198100.0,4354,113853.0,89840,25884,29510,197265,1293877,19137,0
2013-11-01,3,2013,1135639,630.0,1587880,180549,180549,24722,33111,23925,77692,2628,107679,175222,169330,138.0,33111,33111,1929.0,3264,478720,478720,,,,747265,110000.0,107688,1594870,0.0,105750.0,,,0.0,542526,2013年09月30日,1108738,,2799124,2766008,0,405775,1530219,3174615,,22328,1714.0,1714.0,,,73367.0,,971487.0,90654.0,270000.0,542526,,,1736740.0,602491,35028,314,567149,567149,,4535864.0,138,8740.0,98842,25716,33116,206521,1361249,18384,0
2014-03-10,4,2013,1148443,630.0,1725540,223963,223963,23118,-3475,20672,44910,2628,91617,179506,173619,304.0,-3475,-3475,1947.0,3259,546499,546499,,,,598201,100000.0,93208,1191393,407.0,89670.0,,,0.0,605526,2013年12月31日,1246398,,3752091,3714936,0,405775,1421083,3992907,,19543,1745.0,1745.0,,,73367.0,,2164306.0,104735.0,280000.0,605526,,,1618819.0,1387345,78498,314,1308533,1308533,,5370910.0,304,2423.0,106119,28136,37155,197736,1378003,19851,0
2014-04-30,1,2014,1290593,0.0,1874139,193448,193448,34728,-9618,22709,56471,2628,89885,191832,185955,2441.0,-9618,-9618,0.0,3249,518585,518585,,,0.0,541405,0.0,83278,961725,208.0,89885.0,,,,605526,2014年03月31日,1394997,,3896283,3857392,0,405775,970818,3529896,,23115,850.0,850.0,,,73367.0,1821069.0,,127537.0,0.0,605526,,,1169411.0,1387345,78498,314,1308533,1308533,,5065694.0,2441,115344.0,108708,29408,38891,198593,1535798,21766,0
2014-08-08,2,2014,1369262,0.0,1496324,768453,768453,31449,-20615,32767,98484,2628,90181,194380,188487,120.0,-20615,-20615,0.0,3265,598775,598775,,0.0,0.0,684670,0.0,94341,1201523,490.0,90181.0,,,,605526,2014年06月30日,1016261,,3499966,3468580,0,476588,1681528,3768001,,21633,210.0,210.0,,,3475.0,1609786.0,,101177.0,0.0,605526,,,1886359.0,1387345,78498,314,1308533,1308533,,5386325.0,120,206198.0,114650,32839,31386,204831,1618324,21296,0
2014-10-30,3,2014,1441609,0.0,1791484,241343,241343,31791,-1640,16989,92728,3558,89611,228484,222869,1980.0,-1640,-1640,0.0,2057,588098,588098,,,0.0,810739,0.0,110256,1896683,1573.0,89611.0,,,,605526,2014年09月30日,1311421,,3816259,3782715,0,476588,1275422,3594100,,20184,210.0,210.0,,,3475.0,949717.0,,94115.0,0.0,605526,,,1495903.0,1387345,78498,314,1308533,1308533,,5312162.0,1980,9112.0,130870,27575,33544,220481,1718062,24398,0
2015-03-16,4,2014,1431470,0.0,2029005,250235,250235,58465,20591,29117,82385,4485,65404,208529,198778,1470.0,20591,20591,0.0,5266,526529,526529,,,0.0,682309,0.0,92598,1423242,,65404.0,,,0.0,605526,2014年12月31日,1548942,,4077810,4042467,0,476588,1192582,3782368,,29976,1668.0,1668.0,,,3475.0,1587267.0,,136853.0,0.0,605526,,,1405047.0,1387345,78498,314,1308533,1308533,,5482857.0,1470,67992.0,147061,28846,35343,212465,1700489,36488,0
2015-04-30,1,2015,1500627,,2144896,179203,179203,44691,15374,25233,53850,4485,63336,211193,201454,0.0,15374,15374,,5254,660701,660701,,,0.0,592978,,89416,1254950,,,,,,605526,2015年03月31日,1664833,174675.0,4190584,4153141,0,476588,1061505,3652385,63336.0,35932,,,1654.0,1654.0,3475.0,,1603665.0,,,605526,5431670.0,1241086.0,,1387345,78498,314,1308533,1308533,5431670.0,,0,1941.0,116245,29879,37443,179581,1779285,32587,0
2015-08-07,2,2015,1480206,,1793274,734422,734422,50820,8638,35438,72466,4485,62081,205873,196147,30.0,8638,8638,,5241,536665,536665,,,,616980,,79625,1625286,,,,,,605526,2015年06月30日,1233751,110159.0,3823310,3794783,0,559523,1576654,3839492,62081.0,33829,,,200.0,200.0,0.0,,1527415.0,,,605526,5587719.0,1764409.0,,1387345,78498,314,1308533,1308533,5587719.0,,30,0.0,125674,28119,28527,187755,1748227,26840,0
