date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之子公司,備供出售金融資產－非流動淨額,其他存貨,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,存貨合計,存貨－其他行業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款,應付帳款合計,應付票據,應付票據合計,應收帳款,應收帳款淨額,應收票據,應收票據淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,約當現金,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,銀行借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,,573812,35789.0,35789,658171,74594.0,,,8101.0,46001,46001.0,0,0.0,77414,,,114741,114741.0,300,300.0,41439,11597,11597.0,11597.0,7982.0,0.0,2820.0,,8101,8101.0,0,,,,,4737.0,4737,63333.0,63333,51471.0,51471,7258.0,7258,674938.0,674938.0,770660,2013年03月31日,423253,,3159037,1727195,0,234918,929387,2738509,95218,,2663397.0,37575.0,663000,2663397.0,770660,,,970826.0,220950,,220950.0,220950,,,4129863.0,,0.0,,663000.0,,1431842,41439,1391354,7982,0
2013-08-12,2,2013,,594421,27894.0,27894,493585,,,,13433.0,198789,198789.0,55081,55081.0,74360,74360.0,74360.0,105271,105271.0,300,300.0,44099,11823,11823.0,11823.0,2932.0,0.0,,,13433,13433.0,0,77066.0,,1127550.0,1127550.0,4767.0,4767,57136.0,57136,51694.0,51694,8199.0,8199,646272.0,646272.0,770660,2013年06月30日,227339,,3092983,1659061,0,266246,903179,3794844,92557,,3663205.0,28416.0,453000,3663205.0,847726,,,2074828.0,243390,,243390.0,243390,,,5167811.0,55800.0,0.0,,453000.0,,1433922,1171649,1372967,2932,0
2013-11-11,3,2013,,719272,25894.0,25894,549660,,,,14193.0,209820,209820.0,206,206.0,80333,80333.0,80333.0,105454,105454.0,300,300.0,46246,11673,11673.0,11673.0,9873.0,0.0,,,14193,14193.0,0,,,1133850.0,1133850.0,11782.0,11782,36830.0,36830,51463.0,51463,4871.0,4871,662935.0,662935.0,847726,2013年09月30日,283414,,3157452,1721109,0,266246,873490,3701330,89934,,3620424.0,11004.0,447000,3620424.0,847726,,,2053586.0,243390,,220950.0,220950,22440.0,,5211038.0,51600.0,0.0,,447000.0,,1436343,1180096,1509708,9873,0
2014-03-07,4,2013,,819637,25894.0,25894,614369,,,,20230.0,51469,51469.0,7529,7529.0,72435,72435.0,72435.0,109539,109539.0,300,300.0,52730,13051,13051.0,13051.0,7318.0,1213547.0,,,20230,20230.0,0,,,1140150.0,1140150.0,31678.0,31678,37329.0,37329,58550.0,58550,4762.0,4762,667540.0,667540.0,847726,2013年12月31日,348123,,3228596,1777920,0,266246,824427,3632084,87697,,2319848.0,25717.0,510000,2319848.0,847726,,,2017307.0,243390,,243390.0,243390,,,5245903.0,58695.0,1213547.0,,510000.0,,1450676,1192880,1613819,7318,0
2014-03-26,4,2014,,1606932,25035.0,25035,730719,0.0,,603840.0,42572.0,141057,141057.0,2946,2946.0,0,,,321148,321148.0,630,630.0,71566,24875,,,47220.0,0.0,0.0,,42572,42572.0,436270,,0.0,1165350.0,1165350.0,73080.0,73080,94070.0,94070,101510.0,101510,13852.0,13852,0.0,0.0,1396215,2014年12月31日,438769,,4914174,4111557,8778066,291950,1287958,3497593,2842214,3288863.0,,64323.0,550000,3288863.0,1396215,,,3687874.0,2420893,,2398453.0,2398453,22440.0,,8602048.0,44280.0,0.0,1559.0,550000.0,1163000.0,802617,2399916,5104455,47220,0
2014-04-24,1,2014,,905199,25894.0,25894,674140,,,,22230.0,45134,45134.0,17212,17212.0,71135,71135.0,71135.0,126789,126789.0,300,300.0,53841,13668,13668.0,13668.0,4780.0,1212084.0,,,22230,22230.0,0,,0.0,1146450.0,1146450.0,31374.0,31374,24692.0,24692,62760.0,62760,3184.0,3184,676813.0,676813.0,847726,2014年03月31日,407894,,3287319,1836391,0,266246,794680,3570651,90065,2248101.0,,38210.0,465000,2248101.0,847726,,,1994971.0,243390,,243390.0,243390,,,5282290.0,63481.0,1212084.0,,465000.0,,1450928,1200291,1711639,4780,0
2014-05-05,1,2015,,1787714,25035.0,25035,832440,3044.0,,1608267.0,59323.0,116354,116354.0,1193,1193.0,3044,,,348537,348537.0,817,817.0,74069,27325,,,52225.0,,0.0,,59323,59323.0,436270,,0.0,1171650.0,1171650.0,53111.0,53111,47398.0,47398,106390.0,106390,14994.0,14994,0.0,0.0,1396215,2015年03月31日,540490,91820.0,5017934,4216322,8778066,291950,1221380,2330952,2830181,,2096010.0,,511000,2096010.0,1396215,8611033.0,3593099.0,,2420893,,2398453.0,2398453,22440.0,8611033.0,,53160.0,0.0,1559.0,511000.0,1126000.0,801612,2371719,6280081,52225,0
2014-07-21,2,2014,,955539,25894.0,25894,541970,,,,20568.0,259348,259348.0,22024,22024.0,66240,66240.0,66240.0,123057,123057.0,300,300.0,55095,14984,14984.0,14984.0,8009.0,1957104.0,,,20568,20568.0,0,0.0,0.0,1152750.0,1152750.0,29684.0,29684,38047.0,38047,48725.0,48725,6479.0,6479,634831.0,634831.0,847726,2014年06月30日,250020,,3143769,1699326,0,291950,869270,3502093,87543,1438884.0,,28254.0,325000,1438884.0,847726,,,2077115.0,243390,,243390.0,243390,,,5220884.0,65880.0,1957104.0,,325000.0,,1444443,1207845,1718791,8009,0
2014-11-10,3,2014,,1102880,25894.0,25894,623245,66119.0,66119.0,,33421.0,262477,262477.0,7903,7903.0,67293,,,125508,125508.0,300,300.0,57112,16747,16747.0,16747.0,9692.0,1692048.0,1174.0,1174.0,33421,33421.0,0,,0.0,1159050.0,1159050.0,57271.0,57271,41093.0,41093,46580.0,46580,6366.0,6366,649379.0,649379.0,847726,2014年09月30日,331295,,3239713,1781654,0,291950,864426,3440724,84677,1644414.0,,22917.0,290000,1644414.0,847726,,,2080588.0,243390,,220950.0,220950,22440.0,,5320301.0,65160.0,1692048.0,,290000.0,,1458059,1216162,1879577,9692,0
2015-07-30,2,2015,,1934317,25035.0,25035,713335,,,2097548.0,76901.0,390184,390184.0,875,875.0,-4326,,,1513704,1513704.0,1212,1212.0,77251,29747,,,50407.0,,,,76901,76901.0,436270,,0.0,0.0,0.0,90711.0,90711,47240.0,47240,133503.0,133503,14830.0,14830,0.0,0.0,1396215,2015年06月30日,388612,54289.0,4884884,4107403,8778066,324723,2307168,1638070,2818034,,1360342.0,,173000,1360342.0,1396215,8544303.0,3659419.0,,2438449,17556.0,2398453.0,2398453,22440.0,8544303.0,,38040.0,0.0,1552.0,173000.0,1275000.0,777481,1352251,6906233,50407,0
