date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-08-13,2,2013,360608,606706,394977,,2898,0,1784,393754,12600,67633,211632,1784,956279,0,,85366,13,7887,78456,24,384,605243,2013年06月30日,386906,,1433055,1394774,0,219800,929224,1836955,10040,,331785,10881,,22700,605243,,13646,15204,,1012061,181041,,0,,181041,,2445116,385391,,25881,38281,82837,608161,69138,0
2014-03-26,4,2013,339654,639092,187727,,649,11006,2347,415165,15450,78832,198162,2347,916214,,,80071,0,2175,70120,0,687,605243,2013年12月31日,419292,,1504465,1430980,0,219800,741931,1766945,7671,,350563,6462,,37000,605243,,13331,13781,,834544,184298,3257,0,,181041,,2339009,358054,,26577,73485,92613,572064,44202,0
2014-05-12,1,2014,299394,668591,133751,,472,0,2768,450568,300,77757,266109,2768,642350,,0,109495,0,2371,51250,0,695,605243,2014年03月31日,448791,,1460900,1460900,0,219800,719449,1671829,10196,581234,,10102,,0,605243,,13162,11233,,808439,184298,,,3257,181041,,2269339,358332,,21811,0,88990,597510,37196,0
2014-08-11,2,2014,294064,610786,247744,,769,0,949,499967,0,76550,327102,949,807240,,0,108976,0,10445,55335,314,902,605243,2014年06月30日,383647,,1401276,1401276,0,227139,891375,1728463,8514,415231,,10957,,0,605243,,13286,10742,,978667,184298,,,3257,181041,,2379943,413034,,21800,0,87292,651480,35638,0
2014-11-12,3,2014,288332,636797,182604,,1820,0,4033,527898,0,75818,263517,4033,820297,,0,184789,,4153,59182,314,434,668000,2014年09月30日,409658,,1681532,1681532,0,227139,917313,2103022,8029,754914,,5064,0,0,668000,,12805,10358,,1003489,372702,,,3257,369445,,2685021,414768,,22121,0,86176,581999,51293,0
2015-03-25,4,2014,288578,676767,156470,,1568,0,7965,532065,0,67919,215542,7965,836967,,0,24208,,1730,37381,314,290,668000,2014年12月31日,449628,,1725434,1725434,0,227139,737587,2011633,7537,640177,,10461,,0,668000,,12653,10328,,816022,372702,,,3257,369445,,2541456,466098,188,18166,0,78435,529823,28838,0
2015-05-07,1,2015,284906,694769,124536,,469,,6663,549692,2350,67881,159204,6663,771480,,0,103221,,1704,38933,314,0,668000,2015年03月31日,467630,15633,1742134,1742134,0,227139,806609,2158569,6525,,664026,,,,668000,2627658,11823,11027,885524,,372702,,,3257,369445,2627658,,648734,7,18454,0,78915,469089,32263,0
2015-08-14,2,2015,298838,596297,270861,,389,,4922,563957,2350,68245,109990,4922,756435,,0,69248,,1623,37143,314,0,668000,2015年06月30日,356470,10340,1641921,1641921,0,239827,927916,2215553,5519,,547303,,,,668000,2648952,11887,10870,1007031,,372702,,,3257,369445,2648952,,838907,0,19052,0,79115,433399,32712,0
2015-11-10,3,2015,311810,609100,166408,,783,0,9736,561298,1150,68369,80490,9736,805294,,0,150027,,2534,57641,314,0,668000,2015年09月30日,369273,3964,1659538,1659538,0,239827,895591,2218537,4684,,645458,,,0,668000,2636001,11360,11357,976463,,372702,,,3257,369445,2636001,,671575,1146,20480,0,80872,417464,36322,0
2016-03-22,4,2015,343719,661287,168609,,28269,,8142,560181,4050,55553,79916,8142,844989,,0,60378,,472,51187,0,0,668000,2015年12月31日,421460,15522,1710131,1710131,0,239827,816790,2145230,4728,,644799,,,,668000,2593789,11628,11244,883658,,372702,,,3257,369445,2593789,,539901,71,20196,0,66868,448559,32035,0
2016-05-10,1,2016,354710,675936,108834,,864,,6605,570221,4100,55325,79648,6605,893065,,0,145675,,282,36511,0,0,668000,2016年03月31日,436109,19638,1723243,1723243,0,239827,856613,2185539,5181,,738951,,,,668000,2646266,11963,11085,923023,,372702,,,3257,369445,2646266,,483930,0,21188,,66410,460727,28118,0
2016-08-09,2,2016,387611,578752,248047,,10168,,5353,574403,4050,55247,129281,5353,943109,,0,95166,,2036,42692,0,0,668000,2016年06月30日,329666,6287,1624807,1624807,0,249086,938414,2086190,4556,,694816,,,,668000,2629215,12475,10747,1004408,,372702,,,3257,369445,2629215,,354317,0,21577,,65994,543025,37038,0
2016-11-10,3,2016,394898,562534,126500,723,11983,,2936,583915,84350,55331,187277,2936,938010,,0,132761,,2756,43576,0,0,668000,2016年09月30日,313448,0,1606462,1606172,0,249086,859128,1922277,4899,,536225,,,,668000,2531817,12473,10896,925355,,372702,,,3257,369445,2531817,,255763,0,22466,290,66227,609540,52370,0
