date,season,year,不動產、廠房及設備合計,代收款,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之子公司,備供出售金融資產評價調整－非流動,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,備抵呆帳－應收關係人帳款、分期帳款及租賃款,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他短期借款,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,員工福利負債準備－流動,商品存貨,商譽,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,土地成本,土地淨額,在製品,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,工程存出保證金,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應付租金,應付薪資,應付設備款,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－土地－累計公允價值變動數,投資性不動產－土地－重估增值,投資性不動產－建築物,投資性不動產－建築物－累計公允價值變動數,投資性不動產－建築物－重估增值,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良成本,租賃改良淨額,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－其他設備,累計減損－土地,累計減損－房屋及建築,累計減損－投資性不動產－土地,累計減損－投資性不動產－建築物,累計減損－機器設備,累計減損－租賃改良,累計減損－辦公設備,累計減損－運輸設備,股本合計,與待出售非流動資產直接相關之負債,製成品,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資本公積－限制員工權利股票,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期預付租金,零用金／週轉金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付貨款,預付退休金－非流動,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-06,1,2013,125623,,,,-25089,3259,,3259.0,5514,8773,1421,40,,58538,17665,,,4777,,,,-4047,3140,,439,439.0,,7198,3479,,8815,1998,1998.0,1998.0,,,,,,-7306,,40130.0,40130,,40536,40536,,,0.0,209089.0,209089.0,,,43432,,,,665,,,,187731,186310,,,8112,8072,8815.0,23187,15295,,,,,,,,44530,44530,579699,2013年03月31日,-110734.0,0.0,,113100,64249,561693,561693,0,72605.0,214092,600678,,,,,13040.0,,127320.0,7472.0,80528,1506,973,,3719,7892,,48851,533,516,388,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,579699,2652.0,,,,,224000.0,11130,221.0,4023,5222,0,1664,0.0,1664.0,,,785693.0,653,137,,24135,1748,1360,1093,1093.0,4091,,,,,,,0.0,9908,185015,,,,,,,0,
2013-08-14,2,2013,130186,,,,-13920,3259,,3259.0,5514,8773,1244,52,,64828,19661,,,3983,,,,-6158,3112,,554,554.0,,7198,3075,,8029,1044,1044.0,1044.0,,,,,,-9417,,40130.0,40130,,40355,40355,,,0.0,157773.0,157773.0,,,39559,,,,538,,,,169735,168491,,,10514,10462,8029.0,23187,15118,,,,,,,,46144,46144,579699,2013年06月30日,-13920.0,0.0,,118135,69477,570751,570751,0,0.0,216342,605825,,,,,0.0,,201683.0,4327.0,81000,1506,911,,4123,8069,,48658,595,481,461,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,579699,3317.0,,,,,225827.0,11130,221.0,4023,5222,0,1664,0.0,1664.0,,,796578.0,669,188,,22524,1748,1287,1456,1456.0,4606,,,,,,,0.0,9485,190753,,,,,,,0,
2013-11-11,3,2013,135980,,,,-29721,3259,,3259.0,5514,8773,1257,53,,66430,16995,,,4359,,908.0,,-9194,3677,,688,688.0,,6718,2693,,6944,3099,3099.0,3099.0,,,,,,-12453,,40130.0,40130,,35077,35077,,,0.0,0.0,0.0,,,39492,,,,519,,,,166445,165188,,,9721,9668,6944.0,23273,15020,122781.0,8713.0,0.0,0.0,193923.0,0.0,0.0,45441,45441,908699,2013年09月30日,-29721.0,0.0,,156559,75745,916993,916993,0,0.0,170039,774631,,,,,0.0,,535607.0,1528.0,41398,1252,858,,4020,8253,75009.0,62178,394,161,924,5.0,0.0,0.0,0.0,4846.0,18636.0,0.0,0.0,0.0,946718,0.0,,,,,178623.0,9190,0.0,3968,5222,0,0,0.0,0.0,,,1095616.0,326,165,0.0,23136,2293,1369,1640,1640.0,4911,,,,,,,0.0,8584,320985,,,,,,38019.0,2622000,
2014-03-30,4,2013,137135,,,,-1647,1526,,1526.0,5514,7040,1693,45,,72675,20528,,,4318,,280.0,,-11565,4366,,1087,1087.0,,6677,2337,,3306,1974,1974.0,1974.0,,,,,,-13091,,40130.0,40130,,36077,36077,,,0.0,0.0,0.0,,,43255,33249.0,33249.0,,1876,,,,248892,247199,,,8974,8929,3306.0,23273,14836,117660.0,,,,203009.0,,,46704,46704,935159,2013年12月31日,-1647.0,0.0,,113294,73598,943044,943044,0,0.0,271325,904595,,,,,0.0,,583837.0,,95376,5042,4502,,4340,8437,85349.0,39696,540,191,1032,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,935159,0.0,,,,,276626.0,21097,0.0,258,5222,15617,15617,0.0,0.0,,,1219670.0,650,459,0.0,22868,2305,1273,1995,1995.0,4562,,,,,,,0.0,5301,315075,,,,,,0.0,0,
2014-05-14,1,2014,133562,,,,15284,1526,1526.0,,7040,7040,2004,28,,76451,18102,,,4269,4269.0,0.0,0.0,-6680,3645,3645.0,3654,,,6925,2450,,2604,1924,,,,11927.0,,,,-8206,-8206.0,,40130,11769.0,34129,34129,,,,,0.0,0.0,36702.0,36702,10102.0,10102.0,995.0,995,,,,324675,322671,,,5739,5711,2604.0,23273,14652,116995.0,8857.0,,,194702.0,,,47706,47706,935159,2014年03月31日,,,,112398,68937,964860,964860,0,,289206,946876,,,,840.0,,553808.0,,,143209,5110,4211,,4475,8621,86564.0,43461,899,242,1150,,,,,,,,,,935159,0.0,9593.0,,,,293805.0,21097,,0,5222,15617,15617,,0.0,258.0,,1258665.0,1250,1008,,22634,3324,2174,1995,,4562,,553678.0,,,,130.0,,4599,311789,,,,,,,0,
2014-08-13,2,2014,129916,,,,19894,1526,,1526.0,5514,7040,1242,27,825.0,70551,22652,,,4639,,0.0,,-9356,3508,,146322,146322.0,,6542,2272,,0,4450,4450.0,4450.0,,,,,,-10882,,40130.0,40130,,40802,40802,,,,0.0,0.0,0.0,,47366,5388.0,5388.0,,891,,,,164244,163002,12243.0,11418.0,6496,6469,0.0,23188,14473,112492.0,8624.0,,,190815.0,,,49041,49041,935159,2014年06月30日,19894.0,,,108948,63129,966794,966794,0,,294495,955783,,,,,,558209.0,,3773.0,140366,5110,3849,,4270,8715,86947.0,45819,1261,211,1281,,,,,,,,,,935159,0.0,,,,,296490.0,21097,258.0,0,5222,15617,15617,,0.0,,,1263284.0,1680,1469,,24922,5875,4594,1995,,4562,,,,,,,,1995,307501,,,,,,,0,
2014-11-13,3,2014,131149,,,,31323,1526,1526.0,,7040,7040,1265,32,22.0,77142,20199,,52076.0,4495,4495.0,67179.0,67179.0,-6964,3576,3576.0,259881,37286.0,,11158,6622,222595.0,0,4196,4196.0,4196.0,36958.0,10999.0,2197.0,9.0,,-8490,-8490.0,40130.0,40130,5799.0,33044,33035,9.0,,,,,0.0,42422.0,42422,5489.0,5489.0,690.0,690,,25066.0,,168807,167542,9051.0,9029.0,6668,6636,0.0,23188,14294,112380.0,8727.0,,,194370.0,,,45818,45818,935159,2014年09月30日,31323.0,,,95089,60260,980615,980615,0,,410285,1087750,,,,1072.0,,502986.0,,0.0,258570,5135,3576,31323.0,4536,8894,90717.0,34829,1559,370,1538,,,,,,,,,,935159,,15165.0,,2197.0,,412280.0,21097,258.0,0,5222,15617,15617,,,,,1392895.0,2242,1872,,36958,5933,4395,1995,1995.0,4562,258570.0,502235.0,,,,751.0,,1995,305145,,,,,,0.0,0,
2015-03-30,4,2014,126536,3152.0,,,44534,591,591.0,,6105,6105,1344,43,,71687,13360,42128.0,,4488,4488.0,0.0,0.0,-3750,3355,203.0,249795,44012.0,,9756,6285,205783.0,0,8064,4553.0,4553.0,22570.0,10493.0,2000.0,0.0,,-4341,-4341.0,40130.0,40130,8178.0,38159,38159,0.0,,0.0,,,0.0,40884.0,40884,5742.0,5742.0,334.0,334,,29559.0,,204102,202758,,,8642,8599,0.0,23188,14114,115255.0,9071.0,,,203337.0,,,46988,46988,935159,2014年12月31日,44534.0,,,91036,56829,997040,997040,0,0.0,381704,1076652,,,,1326.0,0.0,550283.0,,637.0,243705,5135,3208,44534.0,3471,9074,97153.0,34207,1927,530,1831,,,,,,,,,,935159,,18162.0,,2000.0,,386828.0,21097,0.0,258,5222,15617,15617,,,,,1383868.0,2252,1722,0.0,22570,6079,4248,5124,5124.0,4268,243705.0,549520.0,,,,763.0,0.0,5124,307216,,,,3511.0,,0.0,0,
2015-05-12,1,2015,132514,,,,40838,591,591.0,,6105,6105,1510,27,,63657,18899,,,4799,4799.0,0.0,0.0,-4618,4060,4060.0,78224,29529.0,,9522,6005,48695.0,0,8665,4639.0,4639.0,,10696.0,2089.0,,,-5209,-5209.0,,40130,12718.0,38575,38575,,,,,0.0,0.0,39145.0,39145,5657.0,5657.0,284.0,284,,,,225498,223988,,,5472,5445,,23188,13936,111275.0,8878.0,,,200328.0,,,47819,47819,935159,2015年03月31日,,,637.0,101424,63821,992476,992476,0,,328488,1015442,0.0,4026.0,,1151.0,,,568479.0,,194060,5135,2842,,3508,9252,97931.0,37603,2293,703,2081,9.0,,,,,,,,,935159,,14010.0,1326088.0,2089.0,333612.0,,21097,,0,5222,15617,15617,,0.0,258.0,1326088.0,,2534,1831,,15540,6030,3949,5124,,4268,,568292.0,,,,187.0,,5124,310646,80392.0,,80392.0,,,,0,
2015-08-11,2,2015,296947,3653,,,35741,591,591,,6105,6105,1609,29,0,68985,21036,34615,10192,3551,,8192,8192,-7518,5689,291,126739,35273,1281,35309,32155,48010,0,36321,7091,7091,,10869,2247,,46434,-8109,-8109,40130,40130,9420,41918,41918,,43456,,,,0,63859,63859,8867,8867,513,513,1028,21358,1792,287144,285535,0,0,5877,5848,,117652,107859,107970,8735,,,99235,,,49733,49733,935159,2015年06月30日,35741,,0,148461,106914,1172358,984479,0,,363809,993513,0,4555,46434,782,,,476466,,192613,5278,2614,,3154,9793,,41547,2664,900,2347,,,,,,,,,,935159,,20847,1541291,2247,368933,,21097,,258,5222,15617,15617,,0,,1541291,,3649,2749,,15780,6873,4526,5124,,4268,191332,476076,,,24675,390,187879,5124,547778,29484,,29484,,1745,,0,1745
