date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,1411293,45500,3109000,974,31037.0,5636,406438,88294,-1269,,84289,152438,153400,102130,-2243,1042831,,962381,88942,1492195,16018,177703,2740,3176890,2013年03月31日,2064412,,6830968,6790357,0,986771,1786813,6871891,53734,,18074.0,0.0,57817,,4031004.0,61017.0,183746,3176890,,,1941040.0,505736,2142,503594,,8772008.0,827,101381,40611,154227,1900117,0
2013-08-12,2,2013,1557832,45500,2925764,896,31086.0,5636,857232,81496,11881,,95456,68196,154198,128709,10985,1262934,,1118486,112758,1635340,10013,12295,2496,3176890,2013年06月30日,1829888,,6656115,6620271,0,1038059,2438090,7336230,52781,,17012.0,0.0,57817,,4230153.0,71732.0,182426,3176890,,,2594839.0,505736,2142,503594,,9250954.0,2551,109475,35844,156749,1914724,0
2013-11-12,3,2013,1537226,45500,3091152,0,0.0,5636,424379,54646,2587,,76780,678109,155006,121832,2587,1118919,,994184,91374,1684522,6007,12271,2496,3176890,2013年09月30日,1995276,,6807272,6776365,0,1038059,1833878,6898516,53815,,4368.0,0.0,57817,,3351945.0,68235.0,178926,3176890,,,1989043.0,505736,2142,503594,,8796315.0,159,119023,30907,155165,1897799,0
2014-03-18,4,2013,1512869,45500,3288122,0,0.0,5636,504914,38739,16034,,90473,758563,155912,120021,16034,1036892,,1095237,99375,1631258,5838,12247,0,3176890,2013年12月31日,2192246,,7007227,6986782,0,1038059,2068869,7375884,47221,,4758.0,0.0,57817,,3899836.0,90282.0,188588,3176890,,,2229779.0,505736,2142,503594,,9237006.0,4998,117628,20445,160910,1861122,0
2014-05-12,1,2014,1477281,45500,3472363,0,0.0,5636,489285,35708,13205,,124183,775071,155034,126934,13205,1082554,0.0,888769,90186,1515656,12575,12010,0,3176890,2014年03月31日,2376487,,7181752,7168194,0,1038059,1912785,7427408,46771,,0.0,0.0,57817,4005844.0,,117821.0,202541,3176890,,,2081907.0,505736,2142,503594,,9263659.0,14088,122119,13558,169122,1836251,0
2014-08-12,2,2014,1449194,45500,2997091,0,0.0,5636,1026643,57802,-467,,140890,635549,155175,161136,-467,1088557,0.0,779984,86986,1349718,3254,12199,0,3176890,2014年06月30日,1823847,,6753598,6679250,0,1115427,2281587,7346411,44740,,0.0,0.0,57817,4211531.0,,71419.0,175665,3176890,,,2436902.0,505736,2142,503594,,9190500.0,140,125684,74348,155315,1844089,0
2014-11-12,3,2014,1484996,45500,3170238,0,0.0,5636,472741,32424,18148,,166120,849420,155645,164454,18148,1333609,0.0,1186989,83722,1241259,10129,12175,0,3176890,2014年09月30日,1996994,,6935296,6871012,0,1115427,2095685,7323141,42993,,0.0,0.0,57817,3856300.0,,7221.0,178892,3176890,,,2265360.0,505736,2142,503594,,9200656.0,14030,121761,64284,169675,1877515,0
2015-03-20,4,2014,1644336,38500,3379838,0,,5636,522984,68401,44607,,150092,1052112,160543,173342,44607,1305450,0.0,1015418,95875,1110139,11351,12151,0,3176890,2014年12月31日,2206594,,7163181,7107071,0,1115427,2015719,7338400,41389,,0.0,,57817,3790947.0,,47119.0,184231,3176890,,,2213826.0,505736,2142,503594,,9377007.0,37564,123253,56110,198107,2038607,0
2015-05-12,1,2015,1608073,38500,3458955,0,,5636,562092,62020,35968,,204220,958207,160226,152772,35968,1276177,0.0,893221,118960,1321248,7118,31950,49979,3176890,2015年03月31日,2285711,80524.0,7229086,7177549,0,1115427,2039960,7396567,40266,0.0,,,57817,,3771797.0,,180943,3176890,9445207.0,2216121.0,,505736,2142,503594,9445207.0,,15935,121464,51537,176161,2048640,0
2015-08-12,2,2015,1598300,38500,3098117,0,,5636,997764,89543,20389,,221548,946646,156748,217027,20389,2006030,0.0,1294971,120006,1231301,5348,31894,47243,3176890,2015年06月30日,1864268,60149.0,6846476,6801132,0,1176032,2870986,7809170,39263,0.0,,,57817,,3530302.0,,176548,3176890,9887856.0,3041380.0,,505736,2142,503594,9887856.0,,13646,100823,45344,170394,2078686,0
