date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,專利權,專利權淨額,庫藏股票,待註銷股本股數,應付帳款合計,應收帳款淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-04-30,1,2013,73173,1592179,3000,29736,405358,141211,141211,-1541,181461,2988,63958,20430,89.0,95288,95288,666.0,-1541,,497024,3744.0,3744.0,0.0,,221546,312734,20341.0,13897.0,,811390,2013年03月31日,371670,1842195,1842195,0,33688,600295,1308658,,4410,,,377640.0,26341.0,0,811390,,29736,,1286820.0,626988,,3129015.0,,7277.0,18052,104306,648043,686525,1820357,57302,105300,0,105300.0
2013-08-09,2,2013,73258,1590360,3000,35637,455888,282631,282631,-431,267923,3831,27325,20108,,78828,78828,666.0,-431,90.0,618624,3679.0,3679.0,0.0,,401696,445960,20018.0,13881.0,12092.0,811390,2013年06月30日,397755,1772127,1772127,0,51309,1025686,1593228,,4345,6824.0,,419989.0,17799.0,20000,811390,,35637,,1625880.0,505280,,3398007.0,,7440.0,17411,94833,562675,600194,1804779,81330,190834,0,
2013-11-13,3,2013,73294,1606039,3000,39116,533945,155587,155587,-2932,293852,4185,52954,19790,,70177,70177,666.0,-2932,89.0,544795,3615.0,3615.0,0.0,,215748,425664,19701.0,13866.0,7681.0,811390,2013年09月30日,475812,1847683,1847683,0,51309,795118,1426869,,4281,6824.0,,356106.0,30815.0,60000,811390,,39116,,1378373.0,505280,,3226056.0,,7333.0,19124,86810,544341,583255,1799187,47350,216373,0,
2014-03-14,4,2013,33306,1677423,3000,45463,620681,229246,229246,-1108,110488,3731,69923,19920,,29473,29473,666.0,-1108,0.0,381777,3549.0,3549.0,0.0,,195296,556301,19920.0,0.0,5082.0,811390,2013年12月31日,562548,1937962,1937962,0,51309,686765,1438254,,4215,6824.0,,396948.0,46272.0,60000,811390,,45463,,1306980.0,506999,,3244942.0,,7610.0,24273,79885,576022,620215,1806688,33305,73451,0,
2014-04-25,1,2014,33306,1700896,3000,44349,626156,153839,153839,681,93458,1953,45836,19703,,59270,59270,666,681,0,380110,3484,3484,,0,189736,388390,19703,0,3939,811390,2014年03月31日,568023,1945226,1945226,0,51309,606547,1306375,,4150,6824,453061,,50165,75000,811390,,44349,,1218737,506999,,3163963,,7902,24781,78431,567706,612190,1857588,38978,58199,0,
2014-08-08,2,2014,34084,1664538,3000,38140,413938,389683,389683,-953,157494,6355,37410,19492,,52801,52801,666.0,-953,0.0,410822,3420.0,3420.0,,0.0,219962,443867,19492.0,0.0,4404.0,811390,2014年06月30日,336579,1732736,1732736,0,76251,816469,1343193,,4086,1108.0,414807.0,,11190.0,0,811390,,38140,,1417624.0,508361,,3150360.0,,7864.0,23064,70474,558599,601155,1807167,36287,117055,0,
2014-10-30,3,2014,34088,1737719,3000,36364,491337,163800,163800,1752,106789,5269,81533,19284,,65335,65335,,1752,0.0,500365,,,,0.0,377246,477656,19284.0,0.0,3819.0,811390,2014年09月30日,413978,1812840,1812840,0,76251,930205,1475816,,4021,1108.0,357247.0,,21006.0,225000,811390,,36364,,1552501.0,508361,,3365341.0,,8133.0,22758,67498,580254,622296,1889525,59015,67432,0,
2015-02-26,4,2014,33465,1701678,5680,35436,626286,186730,186730,12027,202743,5884,70603,15771,,105674,105674,666.0,12027,,527009,3290.0,3290.0,,0.0,315579,584166,15771.0,,0.0,811390,2014年12月31日,548927,1956702,1956702,0,76251,936829,1611318,,3956,1108.0,347605.0,,31341.0,165000,811390,,35436,,1522247.0,506999,,3478949.0,,6424.0,27119,44219,542528,585418,1867631,81935,163394,0,
2015-04-28,1,2015,33472,1696324,5680,38359,635084,141420,141420,8846,191152,41366,70214,17394,,82605,82605,666.0,8846,,638093,3225.0,3225.0,,,424263,590530,,,0.0,811390,2015年03月31日,557725,1962319,1962319,0,76251,995194,1733811,17394.0,3891,1108.0,,337960.0,,200000,811390,3561675.0,38359,1599356.0,,506999,3561675.0,,21184.0,0.0,22602,39364,564166,604162,1827864,75830,116314,0,
2015-08-04,2,2015,33476,1665996,3000,41674,512656,266084,266084,5190,170589,28831,59924,17117,,63489,63489,666.0,5190,,624772,3161.0,3161.0,29272.0,,384995,673373,,,14030.0,811390,2015年06月30日,411777,1806963,1806963,509000,100879,1108847,1722654,17117.0,3827,0.0,,265392.0,,245505,811390,3511732.0,41674,1704769.0,,506999,3511732.0,,,0.0,23010,38736,555795,595922,1789078,99193,108282,0,
