date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付費用,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收所得稅退稅款,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,特別股負債－流動,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,528469,15347852,27263,4152349,100000.0,,506251.0,,117773,748355,219886,336886,621270,,1325454,49360,58602,68510.0,1643584,1643584,0.0,,938632.0,966026,300000.0,174009,,2940898,413,256511.0,217599,54572.0,,2598479,2013年03月31日,2966488,,11134992,10152469,0,764071,8507447,7706166,,82130,,,33603.0,,421790,,478397,,1905325.0,156088.0,256511.0,5630063,2598479,,,13422718.0,3283868,,24557710.0,26655,6584.0,25116,35242,3330253,19791.0,279055.0,23528,982523,4915271,16851544,298366.0,997039,0
2013-08-09,2,2013,273478,16276604,27263,3769078,0.0,,1458860.0,679316.0,117967,557193,283715,345831,628414,89554.0,801086,48787,58945,,1855876,1855876,0.0,,943138.0,907623,250000.0,262450,779544.0,3186566,1446,259236.0,277275,54031.0,,2598479,2013年06月30日,2468098,,10783090,9769392,0,879190,9883672,8196728,,80868,,,36120.0,,421790,,484829,,1956611.0,142761.0,259236.0,6279978,2598479,,,14671901.0,3283868,,25454991.0,24807,3218.0,24902,36322,3191775,,281695.0,21923,1013698,4788229,17258263,310669.0,470604,0
2013-11-08,3,2013,1217234,16368229,25970,4111538,0.0,,715148.0,715148.0,-63132,1472047,254813,357266,553713,18850.0,687270,41051,58100,,1856666,1856666,0.0,,0.0,666515,480000.0,287244,,2702730,2420,225138.0,308850,53312.0,,2598479,2013年09月30日,2810558,,10942371,9930753,0,879190,10691396,8034392,,80020,,,36100.0,,421790,,481551,,2201406.0,98307.0,225138.0,6945597,2598479,,,14323511.0,3283868,,25265882.0,26538,855.0,24667,33901,3053735,,271866.0,21920,1011618,3632115,17231490,379061.0,374353,0
2014-03-28,4,2013,982116,16963110,25970,4133366,0.0,,,,-70707,1884695,902579,1060974,557118,18570.0,774161,352038,58562,,2087133,2087133,0.0,,0.0,566255,0.0,228549,,1916133,2208,,176182,49409.0,,2598479,2013年12月31日,2832386,,10944380,9945006,0,879190,8812180,7417713,,78928,,40000.0,37021.0,,421790,,489139,,2135083.0,100179.0,,6008666,2598479,,,14414806.0,3283868,,25359186.0,23836,,24441,62283,5021067,,,20366,999374,5602626,17941473,,422123,0
2014-05-13,1,2014,1118443,17221648,25970,4356953,0.0,,,,117658,1937525,819082,1133045,569948,18219.0,867349,367323,59869,,2157066,2157066,0.0,0.0,0.0,912578,300000.0,243699,,2986907,591,,146908,47855.0,,2598479,2014年03月31日,3055973,,11397536,10356958,0,879190,10622866,8443497,,78530,,40000.0,37843.0,,421790,,503874,1978980.0,,131771.0,,7076459,2598479,,,15340299.0,3283868,,26737835.0,20834,0.0,24312,62998,4123173,,,18661,1040578,4717433,18294338,,500026,0
2014-08-12,2,2014,1314440,17871053,25970,4013419,,23047.0,649620.0,,-67800,2200898,886458,1246293,561217,17271.0,820216,394052,58680,,1835792,1835792,0.0,0.0,0.0,952670,160000.0,222986,649620.0,3436667,1102,,171216,46228.0,48539.0,2598479,2014年06月30日,2601408,,10855842,9827966,0,990221,12693064,9044694,,75597,,0.0,37419.0,,421790,,497718,2352615.0,,118836.0,,8371266,2598479,,,17152455.0,3283868,,28008297.0,16788,1009.0,24283,61762,3873891,,,16917,1027876,4459391,18963603,,426164,0
2014-11-11,3,2014,515035,18313916,25970,4433544,,22678.0,,,18743,1452418,937383,1415628,572508,16996.0,1626485,389441,59771,,2082593,2082593,0.0,0.0,555976.0,890934,350000.0,268573,,2813767,281,,281172,44516.0,46623.0,2598479,2014年09月30日,3021533,,11382167,10334634,0,990221,12264792,9039173,,75215,,0.0,38458.0,,421790,,510996,2445732.0,,111635.0,,9177505,2598479,,,17869506.0,3283868,,29251673.0,13727,0.0,24283,63155,4451947,,,15444,1047533,5604714,20212500,,1237044,0
2015-03-31,4,2014,804404,19139083,25970,4446978,,19340.0,,,294156,1896046,1091642,1558627,599557,17158.0,1805530,387586,62187,,1989581,1989581,,0.0,558671.0,552415,,217023,,2167663,469,,168916,46482.0,45729.0,2598479,2014年12月31日,3034967,,11669390,10623481,0,990221,11309968,7951069,,77698,,0.0,40592.0,,421790,,535917,2065813.0,,117638.0,,8515579,2598479,,,17527576.0,3283868,,29196966.0,11267,,24283,91955,5035097,,,15511,1045909,6217608,21245897,,1417944,0
2015-05-08,1,2015,802654,18872025,40970,4699999,0.0,20393.0,,,23515,1871744,1069090,1499572,595350,16340.0,1854406,430745,61500,,1689904,1689904,0.0,0.0,561366.0,776424,0.0,172680,,3047496,1489,,135869,,43491.0,2598479,2015年03月31日,3287988,144582.0,11714788,10605861,0,990221,11942725,8689311,44832.0,74919,40349.0,,,0.0,421790,,534178,,2274632.0,,,8969310,2598479,29702685.0,17987897.0,,3283868,29702685.0,,7985,0.0,37426,107170,4851030,,,13419,1108927,6045172,21013374,,1423661,0
2015-08-11,2,2015,262310,18486371,40970,4430486,,18284.0,681665.0,,-255251,1402895,1140585,1314151,589676,15576.0,2352789,403447,60635,,1753165,1753165,,0.0,564061.0,1143915,0.0,219388,681665.0,3888213,5289,,217817,,70219.0,3098479,2015年06月30日,2921854,103801.0,13879875,12686582,0,1086842,12256859,9586455,43189.0,72697,40326.0,,,0.0,421790,,530911,,2363004.0,,,8700327,3098479,30734312.0,16854437.0,,5412868,30734312.0,,4868,4490.0,37001,106527,3406840,,,12062,1193293,4597578,21147857,,1949342,0
