date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產評價調整－流動,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵存貨跌價,債券換股權利證書,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預收款,土地成本,土地淨額,在建房地,存貨合計,存貨（建設業適用）淨額,庫存現金,庫藏股票,待售房地,待註銷股本股數,應付帳款,應付帳款合計,應付短期票券,應付短期票券合計,應付短期票券折價,應付票據,應付票據合計,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,持有供交易之金融資產評價調整－流動,持有供交易之金融資產－流動,持有供交易金融負債評價調整－流動,持有供交易金融負債－流動,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,營建用地,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,留抵稅額,當期所得稅負債,短期借款合計,累積盈虧,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計減損－以成本衡量之金融資產－非流動,股本合計,股東往來,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－其他受贈資產,資本公積－受贈資產合計,資本公積－合併溢額,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,銀行借款,銀行存款,銀行長期借款,長期借款合計,零用金／週轉金,非控制權益,非流動負債合計,非流動資產合計,預付土地款,預付投資款,預付款項合計,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,564977,,564977,656,12928,2687,1862052,0.0,0.0,0.0,,,20046.0,65989.0,111078,111078,59570,59570,,,10996,,10996,3374578,62892,31110,31110,41655,13557,147960,147960,147960,217702,11626,245,245,5695675,9915183,9915183,,0.0,1198968,,480933,480933,100000.0,100000.0,0.0,0,0,3300.0,3300,7350.0,7350.0,28098.0,651,411,127103,78686,57786,15.0,30183,,,420404,420404,3966191,2013年03月31日,1523102,,,5997522,5997522,0,338950,6163511,11503878,,,,354400.0,354400.0,2851348,,,678252.0,56941.0,3042.0,2093880,,240,9369,10241,4032180,,,,6205166.0,92294,,121.0,121.0,415.0,20558,61069,61069,10131,,12202688.0,,30198,2093880,677967,,,285.0,0,41655,698810,189238,149872.0,424515,2735083,2746709,0
2013-08-01,2,2013,480906,,480906,652,12928,2687,1316824,0.0,0.0,0.0,,,20046.0,44792.0,679005,679005,69710,69710,,,14331,14331.0,14331,3532464,35771,105258,105258,42221,13957,144412,144412,144412,220482,8153,245,245,5961614,9993404,9993404,285.0,,1198968,,439206,439206,100000.0,100000.0,0.0,0,0,5.0,5,21923.0,21923.0,28264.0,651,407,126821,78686,57786,0.0,9568,,,435973,435973,4032180,2013年06月30日,895009,,,5540489,5540489,0,420485,6922825,11794990,,,,301610.0,301610.0,2623836,1330.0,,857695.0,65463.0,13120.0,2159030,895009.0,244,9651,10241,4076972,,,,6965046.0,132362,,121.0,121.0,415.0,20558,102657,102657,8611,,12505535.0,,9568,2159030,857410,,,,0,42221,710545,229032,149872.0,435817,3007634,3015787,0
2013-11-07,3,2013,462513,,462513,649,160860,150619,1875795,0,0,0,,,20046,10782,159854,159854,82624,82624,241650,241650,9632,9632,9632,3614024,27489,41948,41948,34126,5697,135213,135213,135213,238371,10237,245,245,4879646,10182070,10182070,,,2687393,,732518,732518,0,0,0,120000,120000,0,0,4530,4530,28429,651,404,126535,78686,57786,354,560500,,,440557,440557,4076972,2013年09月30日,1453980,,663395,6113835,6113835,0,420485,6618567,11912955,,,,264020,264020,2529565,1330,,296888,,13071,1979100,790585,247,9937,10241,4087754,,,,6652693,140654,,121,121,415,20558,111290,111290,8270,,12766528,,560854,1979100,296603,,,285,0,34126,853573,105512,,238371,3113785,3124022,0
2014-03-20,4,2013,1433399,,1433399,646,10988,747,2119644,0.0,0.0,0.0,165919.0,165919.0,25138.0,,150138,150138,129861,129861,245950.0,245950.0,13919,13919.0,13919,4430989,33318,41868,41868,34796,6115,134754,134754,134754,161697,3361,245,245,5057221,10035080,10035080,285.0,,2325919,,792507,792507,0.0,0.0,0.0,122728,122728,126435.0,126435,2000.0,2000.0,28681.0,651,401,126249,78686,57786,0.0,127,,,448978,448978,4087754,2013年12月31日,1697829,,,6390801,6390801,0,420485,6492056,12040360,,,,248060.0,248060.0,2529566,1330.0,,1011035.0,38247.0,12894.0,982800,1697829.0,250,10223,10241,4087754,,,,6526852.0,169484,,121.0,121.0,415.0,20558,111290,111290,37100,,12917653.0,,127,982800,1010750,,,,0,34796,877293,147512,,199944,2960911,2964272,0
2014-05-02,1,2014,1435572,,1435572,643,10988,747,2174605,0.0,0.0,0.0,165919.0,165919.0,25138.0,0.0,188743,188743,121317,121317,245000.0,245000.0,20729,,20729,4418625,28372,73487,73487,31555,2721,134085,134085,134085,161376,3522,245,245,5524134,10685927,10685927,,0.0,2251524,0.0,679335,679335,150000.0,150000.0,0.0,120000,120000,30020.0,30020,1213.0,1213.0,28834.0,651,398,125970,78686,57786,77.0,404064,,20.0,458964,458964,4087754,2014年03月31日,1752790,,,6452572,6452572,0,420485,8787117,14384916,,,,628150.0,628150.0,2829895,1330.0,1986154.0,,48131.0,12894.0,3217500,,253,10502,10241,4087754,,,,8818672.0,169484,,121.0,121.0,415.0,20558,111290,111290,37100,,15271244.0,20.0,404141,3217500,1985869,,,285.0,0,31555,886328,105512,0.0,209507,2951159,2954681,0
2014-08-08,2,2014,1437749,,1437749,640,40988,747,2661665,,,,165919.0,165919.0,25139.0,0.0,1014126,1014126,128326,128326,299725.0,299725.0,11914,11914.0,11914,5411848,19822,219569,219569,32044,3058,129783,129783,129783,195749,3702,245,245,5640069,10196389,10196389,285.0,,1398399,0.0,638802,638802,150000.0,150000.0,,120000,120000,30380.0,30380,100.0,100.0,28986.0,651,395,513441,345410,178816,,1178344,,,447032,447032,4087754,2014年06月30日,2151543,,,6930817,6930817,0,510122,9222551,14927850,,,,625014.0,625014.0,3077548,0.0,1992164.0,,62090.0,9215.0,1877000,2151543.0,256,10785,40241,4087754,,,,9254595.0,169484,536.0,,,,20558,111290,111290,37100,,16185412.0,1560.0,1178344,1877000,1991879,,,,0,32044,1257562,105512,0.0,257839,3950575,3954277,0
2014-11-06,3,2014,1436849,,1436849,636,40988,747,2725480,,,,165919.0,165919.0,25139.0,1890.0,296968,296968,230257,230257,311634.0,311634.0,20749,20749.0,20749,5793507,44256,116350,116350,32146,3007,131375,131375,131375,262032,3659,245,245,5847776,10449282,10449282,,,1398399,0.0,588960,588960,,,,18484,18484,,384,32.0,32.0,29139.0,651,391,512551,345409,178817,90.0,174019,2770.0,,477080,477080,4087754,2014年09月30日,2215358,,,7006547,7006547,0,510122,8626700,14377085,,,,637419.0,637419.0,3122734,0.0,2195586.0,,,8111.0,1917900,2215358.0,260,11675,40241,4089644,,,,8658846.0,170674,,121.0,121.0,415.0,20558,112535,112535,37045,,15665393.0,2770.0,174109,1917900,2195301,,,285.0,0,32146,1288308,105512,,262032,4308743,4312402,0
2015-03-20,4,2014,1421810,,1421810,633,10988,747,2726045,,,,238589.0,238589.0,59183.0,10549.0,305137,305137,165280,165280,502312.0,502312.0,55465,55465.0,55465,6756357,48472,50426,50426,30251,3477,411508,136508,136508,197340,709332,245,245,3214274,11524867,11524867,285.0,,5170850,0.0,1471734,1471734,,,,24338,24338,38740.0,38740,0.0,0.0,26774.0,651,388,511660,345410,178816,73.0,507800,4853.0,,765334,765334,4089644,2014年12月31日,2215923,,,7059048,7059048,0,510122,10401730,15562558,,,,1210866.0,1210866.0,3043036,0.0,1309469.0,,55385.0,6411.0,1832900,2215923.0,263,12566,10241,4100193,,,,10431981.0,177345,,121.0,121.0,415.0,20558,119511,119511,36740,,17491029.0,4853.0,507873,1832900,1309184,,,,0,30251,1928471,155890,275000.0,252725,4576743,5286075,0
2015-05-06,1,2015,1276755,,1276755,630,10988,747,3248897,,,,238589.0,238589.0,59183.0,90060.0,308899,308899,173247,173247,0.0,0.0,47124,,47124,5504149,55780,71322,71322,202085,31365,166236,166236,166236,117845,709936,245,245,4373221,10209861,10209861,,,3996264,0.0,1356034,1356034,50000.0,50000.0,,16992,16992,14409.0,14409,526.0,526.0,,651,385,4415593,3543855,892421,1098.0,982662,,440.0,756150,756150,4100193,2015年03月31日,2738775,6411.0,,7944082,7720771,0,510122,8827925,14596147,26920.0,1194440.0,1194440.0,,,1743669,0.0,,1753152.0,77585.0,,1585000,,266,20683,10241,4190253,143800.0,20174092.0,12230010.0,,234497,,121.0,121.0,415.0,20558,179274,179274,34129,20174092.0,,440.0,983760,1585000,1752852,,3200000.0,300.0,223311,3402085,5577945,155890,0.0,195430,3461678,4171614,0
2015-08-06,2,2015,1262039,,1262039,627,40988,747,4085100,,,,238589.0,238589.0,,10183.0,860446,860446,262492,262492,0.0,0.0,36717,36717.0,36717,2616929,76055,74936,74936,202224,31358,170574,170574,170574,19084,748349,245,245,4471136,9134575,9134575,341.0,,2761135,0.0,1277788,1277788,50000.0,50000.0,,13592,13592,42295.0,42295,1.0,1.0,,651,382,4408278,3543855,892421,,225983,,,749695,749695,4190253,2015年06月30日,3444829,70646.0,,8679860,8458653,0,640271,6262581,12776155,27066.0,1087067.0,1087067.0,,,1746414,,,1847884.0,81838.0,,1372000,3444829.0,269,27998,40241,4200436,143800.0,18344665.0,9664805.0,,136400,536.0,,,,20558,81472,81472,33834,18344665.0,,1180.0,225983,1372000,1847543,3200000.0,3200000.0,,221207,3402224,5568510,155890,0.0,100922,530486,1278835,0
