date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,5963689,10193,454590,10519235,49749,10342,166191,3538162,2174791,,-1924899,1716829,1145229,561487,315183,-1974648,36417183,,256727.0,,,36229848,,3667424,510612,58131061,200877,2557535,,943398,16557092,2013年03月31日,7066009,,,40143622,40089034,0,1967819,78188261,110943731,5946539,5000.0,,1485407,,7729821.0,761483.0,18616.0,31759764,16557092,,,84898478.0,14937606,,45083,,5589,14886934,,,125042100.0,4139,16079,339076,303779,5809654,54588,6710217,14098369,2275277,0
2013-08-13,2,2013,6028124,10193,453822,7922930,71374,9510,285585,7648642,1750191,,-1703315,1313452,852001,538396,381641,-1774689,39052752,,,,,38814051,,4154064,177656,63568061,358058,2203525,,945273,16557092,2013年06月30日,2565536,,,37769916,37714341,0,2414390,87945090,117947461,5898303,5000,,2943004,,8426736,742252,11969,35093447,16557092,,,94468856,14937634,,45083,,5617,14886934,,,132238772,1526,15076,326452,293563,5658918,55575,6523766,14291311,1689389,0
2013-11-12,3,2013,6076056,10193,476570,9256593,150626,7458,362697,4057159,1612059,338537.0,-2225955,4106760,873639,552727,369889,-2376581,40194473,,,,,40742253,9621.0,4312798,50409,66589680,236760,2521195,,1012626,16557092,2013年09月30日,3899199,,,38581348,38525350,0,2414390,94270170,122978530,5862496,5000.0,,2943004,,8310171.0,711556.0,12042.0,40266116,16557092,,,98872167.0,14937620,,45083,,5603,14886934,,,137453515.0,13498,13800,319960,309651,3729310,55998,4601997,14474985,2258523,0
2014-03-25,4,2013,5055011,6897,467581,10307793,89377,94158,186547,3908939,1743264,399546.0,-1937752,4645833,527461,445641,400976,-2027129,35056488,,,,,37855857,11252.0,4879919,456174,68544814,265060,2894722,1018200.0,1039601,16557092,2013年12月31日,4950399,,,39936638,39878926,0,2414390,91141959,120776978,5842880,5000.0,,2943004,,9458603.0,511258.0,10497.0,38865842,16557092,,,95169203.0,14951793,,45083,,19776,14886934,,,135105841.0,6885,30818,356865,313067,3224738,57712,4027244,14328863,1744650,0
2014-05-13,1,2014,4909882,6897,493882,11703840,25891,0,147288,4072671,2153911,483071,-969197,4028736,919142,475659,433217,-995088,41296910,,0,0,,39920539,4379,4949695,301550,67038765,266249,2772416,1161128,1048592,16557092,2014年03月31日,6346446,,,42299472,42243528,0,2414390,94322534,127272342,5835553,5000,,2943004,10078211,,774846,4408,40260899,16557092,,,99483331,14951793,,45083,,19776,14886934,,,141782803,9219,29699,529486,475919,4155652,55944,5160797,14510461,2222663,0
2014-08-12,2,2014,4844633,6897,493181,9406246,30881,0,170511,8084664,1417873,520353.0,-1944732,3756964,367033,515777,295481,-1975613,42146390,,,0.0,,40067096,13508.0,4960286,349462,69553902,195487,3482315,1141486.0,1013479,16557092,2014年06月30日,4578473,,,39027891,38971486,0,2890021,100567235,130277840,5795990,5000.0,,1937752,9644501.0,,1008571.0,3240.0,42325626,16557092,,,105529525.0,14952880,,45083,,20863,14886934,,,144557416.0,1058,27489,414451,519815,4032062,56405,4962290,14279576,2912360,0
2014-11-11,3,2014,4685424,6897,484485,10960969,26220,0,157034,4639460,1569444,234521.0,-1058875,1259616,547440,510268,326627,-1085095,47738092,,442454.0,0.0,5776497.0,45688141,3964.0,4987748,506301,76619642,242071,3199687,1107504.0,743051,16557092,2014年09月30日,6133196,,,41704864,41644082,0,2890021,102133033,143885851,5759146,5000.0,,1937752,10669510.0,,1050859.0,2696.0,43987763,16557092,,,115992171.0,15184896,232800.0,45083,,20079,14886934,,,157697035.0,9181,15097,416158,542913,7156215,60782,13859138,13811184,2598300,0
2015-03-30,4,2014,4671850,3497,395496,12331464,75012,45157,417396,4927500,2378924,169419,983761,3991208,672316,455126,394240,908749,47373506,,,0,5796140,40710731,2058,4087766,438529,78752090,269541,3228163,1148625,816213,16557092,2014年12月31日,7503691,,,45120070,45058119,0,2890021,100236465,146245684,5756557,5000,,1937752,11184859,,874507,2760,45193990,16557092,,,115226780,15185802,232800,45083,,20985,14886934,,,160346850,10176,15713,433431,495789,8305618,61951,14990315,14101166,2149739,0
2015-05-12,1,2015,4636032,3497,429463,13726297,75237,42645,403906,4472631,3418800,103059.0,367118,3923972,579867,471882,362031,291881,55162987,,,0.0,5815850.0,44728023,875.0,4043148,586973,69373069,224851,2612049,1135367.0,816126,16557092,2015年03月31日,8898524,1191784.0,1949.0,45909027,45837379,0,2890021,97741383,143732755,5714319,,5000.0,1937752,,9284281.0,,,38790931,16557092,157717150.0,111808123.0,,15186872,232800.0,45083,,22055,14886934,,157717150.0,,3046,19389,409350,482151,7369658,71648,14066740,13984395,2906312,0
2015-08-14,2,2015,4602151,0,469047,10748007,14826,14265,367704,8678098,3644208,99636.0,-583681,4764530,819363,464528,333780,-598507,55823387,1526.0,10499.0,0.0,5835628.0,46137496,0.0,3308311,684920,77246402,280025,3930399,1109681.0,634096,16557092,2015年06月30日,7277268,1179077.0,1949.0,42420487,41906914,39481,3470739,110805213,153013808,5737114,,5000.0,0,,8500599.0,,,46050423,16557092,166752211.0,124331724.0,,15187022,232800.0,45083,,22205,14886934,,166752211.0,,2358,54892,405707,479830,6820648,513573,13526511,13738403,2588184,0
