date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,員工福利負債準備－非流動,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,616880,567996,2033729,2225,,,,-157937,184317,266273,8773,127019,92636.0,,2453,29242.0,69373,15042,,2160818,,3570181,1014742,,1524216,,2103901,29370,,678931,2382334,2013年03月31日,970214,,4825516,4824642,810615,874101,7017687,10028464,2965,189414,,5073501.0,58814.0,24030,2382334,,4785,214070,,7247250.0,581558,,12072766.0,42553,6720,50511,,874,229563,2044302,917052,5141.0,0
2013-08-12,2,2013,616072,566258,1927191,12754,,,,-139283,699064,258093,2474,225856,,,2474,,66096,15042,,2014682,,3091435,768833,,1169399,,1680323,1288,,646674,2382334,2013年06月30日,753706,,4738468,4736758,810615,927829,6699104,9554668,2759,245656,,5677971.0,95336.0,24450,2382334,,5304,215800,,6924099.0,581558,,11662567.0,37321,6721,50280,,1710,224995,2107899,651423,,0
2013-11-13,3,2013,608046,565274,2285995,28623,,,,-132375,211850,195740,2782,231135,,,2782,,61703,15042,,1609452,,3109853,617759,,1039849,,1666962,15272,,654110,2382334,2013年09月30日,1112510,,5107642,5103929,810615,927829,5660674,8884147,3007,245656,,5427772.0,87151.0,19332,2382334,,5277,217531,,5886301.0,583017,,10993943.0,35226,5314,48224,,3713,225627,2109796,413000,,0
2014-03-26,4,2013,605335,565401,2489872,17233,,,,-138348,325996,236907,2740,213745,,,2740,,62615,15042,,1507795,,3219185,652167,,944680,,961380,31407,,677053,2382334,2013年12月31日,1316387,,5300190,5301928,810615,927829,5874556,9317405,2894,245656,,6834110.0,164042.0,0,2382334,,5371,249709,,6139364.0,583112,,11439554.0,31985,12359,57721,,-1738,264808,2122149,197088,,0
2014-05-14,1,2014,598399,1076673,2674822,37528,,197836.0,,-114699,237123,291167,2736,230291,230291.0,,2736,0.0,63708,15042,0.0,1263146,,3277776,344704,,414172,,882328,43521,,691699,2382334,2014年03月31日,1501337,,5519502,5510527,810615,927829,5305566,8433198,2702,245656,6334130.0,,175093.0,0,2382334,,7724,250499,,5571160.0,583112,,11090662.0,31513,12359,57700,,8975,265594,2657464,137295,0.0,0
2014-08-13,2,2014,592470,1075629,2405095,68984,,214409.0,,-100235,863320,271795,2763,225276,225276.0,,2763,0.0,61923,15042,0.0,1223121,,3503436,372670,,883453,,775889,21312,,675779,2382334,2014年06月30日,1232258,,5277665,5263858,810615,1040152,6041155,8955191,3223,132685,6381759.0,,72324.0,0,2382334,,6284,251326,,6307603.0,591706,,11585268.0,38689,12359,57700,,13807,266448,2630077,236978,0.0,0
2014-11-12,3,2014,592609,1074736,2546766,58966,127157.0,220003.0,,-91588,364571,239485,2795,247397,247397.0,,2795,0.0,60568,15042,0.0,1233960,,4256750,400331,,1264987,,1106539,33558,,703636,2382334,2014年09月30日,1373929,,5433685,5416122,810615,1040152,6412942,9434973,2896,132685,5883342.0,,22212.0,0,2382334,,7961,252167,,6680262.0,593652,,12113947.0,37701,12358,57700,,17563,267320,2678974,529824,0.0,0
2015-03-30,4,2014,593643,1070488,2628408,77934,128745.0,6722.0,,-50414,400947,297951,2857,457846,245327.0,,2857,,60747,15042,0.0,1488999,,5080681,495589,,1232247,,1733315,153210,,729577,2382334,2014年12月31日,1455571,,5552229,5538938,810615,1040152,7715538,10684659,2568,132685,6607792.0,,113749.0,0,2382334,,6828,291503,,8040875.0,593652,,13593104.0,39157,30977,54323,212519.0,13291,325337,2908445,475584,,0
2015-05-13,1,2015,586036,1069563,2820939,99920,130332.0,0.0,,-42038,284463,196080,3297,476149,262661.0,,3297,0.0,62051,15042,0.0,1476899,,4432590,431250,,1609866,,868767,126692,,747263,2382334,2015年03月31日,1648102,116370.0,5774585,5739845,810615,1040152,6875203,10040128,2300,132685,,6555494.0,,0,2382334,12975762.0,3299,291700,7201177.0,,593652,12975762.0,,37525,30977,54323,213488.0,34740,325974,2935634,483733,0.0,0
2015-08-13,2,2015,576595,1066810,2661815,66388,131850.0,0.0,,-87523,1026383,1470738,3264,238414,238414.0,,3264,0.0,63646,12982,0.0,1555525,,4765498,814654,,1938890,,1219466,103452,,702000,2382334,2015年06月30日,1497107,80478.0,5578337,5539136,699615,1114621,8377858,11642735,1973,50087,,5996759.0,,0,2382334,14282850.0,3470,292414,8704513.0,,595492,14282850.0,,28382,30977,54323,0.0,39201,326655,2640115,755014,0.0,0
2015-11-13,3,2015,581325,1060105,3093747,50713,133438.0,0.0,,-60892,324860,1461409,3362,256120,256120.0,,3362,0.0,75993,3741,0.0,1810911,19974.0,4277539,538694,8504.0,976819,7673.0,1723228,112308,,722679,2382334,2015年09月30日,1929039,62161.0,6059410,6016299,201615,1114621,7184137,10893960,2533,50087,,5948309.0,,0,2382334,13571045.0,8056,293159,7511635.0,,604851,13571045.0,,24512,30977,54323,0.0,43111,327498,2677085,512996,0.0,0
