date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,712878,1200862,672516,112816,14816,148,7614,102428,15112,33275,15909,16230,1118,379201,18596.0,,68446,0.0,171222,,17366.0,71432,380675,2835947,2013年03月31日,163471,,,4093585,4093585,1099000,1034454,205039,3121157,,16909,2937,,1533261.0,9769.0,883.0,,2835947,,11529,,250558.0,75224,75224.0,,,4344143.0,6394,175398,,715,96294,0,45519,1222986,0
2013-08-09,2,2013,728887,1084084,991232,228999,14755,-2636,11317,89355,17782,34471,17105,18748,966,307207,0.0,,73708,0.0,179679,,17366.0,72677,398442,2824957,2013年06月30日,37959,,,3981337,3981337,0,1046125,323424,3093761,,15331,0,,1296926.0,7107.0,1633.0,,2824957,,11541,,370152.0,74932,74932.0,,,4351489.0,2293,140297,,716,96320,0,46728,1257728,0
2013-11-11,3,2013,722081,1089020,665817,137248,70381,-3256,12761,102419,17007,38540,21174,18710,1703,305618,0.0,,110450,0.0,172434,,17366.0,91393,391608,2824957,2013年09月30日,42895,,,3985653,3985653,0,1046125,270005,3033591,,13775,0,,1459698.0,9546.0,1633.0,,2824957,,11499,,320756.0,74932,74932.0,,,4306409.0,0,164198,30416.0,712,96228,0,50751,1272818,0
2014-03-20,4,2013,718826,1112739,555918,140453,23584,-2805,15100,99446,13112,38188,22034,14674,1562,353257,0.0,,145660,0.0,195578,5804.0,16154.0,68575,535955,2824957,2013年12月31日,66614,,,4009823,4009823,0,1046125,544856,3224975,,12233,0,,1466737.0,2546.0,1633.0,,2824957,,11523,,597607.0,74932,74932.0,,,4607430.0,241097,454443,58418.0,3040,42349,0,52751,1382455,0
2014-05-09,1,2014,713903,1131930,835256,137375,27717,-1107,17715,108519,11305,42890,26755,12989,1684,420535,0.0,0.0,115744,,148051,1704.0,16135.0,34897,582803,2824957,2014年03月31日,85805,,,4030712,4030712,0,1046125,704033,3306752,,13088,0,1103903.0,,6477.0,1633.0,,2824957,,11591,,761554.0,74932,74932.0,,,4792266.0,426722,624537,120293.0,3040,42438,0,57521,1485514,0
2014-08-08,2,2014,712436,1078349,867833,287270,76302,-20895,34123,99965,11012,43675,27540,12438,1426,394863,0.0,0.0,88798,,180885,1388.0,16135.0,87859,506201,2834135,2014年06月30日,24700,,,3974781,3974781,0,1050844,820850,3505358,,11444,2805,1115934.0,,2057.0,1633.0,,2834135,,11528,,879093.0,83192,74932.0,8260.0,,4853874.0,408602,678696,63642.0,3040,42355,0,58243,1348516,0
2014-11-10,3,2014,706533,1139275,825981,236634,156545,-9435,49880,120745,10690,45390,29255,12025,1335,405644,0.0,0.0,122540,,171580,46.0,16135.0,68313,494906,2834135,2014年09月30日,85626,,,4046525,4046525,0,1050844,424883,3170095,,9817,2805,934949.0,,14536.0,1633.0,,2834135,,11588,,484901.0,82550,82550.0,,,4531426.0,1293,484659,95615.0,3040,42435,0,60018,1361331,0
2015-03-16,4,2014,702147,1260095,955149,133552,27331,6526,10694,104692,11377,46979,32441,12502,1125,387906,0.0,0.0,121728,,227650,1283.0,14538.0,69429,506586,2833597,2014年12月31日,206446,,,4182584,4182584,0,1050844,282762,3196656,,8443,2805,835484.0,,16672.0,1633.0,,2833597,,11689,,350515.0,82366,,,,4533099.0,116,586099,63339.0,9085,43426,0,67753,1336443,0
2015-05-08,1,2015,696308,1303250,1118398,362163,65372,-8157,13438,38080,10856,49444,34933,11778,922,491930,0.0,0.0,90718,,229944,3884.0,,106084,451162,2839654,2015年03月31日,249601,25511.0,1633.0,4221127,4221127,0,1050844,555580,3573306,14511.0,7099,2805,,745171.0,,,63750.0,2839654,4846889.0,11653,625762.0,,86380,,,4846889.0,,0,772810,63857.0,9085,43379,0,70182,1273583,0
2015-08-10,2,2015,690705,1161194,1056830,291012,21326,-9924,12445,31459,10778,51670,37158,11529,751,446286,9885.0,0.0,68168,,276690,1575.0,,87949,380175,2839654,2015年06月30日,91511,17304.0,1633.0,4067035,4067035,671000,1069683,543454,3488570,14512.0,6223,0,,698645.0,,,154525.0,2839654,4682858.0,11614,615823.0,,85996,,,4682858.0,,0,866177,62329.0,9085,43327,0,72369,1194288,0
2015-11-09,3,2015,689856,1278521,1011931,109306,140004,-17128,15307,27739,10963,55037,40670,11578,615,470074,60240.0,0.0,113784,,319300,109.0,,89170,386894,2839435,2015年09月30日,208838,41901.0,0.0,4126803,4126803,4262000,1069683,280459,3278425,14367.0,7327,0,,674120.0,,,,2839435,4483203.0,11819,356400.0,,86215,86215.0,,4483203.0,,161,545978,65525.0,9085,43598,0,75941,1204778,0
2016-03-15,4,2015,681443,1363913,1192066,133690,32496,-20396,10938,26206,11743,54585,41029,12187,444,459339,0.0,0.0,136291,,375920,2945.0,,334121,89503,2785459,2015年12月31日,294230,42936.0,0.0,4211926,4211926,0,1069683,422540,3805849,13556.0,5903,0,,798311.0,,,98685.0,2785459,4709399.0,14741,497473.0,,82950,,,4709399.0,,0,584445,66835.0,5607,47679,0,74933,903550,0
2016-05-10,1,2016,675970,1394233,1443733,107397,42641,-33033,16766,29637,11554,54990,41459,11854,300,476038,,0.0,104125,,263726,0.0,,393744,0,2792284,2016年03月31日,324550,49147.0,0.0,4243172,4243172,0,1069683,464261,3978096,13531.0,4479,0,,735668.0,,,186615.0,2792284,4782635.0,14605,539463.0,,89688,,,4782635.0,,211,592909,64653.0,5607,47583,0,75202,804539,0
2016-08-08,2,2016,667172,1200861,1554413,382630,74973,-35440,20220,32845,12175,55016,41486,12344,169,451783,0.0,0.0,120100,,274285,4369.0,,362712,0,2792284,2016年06月30日,97149,21641.0,0.0,4046453,4046453,0,1099046,738649,4032633,13530.0,3648,4666,,732993.0,,,193710.0,2792284,4860350.0,14625,813897.0,,88748,,,4860350.0,,348,544260,96955.0,5607,47598,0,75248,827717,0
2016-11-07,3,2016,659202,1254771,1573880,111390,58800,-44694,15306,30283,11769,54092,40561,11862,93,445639,0.0,0.0,104985,,298163,687.0,,359520,0,2791748,2016年09月30日,151059,3294.0,,4090460,4090460,0,1099046,573256,3920257,13531.0,4349,4666,,707382.0,,,338190.0,2791748,4737872.0,14457,647412.0,,88635,88635.0,,4737872.0,,91,445903,94725.0,5607,47477,0,74156,817615,0
