date,season,year,不動產及設備－淨額,保留盈餘合計,備供出售金融資產－淨額,其他借款合計,其他權益合計,其他負債合計,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,再保險合約資產－淨額,增資準備,央行及金融同業存款,存放央行及拆借金融同業,存款及匯款,庫藏股,待註銷股本股數,應付債券,應付商業本票－淨額,應付款項合計,應收款項－淨額,投資性不動產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,特別盈餘公積,現金及約當現金,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債合計,遞延所得稅資產,附買回票券及債券負債,附賣回票券及債券投資,非控制權益,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-05-24,1,2013,39866292,10658908,115079700,2000000,649996,1545716,2769057,52217410,116626521,13962,,208948882,718762940,2284418656,7136010.0,,117580000,2370108,45194589,22945939,1145340,14805848,101342,81266667,2013年03月31日,9548686,,,,146545186.0,143293488,217076242,26253,3789211,1083969,58599382,997771.0,1441836.0,81266667,,65711754,,2845816458.0,1823955834,57853927,,2992361644.0,4103647,66688711,3547603,1166142,57180322,4603587,3251698,0
2013-08-28,2,2013,39829717,6162812,117284564,651000,58517,1498754,2368663,58932767,124851111,15424,4876000.0,236597598,710894137,2260647678,6417991.0,,99380000,3744598,49323960,24554991,1152029,15250452,98718,81266667,2013年06月30日,4296452,,,,145131009.0,142071229,195234242,782391,3823067,1083969,62880124,612182.0,1483206.0,86142667,,66712911,,2839272152.0,1812700351,56125224,,2984403161.0,3202926,63063504,3426325,1247799,54541453,2905304,3059780,0
2013-11-25,3,2013,40227091,6443049,117068996,433000,-874873,1364731,2853404,61089941,144695781,11808,,247258964,697355582,2282245632,2341763.0,,99380000,3537249,44292516,25915376,1127029,14774807,101453,86142667,2013年09月30日,4576825,,,,148360676.0,145494304,75510216,782391,3842362,1083833,43384804,508728.0,1507390.0,86142667,,67904381,,2863743737.0,1850727786,56125224,,3012104413.0,2136028,66616110,3431040,1253588,50161527,641046,2866372,0
2014-03-28,4,2013,38909695,7371713,115688301,150000,-333858,1412651,2434725,67710055,159529468,1057,,245541110,708509511,2338512889,0.0,,97880000,7120706,39756520,25289967,2750709,10565019,106127,86142667,2013年12月31日,5505489,,,,152366053.0,149305746,0,782391,3801728,1083833,40655599,328318.0,1626802.0,86142667,,66060582,,2920710647.0,1905442305,56125224,,3073076700.0,2307488,56218820,3489088,1129579,50441240,417288,3060307,0
2014-05-26,1,2014,39111250,9804125,115972527,280000,-77242,1502916,2899975,68170233,175207551,755,,250684805,709806241,2381519678,0.0,0.0,97880000,7765949,38583442,25381055,2745234,14241509,107701,86142667,2014年03月31日,7950280,,,,155085108.0,151994774,0,782391,3823241,1071454,39443208,421700.0,1530730.0,86142667,,64583776,,2960343753.0,1923737584,56125224,,3115428861.0,2570734,58672919,3589777,1146013,42790743,1601368,3090334,0
2014-08-25,2,2014,39411568,8303079,121191552,250000,-358077,1473794,2604191,72736164,192213588,6996,4307133.0,229854492,700675024,2396168635,0.0,0.0,103380000,7080590,40915832,26988809,2729366,18003187,106098,86142667,2014年06月30日,5898685,,,,153210299.0,150212893,0,1332940,3781029,1071454,42325545,655229.0,1583939.0,90449800,,62801753,,2963326713.0,1897908908,51818091,,3116537012.0,2367681,63693940,3444416,1234729,42198127,2078543,2997406,0
2014-11-27,3,2014,39430933,11201039,122890859,452538,-1325082,1330838,3074029,76843555,199315268,3189,,229807385,644547054,2365109751,0.0,0.0,96210000,6952584,44898068,25189461,2723783,20453502,111099,90449800,2014年09月30日,8872023,,,,155023900.0,152143848,0,1332940,3781395,996076,40386797,398114.0,1566096.0,90449800,,60898209,,2930289575.0,1923309790,51818091,,3085313475.0,3778504,56234438,3268609,1190224,40341420,1105558,2880052,0
2015-03-23,4,2014,40312130,13250029,126818812,922008,-164453,1386405,5910142,75942974,196758103,18056,,182820696,685306762,2396440749,0.0,0.0,92110000,12177863,45499471,24735185,2714707,22066804,115905,90449800,2014年12月31日,10921063,,,,158588770.0,155353467,0,1332940,3765773,996026,45149610,104927.0,1676447.0,90449800,,59452594,,2923576436.0,1860748281,51818091,,3082165206.0,6730193,62603553,3598327,1142191,46390229,2322745,3235303,0
2015-05-25,1,2015,40216472,15980195,133104563,1454350,-21476,1455907,3761782,80490708,189998328,5929,,225931272,740702960,2393248737,,0.0,88110000,12096364,36666272,26286332,2785336,27626586,118918,105449800,2015年03月31日,13651229,709070.0,1663977.0,183939158.0,,180427360,0,1332940,3745266,996026,44878583,,,105449800,3145159245.0,58620498,2961220087.0,,1856355672,59018841,3145159245.0,,17310668,69712590,3163214,1173299,41963027,3022652,3511798,0
2015-08-24,2,2015,40001321,9777037,137886850,1039360,-235155,1765861,3405672,80725903,183536583,8677,5272490.0,215798580,698634420,2415906571,,0.0,69610000,10290949,39805771,26137184,2867804,35442779,116030,105449800,2015年06月30日,6424436,1124421.0,1075307.0,181784838.0,,178228515,0,2356575,3696673,996026,41964221,,,110722290,3137679815.0,57897500,2955894977.0,,1895074730,57964343,3137679815.0,,15627416,64164795,2970638,1209035,43332007,2457734,3556323,0
