date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產評價調整－流動,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,備抵銷售退回及折讓,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他預付款,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,商譽,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,國外營運機構財務報表換算之兌換差額－採用權益法之關聯企業及合資,土地成本,土地淨額,在製品,在途原物料,在途現金,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,專門技術,專門技術淨額,庫存現金,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本股數,應付帳款,應付帳款合計,應付票據,應付票據合計,應收帳款,應收帳款淨額,應收所得稅退稅款,應收票據,應收票據淨額,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,持有至到期日金融資產－流動,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動,持有至到期日金融資產－非流動淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,租賃改良成本,租賃改良淨額,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計折舊－租賃改良,累計折舊－試驗設備,累計折舊－辦公設備,累計減損－以成本衡量之金融資產－非流動,股本合計,製成品,試驗設備成本,試驗設備淨額,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－轉換公司債轉換溢價,資本公積－限制員工權利股票,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行存款,銷貨退回及折讓之短期負債準備,零用金／週轉金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2012-05-13,1,2013,710177,31510,31510,661,2086217,2701,2701,3063,47698,50761,,,,77534,,483849,0,207000,276849,35852,35852,-46795,-104423,36810,36810,6050,6050,18283,2365,0.0,6731,11421,18362.0,34,,0,207390,314653,54927,54927,,429182,429182,114646,,0,6731,11217,495408,495408,192895,192895,,490394,805085.0,805085.0,,491152,491152,0.0,0.0,364952,364952,,,,305204,170413,0.0,0.0,0.0,,,,,15361.0,15361.0,3089491,2013年03月31日,1628927,,,-48227,5689700,5689700,11423000,457290,1164500,5351040,612668,,,1701300.0,1701300.0,,1873270.0,151994.0,55689,12946,60000,1677154,15918,134791,0.0,42743,93920,44296,0,3089491,250906,161779,67859,,661,,1198614.0,1051181,94325.0,37298,,256791,919558,662767,,,6888314.0,71708,27412,34,0,27383,27383,156137,1813251,,19.0,105120,105120,0,34114,1537274,18362.0,204,0
2013-08-13,2,2013,705096,31510,31510,66,2407885,2484,2484,2484,48880,51364,,,,108071,,1006591,0,765326,241265,35599,35599,-26981,-93349,34219,34219,1200,1200,18535,2320,0.0,0,11334,31921.0,177,,129,333602,320022,63884,63884,,429182,429182,124338,,0,0,11334,550460,550460,177021,177021,,490394,0.0,0.0,,574761,574761,0.0,0.0,361040,361040,,,,258724,166114,0.0,0.0,0.0,,,,,27449.0,27449.0,3089491,2013年06月30日,1873572,,,868494,6032141,6032141,11423000,534313,1651311,6200026,590958,,,2786850.0,2786850.0,,2381463.0,35497.0,56562,11787,70000,1005078,16215,92610,0.0,44775,99781,46824,0,3089491,200591,169104,69323,,66,,1691453.0,1052140,94325.0,38257,,256791,919558,662767,,,7723594.0,73194,26370,177,129,40142,40142,157221,2311451,,12.0,93915,93915,0,40142,1523568,31921.0,0,0
2013-11-11,3,2013,700554,31510,31510,859,2363884,1988,1988,50318,0,50318,,,,127569,6610.0,353661,0,70116,283545,33031,33031,-68219,-131618,30755,30755,1995,1995,18515,2393,0.0,0,13191,20559.0,104,,1238,266283,319236,61411,61411,,429182,429182,92707,2031.0,0,0,11429,458841,458841,166275,166275,,490394,0.0,0.0,,456522,456522,0.0,0.0,501178,494568,,,,238549,163668,0.0,0.0,0.0,,,,,27692.0,27692.0,3109491,2013年09月30日,1829571,,,824493,5999616,5999616,11423000,534313,895552,5447274,574236,,,2643544.0,2643544.0,,1743180.0,53651.0,56000,10370,0,1005078,16122,74881,0.0,45630,104968,49158,0,3109491,225389,174629,69661,,859,,933769.0,1084854,125981.0,39315,,256791,919558,662767,,,6933385.0,74438,25280,104,1238,38217,38217,138928,1743141,,39.0,88725,88725,0,38217,1486111,20559.0,1762,0
2014-03-17,4,2013,702819,30370,30370,1877,2430179,1371,1371,50561,0,50561,,,2831.0,89160,0.0,512949,0,43880,469069,87160,87160,-40977,-116240,46930,46930,1695,1695,18782,2362,0.0,0,11613,20697.0,2464,,244,138481,319236,73892,73892,0.0,429182,429182,107727,0.0,0,0,11613,386480,386480,150599,150599,,490394,0.0,0.0,,492527,492527,0.0,0.0,596288,593457,,4.0,4.0,226754,161350,0.0,0.0,0.0,,,,,27878.0,27878.0,3109491,2013年12月31日,1895866,,,890788,6094675,6094675,11423000,534313,1120772,5806129,555299,,,3088464.0,3088464.0,,1577367.0,64025.0,56917,9332,0,1005078,16420,65404,0.0,47585,111953,49936,0,3109491,229432,183683,71730,,1877,,1144103.0,1086376,125981.0,40837,,256791,919558,662767,,,7238778.0,78799,28863,2464,244,23331,23331,104670,1577279,,88.0,85464,85464,0,23331,1432649,20697.0,0,0
2014-05-13,1,2014,701894,30370,30370,2746,2512928,1702,1702,51019,0,51019,27453.0,27453.0,3780.0,96522,0.0,422781,0,422781,0,332772,332772,-24529,-100862,52294,52294,18385,18385,18728,2292,,0,11679,,0,0.0,42,179168,319236,74631,74631,0.0,429182,429182,96152,0.0,0,0,11628,430168,430168,133025,133025,,490394,0.0,0.0,0.0,554009,554009,0.0,0.0,238069,234289,,0.0,0.0,219443,159249,0.0,0.0,0.0,,,,,0.0,0.0,3109491,2014年03月31日,1978615,,,82749,6195362,6195362,11423000,534313,1107829,5918872,529083,,,4091600.0,4091600.0,760597.0,,75999.0,56714,8168,392823,1895866,16436,60194,0.0,48546,117735,52611,0,3109491,251370,192278,74543,,2746,,1107829.0,1087866,114536.0,53772,,256791,919558,662767,,,7303191.0,81071,28460,0,42,0,0,83840,367703,,71.0,76822,76822,0,0,1384319,,51,0
2014-08-14,2,2014,691939,30370,30370,8670,1857698,801,801,0,50492,50492,34593.0,34593.0,3688.0,103259,0.0,1075289,0,1075289,0,292545,292545,-16900,-85484,41090,41090,40311,40311,4171,745,,0,11495,,0,0.0,17266,292720,319236,67783,67783,0.0,429182,429182,126316,0.0,0,0,11444,560753,560753,115525,115525,,490394,0.0,0.0,0.0,484040,484040,,,196984,193296,,0.0,0.0,219443,157552,,,,,,,,0.0,0.0,3109491,2014年06月30日,1234306,,,116429,5549252,5549252,11423000,623392,1644198,5827125,502118,,,3270863.0,3270863.0,1401599.0,,35109.0,55766,6938,845739,1117877,3426,61891,,48828,133596,50570,0,3109491,244976,204829,71233,,8670,,1664550.0,1089357,114536.0,55263,,256791,919558,662767,,,7213802.0,76859,26289,0,17266,20352,20352,116162,555800,,60.0,67357,67357,0,20352,1386677,,51,0
2014-11-12,3,2014,685093,4871,4871,3269,1627565,-1226,-1226,0,51211,51211,43199.0,43199.0,3406.0,126536,0.0,398082,0,398082,0,587378,587378,-80782,-155319,36787,36787,57238,57238,18727,2174,,0,11390,,62,0.0,24691,272703,319236,75763,75763,0.0,429182,429182,139954,0.0,0,0,11390,509343,509343,99355,99355,,0,0.0,0.0,0.0,604935,604935,,,287475,284069,,0.0,0.0,219443,155908,,,,,,,,0.0,0.0,3033261,2014年09月30日,1004173,,,228679,5701946,5701946,0,623392,1075266,5450675,477099,,,3411377.0,3411377.0,525368.0,,32131.0,57469,6399,278421,775494,16553,63535,,51070,126740,52334,0,3033261,223222,194050,67310,,3269,,1111000.0,1121902,178879.0,57246,,247358,885777,638419,,,6812946.0,76454,24120,62,24691,35734,35734,140619,246890,,57.0,58508,58508,0,35734,1362271,,0,0
2015-03-17,4,2014,685008,4871,4871,7313,1663536,-1342,-1342,0,52911,52911,44444.0,44444.0,3104.0,131145,0.0,419264,0,419264,0,457267,457267,-45822,-130997,59797,59797,108434,108434,19208,2160,,1126,12047,,0,0.0,147160,270373,319236,86517,86517,0.0,429182,429182,143937,0.0,0,1126,12047,512045,512045,174448,174448,,0,0.0,0.0,0.0,511217,511217,,,167238,164134,,0.0,0.0,219443,154369,,,,,,46306.0,46306.0,0.0,0.0,3033041,2014年12月31日,1040144,,,264650,5774021,5774021,0,623392,1027629,5358326,548425,,,3497497.0,3497497.0,418878.0,,30038.0,59203,5494,120083,775494,17048,65074,,53709,126533,51702,0,3033041,228880,196016,69483,,7313,,1066544.0,1123266,178625.0,58864,,247358,885777,638419,,,6840565.0,76022,24320,0,147160,37789,37789,141138,298756,,39.0,54741,54741,0,38915,1482239,,0,0
2015-05-14,1,2015,544843,4871,4871,10372,1664159,243,243,51599,0,51599,50483.0,50483.0,3121.0,123424,0.0,342682,0,342682,0,373307,373307,-25545,-102295,51478,51478,57791,57791,20329,3315,,1126,11579,,0,0.0,92761,230374,319236,76507,76507,0.0,326178,326178,108876,0.0,0,1126,11579,486091,486091,160334,160334,,0,,,0.0,451214,451214,0.0,0.0,174977,171856,,,,171787,118265,137575.0,103004.0,47656.0,,,45820.0,45820.0,,,3031981,2015年03月31日,1040767,38058.0,,623,5793086,5793086,0,623392,893804,5257969,522282,3287765.0,3287765.0,,,,736799.0,,58686,4444,247080,1040144,17014,53522,13085.0,54242,132515,54014,0,3031981,270265,200628,68113,6721092.0,10372,928006.0,,1122491,,59531,,247358,885777,638419,177183.0,6721092.0,,78542,24528,0,92761,33076,33076,145670,489683,,36.0,42712,42712,0,34202,1463123,,0,0
2015-07-30,2,2015,546137,4871,4871,12562,1289226,1753,1753,0,50627,50627,51532.0,51532.0,3012.0,145461,0.0,548063,0,548063,0,332555,332555,-15550,-90478,32422,32422,58255,58255,19484,3065,,1126,11889,,0,0.0,186995,336284,319236,73175,73175,0.0,327522,327522,44138,1214.0,0,1126,11889,500135,500135,140369,140369,,0,0.0,0.0,0.0,324307,324307,,,158088,155076,,0.0,0.0,171787,116737,136234.0,101660.0,47656.0,,,45126.0,45126.0,0.0,0.0,3031611,2015年06月30日,639369,6486.0,,-134784,5444075,5444075,0,649857,923840,4943189,496491,3066121.0,3066121.0,,,,593425.0,,28374,3399,233769,774153,16419,55050,13082.0,24975,137271,56253,0,3031611,263960,207762,70491,6399634.0,12562,955559.0,,1138788,191194.0,61817,,247358,885777,638419,,6399634.0,,81176,24923,0,186995,30593,30593,164165,359615,,41.0,36886,36886,0,31719,1456445,,0,0
