date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他長期借款,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,工程存出保證金,庫存現金,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,2192548,1392088,326450,150958,472866,472866.0,137885,178320,32137,32137,350991,302399,5850,,361369,,458457,8066,175235,45214,590175,48592,,136162,,2010911,208547,1777566,1379463,43564,1872646,262475,4760068,58953,186134.0,249575,659471,2000000,2013年03月31日,792589,,,4607122,4607122,6804767,441046,8400907,9333225,,13115,158453,,656383.0,130512.0,8860.0,1581864,2000000,,763477,,8810768.0,1172876,,13417890.0,48492,360541,,385399,0,409861,4084665,,308339,13928,0
2013-08-06,2,2013,2278073,1071313,311215,152216,786822,,204698,167754,19096,19096,405127,312863,5814,,335874,,408648,8738,155596,5779,919782,92264,225255.0,136162,,2069023,334347,1566293,1879060,79149,2450058,409131,4576487,126673,180278.0,248133,610693,2000000,2013年06月30日,412631,,,4275781,4275781,6804767,500229,9531382,10107394,,11246,158453,,225255.0,27205.0,8823.0,2017311,2000000,,753076,,9915421.0,1172876,,14191202.0,48165,374799,,383784,0,384039,4083808,,470145,4533,0
2013-11-08,3,2013,2261645,1159586,353034,134248,405420,,139712,190984,32771,32771,470013,441442,5797,199882.0,321974,,405734,7790,147108,5346,1027643,28571,422148.0,136162,,1968077,207331,1232115,1929152,69696,2099835,249170,4748735,28986,174866.0,245473,641218,2000000,2013年09月30日,500904,,,4401574,4401574,6804767,500229,9180514,10094708,,9873,158453,,422148.0,935.0,38421.0,2668327,2000000,,666690,,9747931.0,1187166,,14149505.0,45561,356606,199882.0,379399,0,567417,4054797,,517011,7402,0
2014-03-17,4,2013,2244061,1229393,362097,147641,534360,,153569,229439,12212,12212,560895,530351,5849,199855.0,357197,,416898,6945,145625,16815,856769,30544,554757.0,136162,,1941683,175478,1564375,2529107,120748,2205279,352938,4559843,77369,211572.0,273521,670565,2000000,2013年12月31日,570711,,,4509836,4509836,6804767,500229,9122953,10159235,,8045,158453,,554757.0,9115.0,42191.0,1603534,2000000,,632341,,9724010.0,1187166,,14233846.0,44005,313880,199855.0,377839,0,601057,4074611,,433528,9450,0
2014-05-08,1,2014,2223589,1297553,351078,147071,386552,,160850,212407,41545,41545,589391,542144,5848,199942.0,319657,,399720,6053,120920,10482,921107,47247,,136162,0.0,1850967,278221,1625765,2249417,62666,2062034,239849,4638338,56830,198737.0,271179,681998,2000000,2014年03月31日,638871,,,4560964,4560964,6804767,500229,8950043,10034577,,8182,158453,481797.0,,12681.0,42254.0,1822807,2000000,,619422,,9513375.0,1187166,,14074339.0,43733,308023,199942.0,374177,0,563332,4039762,,491049,3160,0
2014-08-11,2,2014,2179653,1047379,349094,144400,615201,,204177,199815,12381,12381,609311,581398,5803,199979.0,303636,,410706,6317,118893,13260,1142988,27913,260542.0,136162,0.0,1856092,89874,1312914,1929394,123294,1933867,228878,4628954,93612,184743.0,268229,626631,2000000,2014年06月30日,345144,,,4298198,4298198,6804767,543782,9007507,9909488,,6714,158453,260542.0,,14695.0,40340.0,2440394,2000000,,613268,,9547185.0,1187166,,13845383.0,36063,299562,199979.0,369142,0,539678,3935895,,417725,16184,0
2014-10-30,3,2014,2152912,1107900,342929,148091,287469,,139764,226293,14235,14235,632319,543223,5873,199875.0,290436,,387294,5667,119953,12514,1196217,89096,430233.0,136162,0.0,1875033,43511,1048874,1599066,83627,1795197,91103,4587928,70067,170483.0,224387,660428,2000000,2014年09月30日,405665,,,4395404,4395404,6804767,543782,8635765,9680323,,5359,158453,430233.0,,15409.0,43587.0,3062299,2000000,,606242,,9162172.0,1197373,,13557576.0,36096,298782,199875.0,352388,0,526407,3877253,9365.0,350979,1487,0
2015-03-17,4,2014,2136176,1186689,352114,152834,357014,,143570,260240,43475,43475,513207,498913,5971,199921.0,281675,,372406,5625,120797,9111,1049404,14294,412542.0,136162,0.0,2003840,38342,900548,2029030,118746,2060469,211112,4436108,108617,160878.0,222439,757815,2000000,2014年12月31日,484454,,,4508151,4508151,6804767,543782,8573736,9674169,,4030,158453,412542.0,,8691.0,43570.0,2491679,2000000,,582371,,9100622.0,1197384,,13608773.0,45290,288904,199921.0,351699,0,526886,3934604,,343456,0,0
2015-05-07,1,2015,2207957,1211338,345535,151393,243043,,150806,245492,36673,36673,308523,292975,5958,199955.0,273192,,429184,4981,117039,8528,834604,15548,323227.0,136162,0.0,1951227,73652,966224,2179445,75381,2050129,512478,4893421,107181,,220492,811305,2000000,2015年03月31日,509103,12123.0,43578.0,4518052,4518052,6804767,543782,8999720,9919362,156153.0,4113,158453,,323227.0,,,2888112,2000000,14033414.0,573840,9515362.0,,1197384,14033414.0,,42495,289608,199955.0,347827,0,515642,4114052,,349880,61890,0
2015-08-11,2,2015,2236642,1103633,325139,149262,405452,,251584,205754,10576,10576,270658,249099,7334,199985.0,259422,,390309,4431,108325,21357,883803,21559,299825.0,136162,0.0,1937800,70032,1026494,2499340,35255,2178862,345655,5457496,161115,,233043,726394,2000000,2015年06月30日,375830,12721.0,43627.0,4370609,4370609,6804767,569350,9732454,10583234,151097.0,3077,158453,,299825.0,,,3160463,2000000,14605481.0,574321,10234872.0,,1197384,14605481.0,,43011,283520,199985.0,343404,0,502418,4022247,,365470,13783,0
