date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,長期借款合計,長期應付票據及款項合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,192194.0,1647964,24320.0,1864478,10665050,398910,603235,193936,,,906400,108653,-11310,1915947,51469,76613,707959,48427,1200355,4288,359082,2367356,74363,,0.0,1799124,,69813,,,3479602,533685,126563.0,27070,3719356,2013年03月31日,7876,,8203974,6708897,4500000,385465,6341498,9216193,,720071,,114081.0,209894,,1724197.0,58446.0,1576997,3719356,,,14882240.0,2471979,,23086214.0,14771,0.0,183848,148971,664629,0.0,7683812,,532969,647699,1495077,8540742,13870021,0.0,628158,189286,0
2013-08-13,2,2013,193730.0,843533,,1037263,10813188,400837,519016,174415,,0.0,1034729,89990,81562,1188865,84486,50902,2149982,25722,1488737,145964,402690,2274717,74363,,461487.0,1999024,,38296,67116.0,,4047419,650746,127093.0,24866,3719356,2013年06月30日,-76343,,8153236,6745177,4500000,385465,5928681,9374456,,719748,,117891.0,209894,,1178645.0,72705.0,1581212,3719356,,,15551719.0,2499606,,23704955.0,13850,7424.0,224769,167640,708708,0.0,6836505,1457036.0,540131,646216,1408059,9623038,14330499,,739377,293867,0
2013-11-11,3,2013,0.0,303134,,303134,11013323,375155,530608,175551,,,1024160,94071,73022,458429,59204,39064,2207732,26585,1492764,146275,416688,2177594,74363,,463446.0,2027017,,369300,96091.0,1511711.0,3977987,798631,127622.0,21201,3719356,2013年09月30日,-64751,,8172501,6760768,4500000,385465,5853908,9526525,,761273,,104193.0,209894,,1216360.0,97803.0,1872137,3719356,,,15945569.0,2512145,,24118070.0,5062,6619.0,487376,154952,752278,0.0,7258912,1511711.0,541814,643183,1411733,10091661,14591545,,631249,286618,0
2014-03-25,4,2013,0.0,344389,,344389,10927612,377601,402259,207652,,,1044425,68457,176253,465142,36517,140676,2264971,27869,1320429,146015,419885,2202542,74363,,465404.0,1971708,,319606,84236.0,1534347.0,4222821,740928,138487.0,20747,3719356,2013年12月31日,-193100,,7952774,6734400,4500000,385465,5871613,9306393,,714447,,0.0,209894,,1169291.0,107219.0,1954155,3719356,,,15712342.0,2510895,,23665116.0,9358,3494.0,168706,178858,790235,0.0,6928002,1534347.0,564268,650644,1218374,9840729,14358723,,592972,103885,0
2014-05-14,1,2014,0.0,923610,,923610,11131885,384522,474607,230749,107913.0,,1200868,90326,194644,1213137,127364,168000,2432885,28704,1312588,119572,376430,2587507,74363,0.0,341048.0,2520889,,482245,162163.0,1704782.0,4244004,723695,139243.0,21856,3719356,2014年03月31日,-120752,,8094843,6952223,4500000,385465,7199397,10051175,,725779,,0.0,209894,1462158.0,,141288.0,1634797,3827269,,,16576722.0,2530066,,24671565.0,6173,1713.0,203985,176643,813011,,6425036,1704782.0,560156,645115,1142620,9377325,14620390,,571500,171471,10791271
2014-08-13,2,2014,0.0,815659,,815659,10858826,243833,491146,207041,29488.0,,1150426,89647,108992,1113838,85327,217071,2412978,28323,1761043,113457,568041,2487442,74363,0.0,308232.0,2695735,,554476,212852.0,1696568.0,4895738,393278,140003.0,20985,3827269,2014年06月30日,-104213,,8288123,6920987,4500000,385465,7236258,9473657,,708003,,0.0,209894,872259.0,,150642.0,1571141,3856757,,,15816706.0,2538455,,24104829.0,0,688.0,55031,159286,831441,,5699264,1696568.0,548084,629625,1367136,8580448,14631172,,463191,449920,2948802
2014-11-13,3,2014,,1089185,,1089185,10986515,247111,585079,200463,20405.0,,1146599,100463,139567,1465521,67994,255887,2382711,27215,1665288,104619,555320,2683979,74363,0.0,285918.0,2463280,,791792,308342.0,1654602.0,4995357,538939,140747.0,21782,3856757,2014年09月30日,-10280,,8433193,7070809,4500000,385465,8106425,10172642,,713010,,0.0,209894,1100132.0,,161485.0,2066572,3877162,,,16405896.0,2543364,,24839089.0,11176,1340.0,44751,172469,832278,,5457033,1654602.0,560147,641217,1362384,8299471,14666447,,453134,364132,2040462
2015-03-23,4,2014,,1005266,,1005266,10978639,267681,512211,189109,1193.0,,1166060,118369,196879,1402734,70407,281656,2346343,27650,1561288,104607,540139,2689769,24249,0.0,286435.0,2573453,,548880,327061.0,1596656.0,5203012,796159,133776.0,19460,3847162,2014年12月31日,-83148,,9366359,7178079,1500000,385465,7333383,10536262,,715615,,9495.0,209894,962341.0,,141703.0,1477048,3848355,,,15724958.0,2644883,,25091317.0,23505,447.0,84978,196671,823263,,5561679,1596656.0,588261,657798,2188280,8391575,14555055,,390483,258744,119331
2015-05-11,1,2015,,1489231,,1489231,10608657,265541,580090,174466,48225.0,,1023151,114195,82490,1911408,89845,312446,2261403,168391,1503328,105192,519291,2988425,0,,229767.0,2434018,,441197,332332.0,1378310.0,4660346,836247,,0,3833355,2015年03月31日,-15269,164994.0,9215914,7170997,0,385465,8011690,10669104,134611.0,690051,0.0,,209894,,1056301.0,,2036922,3881580,24741171.0,15525257.0,,2626837,24741171.0,,0,424.0,251161,162339,830024,,4859634,1378310.0,580091,646914,2044917,7513567,14072067,,449983,231931,4822535
2015-08-12,2,2015,220394.0,1397339,,1617733,10492079,258824,657541,161530,8334.0,,1332477,111020,33003,2084428,97759,172869,2167908,116972,1535625,86743,562530,2997831,0,,0.0,2665459,,482468,368936.0,1346185.0,5455091,539011,,0,3881580,2015年06月30日,145330,142744.0,9119123,7132422,0,302317,9126869,11020906,135412.0,680041,211795.0,,209894,,1089121.0,,2414460,3889914,24992066.0,15872943.0,,2551964,24992066.0,,4833,0.0,7569,150021,843061,,4428145,1346185.0,569339,634274,1986701,6746074,13971160,,436599,252078,833331
2015-11-10,3,2015,221093.0,1606153,,1827246,7965049,288613,815864,453504,0.0,,1351347,623801,148045,2018350,121018,141308,2008959,27167,1778415,84793,531874,2302572,8691,,0.0,1389628,,86379,70086.0,1255686.0,4347673,487166,,17256,3889914,2015年09月30日,303653,125353.0,8039804,7285096,851000,302317,6542389,9373156,136217.0,688927,108205.0,,209894,,926487.0,,1540754,3889914,21353784.0,13313980.0,,2439964,21353784.0,,30578,0.0,3480,200035,788864,,4562597,1255686.0,589889,639925,754708,6771591,11980628,397712.0,432464,124111,0
2016-03-25,4,2015,204253.0,1594274,,1798527,7926046,192467,914154,1089626,14569.0,,1348975,195566,92078,2830993,139199,142991,1285707,154969,1738932,82180,547749,2139386,463609,,0.0,1226925,,204068,893267.0,398681.0,3988853,497293,,14479,3889913,2015年12月31日,401943,210274.0,7847502,6890113,34832000,302317,6950015,8362893,165820.0,654477,9848.0,,209894,,956673.0,,1123081,3904482,20759379.0,12911877.0,,2443008,20759379.0,,5699,0.0,8716,158397,780459,,4517758,398681.0,566237,615104,957389,5961862,12396486,383805.0,423567,110094,1456862
2016-05-12,1,2016,70748.0,2202345,,2273093,7821813,569630,1092230,1162342,111506.0,,1196501,98382,86052,3118113,115735,106767,1078901,155556,1287614,31142,480895,2472303,0,,0.0,1475817,,257090,729285.0,223076.0,3959352,552027,,50115,3524482,2016年03月31日,580019,179401.0,8153007,7149276,0,302317,7745957,8914651,159071.0,637875,84236.0,,209894,,1185400.0,,1519035,3635988,21204924.0,13051917.0,,2335006,21204924.0,,0,0.0,22608,147482,760884,,4079577,223076.0,541198,608439,1003731,5305960,12290273,0.0,433576,167138,11150589
2016-08-11,2,2016,64351.0,1040696,,1105047,7794977,535108,901222,1877707,5497.0,,1566828,83168,184261,1767276,120302,141068,1049245,152834,1169181,29068,438501,2280911,0,,,1472808,49954.0,276921,541927.0,216119.0,3840564,597969,,48134,3635988,2016年06月30日,348817,108675.0,8435676,7063068,0,342511,6347329,8646361,159799.0,631348,9683.0,,209894,,1252529.0,,1104867,3641485,21461356.0,13025680.0,,2336100,21461356.0,,0,,10422,118424,758540,,5510682,216119.0,520493,589961,1372608,6678351,12814995,0.0,430047,111651,549712
