date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－合併溢額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收款－關係人,長期應收票據及款項－關係人淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,33167,33167,976838,30979,2201418,173699,348008,9885,2261.0,4159,62497,29330,1491382,374,156435,,702964,0,,629259,818923,16124.0,100000,11142,2333021,78787,,1670890,2013年03月31日,1501458,,,4879028,4879028,0,578146,2427141,6617197,13,,,121814,,1883355.0,116260.0,,953354,1670890,,,3093930.0,1002561,38224,114224,4651,796374,796374,49088,,7972958.0,833,2464,0,,34692,17797,0,,,0,666789,1355761,115542,0
2013-08-09,2,2013,,11667,11667,961518,30979,1831816,173699,853696,10563,0.0,73516,56378,44711,1666,933,158946,,525212,0,,592359,769030,0.0,100000,10680,2311318,79462,37199.0,1681667,2013年06月30日,1005692,,,4618431,4618431,0,645748,3286249,7155638,0,,2047120.0,180376,,2058165.0,70879.0,,1425586,1681667,,,3916594.0,1031432,38224,114224,4651,828329,828329,46004,,8535025.0,0,1590,0,,35463,17046,0,,,0,630345,1379387,122132,0
2013-11-07,3,2013,,23333,23333,933028,30979,1960021,173699,193570,9870,0.0,25286,68321,44988,8325,1491,156427,,582670,0,,527340,810261,0.0,200000,10515,2282873,72893,42855.0,1701337,2013年09月30日,1133897,,,4765982,4765982,0,645748,2372294,6380748,0,,1124889.0,180376,,2170766.0,48470.0,,1041157,1701337,,,2969535.0,1079338,38224,114224,4651,881462,881462,40777,,7735517.0,0,1192,0,,33884,17781,33334,,,0,597241,1354769,128462,0
2014-03-19,4,2013,,35000,35000,939058,28951,2121756,140406,206273,21258,0.0,33771,59862,24862,2925,600,152143,,605902,0,,477785,953489,0.0,100000,8286,2249411,81643,40440.0,1716364,2013年12月31日,1295632,,,4988020,4988020,0,645748,2457553,6675945,33426,,1458763.0,180376,,2153597.0,42876.0,9693.0,1086767,1716364,,,3039450.0,1116129,38223,114224,4651,922249,922249,36782,,8027470.0,0,795,0,,36050,17101,66667,,,0,581897,1351525,92753,0
2014-05-08,1,2014,,66734,66734,922691,28951,2292825,125691,289396,22234,0.0,25804,87425,20691,8092,342,152020,,617593,0,0.0,430036,814461,0.0,100000,7913,2102329,104297,51210.0,1730738,2014年03月31日,1466701,,,5201006,5201006,0,645748,2184231,6631347,41176,,1429617.0,180376,2221807.0,,60111.0,3242.0,824925,1730738,,,2767101.0,1151639,38224,114224,4651,961580,961580,32960,,7968107.0,0,0,5395,79.0,35892,14942,116600,,,0,582870,1336760,116741,0
2014-08-07,2,2014,,99967,99967,879111,28951,1820573,170329,892008,21401,,9985,117391,17424,4892,600,201080,,576486,0,0.0,366406,807870,,0,13391,2121096,116583,55755.0,1749542,2014年06月30日,988458,,,4778353,4778353,0,710301,2711490,6668917,38928,,1604120.0,121814,2054132.0,,41916.0,0.0,838914,1749542,,,3281440.0,1198253,38224,114224,4651,1013193,1013193,27961,,8059793.0,0,0,64276,79.0,33558,16643,169386,,,0,569950,1390876,105931,0
2014-11-11,3,2014,,99967,99967,889415,28951,2041038,127335,265128,25188,,39966,138724,38757,928,982,212192,,602171,0,0.0,313216,826481,,200000,7789,2281494,128904,59593.0,1766359,2014年09月30日,1208923,,,5083578,5083578,0,710301,2673472,6882393,36678,,1838485.0,121814,1927596.0,,60025.0,0.0,1174509,1766359,,,3168247.0,1236215,38224,114224,4651,1055316,1055316,23800,,8251825.0,816,0,5395,0.0,44516,15268,136061,,,0,494775,1369432,72232,0
2015-03-25,4,2014,278961.0,99967,378928,955967,24423,2130556,121828,217565,17540,,132638,393965,15037,760,600,171686,161062.0,567316,0,0.0,0,901319,,10000,5159,2149408,137903,58767.0,1777291,2014年12月31日,1298441,,,5301376,5301376,0,710301,2641182,6772214,34429,,2381850.0,121814,1464664.0,,61271.0,0.0,1051507,1777291,,,2854909.0,1260891,38224,114224,4651,1082686,1082686,21106,,8156285.0,396,0,5474,0.0,93725,16971,119402,10624.0,10624.0,0,213727,1384071,47299,0
2015-05-07,1,2015,258607.0,99967,358574,912943,24423,2211396,125280,220593,47038,0.0,98740,367527,8953,3888,600,247134,247134.0,551094,0,0.0,0,765886,0.0,0,4520,1892263,177537,54887.0,1783885,2015年03月31日,1379281,72759.0,0.0,5369921,5369921,0,710301,2483755,6564034,32180,2169117.0,,121814,,1678071.0,,,1050194,1783885,8040690.0,2670769.0,,1275900,38224,114224,4651,1099320,1099320,19481,8040690.0,,2276,0,20405,62474.0,100336,17335,86078,,0.0,0,187014,1476656,24621,0
2015-08-12,2,2015,244819.0,99967,344786,876369,24423,1756625,142708,863121,48542,0.0,72907,355081,10295,3863,600,248377,248377.0,558195,0,0.0,0,767175,0.0,200000,5973,1874248,139455,71342.0,1788428,2015年06月30日,863431,30129.0,0.0,4832904,4832904,0,771380,3077126,6620599,30035,1592025.0,,121814,,2268938.0,,,855647,1788428,8094147.0,3261243.0,,1214944,38224,114224,4651,1039484,1039484,18361,8094147.0,,0,0,111340,61513.0,114098,18781,69419,,0.0,0,184117,1473548,23993,0
