date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收建造合約款,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,4183925,,775985,257233,37193,108039,80825,2697,131110,133345,108039,882192,,,418274,,,349931,3396,932725,,13866,10680,1971268,2013年03月31日,470030,,,3497839,3030214,0,305955,1635798,2606535,63304,,652816.0,7031.0,,519108,1971268,,,3606213.0,174922,,1569,,173353,,7104052.0,,0.0,49236,106263,1790069,467625,1970415,4497517,85046,0
2013-08-13,2,2013,4127520,,711548,343490,44478,128684,115543,98999,131135,122298,128684,914556,,,398650,,,249962,1694,848949,,14354,10680,1971268,2013年06月30日,399705,,,3450000,2986422,0,311843,1640936,2582460,59812,,535550.0,3222.0,10588.0,528375,1971268,,,3546815.0,174922,,1569,,173353,,6996815.0,,0.0,51940,94045,1722804,463578,1905879,4414355,114986,0
2013-11-11,3,2013,4041929,,704567,283788,55483,114992,157546,159155,127595,128473,114992,899459,,,452741,,,299856,1271,931005,,12565,10680,1971268,2013年09月30日,392724,,,3404093,2965749,0,311843,1781032,2698730,57790,,521492.0,5779.0,9936.0,580051,1971268,,,3636119.0,174922,,1569,,173353,,7040212.0,0.0,0.0,49135,102610,1678357,438344,1855087,4341482,109635,0
2014-03-11,4,2013,3985180,,723582,304078,20124,135688,79121,140079,127220,130290,135688,940092,,,458737,,,219995,4150,1090826,,8990,10680,1971268,2013年12月31日,411739,,,3436211,3005460,0,311843,1780142,2725109,57510,,390067.0,21784.0,10129.0,692277,1971268,,,3589800.0,174922,,1569,,173353,,7026011.0,,24511.0,53835,117242,1628603,430751,1809658,4300902,100291,0
2014-05-13,1,2014,3885524,,739620,264413,12603,131122,180792,214046,124419,134392,131122,925395,,0.0,406242,,,289854,8817,996821,,8047,9716,1971268,2014年03月31日,427777,,,3431544,3016932,0,311843,1864898,2825352,53170,559929.0,,27589.0,10139.0,687191,1971268,,,3610811.0,174922,,1569,,173353,,7042355.0,,0.0,52962,134201,1568532,414612,1745913,4217003,98372,0
2014-08-12,2,2014,3774936,,684245,337392,13681,103997,194439,200684,123274,131161,103997,906365,,0.0,356591,,,299896,321,897384,,10314,10252,1971268,2014年06月30日,369217,,,3328166,2934432,0,315028,1711200,2670984,48933,507359.0,,12114.0,9958.0,510447,1971268,,,3446278.0,174922,,1569,,173353,,6774444.0,,0.0,56087,138178,1555717,393734,1735078,4103460,125239,0
2014-11-12,3,2014,3730210,,698756,299838,17397,143659,190728,150607,120434,122802,143659,961348,,0.0,388229,,,59971,3307,951509,,13085,10114,1971268,2014年09月30日,383728,,,3376212,2988605,0,315028,1547888,2729688,45506,533503.0,,14424.0,65.0,591391,1971268,,,3420707.0,174922,,1569,,173353,,6796919.0,,0.0,55851,158599,1696534,387607,1872819,4067231,102174,0
2015-03-18,4,2014,3683490,,725147,308341,23719,174443,156581,50920,113611,127309,174443,970580,,0.0,346613,,0.0,199939,3285,882933,,8370,9299,1971268,2014年12月31日,410119,,,3425222,3045780,0,315028,1690482,2963238,42089,946949.0,,22799.0,71.0,652924,1971268,,,3580309.0,174922,,1569,,173353,,7005531.0,,0.0,63129,180106,1713087,379442,1889827,4042293,79696,0
2015-05-12,1,2015,3615289,,730654,262748,14587,174806,283360,126523,113145,109677,174806,955465,,0.0,406710,,,149974,8153,980489,74.0,7827,9184,1971268,2015年03月31日,415626,34425.0,65.0,3390253,3072865,0,315028,1692372,2958358,37771,,789796.0,,,547002,1971268,6923321.0,3533068.0,,196137,,1569,21215.0,173353,6923321.0,,,,61510,193042,1666041,317388,1840696,3964963,83532,0
2015-08-11,2,2015,3508114,,675439,342264,8917,153736,288231,74649,110924,117140,153736,931219,,0.0,409576,2014.0,1922.0,159996,4871,1116362,14548.0,9465,9011,1971268,2015年06月30日,354454,20925.0,68.0,3298005,2996580,0,320985,1803166,3061778,34625,,795305.0,,,573367,1971268,6930795.0,3632790.0,,196137,,1569,21215.0,173353,6930795.0,,,,57119,200127,1661581,301425,1829624,3869017,111245,0
