date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,代理店往來（海陸運輸業適用）,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,催收款項,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融負債－流動,其他金融資產－非流動合計,其他長期投資（淨額）,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,基金合計,天然資源淨額,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應付租賃款－流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,暫收款,會計項目,有形探勘及評估資產淨額,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形探勘及評估資產淨額,無形資產合計,無活絡市場之債券投資－非流動淨額,特別盈餘公積,特別股負債－流動,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,生物資產－非流動合計,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延兌換利益,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅資產,避險之衍生金融資產－非流動,長期借款合計,長期應收票據及款項淨額,長期應收票據及款項－關係人淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,100000,100000,2013768,0.0,0.0,9756,578249,0.0,1845.0,95440,32595,-463,125595,9085,7780,0.0,0.0,0.0,272357,,29745,21745,21745,,0.0,0.0,3104,6155,1501057,1501057,0.0,,,,142129,128055,0.0,476238,115603,341632,55772.0,269253.0,0.0,0.0,0.0,275042,3070473,0.0,2013年03月31日,0.0,,,,3709377,3707503,0,,909313,3250191,,0.0,0.0,0.0,,0.0,,609282.0,23117,15602,26274.0,391820,,3070473,,,1955092.0,59244,,5664469.0,0.0,0.0,26494,0.0,0.0,448422,448422,70365,0.0,325000,1845.0,0.0,0.0,1874,1045779,2414278,0.0,60621,0.0,0.0,16510,0
2013-08-12,3,2013,75000,75000,2039598,0.0,0.0,9756,481247,0.0,966.0,106050,15904,-413,110706,14490,4487,0.0,0.0,0.0,262253,,32955,23261,23261,,0.0,0.0,3104,8728,1395479,1395479,0.0,,0.0,,133394,82381,0.0,557084,197241,316959,57563.0,259149.0,0.0,0.0,0.0,261535,3131882,0.0,2013年09月30日,0.0,,,,3669998,3671960,0,,793459,3170737,,0.0,0.0,0.0,,0.0,,563344.0,19106,13702,851.0,360077,,3131882,,,1929134.0,59244,,5599132.0,0.0,0.0,25324,0.0,0.0,448422,448422,70849,0.0,425000,966.0,0.0,0.0,-1962,1135675,2428395,0.0,18246,0.0,0.0,21216,0
2013-08-12,2,2013,125000,125000,2029700,0.0,0.0,9756,474502,0.0,383.0,135093,31315,-564,143699,1310,5158,0.0,0.0,0.0,269280,,33060,21511,21511,,0.0,0.0,3104,11166,1791688,1791688,0.0,16380.0,61409.0,,160308,132843,0.0,574778,175375,339617,64080.0,266176.0,0.0,0.0,0.0,241579,3070473,0.0,2013年06月30日,0.0,,,,3664276,3665064,0,,1345136,3601492,,0.0,0.0,0.0,,0.0,,527536.0,23278,15278,851.0,772342,,3131882,,,2337838.0,59244,,6002114.0,0.0,0.0,25410,0.0,0.0,448422,448422,71249,0.0,275000,383.0,0.0,0.0,-788,992702,2400622,0.0,26877,0.0,0.0,17389,0
2014-03-25,4,2013,100000,100000,2044477,,,9514,546172,,1138.0,100483,12517,-528,126211,6957,10270,,,,265587,,32792,22503,22503,,,,3104,9151,1193729,1193729,,,,,143528,97907,,497519,198372,321235,50397.0,262483.0,,,,298081,3131882,,2013年12月31日,,,,,3735876,3736770,0,,612555,2991560,,,,,,,,618268.0,16177,14350,278.0,144148,,3131882,,,1726564.0,59244,,5462440.0,,0.0,27622,,,448422,448422,71666,,400000,1138.0,,,-894,1114009,2470880,,45454,,,19254,0
2014-05-13,1,2014,100000,100000,2033125,,,9514,589561,,1766.0,82453,10095,-483,170035,46104,11701,,,,258164,,33319,21283,21283,,,,2805,10270,1596264,1596264,,,,0.0,143638,124382,,551575,229920,293226,0.0,255359.0,,,,316381,3131882,,2014年03月31日,,154840.0,,43389.0,3778983,3780204,0,190907.0,1058080,3447432,,,,,243814.0,,686088.0,,23848,14969,278.0,537294,111451.0,3131882,,,2139666.0,59244,,5918649.0,,,23182,,,448422,448422,63909,,375000,1766.0,,,-1221,1081586,2471217,,21533,,,23931,0
2014-08-12,2,2014,36364,36364,2021139,,,9514,551653,,3134.0,148274,33601,-595,113870,63817,10678,,,,248979,,34684,21889,21889,,,,2805,9661,1992021,1992021,,0.0,0.0,0.0,139339,93518,,511162,264135,278209,0.0,246174.0,,,,312535,3131882,,2014年06月30日,,114118.0,,52459.0,3738577,3721944,0,193721.0,1158261,3794127,,,,,243814.0,,627042.0,,32480,13744,0.0,662708,61659.0,3131882,,,2510207.0,39004,,6248784.0,,552.0,22391,,,448422,448422,63041,,654545,3134.0,,,16633,1351946,2454657,,22408,,,13689,0
2014-11-13,3,2014,36363,36363,2157776,,,9514,553088,,170.0,113680,10652,1038,185723,96699,5044,,,,239193,,31417,21442,21442,,,,2805,9805,1355393,1355393,,0.0,,0.0,156142,102823,,605854,272898,344554,0.0,236388.0,,,,431929,3131882,,2014年09月30日,,115553.0,,53894.0,3741130,3725012,0,193721.0,923852,3291707,,,,,243814.0,,618094.0,,34785,12568,0.0,365484,61659.0,3131882,,,2256922.0,39004,,5998052.0,,,16844,,,448422,448422,63141,,645455,170.0,,,16118,1333070,2706345,,27589,,,52661,0
2015-03-24,4,2014,61364,61364,2386157,,,9514,619415,,2637.0,131155,13262,3150,191273,1634,56136,,,,252220,,42952,27091,27091,,,,2805,13224,1357104,1357104,,0.0,,0.0,164993,94597,,585137,206674,345892,0.0,249415.0,,,,257682,3131882,,2014年12月31日,,181880.0,,134453.0,3944066,3791143,0,193721.0,1053720,3542023,,,,,243814.0,,875250.0,,43385,12332,6172.0,465530,47427.0,3131882,,,2365726.0,36696,,6309792.0,,,26248,,,448422,448422,59132,,611364,2637.0,,,152923,1312006,2767769,,32935,,,128275,0
2015-05-13,1,2015,86364,86364,2549102,,,9514,637508,,91.0,144413,24799,2534,164721,11729,73309,,,,258277,,40702,26754,26754,14.0,,,3108,13857,1559992,1559992,,,,0.0,174102,103558,,514337,191242,298611,,,,,,258827,3131882,,2015年03月31日,,199973.0,12707.0,22504.0,3957891,3808620,0,193721.0,1287003,3599235,255169.0,,,,243814.0,,,837601.0,43123,12182,,687488,177469.0,3131882,6528866.0,2570975.0,,36696,6528866.0,,,14.0,17374,,,448422,448422,59304,,577273,91.0,,,149271,1283972,2929631,,38847,,,66628,0
2015-08-12,2,2015,138403,138403,2759826,,,9514,522188,,0.0,194797,42599,1657,226485,1710,82859,,,,257271,,38668,21054,21054,1437.0,,,2987,17614,1308509,1308509,,,56374.0,0.0,133286,100009,,556272,207855,314632,,,,,,239822,3131882,,2015年06月30日,,71208.0,8403.0,19932.0,3893323,3748797,0,207166.0,1441617,3460853,254284.0,,,,243814.0,,,854584.0,42770,11880,,777200,51276.0,3188256,6579655.0,2686332.0,,36696,6579655.0,,,1437.0,15845,,,448422,448422,59092,,539022,0.0,,,144526,1244715,3118802,,34928,,,86372,0
