date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付費用,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2014-07-28,2,2014,,,41280,,801327,,0,,,,-26077,-26077,,531119,,727185,,,,111711,9000,42911,,,,,61467,42911,2566842,0,0,929848,1781032,,2830248,288382,41244,,,,1400945,2014年06月30日,584071,,2928959,2928959,0,217256,3104096,6935429,,17860,521156,,45320,746625,1400945,,,4157510,752764,,,,,,,,7086469,0,11855,1616,,48989,1053414,151040,,0
2014-11-13,3,2014,,,37531,,729945,,0,,,,-19705,-19705,,131344,,634386,,,,115766,9000,28436,,,,,65651,,2684668,,0,933899,1397930,,2232553,152773,41115,,,,1400495,2014年09月30日,512689,,2863695,2863695,0,217256,2508130,6296106,,18759,591726,,32519,943020,1400495,,,3576623,752960,,,,,,,,6440318,3317,18828,0,,59486,1068493,144212,,0
2015-04-24,1,2015,,,165373,46950,1325338,,,,709184,,266508,266508,,58869,58869,4967554,162534,,4805020,118002,10400,23445,23445,,,,63379,,2878708,,0,945076,1169236,,1797197,,,,,0,4173658,2015年03月31日,1198320,40321,12335702,12335702,0,127018,2196710,12154743,44223,3462814,,2502285,,219100,4173658,15929121,3593419,,6570198,10782,107146,236,6293966,6293966,158068,15929121,,,186788,,146843,75796,1396709,3774378,8999,0
2015-07-31,2,2015,,,155175,46290,1258359,,,,998746,868741,185778,-91276,-91276,45316,45316,5254751,120110,162895,5134641,120879,10400,23301,23301,28104,3205990,277054,66385,,2470244,,,948959,1373363,130005,2083404,,,,,0,4175831,2015年06月30日,1116896,9605,12198716,12198716,0,141463,2662886,12324628,44094,3368885,,2488125,,61720,4175831,16126346,3927630,,6578748,10782,99255,236,,6310872,157603,16126346,,174136,,,194906,208067,1264744,3801718,28104,0
2015-11-02,3,2015,,,148202,49305,1458014,,,,2105896,2105896,564675,-77384,-77384,60030,60030,5313701,143417,176936,5170284,123328,10400,23593,23593,32356,3205990,642059,68942,,2257297,,,952857,875900,,1670292,,,32952,,0,2928707,2015年09月30日,1316551,5268,11534662,11534662,0,141463,3339148,12329214,43986,3382926,,3022616,,230090,2928707,16149688,4615026,,6583266,10806,100244,236,,6336018,135962,16149688,,61964,,,199693,216448,1275878,3820474,32356,0
2016-03-18,4,2015,,956772,140189,49238,1483160,,,,980385,980385,546811,-62974,,994185,37413,5439859,152003,172819,5287856,172678,10400,54437,54437,,3237268,609785,114110,,2543876,,,,974714,,1587586,,,,,,2933299,2015年12月31日,1341697,3254,11555911,11555911,0,141463,3270131,11380987,48168,3410087,,1680546,,269775,2933299,15189092,3633181,,6592641,10806,103350,236,,6362250,115999,15189092,,47818,,129120,190372,154154,363050,3808105,,0
2016-05-05,1,2016,,960702,125444,48278,1386626,,,,800255,800255,441252,-56413,,1068930,108228,5093159,115943,166316,4977216,138235,10400,53606,53606,,3237268,497665,79768,,2354969,,,0,850893,,1118078,,,,,,2942136,2016年03月31日,1245163,5290,11369894,11369894,0,141463,3015202,10917251,48067,3403584,,2224926,,244606,2942136,14703718,3333824,,6599880,126912,86494,236,,6386238,,14703718,,45228,0,126119,180387,155555,318622,3786467,,0
2016-08-12,2,2016,33795,33795,122349,48413,1240385,,,,1130266,918026,442731,-51498,,136951,103156,3487492,180671,196787,3306821,137198,10400,89367,89367,,3237268,494229,78828,,2736633,132607,,0,1405772,212240,1436403,,,,,,2942938,2016年06月30日,1075340,2529,11095620,11095620,5000000,165045,2999364,10572849,47970,3434055,,2785133,,322750,2942938,14415431,3319811,,6602173,126019,87947,236,,6387971,,14415431,,1096,,127188,183249,148398,320447,3842582,,0
2016-11-10,3,2016,,33642,114785,47040,1353137,-102,,28292,952470,952470,270467,-45291,,163063,129421,2487977,176313,210229,2311664,136011,10400,1458892,1458892,,3237268,315860,77722,,2667194,132607,,0,954587,,1430625,,,0,15816,,2961416,2016年09月30日,1188092,6238,11065424,11065424,5000000,165045,2391366,8517889,47889,3447497,,1808230,,313600,2961416,13775806,2710382,,6613011,108563,65858,236,,6438354,,13775806,,1408,,123863,183005,145595,319016,5257917,,0
