date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他長期借款,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存出保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,829757,36298,-1933583,250655,0,,257181,7500,78345,100,-70325,-70325,140324,,207848,17996,189852,393,1443000.0,322651,60948,17899,4166,4166,13340,862398,862398,,94965,,,,,188001,92741,159269,13080,389701,70304,319872,0,203895,59360,12.0,255756.0,666462,160092,1871941,2013年03月31日,-1933583.0,,368397,77725,9089263,1531729,2302034,,,141182.0,4220.0,209408,1871941,,,,3649994.0,304657,,4018391.0,7778,352614,352614.0,5849,1443000,5947,290672,2118265,1716357,170589,0
2013-08-13,2,2013,,820283,31068,-1967349,266610,6604,,308855,7500,89531,306,-46115,-46115,124243,,176299,13496,162803,492,,314748,59523,21715,4969,4969,16254,838201,838201,,90403,,,,,185328,51460,56662,12581,438366,56239,329303,8448,201738,32359,,251279.0,663918,134905,1871941,2013年06月30日,,,371440,72731,8804261,1446683,2240339,,,120677.0,2151.0,203298,1871941,,,,3552545.0,304657,,3923985.0,7905,352614,,5153,1438500,3946,298709,2105862,1683646,168962,0
2013-11-13,3,2013,,813549,30693,-2498046,253924,5898,,349936,7500,78552,215,-59583,-59583,120554,,121175,19882,101293,492,,300363,59346,49155,3692,3692,44971,921969,921969,,80515,,,,,220945,20180,42159,12080,246283,94046,242974,4119,226195,11427,0.0,239054.0,661386,130861,2762941,2013年09月30日,,,421698,130190,5065404,1330194,2141854,,,104748.0,0.0,216511,2762941,,,,3417171.0,5393,,3838869.0,10745,352614,,5473,1434000,1963,291508,2086977,1697015,165811,0
2014-03-31,4,2013,,359994,31130,-2520627,274590,5333,,136970,170912,91187,0,-39135,-39135,1565982,,129318,10057,119261,390,,277528,61334,51705,3436,3436,47879,870865,870865,,80515,,,,,187226,131451,30632,31581,228219,68122,305108,477,317576,48780,,216194.0,1105342,165218,2762941,2013年12月31日,,,455548,151168,5065404,2885782,2249070,,,52760.0,0.0,334687,2762941,,,,3515924.0,28504,,3971472.0,9817,352614,,3680,0,0,304380,630142,1722402,148592,0
2014-03-31,1,2014,,358676,27765,-2871517,269258,4782,,140473,152619,70633,0,-44334,-44334,1594524,,158687,26338,132349,390,,269490,61397,53856,2994,2994,50472,816284,816284,,80515,,,0.0,,165245,93064,32850,51081,209234,60006,242079,8510,265298,68154,0.0,208093.0,1100327,164230,3062941,2014年03月31日,,,386665,95079,5065404,2844449,2140045,,95446.0,,0.0,345353,3062941,,,,3467078.0,28504,,3853743.0,5168,353139,,4062,0,0,291586,622629,1713698,140528,0
2014-06-30,2,2014,,119951,26775,-2802553,282520,5173,,142259,127784,82805,3659,440358,440358,1573683,,157055,23140,133915,390,,238148,60925,54011,4485,4485,49136,767997,767997,,80515,,,0.0,,179539,118666,35220,50582,167266,89118,254263,9403,317068,23939,,165259.0,2198860,205685,3371941,2014年06月30日,,,1247429,957735,5065404,2867650,2110120,,106123.0,,913.0,382620,3371941,,,,3477257.0,28504,,4724686.0,4094,371459,,4111,0,11964,289694,609607,2614566,101194,0
2014-09-30,3,2014,1473623.0,109394,26775,-690156,180409,92880,,151664,214805,73896,3830,425412,425412,1589899,116276.0,162730,30187,132543,531,,174612,9776,78334,6259,6259,71544,821441,821441,,80515,,,0.0,,217453,126271,2128,49983,297837,113939,289125,3021,367019,34274,,154760.0,2189948,163229,1200000,2014年09月30日,,,1174298,883245,1802665,3066247,2176712,,167813.0,,459.0,301809,1200000,,,,3667087.0,28504,,4841385.0,4369,371459,,4113,54769,10076,291053,600840,2664673,68785,0
2014-12-31,4,2014,74497.0,100919,1476,-453111,184201,88038,,139840,195540,85646,3882,422101,422101,238432,163935.0,125678,12014,113664,6465,,152466,14057,74689,7128,7128,61096,841331,841331,,80515,25299.0,25299.0,0.0,,286909,124148,3710,49484,297448,120778,287045,1984,322382,39149,,133953.0,2525568,182731,1200000,2014年12月31日,,,1378526,1128699,1802665,1752513,2136258,,143612.0,,,295628,1200000,596.0,,,3739389.0,40224,,5117915.0,4121,398896,,8236,1435514,4456,249827,1986876,2981657,71928,0
2015-03-31,1,2015,87286.0,96790,1476,-514700,193293,92439,,136596,179162,84351,3244,435891,435891,259770,172484.0,120308,13024,107284,5991,,142341,13872,63852,7374,7374,50487,893251,893251,,80515,,25299.0,,,224492,90902,5488,28885,255276,155831,239709,237,304539,9777,,,2525568,185550,1200000,2015年03月31日,,,1323775,1080900,1802665,1702652,2027379,127169.0,,91720.0,,365654,1200000,596.0,5001235.0,3677460.0,,40224,5001235.0,,3992,398896,,8181,1433571,1300,242875,1974808,2973856,57659,0
2015-06-30,2,2015,94162.0,92052,840,-641450,185007,88477,,143522,228763,89928,2936,428944,428944,301014,206852.0,127760,20442,107318,5691,,126480,14677,66401,11264,11264,49446,787196,787196,,80515,,25299.0,,,205377,32927,11051,48885,259152,170018,306209,835,329642,23981,,,2525568,195742,1200000,2015年06月30日,,0.0,1193056,947203,1802665,1891313,2051376,108549.0,,102617.0,,490008,1200000,596.0,5029252.0,3836196.0,,40224,5029252.0,,3491,398896,,8796,1419507,3254,245853,1944883,2977876,66475,0
2015-09-30,3,2015,95171.0,108348,840,-765416,165595,76771,0.0,136944,236484,75677,3664,398087,398087,301072,205901.0,201930,46216,155714,5100,,400738,297394,84029,19583,19583,59346,816175,816175,,14323,,25299.0,,,225045,32491,9479,28393,248673,203163,296685,1233,351330,17065,,,2525568,199007,1200000,2015年09月30日,,0.0,1103807,858572,318665,2103499,2410369,101309.0,,385241.0,,681159,1200000,596.0,5413174.0,4309367.0,,40224,5413174.0,,3349,398896,,8242,1406234,2035,245235,2205868,3002805,67126,0
2015-12-31,4,2015,100559.0,124861,10157,-781377,176888,82484,,126132,212775,66547,2533,416899,416899,191745,91186.0,116985,23266,93719,4800,,111969,19460,58924,8654,8654,45470,819344,819344,,14290,,0.0,,269074.0,279390,34963,4424,7794,290887,206502,282658,2589,436828,20919,,,2489684,221352,1200000,2015年12月31日,,,1110136,865332,317686,1982049,2334115,91505.0,,342655.0,,627437,1200000,0.0,5329330.0,4219194.0,,44100,5329330.0,,3319,459761,,7753,1396341,1004,244804,2237145,2995215,62850,0
2016-03-31,1,2016,124350.0,130214,11157,-880067,173418,81244,,125087,207020,74267,2313,411617,411617,222136,97786.0,113530,22160,91370,16100,,104110,19605,86943,7630,7630,63213,806193,806193,,14290,,0.0,,269587.0,298608,25671,1332,7694,192935,239545,308091,1807,386083,13478,,,2489684,222963,1200000,2016年03月31日,,,993844,761360,317686,1892681,2143705,84505.0,,234544.0,,572653,1200000,0.0,5177273.0,4183429.0,,44100,5177273.0,,6096,459761,,11363,1457290,0,232484,2290748,3033568,23885,0
2016-08-11,2,2016,118830.0,129736,11157,-943049,147809,90637,,311767,15932,76106,2223,393678,393678,222179,103349.0,98191,26250,71941,15200,,123520,44609,68594,8604,8604,44790,798094,798094,,14290,,0.0,,270105.0,332445,32288,22595,0,131039,225940,338039,687,408131,15600,,,2489684,232435,1200000,2016年06月30日,,,924239,679961,317686,1907362,2118632,78911.0,,208738.0,,613177,1200000,0.0,5151989.0,4227750.0,,43622,5151989.0,,6023,459761,,11114,1467002,0,244278,2320388,3033357,18991,0
2016-11-11,3,2016,119849.0,136835,11157,-966331,150930,87592,,311333,15815,65643,1890,394623,394623,248298,128449.0,135712,40721,94991,14300,,91441,19468,63374,8508,8508,40566,852048,852048,201382.0,14290,,0.0,,295169.0,353905,52092,13934,20000,119785,190250,380323,223,377590,19093,,,2489684,236961,1200000,2016年09月30日,,,909002,658109,317686,2070760,2228462,71973.0,,201382.0,,745348,1200000,0.0,5265482.0,4356480.0,,44107,5265482.0,,24448,459761,,11417,1439349,0,250893,2285720,3037020,19180,0
