date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,607273,67704,342173,187118,7733.0,288416,288416,18795,-140419,127967,23285,161090,14341,2419,1112,22068,22068,0.0,1226176,0,,2207632,0.0,3347148,2527.0,1307.0,81521.0,6349.0,3401313,2013年03月31日,330911,,,3918897,3912141,0,1126,3304030,6315833,14341,10136.0,,1280168.0,601.0,36316.0,534880,3401313,,144534,,3317096.0,309074,,7235993.0,0.0,1097,10647,113171,6756,13066,920160,55398,104682,0
2013-08-09,2,2013,596741,67704,435327,168510,6451.0,565352,565352,19490,-131749,66321,13513,132646,16039,2586,1157,24661,24661,0.0,1315698,0,,3223900,289.0,4867347,1407.0,1429.0,81435.0,6244.0,3401313,2013年06月30日,187100,,,3930438,3925191,0,32952,4749803,7803488,16039,215275.0,,1159613.0,23.0,14370.0,733143,3401313,,160212,,4791709.0,220300,,8722147.0,563.0,0,39320,119384,5247,41906,918659,124407,52808,0
2013-11-12,3,2013,581946,65409,582127,167784,6968.0,419853,419853,26879,-222710,70650,21111,195281,18777,2989,1442,19895,19895,0.0,1340722,0,,3500612,0.0,4793384,8397.0,1547.0,81348.0,0.0,3521313,2013年09月30日,333900,,,4125404,4120696,0,32952,5274304,8564019,18777,215275.0,,1867973.0,0.0,13785.0,1158440,3521313,,122443,,5341738.0,239966,,9467142.0,2306.0,0,64445,128780,4708,67434,903123,149814,49539,0
2014-03-25,4,2013,583457,65409,713485,209525,5755.0,599445,599445,35850,-154960,93979,15745,278589,17258,1442,1442,19712,19712,0.0,844644,29141,,2840031,0.0,5026539,5197.0,0.0,81261.0,0.0,3503603,2013年12月31日,465258,,,4257190,4270711,2626000,32952,4586480,8023949,17258,215275.0,,1474228.0,540.0,11877.0,920527,3503603,,125312,,4663198.0,237724,,8920388.0,6646.0,0,75276,123587,-13521,76718,896439,137500,78234,0
2014-05-13,1,2014,572207,65409,596400,203409,0.0,427376,427376,29250,49728,78411,24190,244431,20254,1222,1222,20073,20073,,1139620,31309,0.0,1864384,,3801261,2099.0,0.0,81175.0,0.0,3491703,2014年03月31日,348173,,,4331798,4340523,2800000,32952,3364665,6887123,20254,215275.0,1318819.0,,551.0,12611.0,928309,3491703,,60491,,3450220.0,234001,,7782018.0,5143.0,0,84333,135777,-8725,85555,894895,135623,54221,0
2014-08-13,2,2014,559527,65409,322489,181956,0.0,614760,614760,22470,-21331,73852,15966,284192,21284,1539,1539,18356,18356,,812920,31309,0.0,1133427,0.0,1940980,576.0,0.0,81089.0,0.0,3489593,2014年06月30日,115510,,,3985042,3995364,2800000,79478,2394232,5584520,21284,127501.0,2245654.0,,26162.0,6638.0,464963,3489593,,81068,,2490418.0,235922,,6475460.0,0.0,4539,94647,145275,-10322,96186,890940,84595,57886,0
2014-11-12,3,2014,549048,64109,235832,159263,0.0,366863,366863,21066,-7292,89177,16299,150992,19643,1576,1576,18335,18335,,747949,68582,0.0,992105,400.0,1466576,0.0,0.0,81002.0,,3489593,2014年09月30日,28853,,,3864285,3883115,6658000,79478,1915165,4984174,19643,127501.0,2363116.0,,26033.0,8459.0,353537,3489593,,87050,,1998526.0,233564,,5862811.0,0.0,3063,81785,146500,-18830,83361,878637,63690,72878,0
2015-03-20,4,2014,541190,64109,223602,179379,0.0,328169,328169,4250,127312,107231,11370,94397,17472,1844,1844,17603,17603,,713846,87196,0.0,1048724,,1619196,1327.0,,0.0,,3484733,2014年12月31日,16623,,,3963734,3984091,8800000,79478,1862749,5114465,17472,127501.0,2425022.0,,1062.0,9176.0,300193,3484733,,77370,,1940097.0,235640,,5903831.0,0.0,339,75504,148992,-20357,77348,789366,67533,95861,0
2015-05-13,1,2015,530315,64109,137344,158846,,209336,209336,4219,61384,87408,12269,72743,15087,926,926,17487,17487,,740015,87196,0.0,858343,,1208564,0.0,,0.0,,3484733,2015年03月31日,-69635,1062.0,5628.0,3811240,3831905,8800000,79478,1514689,4613303,15087,127501.0,,2351474.0,,,281666,3484733,5395763.0,76874,1584523.0,,235640,5395763.0,,0.0,12789,68908,155462,-20665,69834,782460,59025,75139,0
2015-08-06,2,2015,521390,64109,58502,138927,,219337,219337,3142,12021,57751,12735,69997,13829,917,917,16360,16360,,728721,87196,,872912,218.0,1230798,0.0,,0.0,,3483613,2015年06月30日,-20976,0.0,4456.0,3682719,3703460,8800000,79478,1568356,4541727,13829,0.0,,2330109.0,,,341723,3483613,5317570.0,75905,1634851.0,,236520,5317570.0,,510.0,0,65578,160155,-20741,66495,775843,35577,45016,0
