date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,倉儲設備淨額,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付費用,其他預收款,冷凍設備淨額,原料,售氣及輸氣設備淨額,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,土地成本,土地改良物淨額,土地淨額,在製品,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待分配予業主之非流動資產（或處分群組）淨額,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付營業稅,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融資產－流動淨額,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期損益,模具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備淨額,污染防治設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,漁船設備淨額,無形資產合計,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,生物資產－流動淨額,當期所得稅負債,當期所得稅資產合計,短期借款合計,租賃改良淨額,約當現金,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,與待出售非流動資產直接相關之權益合計,裝卸設備淨額,製成品,試驗設備淨額,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－受贈資產合計,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過其他綜合損益按公允價值衡量之金融資產－流動,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,避險之衍生金融資產－流動,重估增值合計,銀行借款,銀行存款,銀行長期借款,長期借款合計,電腦通訊設備淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-11-11,3,2013,,,607585,0,0,562953,0,0,0,0,0,103451,16345,61157,,10386,10386,3436,3436,26526,598446,305504,20685,20685,,6341,257222,257222,257222,179266,194702,0,48576,0,0,26526,26526,105698,0,105698,34277,266811,266811,851,0,0,0,,,0,20129,20129,25088,25088,0,42294,106,106,5418,5418,0,0,0,0,6341,386973,350692,0,0,0,0,0,668000,2013年09月30日,529433,20502,,529433,0,31471,24271,1257750,1257750,0,0,0,33520,880302,1400048,,0,,0,0,,898866,0,0,96206,0,20637,0,275481,36281,7200,69745,4374,668000,0,0,183958,0,,0,,1093234,271,271,0,0,,2350984,165409,95664,0,15074,15074,0,,0,0,15132,10758,21748,21748,86129,0,0,20637,622534,184843,184843,0,0,212932,950936,179266,98240,292942,0
2014-03-12,4,2013,37665,37665,1109323,,,744495,,,,0,,299897,12396,74523,225374,11835,,3355,,52885,549959,270289,119896,14137,105759,9739,3197,3197,3197,,,,,,,52885,,,,,,234843,,,,,,,,,,14373,,20606,,,,516,,5529,,,,,9739,,,,,,,,757070,2013年12月31日,710975,,,,,,,2965951,2965951,0,,,33520,976638,3159779,,,,,,,2646363,,,79407,,,,,,,,,757070,,,,,,,,1371653,1411501,,,,,4337604,,,,,,,,68030,,,,0,,65305,,,,,,385276,,0,395015,1177825,69412,,242005,0
2014-05-09,1,2014,38862,38862,1096125,,,942595,,,,0,,199576,12059,71608,127968,14063,,3513,,32254,533841,281907,167601,12897,154704,9775,7056,7056,7056,,,,,,,32254,,,,,,233745,,,,,,,0,,,26955,,11402,,,,284,,4763,,,,,9775,,,,,,,,757070,2014年03月31日,909097,,,,,,,3151382,3151382,0,,,33498,870534,3162745,,,30561,,,2665071,,,,86701,,,,,,,,,757070,,,,,,,,1193669,1419463,,,,,4345051,,,,,,,,15660,,,,0,,48564,,,,,,313360,,,323135,1182306,58045,,213072,0
2014-11-11,3,2014,0,0,1108078,,,764251,,,,,,127549,15229,127549,,10914,,3671,,48436,645137,457396,220663,13341,207322,9843,2250,2250,2250,,,,,,,48436,,,,,,297609,,,,,,,0,,,35258,,53144,,,,454,,12868,,,,,9843,,,,,,,,794924,2014年09月30日,661430,,,,,,,3027074,3027074,0,,,102821,933685,2698888,,,106915,,,2059945,,,,57368,,,,,,,,,794924,,,,,,,,943528,1419463,,,,,3970602,,,,,,,,12,,,,0,,54471,,,,,,0,,,9843,1271714,92752,,187741,0
2015-03-12,4,2014,0,0,1148643,,,987689,,,,,,160765,18896,160765,,8911,,32492,,127507,763484,559753,230234,13407,216827,7969,2322,2322,2322,,,,,,,127507,,,,,,239431,,,,,,,0,,,34478,,8035,,,,97,,27466,,,,,7969,,,,,,,85077,794924,2014年12月31日,884868,,,,,,,3329583,3329583,0,,,102821,1061804,2994416,,,107244,,,2410252,,,,76146,,,,,,,,,794924,,,,,,,,1069773,1419463,,,,,4399356,,,,,,,,31,,,,,,61654,,,,,,0,,,7969,1404940,45502,,203731,0
2015-08-11,2,2015,,0,1092847,,,843267,,,,,,651719,15630,95273,,7481,,5794,,56233,850681,559323,226620,11597,215023,8051,2268,2268,2268,,,,,,,56233,,,,,,295714,,,,,,0,0,,,90618,,11861,,556446,,830,,188809,,,,,,,,,,,,80821,794924,2015年06月30日,664862,,26640,,,,,3113887,3113887,0,,,178405,1647149,3493105,8051,,55553,,,,2675902,,,,,,,,,,,,794924,,,,,4769087,,1655200,,1419463,,,,4769087,,,,,,,,,0,,,,,,44493,,,,,,0,,,8051,1275982,91955,,291358,0
2015-11-12,3,2015,,,1120853,,,1169851,,,,,,98344,11351,98344,,15844,,4871,,188900,744372,513170,14658,14658,0,8090,0,0,0,,,,,,,188900,,,,,,441777,,,,,,,0,,,144074,,22453,,,,683,,389753,,,,,,,,,,,,82935,794924,2015年09月30日,991446,,34156,,,,,3573138,3573138,0,,,178405,1054750,3332185,8090,,55326,,,,2370411,,,,,,,,,,,,794924,,,,,4635978,,1062840,,1419463,,,,4635978,,,,,,,,,47,,,,,,44679,,,,,,,,,8090,1303793,94141,,231202,0
2016-03-04,4,2015,,,1066537,,,1598085,,,,,,121933,13007,,,21973,,4725,,97236,800007,600967,123882,10315,113567,8375,0,0,0,,,,,,,97236,,,,,,436778,,,,,,,0,848721,,146148,,22233,,,,1099,,664989,,,,,,,,,,,,79191,794924,2015年12月31日,1419680,,64640,,,,,3946729,3946729,0,,,178405,1167968,4735959,8375,,39385,,,,3396435,,,,,,,,,,,,794924,,,,,5974853,,2028124,,1456484,,,,5974853,,,,,,,,3060,9,,,,,,53781,,,,,,,,,860156,1238894,86069,,199040,0
2016-05-12,1,2016,,,1046686,,,1921974,,,,,,119805,10511,119805,,9143,,4276,,60639,690928,545353,19555,12097,7458,6275,137386,137386,137386,,,,,,,60639,,,,,,469536,,,,,,,0,853000,,82292,,19575,,,,1238,,286701,,,,,,,,,,,,77752,794924,2016年03月31日,1743569,,85956,,,,,4234021,4234021,0,,,178405,1009067,4753366,6275,,53369,,,,3860494,,,,,,,,,,,,794924,,,,,6108753,,1874732,,1456484,,,,6108753,,,,,,,,6390,0,,,,,,40194,,,,,,,,,865665,1355387,102423,,145575,0
2016-08-12,2,2016,,,1015231,,,1280641,,,,,,885162,7786,90238,,10897,,3661,,-21038,676135,508047,31527,24259,7268,6275,141653,141653,141653,,,,,,,-21038,,,,,,451757,,,,,,,0,857300,,30659,,7699,,794924,,1624,,32791,,,,,,,,,,,,193611,794924,2016年06月30日,985527,,55761,,,,,3511011,3511011,0,,,295114,1663202,4624383,6275,,49555,,,,4017445,,,,,,,,,,,,794924,,,,,6053808,,2542797,,1456484,,,,6053808,,,,,,,,16020,0,,,,,,29375,,,,,,,,,879595,1429425,74681,,168088,0
