date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－非流動合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,707235,16919742,616316,6261983,324146,2609443,1478578,9391.0,,244146,129.0,253842,253842.0,948489,241254,272290,67911,3382329,92802,876020,486018,309026,8822177,,439705,,,1996160,3382706,2301265,70668.0,,4476084,113681.0,1980169,3289527.0,221364,,0.0,11426024,2013年03月31日,3590926,,31868515,17631925,104438075,2295930,15006397,35265116,,376937,,2743721.0,0.0,,375127,,9781321.0,7731,287959.0,6502234,11426024,,24585,,25756073.0,129781,,57624588.0,522,5920092,1304280,731919,4066907,390002,14236590,10749676,22359472,587160,0
2013-08-08,2,2013,1066374,17064455,615235,5296913,269253,2493547,3056236,9387.0,1550518.0,315105,129.0,194316,,1207863,141489,73958,155105,3376184,95285,886938,492462,309026,8070530,8070530.0,439705,0.0,,1996536,3544488,1936345,89380.0,1505718.0,5183596,132828.0,1797253,3280899.0,220698,,0.0,11426024,2013年06月30日,2459876,,30683129,16641021,104438075,2461910,16312131,35434411,,464131,,3405800.0,0.0,,375127,,8408671.0,7890,267912.0,6173729,11426024,,26346,,27248912.0,163473,,57932041.0,445,7096393,1312450,744736,4251611,394476,14042108,10936781,22497630,680895,0
2013-11-11,3,2013,867486,17212853,322142,5491101,321893,2260862,1670668,9469.0,1648431.0,235737,129.0,87838,,1073942,206456,234830,170036,3356546,98510,925714,538306,309026,7155957,7155957.0,439705,,,1996913,3907309,2059164,98794.0,22237.0,5515028,122333.0,2103941,3258036.0,218772,,0.0,11426024,2013年09月30日,2654064,,30755403,16728095,104438075,2461910,15299455,34962117,,479062,,3357508.0,7600.0,,375127,,8633561.0,7816,238810.0,6213506,11426024,,27222,,26401683.0,162837,,57157086.0,571,6539772,1301037,760148,4447732,387408,14027308,11102228,22194969,741428,0
2014-03-14,4,2013,1077146,17556166,328927,5632827,375588,2309664,1679576,9552.0,1679576.0,233693,0.0,316949,,1195350,118204,114114,177709,3421285,98547,991259,600449,309026,8290863,,439705,,,1997292,4774458,2383142,61949.0,,5429641,146815.0,2265049,3322738.0,218229,,0.0,11426024,2013年12月31日,2795790,,31293528,17098803,104438075,2461910,17000771,35933828,,486735,,3558562.0,7600.0,,375127,,8679752.0,10138,295733.0,6571449,11426024,,29260,,27303611.0,162708,,58597139.0,302,6289764,1370755,754593,3513508,390810,14194725,10302840,22663311,549987,0
2014-05-09,1,2014,1585550,17995344,330799,5773554,339333,2316109,1481618,9586.0,1481618.0,294490,0.0,378882,378882.0,1781720,196170,159101,184256,3392124,96187,864530,471028,309026,9434570,,439705,,0.0,1498001,3778504,2832525,76433.0,,5458766,120036.0,2214981,3295937.0,218065,,,11426024,2014年03月31日,2936517,,31616890,17301339,104438075,2461910,18502978,37769441,,493282,,2578963.0,7600.0,,375127,9907087.0,,10271,370320.0,8149918,11426024,,22251,,29157306.0,162584,,60774196.0,103,6369230,1377673,768755,4386530,393502,14315551,10654328,23004755,892884,0
2014-08-08,2,2014,2109028,18308420,856097,5266013,319968,2510850,2641444,9834.0,1430963.0,354928,0.0,471975,,2357856,248828,223931,160990,3381926,93192,918393,535079,309026,8872042,8872042.0,439705,,0.0,998640,3691023,2918393,67750.0,1210481.0,6531250,147223.0,1959806,3288734.0,217397,,,11426024,2014年06月30日,2347260,,30636334,16907505,104438075,2543626,19754648,36422691,,470016,,2684336.0,7600.0,,375127,9720462.0,,10066,187793.0,7858638,11426024,,21917,,29862011.0,183198,,60498345.0,0,5037497,1360206,776815,4366591,383314,13728829,10107363,24075654,571248,0
2014-11-07,3,2014,1269220,18914180,850008,5513046,310056,2370094,1780748,0.0,1756032.0,416148,0.0,343156,,1567108,297888,236732,151392,3366655,90130,976350,589002,309026,9094110,9094110.0,457800,,0.0,998831,3808521,3016413,46583.0,24716.0,6292115,145851.0,2017407,3276525.0,196424,,,11426024,2014年09月30日,2594293,,30932212,17007631,108085075,2543626,18026219,35689063,,460418,,2513675.0,7600.0,,375127,8895767.0,,10253,150328.0,7634644,11426024,,21349,,29334387.0,183205,,60266599.0,525,4942276,1392031,792209,5550651,387348,13924581,11308168,24577536,824926,0
2015-03-12,4,2014,1317899,20241266,861993,5571237,296450,2404119,1771652,0.0,1748442.0,408691,,616118,,1506341,188442,68368,186463,3409794,95365,724957,269285,310891,8640157,,475606,,0.0,999024,3252914,2739843,47669.0,23210.0,6133312,64304.0,1904912,3314429.0,198112,,167483.0,11426024,2014年12月31日,2652484,,31097865,17320978,111943075,2543626,16357436,32481273,,497354,,3672911.0,12600.0,,375127,7485579.0,,17151,178004.0,6834996,11426024,,25596,,27317146.0,183205,,58415011.0,421,3172849,1477093,808703,5073799,455672,13776887,10959710,25933738,633740,0
2015-05-11,1,2015,1389350,20865950,812276,5758989,284613,2400223,1625180,,1625180.0,292791,,474662,474662.0,1736326,346976,517043,174020,3382490,92496,718573,271775,310891,7322153,,475606,,,2495881,3121800,2918121,28951.0,,5643919,93583.0,1588359,,196284,,166623.0,11426024,2015年03月31日,2840236,240741.0,31327672,17367112,111943075,2543626,15445696,32728769,3289994.0,484911,2240857.0,,,16772.0,375127,,8596098.0,16897,,5754990,11426024,59212424.0,19576,27884752.0,,183043,59212424.0,,11,5563314,1443825,805146,5116860,446798,13960560,12439056,26483655,586039,0
2015-08-10,2,2015,1398665,21707225,811037,5617557,235943,2263609,1986505,,1367033.0,313681,,235648,,1706480,307815,515573,187621,3376686,93968,705889,262244,310891,8220298,8220298.0,475606,,0.0,1996573,4029567,2952665,13397.0,619472.0,6112492,83164.0,1333035,,194278,162542.0,162542.0,11426024,2015年06月30日,2634720,269856.0,31124365,17001402,111943075,2607710,17935891,34020871,3282718.0,498512,2270087.0,,,16772.0,375127,,8848907.0,16737,,6956823,11426024,61194608.0,20563,30070243.0,,197779,61194608.0,,35,5613018,1441172,797136,5319921,443645,14122963,12134352,27173737,474673,0
