date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-14,1,2013,,,353308,6436874,-154696,-15082.0,256897,197577,269786,664387,,1125290,592042,22652,8540,0.0,742556,15738,679469.0,786,2203,4630799,0.0,,,216885,422975,0.0,215215,675470,90007,7754.0,4000,91821,4983490,2013年03月31日,-170944,,,7416294,5499314,0,16248,6022639,6800426,,813,,122868.0,207115.0,,,814414.0,9423.0,465.0,4047041,4983490,,4382.0,13873.0,,7376977.0,6133,,14793271.0,736,5288,139520,252769,975520,,0,73531,1916980,1354338,7992845,168677,651084,179940,0,179940.0
2013-08-14,2,2013,25272.0,291650.0,316922,6753096,-364417,-26920.0,244962,172350,258505,458763,,892613,428408,18241,8642,0.0,414229,14183,485683.0,806,1646,3836972,,,,0,505915,49998.0,217421,569715,72816,7836.0,4000,92712,5124999,2013年06月30日,-380665,,,7011455,5223415,0,16248,5758457,5955586,,730,,209666.0,168523.0,,,698698.0,8740.0,573.0,3896841,5124999,,3734.0,13512.0,,6882768.0,4070,,13894223.0,10845,22325,99160,260385,1002997,,0,72626,1788040,1124311,7938637,268075,325774,147283,0,
2013-08-14,2,2014,0.0,346030.0,346030,7940240,-832988,72181.0,344846,415930,60965,402988,,476015,8712,9637,14203,,113507,10588,330807.0,2949,3013,2822785,,,0.0,291653,439815,0.0,152009,629144,54479,7264.0,4000,107047,5404245,2014年06月30日,-849236,,,6624828,4983155,0,16248,4495810,4794791,,4852,,226426.0,182736.0,,762275.0,,3391.0,629.0,2996545,5404245,,34.0,14497.0,,7057390.0,8910,,13682218.0,12071,2534,68078,190199,2173149,,3990,72396,1641673,2561580,8887427,225917,27510,121273,0,
2013-11-13,3,2013,,,287878,7064125,-586295,3205.0,272650,176547,262609,425394,,427927,10518,34469,8737,0.0,314078,12971,422189.0,807,1875,3086056,,,,288870,741991,50000.0,182061,514628,75768,7930.0,4000,97177,5404245,2013年09月30日,-602543,,,6985897,5252254,0,16248,5172366,5682977,,621,,191478.0,165414.0,,,1379472.0,6849.0,605.0,3565329,5404245,,3304.0,13658.0,,6876025.0,8910,,13861922.0,18358,17022,85858,260880,1306536,,0,72999,1733643,1703659,8178945,120870,226233,129531,0,
2014-03-18,4,2013,,,278137,7483640,-872846,-5094.0,267509,502543,20614,249615,,387141,10159,5831,18220,0.0,163965,11139,254709.0,6587,2663,3049598,,,,289798,566837,49988.0,157661,548131,70187,7205.0,4000,98367,5404245,2013年12月31日,-889094,,,6451668,4789924,0,16248,5065566,5453065,,3771,,191832.0,177682.0,,,1324377.0,4615.0,493.0,3383174,5404245,,5529.0,13506.0,,7389762.0,8910,,13841430.0,8078,24309,52902,189431,1949770,,4428,74207,1661744,2324196,8388365,217693,75956,98845,0,
2014-03-30,4,2014,254418.0,509773.0,764191,8734827,-897281,12281.0,290938,251458,29545,533255,,880721,7019,35376,32515,,189554,28418,520974.0,5388,3385,3461758,,,0.0,0,830125,0.0,211255,793426,54385,24425.0,4000,112381,5470911,2014年12月31日,-913529,,,6827410,5120330,0,16248,5920283,5574099,,7234,,387871.0,99705.0,,447926.0,,2265.0,642.0,3742777,5470911,,0.0,,,8355876.0,13445,,15183286.0,1682,40927,108532,170548,2294546,,2702,75809,1707080,2435593,9609187,322243,81942,109511,0,
2014-05-15,1,2014,,,681059,7967832,-833546,31902.0,306554,171259,31793,441683,,822998,9070,2805,13354,,137061,12905,409781.0,2249,3265,2967566,0.0,,0.0,290725,1061023,49908.0,169180,548931,32102,7238.0,4000,102890,5404245,2014年03月31日,-849794,,,6691983,5023683,0,16248,5097724,5081804,,4887,,200105.0,163861.0,,1108576.0,,3604.0,561.0,2815137,5404245,,0.0,14318.0,,7269830.0,11301,,13961813.0,4615,10022,84870,192924,1768839,3867.0,3867,75167,1668300,2172106,8880009,179343,45724,132869,0,
2014-11-14,3,2014,268199.0,453291.0,721490,8175553,-850311,81554.0,355880,206400,59610,487620,,865929,6935,4902,11337,,107272,10923,406066.0,680,3114,3385938,,,0.0,0,672444,0.0,180181,551718,76567,7309.0,4000,111530,5445911,2014年09月30日,-866559,,,6766291,5093449,0,16248,5971421,5383894,,6960,,155379.0,186018.0,,820864.0,,1622.0,571.0,4041534,5445911,,0.0,15302.0,,7757189.0,10229,,14523480.0,3311,27886,83942,192373,1675187,,3348,73191,1672842,1785768,9139586,300459,20044,137504,0,
2015-05-15,1,2015,0.0,440581.0,440581,8832447,-980913,6196.0,242308,218596,30857,518215,,628944,9552,31711,25929,,151510,12432,512019.0,977,3597,3233135,0.0,,0.0,255255,738109,0.0,200323,685459,86254,,4000,116734,5470911,2015年03月31日,-997161,2718.0,698.0,6704357,5022495,0,16248,5914859,5463729,24952.0,7040,439289.0,,,23251.0,,566884.0,,,4102765,5470911,15021353.0,0.0,,8316996.0,,14282,15021353.0,,23404,20059,105425,180334,2015528,0.0,0,74007,1681862,2402137,9557624,369383,61474,178811,0,
2015-08-12,2,2015,0.0,428311.0,428311,8394281,-1079259,-717.0,222644,231974,29854,322030,,607243,14395,31030,28635,,147391,9352,322747.0,967,3350,2921145,,,0.0,256092,637672,,189765,675820,76005,,4000,109313,5470911,2015年06月30日,-1095507,2789.0,741.0,6310511,4759715,0,16248,4883646,5086229,24610.0,11367,413147.0,,,22918.0,,515615.0,,,3210231,5470911,14174273.0,0.0,,7863762.0,,46033,14174273.0,,3972,70734,67290,176130,2628099,,3058,71687,1550796,2980116,9088044,352138,63002,164537,0,
