date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－合併溢額,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,408697,2495643,169011,376540,161970,319571,30365,66402,-102642,21090,14193,65554,37528,33,1869320,133294,,1056907,,728933,1089,50382,355846,2670599,2013年03月31日,1442780,,5379070,5509268,13050000,913835,1398355,5749588,80657,,1496231.0,139028.0,,979791.0,787.0,0.0,2670599,,7548,,1473168.0,409918,88008.0,81417.0,22968,,6636,210889,,,6852238.0,110706,1711,7570,-130198,74813,1102650,142420,0
2013-08-12,2,2013,689548,2755636,233143,385680,150990,398995,51703,152958,-80240,2367,1402,65967,4412,55,1854508,133294,,1303756,,666508,1157,49698,369625,2669799,2013年06月30日,1702773,,5571218,5705169,13050000,913835,1715862,6016912,75155,,1509776.0,139028.0,,1397025.0,10744.0,0.0,2669799,,7871,,1791293.0,260070,86792.0,81417.0,34264,,6977,50620,,,7362511.0,112710,1593,6171,-133951,75431,1345599,36443,0
2013-11-11,3,2013,665547,2896482,150383,275810,147530,311136,37732,92517,-57864,9792,18414,66431,11683,-2,1831765,133294,,1102130,,722254,1034,49014,344212,2668939,2013年09月30日,1843619,,5665399,5794729,13050000,913835,1446148,5889163,78218,,1497597.0,139028.0,,1332361.0,23090.0,0.0,2668939,,8033,,1522230.0,270085,85485.0,81417.0,45559,,7004,50620,,,7187629.0,108588,1618,2262,-129330,76082,1298466,63608,0
2014-03-28,4,2013,651034,3006271,135552,243293,149215,401676,49288,87513,-48315,5491,5596,66626,5264,276,2091112,133294,,1599700,1395.0,774867,801,48330,320578,2668519,2013年12月31日,1953408,,5779749,5910027,13050000,913835,2058948,6593061,140238,,1430436.0,139028.0,,1835937.0,47186.0,3500.0,2668519,,8194,,2134413.0,281018,84846.0,81417.0,56856,,7279,50620,,,7914162.0,107346,645,6442,-130278,75465,1321101,54385,0
2014-05-13,1,2014,627306,3262707,122032,210175,148868,403009,3863,84180,-38255,3440,72360,66249,5750,403,2351276,133294,35000.0,1594523,1395.0,849008,877,47646,320719,2668379,2014年03月31日,2209844,,6081527,6175602,13050000,913835,2086326,6960683,124074,,1412193.0,139028.0,1893181.0,,83959.0,0.0,2668379,,8356,,2160931.0,293630,58733.0,81417.0,68152,,8807,76521,0.0,,8242458.0,125468,0,7412,-94075,74605,1281775,42282,0
2014-08-12,2,2014,603621,3099002,75511,119939,146997,985087,75035,47950,-27818,15651,6844,67062,33066,257,2529435,133294,0.0,1854946,0.0,1053948,501,46962,286579,2667399,2014年06月30日,2118152,,5752084,5852917,13050000,980850,2953058,7534487,128513,,1495730.0,0.0,2031223.0,,97374.0,0.0,2667399,,8518,,3030695.0,171860,57243.0,0.0,79448,,9268,25901,,,8782779.0,159980,2057,2554,-100833,77637,1248292,61852,0
2014-11-11,3,2014,652764,3414994,24169,60277,153743,569167,76281,6399,-18166,10494,38467,68307,24375,396,2735635,132324,0.0,2196124,0.0,1203883,440,68921,284429,2684354,2014年09月30日,2434144,,6109589,6194767,12955000,980850,2894645,7799988,97386,,1531124.0,0.0,1812467.0,,118860.0,0.0,2684354,,8679,,2974629.0,221344,,0.0,73197,11925.0,11148,92569,32505.0,,9084218.0,198440,2998,2612,-85178,79984,1284230,142974,0
2015-03-30,4,2014,634728,3730345,18650,54758,146446,499945,72344,5628,-13586,10682,39952,68534,32412,564,3273524,131711,0.0,3139701,1710.0,1142661,646,68332,284329,2719144,2014年12月31日,2749495,,6523896,6609830,12895000,980850,3826160,9161630,104460,,1593335.0,0.0,2603490.0,,174122.0,0.0,2719144,,9641,,3911018.0,286424,32437.0,0.0,50996,12562.0,12104,178325,0.0,,10434914.0,202938,6683,2577,-85934,84858,1273284,177982,0
2015-05-11,1,2015,647618,3960047,95687,50938,227303,511415,4062,87198,-8983,9660,115607,68966,29764,494,3961114,131711,0.0,2855860,1710.0,1047935,471,67447,290149,2724241,2015年03月31日,2979197,197720.0,6844401,6936190,12895000,980850,3576365,9161316,75405,1579771.0,,0.0,,2050867.0,,0.0,2724241,10501247.0,9867,3656846.0,,296415,32224.0,0.0,47638,12562.0,12766,191225,0.0,10501247.0,,202720,1648,2245,-91789,80481,1339931,147831,0
2015-08-10,2,2015,707112,3455218,349244,37864,492292,1161535,81365,345294,-4415,5502,42817,69181,8412,465,4059680,131711,,1587499,0.0,1049373,803,66563,282485,2724241,2015年06月30日,2361985,85920.0,6403041,6515638,12895000,1093233,2840456,7708291,55974,642093.0,,,,1502025.0,,,2724241,9323722.0,10092,2920681.0,,122596,32224.0,,49843,12562.0,15067,12900,,9323722.0,,199398,952,2593,-112597,80225,1615431,92873,0
2015-11-10,3,2015,741658,3612004,214336,28355,366893,538585,80929,215661,0,5080,52388,24564,8167,1325,3975553,136787,,1709726,0.0,950350,1135,65679,287271,2725144,2015年09月30日,2518771,0.0,6451415,6557760,13389000,1093233,2253391,7234718,37403,608878.0,,,,1294385.0,,,2725144,8744105.0,10318,2292690.0,,141738,243.0,0.0,51673,12562.0,30292,46968,0.0,8744105.0,,187115,4417,2316,-106345,39299,1509387,55630,0
2016-03-11,4,2015,752884,3670737,361555,28355,509758,331792,83469,362512,0,5424,28911,28069,9365,957,3795397,137321,0.0,1585303,0.0,954305,1066,64795,282973,2728344,2015年12月31日,2577504,0.0,6695979,6777050,13439000,1093233,1922519,7018162,19228,549569.0,,,,1254654.0,,,2728344,8659505.0,10543,1963526.0,,152778,0.0,,48368,1661.0,48136,54613,,8659505.0,,310081,2395,2340,-81071,41007,1641343,12355,0
2016-05-09,1,2016,781255,3813376,352472,23431,505388,348503,26500,353361,0,12982,76554,18609,12055,889,3567194,137321,0.0,1213038,0.0,752765,150,34135,285265,2731026,2016年03月31日,2720143,0.0,6827496,6916933,13439000,1093233,1574523,6796212,19736,432454.0,,,,1659084.0,,,2731026,8436130.0,10790,1608634.0,,156491,0.0,,45597,1661.0,48416,60817,,8436130.0,,252313,4712,2084,-89437,34111,1639918,5767,0
2016-08-10,2,2016,783441,3697480,187774,23601,339877,735503,55134,187774,0,20483,9777,19132,34127,0,3505853,137321,0.0,1328007,1196.0,752949,996,33695,235367,2815177,2016年06月30日,2555196,30274.0,6696280,6808609,13439000,1142284,2115463,7288980,112210,585792.0,,,,2020463.0,,,2815177,8845061.0,11037,2148781.0,,245499,0.0,,46663,1661.0,43738,153437,,8845061.0,,320469,3149,17364,-112329,33318,1556081,13946,0
