date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,509875,4722112,64807,1736064,,1679370,356120,120000,,0.0,-330777,-330777.0,587514,77639,258494,75935.0,182559.0,256619,926,62025,62025,3942665,429858,,,1985991,52838,944000,153565,82290,4679017,66596,93464,42551.0,255693.0,1562001,7540608,2013年03月31日,858989,,9492602,8895214,85002278,368999,7673206,10130918,,22251,508076,,933500.0,6700.0,3376000,7540608,,8188,,8804843.0,379177,,18297445.0,,55728,146650,53961,,728368,597388,1131637,8166527,58903,,0
2013-08-12,2,2013,542125,4752982,64807,1951524,,1738544,382466,154798,,0.0,-238462,-238462.0,656699,114574,308250,111576.0,196674.0,256686,932,55408,55408,4328140,441204,377030.0,,1505350,57390,944000,157122,41599,4285060,74500,142453,68217.0,255754.0,1636098,7540608,2013年06月30日,1071387,,9780759,9192917,84002278,372061,7404373,9780340,,18844,508076,,379016.0,31219.0,3453093,7917638,,20637,,8321724.0,3421,,18102483.0,,126242,146650,55460,,514015,587842,917351,8322143,68462,,0
2013-11-13,3,2013,535375,4907563,64807,2192801,,1722371,380524,178789,380524.0,0.0,-161021,,638896,103521,351079,168332.0,182747.0,256101,924,51161,51161,4102869,441204,,,1447511,75783,1044000,76784,25849,3993532,53561,109154,0.0,255177.0,1720782,7917638,2013年09月30日,1312664,,10121752,9511635,88168545,372061,6860069,9402083,,19260,508076,,582086.0,55106.0,2911239,7917638,,25588,,7821751.0,3421,,17943503.0,,148869,146650,55476,,558931,610117,961682,8541420,60933,,0
2014-03-24,4,2013,535369,4832508,64807,2376988,,1795147,403435,238415,403435.0,0.0,120761,,674312,138943,348106,197915.0,150191.0,261755,877,156316,156316,3383687,363621,,,1503763,76997,1049000,100624,18676,4209653,58876,187049,0.0,260878.0,1755851,7917638,2013年12月31日,1496851,,10668170,10104219,72577545,372061,6270321,9028473,,16885,508076,,558884.0,77751.0,2112491,7917638,,14857,,7023309.0,52453,,17691479.0,,178271,146650,41492,,344583,563951,752988,8663006,103947,,0
2014-05-13,1,2014,177833,4738429,64807,2603382,,1762803,402671,262410,402671.0,,88627,,363064,185231,2574373,257944.0,2316429.0,261796,888,249642,249642,4633165,363621,,0.0,2146670,68294,1049000,99740,29357,3770187,21668,302274,24.0,260908.0,1746870,7917638,2014年03月31日,1723245,,10851784,10298792,72577545,372061,8960395,11989397,,13242,508076,431779.0,,134264.0,4391482,7917638,,13443,,9760091.0,52766,,20611875.0,,165681,146650,46685,,391250,552992,799696,8622478,90246,,0
2014-08-13,2,2014,177833,4850699,36924,1757388,,1743671,396176,171000,396176.0,,-50942,,411470,233637,2565627,177504.0,2388123.0,261793,878,339228,11914,3842382,357738,791764.0,0.0,1126012,58554,1229000,92681,29911,4001386,47302,259321,56.0,260915.0,1781497,7917638,2014年06月30日,776903,,10747845,10131639,71816545,472409,8711560,11399240,,11517,508076,462906.0,,71645.0,5116000,8709402,,9111,,9475670.0,73529,,20223515.0,,161807,146650,60739,,355667,616206,764110,8824275,58453,327314.0,0
2014-11-11,3,2014,130611,5106599,36726,1962272,,1616119,467587,152000,467587.0,,-232433,,398248,267637,2537638,252232.0,2285406.0,261822,886,488875,52569,3796470,357738,,0.0,972533,62070,1169000,190820,34239,3219935,74834,240780,,260936.0,1749787,8709402,2014年09月30日,981787,,10780042,10145527,78998198,472409,8724763,11409143,,15282,508076,1322569.0,,76569.0,5190000,8709402,,11697,,9682791.0,64024,,20462833.0,,161944,146650,40302,,549556,634515,958028,9053690,54973,436306.0,0
2015-03-23,4,2014,138944,5194978,36726,1929405,,1573137,541745,263391,541745.0,,-270055,,285865,146921,162403,20582.0,141821.0,256665,738,736860,11860,3225304,357738,,0.0,1018520,57158,879000,92625,22583,3114132,35616,287785,,255927.0,1883347,8709402,2014年12月31日,948920,,10746695,10072494,78998198,472409,5786812,7924853,,16235,508076,761186.0,,67164.0,2547000,8709402,,11761,,6695766.0,61480,,17442461.0,,283828,146650,76325,,505639,674201,908954,9517608,54599,725000.0,0
2015-04-28,1,2015,97278,5307800,36726,1815083,,1581733,435563,276391,435563.0,,-319610,,196467,99189,1723936,44072.0,1679864.0,256836,921,866035,11753,3282488,357738,,,1143736,61227,1397000,91073,27182,2623901,49858,222162,0.0,,1834049,8709402,2015年03月31日,834598,67147.0,10585631,9908617,78998198,472409,8422099,10365498,255915.0,14406,508076,,2114634.0,,4718889,8709402,20105188.0,7424,9519557.0,,61480,20105188.0,,,301254,146650,98941,,693972,677014,1097458,9739690,47265,854282.0,0
2015-08-13,2,2015,105611,5668100,36410,1519217,,1756300,494880,206934,494880.0,,-221677,,314178,208567,1041477,42782.0,998695.0,256923,1024,733808,11407,3243504,357738,435470.0,,1254652,55585,1237000,173718,24703,3041535,63792,260092,0.0,,1843460,8709402,2015年06月30日,512260,12973.0,10884862,10162667,78998198,507233,9151327,11264995,255899.0,14153,499724,,3193473.0,,5369122,9144872,21389818.0,7582,10504956.0,,77993,21389818.0,,,359262,146650,72592,,950056,722195,1353629,10124823,61860,722401.0,0
