date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付員工紅利,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應付董監事酬勞,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,619100,32947,813266,2883,13254,-5954,161538,,12563,39601,42697,6982,791,27364,358797,0.0,,1802,477180,,8166.0,,1081,1469870,0.0,156190,38810.0,40898,850000,2013年03月31日,396947,,2206733,2130870,0,186552,736134,2872368,,9552,229767,,818356.0,13160.0,73207,850000,,,1415735.0,473558,,3622468.0,0.0,4906,640000,8351,75863,679601,750100,43338,0
2013-08-14,2,2013,605091,32947,801800,51897,14777,16333,173185,,12604,39978,42733,6969,791,27429,324887,0.0,,3147,480341,,11405.0,46861.0,1889,1635883,0.0,131207,39187.0,42328,850000,2013年06月30日,382957,,2209519,2141691,0,189076,987496,2998300,,9552,229767,,835069.0,17655.0,253013,850000,,,1527474.0,473558,,3736993.0,0.0,6042,500000,8335,67828,539978,738693,43873,0
2013-11-13,3,2013,587037,32947,823705,8586,16691,4456,171838,,9934,34875,42170,6334,793,27759,331909,0.0,,2937,439677,,8828.0,3886.0,1763,1599402,0.0,146648,34082.0,40122,850000,2013年09月30日,404862,,2220549,2151719,0,189076,1004689,3085506,,4652,229767,,950663.0,23096.0,352664,850000,,,1584030.0,473558,,3804579.0,0.0,12145,544466,8077,68830,579341,719073,30259,0
2014-03-26,4,2013,563484,32947,848079,6209,18974,27784,214918,,10335,30628,52391,7155,793,37180,344439,0.0,,3881,482753,,8285.0,,2328,1714877,0.0,156287,29835.0,39696,850000,2013年12月31日,429236,,2271286,2199421,0,189076,1056005,3188472,,4652,229767,,913527.0,24858.0,318982,850000,,,1620231.0,473558,,3891517.0,0.0,9875,533598,8056,71865,564226,703045,30033,0
2014-05-09,1,2014,551093,32947,868586,7454,22966,40969,191966,,11265,34648,75019,6114,1284,60943,361410,0.0,0.0,4659,371632,,11934.0,,2795,1587150,,171058,33364.0,39643,850000,2014年03月31日,449743,,2306546,2233113,0,189076,890813,3120699,,4652,229767,910988.0,,23608.0,284219,850000,,,1530602.0,473558,,3837148.0,,13095,605141,7962,73433,639789,716449,55862,0
2014-08-13,2,2014,537987,32947,812286,94453,20188,18180,205893,,11418,38198,73899,5806,1283,60450,344041,0.0,0.0,5769,416519,,9265.0,85000.0,3684,1692813,,178828,36915.0,38041,850000,2014年06月30日,384306,,2227468,2154024,0,198213,1002178,3167128,,4652,229767,875783.0,,25577.0,250471,850000,,,1641249.0,473558,,3868717.0,0.0,14063,600873,7643,73444,639071,701589,44057,0
2014-11-12,3,2014,530095,32947,854958,5357,17750,38228,199750,,10298,41753,44387,6478,1283,30313,362878,0.0,0.0,3447,363924,,9785.0,0.0,1910,1644064,,162521,40470.0,37988,850000,2014年09月30日,426978,,2292535,2216744,0,198213,937272,3220158,,4652,229767,991744.0,,25330.0,333126,850000,,,1593943.0,473558,,3886478.0,,16251,614918,7596,75791,656671,666320,30903,0
2015-03-25,4,2014,535454,32947,866022,6962,22913,101895,277865,,11037,46158,55315,8460,1283,39092,309645,0.0,0.0,4480,310976,,7683.0,,2482,1535625,339.0,163239,44875.0,40325,850000,2014年12月31日,438042,,2371176,2291475,0,198213,907239,3224701,,4652,229767,1155007.0,,26849.0,276904,850000,,,1540797.0,473558,,3911973.0,17628.0,18579,569772,7763,79701,633558,687272,26896,0
2015-05-13,1,2015,509926,32947,872557,7237,23193,67932,236259,,11543,46557,55182,7596,1283,40142,347882,0.0,0.0,4657,345412,,2419.0,,2580,1349850,0.0,198332,,39209,850000,2015年03月31日,444577,27356.0,2343075,2264047,0,198213,1012853,3156466,45274.0,4652,229767,,1188520.0,,394170,850000,3818946.0,1475871.0,,473558,3818946.0,,17628.0,20564,398833,7444,79028,463018,662480,37146,0
2015-08-11,2,2015,488944,30035,807646,93369,21107,58906,210918,,10258,46956,37246,7559,1283,22477,335768,0,0,5386,300084,,0,85000,2983,1347742,90,143302,,37508,850000,2015年06月30日,369347,23645,2263633,2190110,0,208532,1112979,3226794,45673,4652,229767,,1341643,,484963,850000,3847544,1583911,,473558,3847544,,17628,22365,406348,7210,73523,470932,620750,26884,0
