date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-08-12,2,2013,1124070,91154,199068,50834,14786,0,21186,331281,117664,24169,170391,21186,222284,24968,,423550,0,3299,558548,15308,0,479358,2013年06月30日,82156,,,813054,813054,0,8998,1539196,1045977,21264,,76136,57753,1,473411,504326,,,1563365,196388,,196388,,2376419,,14717,0,24169,1330442,41250,0
2014-04-28,4,2013,1146619,137841,178572,51199,9127,0,28006,341016,56294,24094,241288,28006,236613,,,524168,0,3279,654463,2250,0,524326,2013年12月31日,128843,,,913675,913675,0,8998,1462512,1042084,15920,,50480,69147,2,295131,524326,,,1546216,223502,,223502,,2459891,,13980,59610,83704,1417807,32855,0
2014-08-12,2,2014,1322657,141937,301189,50056,15719,0,4032,7392,21478,23313,118415,4032,211011,52433,0,457532,0,5064,667325,12208,,524326,2014年06月30日,131180,,,893797,893797,0,10757,1522619,1029487,13812,59830,,75135,141,626251,576759,,,1605662,171069,,171069,,2499459,3008,15088,59730,83043,1469972,38767,0
2015-04-14,4,2014,1407932,214132,365057,52955,103847,,59683,112102,55900,24405,138120,59683,197926,,0,620167,,3981,925597,22808,,676759,2014年12月31日,203375,,,1196500,1196500,0,10757,1634409,1451116,13095,96789,,77671,32,402476,676759,,,1825088,245926,1206,244720,,3021588,,11325,166274,190679,1570472,48217,0
2015-08-12,2,2015,1370347,217027,288944,51719,23673,,33880,82353,21350,23585,196037,33880,194285,67676,0,522337,,2057,854623,34016,,676759,2015年06月30日,196019,72443,3,1208983,1208983,0,21008,1210211,1210588,14566,,53407,,,190358,744435,2808756,1599773,,213641,2759,210882,2808756,,1962,17218,365977,389562,1598168,27269,0
2016-03-11,4,2015,1356282,311748,246333,0,14050,,27002,27925,21758,25075,267773,27002,217735,,0,503294,,2264,817068,8984,,744435,2015年12月31日,290740,65419,8932,1298405,1298405,0,21008,1153206,1319196,14382,,202504,,,307971,744435,2967617,1669212,,215220,4338,210882,2967617,,12462,9984,490931,516006,1648421,15703,0
2016-05-03,1,2016,1309779,335334,204612,0,23794,,19898,34308,32439,24834,287671,19898,235257,,0,326118,,4450,683821,17740,,794435,2016年03月31日,314326,65580,7445,1489062,1489062,0,21008,927920,1297689,13322,,259559,,,292852,794435,2918350,1429288,,339395,5110,334285,2918350,,12162,9889,476534,501368,1620661,25472,0
2016-08-12,2,2016,1506409,269688,383585,0,37518,,-17478,128935,42615,24077,331399,-17478,272798,0,0,281915,,2701,565783,6845,,794435,2016年06月30日,232151,51680,6392,1386821,1386821,0,37537,1110086,1191591,14437,,212843,,,261270,794435,3057716,1670895,,340176,5891,334285,3057716,,3783,13880,536732,560809,1866125,43014,0
2016-11-12,3,2016,1652163,310531,428026,0,35456,,-59375,314987,41440,35987,364290,-59375,348817,,0,496608,,6946,992238,8247,,794435,2016年09月30日,272994,67673,2550,1385266,1385266,0,37537,1599497,1720489,17096,,218639,,,285257,794435,3763816,2378550,,339675,5390,334285,3763816,,3782,9778,743066,779053,2043327,69320,0
