date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,1417426,2024031,306353,43219,9548,-2160,18077,103428,28464,130785,-2160.0,1181628,0.0,,481612,9961,4014,982291,114433,24908,357375,1112279,2013年03月31日,1614652,,4740686,4744211,0,372531,1156701,4164178,4380,36848,,1651709.0,54945.0,238520,1112279,,,1341672.0,1610061,115795.0,1494266.0,,6082358.0,0.0,3906,156507,8214,-3525,184971,1918180,92327,0
2013-08-13,2,2013,1458078,1803657,690868,43992,23715,36077,32120,107678,28997,130827,,1266685,,,560003,6531,4442,1062689,166586,39074,346961,1112279,2013年06月30日,1344787,,4561344,4565488,0,422022,1627378,4443782,4307,36848,,1689846.0,49422.0,240000,1112279,,,1831983.0,1613475,,,,6393327.0,0.0,7388,175608,9372,-4144,204605,1949545,80121,0
2013-11-08,3,2013,1453270,1911343,365812,38641,28527,10191,25530,106104,29486,128820,,1351707,,,435205,8061,7542,1093356,156623,29504,342914,1133299,2013年09月30日,1452473,,4707399,4710638,0,422022,1205312,4174499,5203,36848,,1307231.0,37961.0,286560,1133299,,,1411227.0,1655805,,,,6118626.0,0.0,6105,176429,13920,-3239,205915,1944127,95342,0
2014-03-27,4,2013,1483531,2003980,364774,39352,16862,52243,11935,272378,23912,132820,,1301017,,,422790,8844,5748,1000151,226567,35370,343596,1136449,2013年12月31日,1545110,,4852574,4857211,0,422022,966052,4048434,5582,36848,,1127335.0,52989.0,59620,1136449,,,1172802.0,1664539,,,,6025376.0,0.0,6854,182838,11413,-4637,206750,1976942,61900,0
2014-05-12,1,2014,1526625,2093482,330660,39200,6159,45991,24892,329454,24299,151108,45991.0,1325292,,0.0,440075,2733,5240,970797,93909,79968,324549,1136449,2014年03月31日,1634612,,4935666,4941937,0,422022,974085,4084863,16154,36848,1205403.0,,70345.0,60940,1136449,,,1178417.0,1666015,126309.0,1539706.0,,6114083.0,,2658,180033,10784,-6271,204332,2029220,71223,0
2014-08-12,2,2014,1519611,1835085,702437,38488,7318,1364,9935,201470,24767,154926,1364.0,1410649,,0.0,502359,4450,3125,1045720,140805,69026,321236,1136449,2014年06月30日,1328553,,4634391,4640389,0,469684,1367309,4176430,16229,36848,1235926.0,,56515.0,50000,1136449,,,1568836.0,1667491,127785.0,1539706.0,,6203227.0,,2536,176760,14795,-5998,201527,2026797,62980,0
2014-11-11,3,2014,1616339,1960975,404474,39472,14420,83914,12922,238689,25293,247502,83914.0,1483655,,0.0,472311,5428,4726,1119991,237669,77289,322970,1136449,2014年09月30日,1454443,,4843556,4850304,0,469684,1228112,4079162,16531,36848,831367.0,,38779.0,250000,1136449,,,1449418.0,1668966,129260.0,1539706.0,,6292974.0,,2308,196013,10470,-6748,221306,2213812,73774,0
2015-03-20,4,2014,1759232,2122487,414484,40736,14740,166413,12470,131234,25683,246981,166413.0,1464587,,0.0,593180,2874,4257,1233805,312455,92506,327657,1157649,2014年12月31日,1615955,,5146724,5153665,0,469684,1394256,4421945,16822,36848,1117947.0,,76255.0,250000,1157649,,,1632118.0,1707116,,,,6778842.0,,2392,212179,6205,-6941,237862,2356897,52279,0
2015-05-12,1,2015,1929597,2260098,387951,40352,11707,139748,17370,245678,26033,169036,139748.0,1527765,,0.0,455530,207,3642,1090716,247839,84419,325440,1157649,2015年03月31日,1753566,82136.0,5258363,5264611,0,469684,1237188,4282957,16283,36848,,1025063.0,,250000,1157649,6743217.0,1484854.0,,1707116,,,6743217.0,,,2338,221633,19904,-6248,247666,2460260,47432,0
2015-08-10,2,2015,1927025,2126937,685687,37298,11903,97332,7590,467257,24974,172877,97332.0,1446765,,0.0,507808,781,4551,1138355,233817,89052,188993,1157649,2015年06月30日,1574470,80222.0,5082144,5089034,0,515619,1623937,4648940,15748,36848,,1201680.0,,300000,1157649,6968858.0,1886714.0,,1707116,18926.0,1688190.0,6968858.0,,,1310,237803,15275,-6890,262777,2319918,58801,0
2015-11-11,3,2015,2239214,2394003,434636,38820,12101,226714,33979,309786,25394,183477,226714.0,1370589,,0.0,544744,0,4542,1331712,357503,66960,188694,1157649,2015年09月30日,1841536,75132.0,5472829,5485482,0,515619,1381853,4529371,15648,36848,,1009675.0,,250000,1157649,7163672.0,1690843.0,,1707116,,,7163672.0,,,1084,283596,7268,-12653,308990,2634301,69961,0
2016-03-22,4,2015,2411549,2553386,454931,37462,10143,164826,28193,98695,28904,150704,164826.0,1287732,,0.0,442388,0,2970,1063665,296229,76770,188395,1182579,2015年12月31日,2000919,96217.0,5634874,5646549,0,515619,1262161,4433857,14448,36848,,1564041.0,,200000,1182579,7211552.0,1576678.0,,1745758,,,7211552.0,,,1474,285613,12599,-11675,314517,2777695,35108,0
2016-05-10,1,2016,2396569,2731878,331419,37290,4930,113048,15169,174152,29405,123872,113048.0,1212943,,0.0,418513,0,4310,957488,227604,78914,188097,1182579,2016年03月31日,2179411,93446.0,5759748,5773263,0,515619,1000147,4341317,13690,36848,,1643573.0,,100000,1182579,7082955.0,1323207.0,,1745758,1602.0,1744156.0,7082955.0,,,1577,293655,19410,-13515,323060,2741638,40136,0
2016-08-10,2,2016,2329750,2398588,849733,36338,10990,47944,24809,144763,29752,122837,47944.0,1110615,,0.0,403820,0,3578,1059847,147789,67258,187798,1182579,2016年06月30日,1772662,77611.0,5361741,5374869,0,589078,1495889,4514907,12577,36848,,1919959.0,,100000,1182579,7183916.0,1822175.0,,1745758,1602.0,1744156.0,7183916.0,,,1614,296534,16047,-13128,326286,2669009,52072,0
2016-11-10,3,2016,2268582,2564148,369898,35197,10635,-47175,35810,136564,30975,110992,-47175.0,1013977,,0.0,372947,0,5072,1107938,169151,87973,187500,1182579,2016年09月30日,1938222,50444.0,5433379,5445310,0,589078,1439368,4607523,11370,36848,,2024142.0,,570000,1182579,7206125.0,1772746.0,,1745758,1602.0,1744156.0,7206125.0,,,1459,302403,20158,-11931,333378,2598602,55684,0
